Index;Wert
0;1068.32288
1;1068.1875
2;1068.28455
3;1068.38501
4;1068.47473
5;1068.79285
6;1070.72961
7;1072.00757
8;1073.08936
9;1072.58484
10;1071.45288
11;1070.51892
12;1070.14368
13;1069.70776
14;1069.33167
15;1069.20911
16;1069.24182
17;1069.72803
18;1071.56433
19;1072.32581
20;1072.2533
21;1071.88928
22;1070.94226
23;1068.79333
24;1068.02881
25;1067.9884
26;1068.10742
27;1068.31531
28;1068.34631
29;1068.30786
30;1070.20984
31;1071.32422
32;1071.85339
33;1072.31543
34;1071.16309
35;1070.43103
36;1070.28137
37;1069.69775
38;1069.5603
39;1069.32544
40;1069.21753
41;1069.87024
42;1072.01294
43;1072.46228
44;1072.03687
45;1071.7998
46;1070.34998
47;1068.97485
48;1068.13831
49;1067.57446
50;1067.5769
51;1067.5863
52;1067.61914
53;1067.75989
54;1069.48987
55;1070.73376
56;1071.02734
57;1071.04834
58;1070.49634
59;1069.69055
60;1069.62415
61;1069.42358
62;1069.06226
63;1068.84741
64;1068.9259
65;1069.44275
66;1071.3689
67;1071.25391
68;1070.86609
69;1070.83362
70;1069.81763
71;1069.28479
72;1068.70508
73;1068.41211
74;1068.27759
75;1068.15344
76;1068.05261
77;1068.07727
78;1069.72192
79;1070.7572
80;1071.03943
81;1071.31384
82;1070.89465
83;1070.01221
84;1069.83252
85;1069.85864
86;1070.16187
87;1069.53784
88;1070.02002
89;1069.84705
90;1070.8855
91;1071.54053
92;1071.95776
93;1071.2113
94;1071.18042
95;1069.10352
96;1068.61475
97;1068.54578
98;1068.66833
99;1068.74829
100;1068.77209
101;0
102;0
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0
130;0
131;0
132;0
133;0
134;0
135;0
136;0
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0
154;0
155;0
156;0
157;0
158;0
159;0
160;0
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;1070.92139
178;1070.29614
179;1069.51794
180;1069.34998
181;1069.17358
182;1069.0188
183;1068.98669
184;1068.97913
185;1069.16296
