Index;Wert
0;1287.37732
1;1287.37732
2;1287.37732
3;1287.37732
4;1258.89966
5;1258.89966
6;1258.89966
7;1258.89966
8;1273.11084
9;1273.11084
10;1273.11084
11;1273.11084
12;1256.91919
13;1256.91919
14;1256.91919
15;1256.91919
16;1281.20801
17;1281.20801
18;1281.20801
19;1281.20801
20;1846.90674
21;1846.90674
22;1846.90674
23;1846.90674
24;2109.07178
25;2109.07178
26;2109.07178
27;2109.07178
28;2239.36523
29;2239.36523
30;2239.36523
31;2239.36523
32;2138.39697
33;2138.39697
34;2138.39697
35;2138.39697
36;2059.19287
37;2059.19287
38;2059.19287
39;2059.19287
40;1941.39648
41;1941.39648
42;1941.39648
43;1941.39648
44;2113.43384
45;2113.43384
46;2113.43384
47;2113.43384
48;2067.28687
49;2067.28687
50;2067.28687
51;2067.28687
52;2056.09961
53;2056.09961
54;2056.09961
55;2056.09961
56;2169.42163
57;2169.42163
58;2169.42163
59;2169.42163
60;2107.73389
61;2107.73389
62;2107.73389
63;2107.73389
64;2039.49365
65;2039.49365
66;2039.49365
67;2039.49365
68;1870.81775
69;1870.81775
70;1870.81775
71;1870.81775
72;2081.64209
73;2081.64209
74;2081.64209
75;2081.64209
76;1924.33228
77;1924.33228
78;1924.33228
79;1924.33228
80;1890.37354
81;1890.37354
82;1890.37354
83;1890.37354
84;1564.06885
85;1564.06885
86;1564.06885
87;1564.06885
88;1456.96948
89;1456.96948
90;1456.96948
91;1456.96948
92;1505.10693
93;1505.10693
94;1505.10693
95;1505.10693
96;1433.69189
97;1433.69189
98;1433.69189
99;1433.69189
100;1387.35266
101;1387.35266
102;1387.35266
103;1387.35266
104;1241.35278
105;1241.35278
106;1241.35278
107;1241.35278
108;1239.37927
109;1239.37927
110;1239.37927
111;1239.37927
112;1283.42896
113;1283.42896
114;1283.42896
115;1283.42896
116;1848.08374
117;1848.08374
118;1848.08374
119;1848.08374
120;2058.96973
121;2058.96973
122;2058.96973
123;2058.96973
124;2299.81104
125;2299.81104
126;2299.81104
127;2299.81104
128;2232.60645
129;2232.60645
130;2232.60645
131;2232.60645
132;2251.11719
133;2251.11719
134;2251.11719
135;2251.11719
136;2141.11426
137;2141.11426
138;2141.11426
139;2141.11426
140;2145.48584
141;2145.48584
142;2145.48584
143;2145.48584
144;2091.43652
145;2091.43652
146;2091.43652
147;2091.43652
148;2144.17456
149;2144.17456
150;2144.17456
151;2144.17456
152;2156.90625
153;2156.90625
154;2156.90625
155;2156.90625
156;2112.53296
157;2112.53296
158;2112.53296
159;2112.53296
160;1992.93677
161;1992.93677
162;1992.93677
163;1992.93677
164;1938.90991
165;1938.90991
166;1938.90991
167;1938.90991
168;1978.38623
169;1978.38623
170;1978.38623
171;1978.38623
172;1831.91748
173;1831.91748
174;1831.91748
175;1831.91748
176;1487.17017
177;1487.17017
178;1487.17017
179;1487.17017
180;1029.04773
181;1029.04773
182;1029.04773
183;1029.04773
184;966.615479
185;966.615479
186;966.615479
187;966.615479
188;1040.70581
189;1040.70581
190;1040.70581
191;1040.70581
192;1077.69189
193;1077.69189
194;1077.69189
195;1077.69189
196;1083.35266
197;1083.35266
198;1083.35266
199;1083.35266
200;1087.35278
201;1087.35278
202;1087.35278
203;1087.35278
204;1141.37927
205;1141.37927
206;1141.37927
207;1141.37927
208;1275.42896
209;1275.42896
210;1275.42896
211;1275.42896
212;1748.08374
213;1748.08374
214;1748.08374
215;1748.08374
216;1920.96973
217;1920.96973
218;1920.96973
219;1920.96973
220;2141.81104
221;2141.81104
222;2141.81104
223;2141.81104
224;2162.60645
225;2162.60645
226;2162.60645
227;2162.60645
228;2261.11719
229;2261.11719
230;2261.11719
231;2261.11719
232;2101.11426
233;2101.11426
234;2101.11426
235;2101.11426
236;2337.48584
237;2337.48584
238;2337.48584
239;2337.48584
240;2255.43652
241;2255.43652
242;2255.43652
243;2255.43652
244;2306.17456
245;2306.17456
246;2306.17456
247;2306.17456
248;2354.90625
249;2354.90625
250;2354.90625
251;2354.90625
252;2230.53296
253;2230.53296
254;2230.53296
255;2230.53296
256;2226.93677
257;2226.93677
258;2226.93677
259;2226.93677
260;2068.90991
261;2068.90991
262;2068.90991
263;2068.90991
264;2152.38623
265;2152.38623
266;2152.38623
267;2152.38623
268;2097.91748
269;2097.91748
270;2097.91748
271;2097.91748
272;1841.17017
273;1841.17017
274;1841.17017
275;1841.17017
276;1419.04773
277;1419.04773
278;1419.04773
279;1419.04773
280;1484.61548
281;1484.61548
282;1484.61548
283;1484.61548
284;1318.70581
285;1318.70581
286;1318.70581
287;1318.70581
288;1277.69189
289;1277.69189
290;1277.69189
291;1277.69189
292;1265.35266
293;1265.35266
294;1265.35266
295;1265.35266
296;1249.35278
297;1249.35278
298;1249.35278
299;1249.35278
300;1231.37927
301;1231.37927
302;1231.37927
303;1231.37927
304;1283.42896
305;1283.42896
306;1283.42896
307;1283.42896
308;1674.08374
309;1674.08374
310;1674.08374
311;1674.08374
312;2068.96973
313;2068.96973
314;2068.96973
315;2068.96973
316;2129.81104
317;2129.81104
318;2129.81104
319;2129.81104
320;2080.60645
321;2080.60645
322;2080.60645
323;2080.60645
324;2145.11719
325;2145.11719
326;2145.11719
327;2145.11719
328;2055.11426
