Index;Wert
0;16.5458794
1;16.415081
2;14.2678423
3;13.4713974
4;13.4713974
5;15.8332596
6;22.0087204
7;21.8479195
8;21.61096
9;22.3410416
10;23.8043194
11;24.3724804
12;24.9049606
13;25.0979195
14;24.9478397
15;24.5102806
16;24.1366405
17;23.8418407
18;23.6006393
19;23.5631199
20;23.58992
21;23.4880791
22;23.4452
23;16.9034004
24;13.7259827
25;9.55134964
26;9.55134964
27;9.55134964
28;9.55134964
29;11.2214394
30;22.9574394
31;23.06464
32;23.0378399
33;23.1879196
34;23.3915997
35;23.7024803
36;24.0079994
37;24.1580811
38;24.2545605
39;21.533411
40;17.6227989
41;24.3456802
42;24.4099998
43;24.3885612
44;24.3617592
45;24.3564014
46;24.3724804
47;16.5515022
48;7.27275467
49;7.27275467
50;7.27275467
51;7.27275467
52;7.27275467
53;8.54074097
54;17.3524799
55;23.9008007
56;23.8472004
57;24.0348015
58;24.601841
59;24.9317589
60;21.3088665
61;17.4166431
62;15.7259941
63;14.8806705
64;15.3033304
65;17.47892
66;23.9008007
67;23.5792007
68;23.3647995
69;23.2951202
70;23.2415199
71;9.5645647
72;8.80873871
73;8.80873871
74;8.80873871
75;8.80873871
76;8.80873871
77;10.3477802
78;16.8162003
79;23.4612808
80;23.5470409
81;23.8954391
82;24.23312
83;24.5233612
84;24.5320797
85;24.4230804
86;20.6841221
87;17.4920006
88;19.1000671
89;17.1214008
90;23.4505596
91;23.4237595
92;23.3219204
93;23.2308006
94;23.0378399
95;15.2283096
96;9.55692673
97;9.55692673
98;9.55692673
99;9.55692673
100;9.55692673
101;11.2280006
102;22.5125599
103;22.9145603
104;22.8502407
105;23.4076805
106;24.0830402
107;24.4492416
108;24.37784
109;24.3617592
110;24.3939209
111;21.2337914
112;17.1998806
113;23.2736816
114;23.1128807
115;23.4344807
116;23.3058395
117;23.18256
118;23.1075211
119;16.5894794
120;10.0077419
121;9.61576271
122;9.61576271
123;9.61576271
124;9.61576271
125;11.2972202
126;22.496479
127;22.3142395
128;22.3678398
129;22.9735203
130;23.9812012
131;24.3403206
132;24.1366405
133;23.9811993
134;23.664959
135;22.7105713
136;16.5415192
137;22.7912807
138;22.6251202
139;22.4267998
140;21.9015198
141;21.8211212
142;21.7996807
143;15.84828
144;9.67663956
145;8.49126434
146;8.49126434
147;8.49126434
148;8.49126434
149;9.9742794
150;22.0462399
151;21.9390392
152;21.9229603
153;22.7751999
154;23.9061604
155;24.4797592
156;24.6977596
157;24.3181
158;17.3612003
159;18.3934231
160;16.6330795
161;22.0846386
162;24.6323605
163;24.7806015
164;24.7021217
165;24.5408001
166;24.3135204
167;12.8395901
168;0
169;9.17731762
170;0
171;8.95909119
172;0
173;10.0613375
174;12.4640617
175;16.8990402
176;19.0656338
177;16.9295597
178;16.82267
179;13.7900944
180;12.4640617
181;12.6850681
182;12.4640617
183;12.2430592
184;12.2430592
185;12.9060726
186;16.000145
187;16.000145
188;14.8951187
189;14.4531078
190;10.4750175
191;0
192;16.8005161
193;11.9128532
194;11.9128532
195;11.9128532
196;11.9128532
197;13.9996796
198;22.8663197
199;23.0539207
200;22.9413605
201;23.5202408
202;24.4099998
203;24.8372803
204;25.4519596
205;25.7127209
206;25.7318001
207;25.5282803
208;24.9103203
209;24.5538807
210;24.2545605
211;23.7239208
212;23.3808804
213;23.0860806
214;22.8502407
215;16.3496799
216;11.3412867
217;8.24937057
218;8.24937057
219;8.24937057
220;8.24937057
221;9.68970108
222;17.8843994
223;24.23312
224;24.5277214
225;24.7413597
226;25.00144
227;25.32304
228;25.50284
229;21.0369301
230;17.8515701
231;16.8913498
232;17.3714581
233;17.539959
234;23.8686409
235;24.0026398
236;23.9276009
237;24.0401611
238;24.1527195
239;12.1380911
240;9.08576965
241;9.08576965
242;9.08576965
243;9.08576965
244;9.08576965
245;10.6736984
246;23.4880791
247;23.1772003
248;22.8288002
249;22.8556004
250;22.9574394
251;23.3004799
252;23.97048
253;24.7021198
254;22.9179535
255;18.3465595
256;18.0195599
257;23.6876278
258;24.3403206
259;24.3724804
260;24.1634407
261;24.1044807
262;24.0026398
263;15.2608891
264;9.25619507
265;9.25619507
266;9.25619507
267;9.25619507
268;9.25619507
269;10.8741989
270;23.2897606
271;23.4023209
272;23.3915997
273;23.4612808
274;23.6006393
275;23.7400017
276;23.70784
277;24.0508804
278;24.190239
279;19.7653961
280;17.1083202
281;23.6060009
282;23.4076805
283;23.4452
284;23.2897606
285;23.2040005
286;23.0807209
287;16.4325199
288;10.4360342
289;10.2034855
290;10.2034855
291;10.2034855
292;10.2034855
293;11.9886589
294;22.5232792
295;22.6144009
296;22.5125599
297;22.6894398
298;22.8127213
299;23.0003204
300;23.5041599
301;23.3808804
302;23.3433609
303;23.1075191
304;22.9467201
305;22.7430401
306;22.5232792
307;22.5125599
308;22.2392006
309;22.0087204
310;21.7407207
311;15.3042793
312;12.3713293
313;9.56068993
314;9.56068993
315;9.56068993
316;10.0343208
317;11.4552097
318;19.9857197
319;20.7876015
320;20.6536808
321;21.29352
322;22.4160805
323;23.3058395
324;23.8150406
325;24.0776806
326;24.0079994
327;23.6113605
328;23.0967999
329;22.6251202
330;22.4964809
331;22.33568
332;22.2338409
333;22.0676804
334;21.9819202
335;15.7262001
336;14.0237341
337;12.3902817
338;12.3902817
339;12.3902817
340;12.3902817
341;14.5613594
342;21.4820004
343;21.5067997
344;21.4423199
345;21.4571991
346;21.5960808
347;21.6704807
348;21.5811996
349;21.5216808
350;21.4571991
351;21.4571991
352;21.4125595
353;21.3629608
354;21.3183193
355;21.3232803
356;21.2439194
357;21.1744804
358;21.0901604
359;14.9637203
360;14.9359999
361;14.8964005
362;13.873415
363;12.9317837
