Index;Wert
0;0.584873617
1;0.593633592
2;0.594524026
3;0.594524026
4;0.594524026
5;0.699440002
6;1.60871208
7;2.09832001
8;2.23820806
9;2.23820806
10;1.89848006
11;1.66533339
12;1.39887989
13;1.30350184
14;1.17633092
15;1.15310419
16;1.19904006
17;1.39888012
18;2.03170681
19;2.26485348
20;2.16493344
21;2.13162684
22;1.43218672
23;0.599520028
24;0.555908203
25;0.555908203
26;0.559103012
27;0.564237416
28;0.572258413
29;0.675895572
30;1.55685854
31;2.01086378
32;2.15016842
33;2.12111211
34;1.86392725
35;1.63502395
36;1.43882096
37;1.34071958
38;1.20991766
39;1.14451671
40;1.17721725
41;1.37342
42;1.99472916
43;2.22363281
44;2.12553096
45;2.09283066
46;1.40612054
47;0.588608623
48;0.465654314
49;0.465654314
50;0.465654314
51;0.465654314
52;0.465654314
53;0.547828615
54;1.26000583
55;1.64348578
56;1.75305164
57;1.75305164
58;1.52926958
59;1.30731821
60;1.15043998
61;1.07200086
62;0.967415452
63;0.915122688
64;0.982349098
65;1.1504401
66;1.67087722
67;1.86261725
68;1.78044295
69;1.75975537
70;1.18801451
71;0.503107846
72;0.535822392
73;0.536894023
74;0.536894023
75;0.536894023
76;0.532105029
77;0.60880965
78;1.38689446
79;1.80468571
80;1.92499828
81;1.92499828
82;1.71445155
83;1.48551273
84;1.30602252
85;1.23144281
86;1.11183071
87;1.05273342
88;1.08281136
89;1.26327991
90;1.834764
91;2.04531074
92;1.95787275
93;1.94350791
94;1.32879269
95;0.568475962
96;0.580813527
97;0.580813527
98;0.580813527
99;0.580813527
100;0.580813527
101;0.683309972
102;1.57161307
103;2.0286293
104;2.17679644
105;2.08246875
106;1.85469866
107;1.61998582
108;1.43169713
109;1.33408153
110;1.20392728
111;1.13884997
112;1.17138863
113;1.37447405
114;2.02535987
115;2.21262312
116;2.12106705
117;2.11162925
118;1.42840707
119;0.602035284
120;0.586761117
121;0.592042029
122;0.592042029
123;0.592042029
124;0.592042029
125;0.696519971
126;1.60199594
127;2.08956003
128;2.22886395
129;2.19376373
130;1.89055443
131;1.6583811
132;1.45937526
133;1.35987258
134;1.22720206
135;1.16141975
136;1.2339921
137;1.46269202
138;2.12438607
139;2.36816812
140;2.26368999
141;2.22886395
142;1.49751806
143;0.62686801
144;0.558118522
145;0.558118522
146;0.558118522
147;0.558118522
148;0.558118522
149;0.656610012
150;1.510203
151;1.96982992
152;2.10115218
153;2.10115218
154;1.78222716
155;1.55153596
156;1.33383393
157;1.2492348
158;1.15688431
159;1.09906018
160;1.15138626
161;1.31322002
162;1.8620739
163;2.04345465
164;1.96952689
165;1.97291279
166;1.34448731
167;0.562808573
168;0.415281057
169;0.395506948
170;0.395506948
171;0.395506948
172;0.415281057
173;0.474603325
174;1.10737431
175;1.60172653
176;1.63680065
177;1.62150073
178;1.38421154
179;1.17509782
180;1.05703902
181;1.07591426
182;1.05703902
183;1.0400548
184;1.08760023
185;1.14692247
186;1.42375982
187;1.42375982
188;1.3248893
189;1.28534102
190;0.929407477
191;0.43797496
192;0.537111044
193;0.537111044
194;0.537111044
195;0.537111044
196;0.542536378
197;0.652078569
198;1.51692533
199;1.94476795
200;2.09592128
201;2.02206516
202;1.80090153
203;1.50930393
204;1.32037807
205;1.2079525
206;1.08865321
207;1.04463112
208;1.08571088
209;1.30645013
210;1.92728055
211;2.14844418
212;2.05365968
213;2.06835675
214;1.42011297
215;0.597140968
216;0.518762767
217;0.518762767
218;0.50590086
219;0.49554196
220;0.49554196
221;0.582990527
222;1.31581497
223;1.74897146
224;1.84188819
225;1.80041182
226;1.58599901
227;1.39122725
228;1.21379721
229;1.13205874
230;1.02950811
231;0.973859012
232;1.03899288
233;1.22428
234;1.77812099
235;1.98216784
236;1.89471912
237;1.86556971
238;1.25342965
239;0.524691403
240;0.515828669
241;0.515828669
242;0.515828669
243;0.515828669
244;0.515828669
245;0.606857181
246;1.39577162
247;1.84695661
248;2.0339551
249;2.02889562
250;1.7900641
251;1.52221704
252;1.33508575
253;1.20559299
254;1.07165456
255;1.01372731
256;1.05661905
257;1.26416624
258;1.85091436
259;2.06331468
260;1.97228575
261;1.94194305
262;1.30474305
263;0.546171486
264;0.530764341
265;0.530764341
266;0.530764341
267;0.530764341
268;0.530764341
269;0.630432665
270;1.4423672
271;1.87328577
272;1.99817169
273;1.99817169
274;1.77962148
275;1.56107152
276;1.37374282
277;1.28007865
278;1.15519285
279;1.09275007
280;1.12397146
281;1.31130004
282;1.90450728
283;2.12305737
284;2.03812742
285;2.02224588
286;1.37392545
287;0.588026881
288;0.603352249
289;0.603052676
290;0.602454424
291;0.603952348
292;0.606061935
293;0.714439988
294;1.64321208
295;2.14332008
296;2.28620791
297;2.28620791
298;2.03411984
299;1.75365746
300;1.4969219
301;1.39485908
302;1.25877535
303;1.21562481
304;1.26886225
305;1.50032401
306;2.1790421
307;2.42909622
308;2.32192993
309;2.28620791
310;1.53604603
311;0.642995954
312;0.566893339
313;0.545904934
314;0.553459764
315;0.56534034
316;0.596729815
317;0.681971788
318;1.59121931
319;2.28951883
320;2.30156898
321;2.21348381
322;1.88956439
323;1.59848917
324;1.43967462
325;1.46538258
326;1.43967462
327;1.41396689
328;1.4449296
329;1.56564486
330;1.94355106
331;1.94355106
332;1.80858457
333;1.7545979
334;1.26871884
335;0.593886673
336;0.72805053
337;0.72805053
338;0.72805053
339;0.72805053
340;0.72805053
341;0.856529951
342;1.9700191
343;2.56958985
344;2.74089622
345;2.74089622
346;2.44111061
347;2.141325
348;1.88436592
349;1.75588655
350;1.58458054
351;1.49892747
352;1.54175389
353;1.79871297
354;2.61241651
355;2.91220212
356;2.7837224
357;2.75744081
358;1.8686347
359;0.787814975
360;0.780204117
361;0.784225762
362;0.778607011
363;0.780604422
364;0.783821762
365;0.925002635
366;2.15874362
367;2.80545449
368;2.9569521
369;2.89859128
370;2.55057907
371;2.23734999
372;1.96886802
373;1.83462703
374;1.65563905
375;1.56614506
376;1.61089194
377;1.89644206
378;2.78101587
379;3.05501628
380;2.93941903
381;2.93874621
382;2.02539062
383;0.847837865
384;0.877226889
385;0.877226889
386;0.877226889
387;0.877226889
388;0.877226889
389;1.03203166
390;2.37367249
391;3.09609485
392;3.30250144
393;3.30250144
394;2.94129014
395;2.58007884
396;2.24448061
397;2.07954621
398;1.90624857
399;1.80605543
400;1.85765684
401;2.16726637
402;3.20161843
403;3.66515923
404;3.35410261
405;3.30250144
406;2.21886778
407;0.928828418
408;0.997442603
409;1.03567791
410;1.03567791
411;1.03567791
412;1.03567791
413;1.21844435
414;2.80242205
415;3.65533304
416;3.89902258
417;3.89902258
418;3.4725666
419;2.94784927
420;2.53949475
421;2.36634731
422;2.13548446
423;2.02005267
424;2.19319987
425;2.55873322
426;3.7162559
427;4.14271164
428;3.95994473
429;3.89902258
430;2.61965585
431;1.09659994
432;1.05655956
433;1.05655956
434;1.05655956
435;1.05655956
436;1.05655956
437;1.243011
438;2.85892558
439;3.72903323
440;3.97763586
441;3.97763586
442;3.53276825
443;2.94397378
444;2.59069681
445;2.40393662
446;2.11833525
447;1.96955991
448;2.04642057
449;2.43702388
450;3.59164786
451;4.00380421
452;3.8271656
453;3.76828647
454;2.53849769
455;1.07740927
456;0.988300562
457;1.00081074
458;1.01026285
459;1.01026285
460;1.01026285
461;1.18854451
462;2.73365235
463;3.56563306
464;3.80334234
465;3.80334234
466;3.38735175
467;2.81497383
468;2.4771769
469;2.2998054
470;2.08308053
471;1.97048163
472;2.02678084
473;2.43506646
474;3.62506056
475;4.04105139
476;3.86276937
477;3.80334234
478;2.55537057
479;1.06968999
480;0.908763349
481;0.908763349
482;0.905744195
483;0.885638356
484;0.889007628
485;1.02582085
486;2.34563422
487;3.06114507
488;3.2411623
489;3.2411623
490;2.8866601
491;2.45089149
492;2.11688399
493;1.97255099
494;1.78010702
495;1.69404924
496;1.81265926
497;2.12701273
498;3.08923268
499;3.44373488
500;3.29180527
501;3.31442857
502;2.29863667
503;0.962220013
504;0.91486448
505;0.91486448
506;0.91486448
507;0.91486448
508;0.91486448
509;1.07631111
510;2.47551584
511;3.22893333
512;3.44419575
513;3.44419575
514;2.91217089
515;2.54915786
516;2.13109589
517;1.98579407
518;1.79205799
519;1.69519007
520;1.77197552
521;2.14129281
522;3.10997295
523;3.46685481
524;3.31390524
525;3.26292229
526;2.192276
527;0.871811926
528;0.640177548
529;0.640177548
530;0.632586539
531;0.609692931
532;0.609692931
533;0.717285752
534;1.64975715
535;2.17883325
536;2.32408905
537;2.31182742
538;2.04426432
539;1.79321432
540;1.57802856
541;1.47043574
542;1.32697856
543;1.25524998
544;1.29111433
545;1.52739251
546;2.25870943
547;2.50927019
548;2.44773722
549;2.41008019
550;1.61927259
551;0.677834988
552;0.619600415
553;0.643942952
554;0.64699322
555;0.64699322
556;0.64699322
557;0.761168361
558;1.75068736
559;2.2835052
560;2.40285802
561;2.31395221
562;2.06086349
563;1.72169054
564;1.51508772
565;1.36750507
566;1.23751485
567;1.20518339
568;1.23961711
569;1.44622004
570;2.10046244
571;2.34149933
572;2.23819757
573;2.2037642
574;1.48065388
575;0.619808555
576;0.373303741
577;0.355528444
578;0.355528444
579;0.366344273
580;0.391968906
581;0.447961062
582;1.04521084
583;1.51181221
584;1.51181221
585;1.45759666
586;1.18773425
587;0.963927805
588;0.816890061
589;0.806271315
590;0.783516347
591;0.866284311
592;0.93322438
593;1.01361346
594;1.27984369
595;1.27984369
596;1.1909672
597;1.15541661
598;0.847979188
599;0.39906019
600;0.278801799
601;0.268023819
602;0.266834944
603;0.258675665
604;0.270703286
605;0.309372842
606;0.72184813
607;1.04409432
608;1.04409432
609;1.0089395
610;0.77880913
611;0.630937219
612;0.541386068
613;0.541575849
614;0.536405146
615;0.547558784
616;0.588463366
617;0.66469866
618;0.86085695
619;0.85820353
620;0.80749619
621;0.7844401
622;0.567721009
623;0.266582608
624;0.272477388
625;0.273468196
626;0.273468196
627;0.273343951
628;0.271248907
629;0.321727246
630;0.733967602
631;0.936656356
632;0.975435078
633;0.934775233
634;0.788905025
635;0.661742687
636;0.565212309
637;0.52156359
638;0.472889125
639;0.457572997
640;0.489826918
641;0.582894146
642;0.876844108
643;0.954210937
644;0.8982234
645;0.884750128
646;0.594906151
647;0.249811739
648;0.290710688
649;0.288676143
650;0.289013237
651;0.295218706
652;0.299264431
653;0.352075785
654;0.811082006
655;1.01569772
656;1.10525906
657;1.13211834
658;1.02531922
659;0.915234685
660;0.82335043
661;0.778215945
662;0.712825358
663;0.683031738
664;0.71370852
665;0.831527591
666;1.21098864
667;1.35860014
668;1.29747486
669;1.27868247
670;0.859508038
671;0.35831812
672;0.308992177
673;0.299371898
674;0.304644048
675;0.304789126
676;0.32002762
677;0.366441071
678;0.885856092
679;1.29153347
680;1.29089022
681;1.2495755
682;1.02334332
683;0.882603168
684;0.763564885
685;0.760670424
686;0.744531274
687;0.744537294
688;0.781913042
689;0.843676567
690;1.06819654
691;1.0971905
692;1.02099812
693;0.990521133
694;0.716228426
695;0.335266113
696;0.461226255
697;0.461226255
698;0.461226255
699;0.461226255
700;0.461226255
701;0.542619109
702;1.24802387
703;1.62785721
704;1.73638117
705;1.67112756
706;1.46683609
707;1.22316456
708;1.06495321
709;0.991921484
710;0.892118037
711;0.847121894
712;0.894504905
713;1.08770454
714;1.57976139
715;1.76104558
716;1.69957554
717;1.72979128
718;1.16663098
719;0.488357127
720;0.501524329
721;0.501524329
722;0.501524329
723;0.506590247
724;0.519842565
725;0.619529963
726;1.41220891
727;1.79400575
728;1.88809168
729;1.88809168
730;1.6815815
731;1.47296727
732;1.2980628
733;1.20955861
734;1.09155285
735;1.0325501
736;0.929682314
737;1.10489428
738;1.63528049
739;1.8583169
740;1.81149101
741;1.80226922
742;1.21089959
743;0.50897032
744;0.539241314
745;0.550523579
746;0.551310062
747;0.551310062
748;0.551310062
749;0.648599982
750;1.50323319
751;2.00302935
752;2.17929626
753;2.16307306
754;1.87439442
755;1.62150013
756;1.42692006
757;1.32963014
758;1.19991016
759;1.13505006
760;1.16748011
761;1.3731761
762;2.06065631
763;2.31550217
764;2.21334743
765;2.17929626
766;1.46421456
767;0.61292702
768;0.620797575
769;0.620797575
770;0.621730149
771;0.631533682
772;0.641319811
773;0.760781229
