Index;Wert
0;26.4907379
1;25.6434288
2;26.6857796
3;31.5483665
4;46
5;46
6;46
7;46
8;46
9;46
10;46
11;46
12;46
13;46
14;46
15;46
16;46
17;46
18;46
19;46
20;46
21;46
22;18.9867077
23;23.6503639
24;23.1764374
25;22.3023415
26;23.2196693
27;27.815712
28;46
29;46
30;46
31;46
32;46
33;46
34;46
35;46
36;46
37;46
38;46
39;46
40;46
41;46
42;46
43;46
44;46
45;46
46;19.9610882
47;19.9513245
48;0
49;0
50;0
51;0
52;30.7278481
53;46
54;43.9028358
55;41.6031456
56;38.7981949
57;32.2276497
58;30.3485031
59;30.0295258
60;32.141407
61;27.9134636
62;29.6574249
63;36.1556396
64;46
65;46
66;46
67;46
68;46
69;36.9189529
70;0
71;0
72;0
73;0
74;0
75;8.70734787
76;40.2899551
77;46
78;46
79;46
80;46
81;40.6466255
82;38.7433701
83;38.4784813
84;40.8435822
85;36.3687897
86;38.3240509
87;45.4656105
88;46
89;46
90;46
91;46
92;46
93;45.0445366
94;0
95;0
96;21.1725044
97;20.535841
98;21.5699005
99;26.0208931
100;46
101;46
102;46
103;46
104;46
105;46
106;46
107;46
108;46
109;45.536953
110;46
111;46
112;46
113;46
114;46
115;46
116;46
117;46
118;18.6037083
119;18.4327717
120;21.2787304
121;20.508091
122;21.483036
123;25.9892235
124;46
125;46
126;46
127;46
128;46
129;46
130;46
131;46
132;46
133;46
134;46
135;46
136;46
137;46
138;46
139;46
140;46
141;46
142;20.0512657
143;19.581028
144;18.1274776
145;17.1914425
146;18.0993614
147;22.3109169
148;42.4364967
149;46
150;46
151;46
152;46
153;46
154;46
155;46
156;46
157;46
158;46
159;46
160;46
161;46
162;46
163;46
164;46
165;37.5229111
166;9.98758125
167;14.2177868
168;0
169;0
170;0
171;0
172;17.5324955
173;27.4901085
174;25.6575699
175;25.7541161
176;29.1091309
177;30.6576157
178;32.4965973
179;32.9618454
180;29.6702309
181;24.9752426
182;26.8477783
183;32.0133286
184;39.5819244
185;44.2986908
186;42.035038
187;33.6786842
188;26.683403
189;15.4919395
190;0
191;0
192;20.5546894
193;19.6190891
194;20.4000854
195;24.8139725
196;46
197;46
198;46
199;46
200;46
201;46
202;46
203;46
204;46
205;44.3980331
206;45.7055054
207;46
208;46
209;46
210;46
211;46
212;46
213;46
214;18.7721748
215;18.6381264
216;0
217;0
218;0
219;8.01819801
220;39.2683716
221;46
222;46
223;46
224;46
225;39.7549858
226;37.8969994
227;37.5831528
228;39.8376732
229;35.2719536
230;37.4171677
231;44.6546898
232;46
233;46
234;46
235;46
236;46
237;44.2380791
238;0
239;0
240;0
241;0
242;0
243;10.0187206
244;43.2391815
245;46
246;46
247;46
248;46
249;44.8234978
250;43.0446892
251;42.8086205
252;44.6806145
253;39.2906685
254;40.8562546
255;46
256;46
257;46
258;46
259;46
260;46
261;46
262;0
263;0
264;17.2506561
265;16.748188
266;17.5901299
267;21.7309856
268;42.3001938
269;46
270;46
271;46
272;46
273;44.8092804
274;43.9123878
275;43.7892647
276;45.6157455
277;42.0977058
278;43.2388649
279;46
280;46
281;46
282;46
283;46
284;46
285;46
286;16.0458794
287;15.8038998
288;23.6579132
289;22.7372055
290;23.6010628
291;28.1546555
292;46
293;46
294;46
295;46
296;46
297;46
298;46
299;46
300;46
301;46
302;46
303;46
304;46
305;46
306;46
307;46
308;46
309;46
310;22.2298927
311;22.4647751
312;16.4119282
313;15.7395744
314;16.6566143
315;20.8620167
316;40.683773
317;46
318;46
319;46
320;46
321;46
322;46
323;46
324;46
325;46
326;46
327;46
328;46
329;46
330;46
331;46
332;46
333;36.351387
334;9.70157051
335;13.6111031
336;40.428093
337;39.1251488
338;40.2058449
339;45.8771667
340;46
341;46
342;46
343;46
344;46
345;46
346;46
347;46
348;46
349;46
350;46
351;46
352;46
353;46
354;46
355;46
356;46
357;46
358;32.8370476
359;38.3973389
360;45.0891495
361;43.970005
362;45.0071945
363;46
364;46
365;46
366;46
367;46
368;46
369;46
370;46
371;46
372;46
373;46
374;46
375;46
376;46
377;46
378;46
379;46
380;46
381;46
382;41.0530472
383;42.4011726
384;33.5739937
385;31.7323189
386;33.9032021
387;44.3005409
388;46
389;46
390;46
391;46
392;46
393;46
394;46
395;46
396;46
397;46
398;46
399;46
400;46
401;46
402;46
403;46
404;46
405;46
406;23.2200432
407;29.0956802
408;40.3082886
409;38.7310677
410;41.514843
411;46
412;46
413;46
414;46
415;46
416;46
417;46
418;46
419;46
420;46
421;46
422;46
423;46
424;46
425;46
426;46
427;46
428;46
429;46
430;30.7193375
431;37.4169579
432;46
433;46
434;46
435;46
436;46
437;46
438;46
439;46
440;46
441;46
442;46
443;46
444;46
445;46
446;46
447;46
448;46
449;46
450;46
451;46
452;46
453;46
454;46
455;46
456;46
457;46
458;46
459;46
460;46
461;46
462;46
463;46
464;46
465;46
466;46
467;46
468;46
469;46
470;46
471;46
472;46
473;46
474;46
475;46
476;46
477;46
478;46
479;46
480;46
481;46
482;46
483;46
484;46
485;46
486;46
487;46
488;46
489;46
490;46
491;46
492;46
493;46
494;46
495;46
496;46
497;46
498;46
499;46
500;46
501;46
502;41.8348541
503;46
504;46
505;46
506;46
507;46
508;46
509;46
510;46
511;46
512;46
513;46
514;46
515;46
516;46
517;46
518;46
519;46
520;46
521;46
522;46
523;46
524;46
525;46
526;38.5311966
527;43.6047287
528;29.9345589
529;28.4483757
530;29.0624733
531;33.6221008
532;46
533;46
534;46
535;46
536;46
537;46
538;46
539;46
540;46
541;46
542;46
543;46
544;46
545;46
546;46
547;46
548;46
549;46
550;26.9788475
551;27.6161652
552;11.2683964
553;10.1891518
554;11.8949871
555;19.7884102
556;46
557;46
558;46
559;46
560;46
561;46
562;46
563;46
564;46
565;46
566;46
567;46
568;46
569;46
570;46
571;46
572;46
573;46
574;0
575;4.63903999
576;0
577;0
578;0
579;0
580;10.5547829
581;24.8883476
582;21.2339172
583;19.8271084
584;17.6120968
585;12.1306057
586;10.0560608
587;9.25453377
588;10.5280113
589;6.9688549
590;8.13268661
591;13.9874954
592;24.3250275
593;37.027771
594;43.7952309
595;43.339653
596;38.5247078
597;17.1278591
598;0
599;0
600;0
601;0
602;0
603;0
604;0
605;0
606;0
607;0
608;0
609;0
610;0
611;0
612;0
613;0
614;0
615;0
616;0
617;7.04210091
618;12.6722107
619;14.1265793
620;11.288084
621;0
622;0
623;0
624;0
625;0
626;0
627;0
628;0
629;0
630;0
