Index;Wert
0;26.4907379
1;25.6434288
2;26.6857796
3;31.5483665
4;54.9215927
5;70.5804062
6;66.5508423
7;65.0922165
8;67.5980911
9;66.6650925
10;67.4695206
11;67.9006653
12;64.89608
13;59.1388397
14;61.6344681
15;68.4031372
16;78.7985382
17;86.6166687
18;85.2351685
19;75.5299225
20;66.9820404
21;50.3646584
22;18.9867077
23;23.6503639
24;23.1764374
25;22.3023415
26;23.2196693
27;27.815712
28;50.1868057
29;65.0894318
30;60.8328781
31;59.5768814
32;57.3693695
33;52.4296074
34;51.3739319
35;51.1033096
36;52.7303925
37;49.1647873
38;50.4513779
39;55.4831924
40;65.6052094
41;78.2008438
42;84.6588669
43;83.6503372
44;78.4257355
45;55.9434204
46;19.9610882
47;19.9513245
48;0
49;0
50;0
51;2.07482529
52;30.7278481
53;49.7034378
54;43.9028358
55;41.6031456
56;38.7981949
57;32.2276497
58;30.3485031
59;30.0295258
60;32.141407
61;27.9134636
62;29.6574249
63;36.1556396
64;48.8871841
65;64.082428
66;71.3550873
67;69.4727631
68;63.3558426
69;36.9189529
70;0
71;0
72;2.22924328
73;1.01285267
74;2.27935219
75;8.70734787
76;40.2899551
77;61.2769928
78;54.4878845
79;51.4031906
80;48.1586685
81;40.6466255
82;38.7433701
83;38.4784813
84;40.8435822
85;36.3687897
86;38.3240509
87;45.4656105
88;59.1593628
89;75.4173584
90;82.9888916
91;80.2747574
92;73.5193481
93;45.0445366
94;0
95;0
96;21.1725044
97;20.535841
98;21.5699005
99;26.0208931
100;47.4585571
101;61.5102463
102;57.1507568
103;55.8028183
104;53.7056618
105;48.6931381
106;47.2681427
107;46.9465981
108;48.8571434
109;45.536953
110;46.826355
111;51.8171043
112;62.0792923
113;74.8254852
114;81.369606
115;80.2627182
116;75.2629471
117;53.4037209
118;18.6037083
119;18.4327717
120;21.2787304
121;20.508091
122;21.483036
123;25.9892235
124;47.6361542
125;61.9946747
126;57.807045
127;56.9140244
128;54.7141113
129;49.5671463
130;47.9148216
131;47.6029205
132;49.630352
133;46.4133873
134;48.010128
135;53.2239914
136;63.3383865
137;75.8335342
138;82.4245453
139;81.6973114
140;77.0211029
141;55.0613174
142;20.0512657
143;19.581028
144;18.1274776
145;17.1914425
146;18.0993614
147;22.3109169
148;42.4364967
149;57.035881
150;54.0836563
151;53.6485367
152;56.0159225
153;55.6669846
154;56.5711899
155;56.0690536
156;52.5181885
157;49.0176163
158;51.9578209
159;58.6721344
160;68.183876
161;76.1736755
162;75.0425491
163;65.7518082
164;54.7380981
165;37.5229111
166;9.98758125
167;14.2177868
168;0
169;0
170;0
171;2.50817966
172;17.5324955
173;27.4901085
174;25.6575699
175;25.7541161
176;29.1091309
177;30.6576157
178;32.4965973
179;32.9618454
180;29.6702309
181;24.9752426
182;26.8477783
183;32.0133286
184;39.5819244
185;44.2986908
186;42.035038
187;33.6786842
188;26.683403
189;15.4919395
190;0
191;0
192;20.5546894
193;19.6190891
194;20.4000854
195;24.8139725
196;46.3532906
197;60.8153534
198;56.85186
199;55.7022171
200;53.6376114
201;48.5900841
202;46.9811859
203;46.5717812
204;47.8605728
205;44.3980331
206;45.7055054
207;50.7090416
208;61.0582275
209;73.7179184
210;80.4239197
211;80.0067062
212;75.1971893
213;53.4621544
214;18.7721748
215;18.6381264
216;2.14260197
217;0.840363503
218;1.89362144
219;8.01819801
220;39.2683716
221;60.08992
222;53.2207375
223;50.5870667
224;47.1577835
225;39.7549858
226;37.8969994
227;37.5831528
228;39.8376732
229;35.2719536
230;37.4171677
231;44.6546898
232;58.4619293
233;74.7969818
234;82.4465866
235;79.6039047
236;72.8372879
237;44.2380791
238;0
239;0
240;3.2194252
241;1.81551838
242;3.14664555
243;10.0187206
244;43.2391815
245;65.4021072
246;58.4168854
247;55.4482727
248;52.3812561
249;44.8234978
250;43.0446892
251;42.8086205
252;44.6806145
253;39.2906685
254;40.8562546
255;48.1045265
256;62.3944778
257;79.1813278
258;86.7984238
259;83.7983551
260;76.9188309
261;47.6009903
262;0
263;0
264;17.2506561
265;16.748188
266;17.5901299
267;21.7309856
268;42.3001938
269;56.0936432
270;52.2441788
271;51.3044205
272;49.2646713
273;44.8092804
274;43.9123878
275;43.7892647
276;45.6157455
277;42.0977058
278;43.2388649
279;48.1902466
280;57.9127274
281;69.9550629
282;76.4786453
283;75.738884
284;70.9130402
285;49.6134262
286;16.0458794
287;15.8038998
288;23.6579132
289;22.7372055
290;23.6010628
291;28.1546555
292;50.4856796
293;65.4230423
294;61.3617554
295;60.0922089
296;57.9501877
297;52.9496002
298;51.9340096
299;51.8041725
300;53.3260689
301;49.9903412
302;51.3943443
303;56.6299362
304;66.8783951
305;79.6729279
306;86.3782959
307;85.3534851
308;80.3338852
309;58.0197601
310;22.2298927
311;22.4647751
312;16.4119282
313;15.7395744
314;16.6566143
315;20.8620167
316;40.683773
317;55.0178375
318;52.3971329
319;51.2837181
320;53.8523483
321;53.7207985
322;54.5492706
323;53.8763161
324;50.061718
325;46.3839035
326;48.7404556
327;55.060173
328;64.5570297
329;73.1363983
330;72.8223648
331;63.9507599
332;53.0806274
333;36.351387
334;9.70157051
335;13.6111031
336;40.428093
337;39.1251488
338;40.2058449
339;45.8771667
340;73.5965424
341;92.0990524
342;86.9326248
343;84.522728
344;86.455368
345;85.0908356
346;86.6057816
347;87.4530106
348;85.2512589
349;79.2284241
350;81.9000168
351;89.0675659
352;100.662735
353;109.810608
354;108.644974
355;98.142807
356;88.9858551
357;69.670929
358;32.8370476
359;38.3973389
360;45.0891495
361;43.970005
362;45.0071945
363;50.8534927
364;79.5103073
365;98.6564026
366;92.906105
367;90.4902344
368;87.4990616
369;80.844635
370;79.2598267
371;79.0283508
372;81.0261688
373;76.8513412
374;78.6578751
375;85.2072144
376;97.7623901
377;112.815392
378;120.011398
379;117.671486
380;111.430313
381;85.0576782
382;41.0530472
383;42.4011726
384;33.5739937
385;31.7323189
386;33.9032021
387;44.3005409
388;95.2635956
389;129.301346
390;117.600365
391;110.866966
392;105.559937
393;93.3651581
394;90.1693115
395;90.0708847
396;93.2797623
397;86.3272552
398;89.6278458
399;100.485001
400;121.186768
401;144.591965
402;154.265259
403;148.296616
404;137.35965
405;96.6366959
406;23.2200432
407;29.0956802
408;40.3082886
409;38.7310677
410;41.514843
411;52.7876091
412;107.098801
413;143.61763
414;131.087357
415;123.904175
416;118.482651
417;105.2705
418;101.099884
419;100.609093
