Index;Wert
0;63.9854279
1;63.9854279
2;63.9854279
3;63.9854279
4;64.419342
5;64.419342
6;64.419342
7;64.419342
8;63.9256821
9;63.9256821
10;63.9256821
11;63.9256821
12;61.6806984
13;61.6806984
14;61.6806984
15;61.6806984
16;55.0581131
17;55.0581131
18;55.0581131
19;55.0581131
20;55.0330048
21;55.0330048
22;55.0330048
23;55.0330048
24;55.0070648
25;55.0070648
26;55.0070648
27;55.0070648
28;54.9819565
29;54.9819565
30;54.9819565
31;54.9819565
32;54.9314804
33;54.9314804
34;54.9314804
35;54.9314804
36;55.0589523
37;55.0589523
38;55.0589523
39;55.0589523
40;55.04776
41;55.04776
42;55.04776
43;55.04776
44;55.1328659
45;55.1328659
46;55.1328659
47;55.1328659
48;55.0214844
49;55.0214844
50;55.0214844
51;55.0214844
52;55.0561218
53;55.0561218
54;55.0561218
55;55.0561218
56;55.0291977
57;55.0291977
58;55.0291977
59;55.0291977
60;55.1081924
61;55.1081924
62;55.1081924
63;55.1081924
64;55.0975418
65;55.0975418
66;55.0975418
67;55.0975418
68;55.0533752
69;55.0533752
70;55.0533752
71;55.0533752
72;55.0172424
73;55.0172424
74;55.0172424
75;55.0172424
76;55.0116272
77;55.0116272
78;55.0116272
79;55.0116272
80;55.0156403
81;55.0156403
82;55.0156403
83;55.0156403
84;55.0003815
85;55.0003815
86;55.0003815
87;55.0003815
88;67.3261108
89;67.3261108
90;67.3261108
91;67.3261108
92;65.1930389
93;65.1930389
94;65.1930389
95;65.1930389
96;65.4053726
97;65.4053726
98;65.4053726
99;65.4053726
100;65.7971954
101;65.7971954
102;65.7971954
103;65.7971954
104;65.3953247
105;65.3953247
106;65.3953247
107;65.3953247
108;63.3255234
109;63.3255234
110;63.3255234
111;63.3255234
112;55.0681915
113;55.0681915
114;55.0681915
115;55.0681915
116;55.080574
117;55.080574
118;55.080574
119;55.080574
120;55.0852356
121;55.0852356
122;55.0852356
123;55.0852356
124;55.0543671
125;55.0543671
126;55.0543671
127;55.0543671
128;55.0620422
129;55.0620422
130;55.0620422
131;55.0620422
132;55.0194855
133;55.0194855
134;55.0194855
135;55.0194855
136;54.9859238
137;54.9859238
138;54.9859238
139;54.9859238
140;55.0325012
141;55.0325012
142;55.0325012
143;55.0325012
144;55.07827
145;55.07827
146;55.07827
147;55.07827
148;55.1007538
149;55.1007538
150;55.1007538
151;55.1007538
152;55.1152039
153;55.1152039
154;55.1152039
155;55.1152039
156;55.1216278
157;55.1216278
158;55.1216278
159;55.1216278
160;55.1224289
161;55.1224289
162;55.1224289
163;55.1224289
164;55.1288528
165;55.1288528
166;55.1288528
167;55.1288528
168;55.1384888
169;55.1384888
170;55.1384888
171;55.1384888
172;55.1352768
173;55.1352768
174;55.1352768
175;55.1352768
176;55.1312561
177;55.1312561
178;55.1312561
179;55.1312561
180;55.1304626
181;55.1304626
182;55.1304626
183;55.1304626
184;67.020195
185;67.020195
186;67.020195
187;67.020195
188;67.0174255
189;67.0174255
190;67.0174255
191;67.0174255
192;72.3278809
193;72.3278809
194;72.3278809
195;72.3278809
196;71.1703033
197;71.1703033
198;71.1703033
199;71.1703033
200;72.3145599
201;72.3145599
202;72.3145599
203;72.3145599
204;76.0967407
205;76.0967407
206;76.0967407
207;76.0967407
208;62.0463257
209;62.0463257
210;62.0463257
211;62.0463257
212;55.0879059
213;55.0879059
214;55.0879059
215;55.0879059
216;56.0300484
217;56.0300484
218;56.0300484
219;56.0300484
220;57.0694695
221;57.0694695
222;57.0694695
223;57.0694695
224;58.3419647
225;58.3419647
226;58.3419647
227;58.3419647
228;61.3696671
229;61.3696671
230;61.3696671
231;61.3696671
232;62.2262878
233;62.2262878
234;62.2262878
235;62.2262878
236;62.3171768
237;62.3171768
238;62.3171768
239;62.3171768
240;61.3713417
241;61.3713417
242;61.3713417
243;61.3713417
244;63.3082123
245;63.3082123
246;63.3082123
247;63.3082123
248;62.5139771
249;62.5139771
250;62.5139771
251;62.5139771
252;59.5069733
253;59.5069733
254;59.5069733
255;59.5069733
256;55.1278839
257;55.1278839
258;55.1278839
259;55.1278839
260;55.095932
261;55.095932
262;55.095932
263;55.095932
264;55.0622101
