Groesse;Wert
Lauf.ID_Projekt;1011
Sim.Restwaerme;4597.58789
Sim.Reststrom;702.412598
Sim.bSimulationWP;True
Sim.bSimulationKessel;False
Sim.bSimulationSolarthermie;True
Sim.bSimulationBHKW;False
Sim.bSimulationPV;True
Sim.bSimulationSSP;True
Sim.PufferWP_vorhanden;False
Sim.Speicher_Anzahl;0
Ergebnis.ID_Projekt;1011
Ergebnis.Bezeichner;Simulation test1
Ergebnis.ID_Klimaregion;1011001
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;False
Ergebnis.Sim_Solarthermie;True
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;True
Ergebnis.Sim_Stromspeicher;True
Energiebedarf.Waermebedarf_Gesamt;4740.25
Energiebedarf.Waermelast_Max;1107.11
Energiebedarf.Strombedarf_Gesamt;672
Energiebedarf.Strombedarf_Max;318.69
Energiebedarf.Waermerestbedarf;4597.59
Energiebedarf.Stromrestbedarf;702.41
Waermepumpe.Waermebedarf;4739.74
Waermepumpe.Restwaermebedarf;4597.58
Waermepumpe.Waermeproduktion_WP;142.15
Waermepumpe.Stromverbrauch_WP;48.4
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;0
Waermepumpe.Min_Spitzenkesselleistung;1084.68
Waermepumpe.Waermebedarfsdeckung;3
Waermepumpe.Vollbenutzungsstunden;4488.45
Waermepumpe.Bivalenzpunkt;31.96
WaermepumpeModul[0].Modul;CS6800iAW MB + AW 12 OR-T
WaermepumpeModul[0].Leistung;12
WaermepumpeModul[0].Waermeproduktion;63.31
WaermepumpeModul[0].Stromverbrauch;23.56
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;4859.35
WaermepumpeModul[1].Modul;CS6800iAW MB + AW 12 OR-T
WaermepumpeModul[1].Leistung;12
WaermepumpeModul[1].Waermeproduktion;56.03
WaermepumpeModul[1].Stromverbrauch;20.55
WaermepumpeModul[1].Heizstab;0
WaermepumpeModul[1].Betriebsstunden;4303
WaermepumpeModul[2].Modul;CS3400i AWS 10 E + CS3400i AWS 4 OR-S
WaermepumpeModul[2].Leistung;3
WaermepumpeModul[2].Waermeproduktion;22.81
WaermepumpeModul[2].Stromverbrauch;4.29
WaermepumpeModul[2].Heizstab;0
WaermepumpeModul[2].Betriebsstunden;4303
Solarthermie.Waermebedarf;4740.25
Solarthermie.Restwaermebedarf;4739.74
Solarthermie.Waermeproduktion;0.52
Solarthermie.Waermebedarfsdeckung;0.01
Solarthermie.Ueberschuss;0.13
SolarthermieModul[0].Modul;test
SolarthermieModul[0].Flaeche;0.8
SolarthermieModul[0].Anzahl;1
SolarthermieModul[0].Waermeproduktion;0.29
SolarthermieModul[0].Ueberschuss;0.03
SolarthermieModul[1].Modul;test
SolarthermieModul[1].Flaeche;0.8
SolarthermieModul[1].Anzahl;1
SolarthermieModul[1].Waermeproduktion;0.23
SolarthermieModul[1].Ueberschuss;0.1
Photovoltaik.Strombedarf;720.4
Photovoltaik.Reststrombedarf;702.41
Photovoltaik.Stromproduktion;17.99
Photovoltaik.Strombedarfsdeckung;2.5
Photovoltaik.Ueberschuss;0
Photovoltaik.MaxSolareLeistung;937.58
PhotovoltaikModul[0].Modul;Jinkosolar JKM 260P-60
PhotovoltaikModul[0].Flaeche;49.1
PhotovoltaikModul[0].Anzahl;30
PhotovoltaikModul[0].Stromproduktion;8.99
PhotovoltaikModul[1].Modul;Jinkosolar JKM 260P-60
PhotovoltaikModul[1].Flaeche;49.1
PhotovoltaikModul[1].Anzahl;30
PhotovoltaikModul[1].Stromproduktion;8.99
Vektor.waermebedarf.Summe;4740253.75
Vektor.waermebedarf_gebaeude.Summe;11500057.1
Vektor.waermebedarf_brauchwasser.Summe;4059.70056
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;4724694
Vektor.waermebedarf_dauerlinie.Summe;428163.956
Vektor.stundentemperatur.Summe;86502.49
Vektor.restwaerme.Summe;4597584.43
Vektor.strombedarf_viertelstunde.Summe;2688001.17
Vektor.reststrom_viertelstunde.Summe;2809650.5
Vektor.wp_waermebedarf.Summe;4739737.95
Vektor.wp_produktion.Summe;142153.531
Vektor.wp_strom.Summe;48398.9608
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;4597584.43
Vektor.wp_quellentemperatur.Summe;86502.49
Vektor.wp_warmwasserbedarf.Summe;4059.70056
Vektor.solar_waermebedarf.Summe;4740253.75
Vektor.solar_produktion.Summe;515.812692
Vektor.solar_restwaerme.Summe;4739737.94
Vektor.solar_ueberschuss.Summe;127.764032
Vektor.pv_produktion.Summe;17986.6289
Vektor.pv_produktion_theoretisch.Summe;17986.6289
Vektor.pv_ueberschuss.Summe;0
Vektor.pv_reststrom.Summe;702412.626
Vektor.pv_speicherfuellstand.Summe;0
Vektor.pv_strombedarf.Summe;720399.254
Vektor.ssp_gespeichert_viertelstunde.Summe;0
