Index;Wert
0;36.4907379
1;35.6434288
2;36.6857796
3;41.5483665
4;46
5;46
6;46
7;46
8;46
9;46
10;46
11;46
12;46
13;46
14;46
15;46
16;46
17;46
18;46
19;46
20;46
21;46
22;28.9867077
23;33.6503639
24;33.1764374
25;32.3023415
26;33.2196693
27;37.815712
28;46
29;46
30;46
31;46
32;46
33;46
34;46
35;46
36;46
37;46
38;46
39;46
40;46
41;46
42;46
43;46
44;46
45;46
46;29.9610882
47;29.9513245
48;6.20946407
49;5.05510044
50;6.20578051
51;12.0748253
52;40.7278481
53;46
54;46
55;46
56;46
57;42.2276497
58;40.3485031
59;40.0295258
60;42.141407
61;37.9134636
62;39.6574249
63;46
64;46
65;46
66;46
67;46
68;46
69;46
70;0
71;0
72;12.2292433
73;11.0128527
74;12.2793522
75;18.7073479
76;46
77;46
78;46
79;46
80;46
81;46
82;46
83;46
84;46
85;46
86;46
87;46
88;46
89;46
90;46
91;46
92;46
93;46
94;6.7925148
95;8.84412384
96;31.1725044
97;30.535841
98;31.5699005
99;36.0208931
100;46
101;46
102;46
103;46
104;46
105;46
106;46
107;46
108;46
109;46
110;46
111;46
112;46
113;46
114;46
115;46
116;46
117;46
118;28.6037083
119;28.4327717
120;31.2787304
121;30.508091
122;31.483036
123;35.9892235
124;46
125;46
126;46
127;46
128;46
129;46
130;46
131;46
132;46
133;46
134;46
135;46
136;46
137;46
138;46
139;46
140;46
141;46
142;30.0512657
143;29.581028
144;28.1274776
145;27.1914425
146;28.0993614
147;32.3109169
148;46
149;46
150;46
151;46
152;46
153;46
154;46
155;46
156;46
157;46
158;46
159;46
160;46
161;46
162;46
163;46
164;46
165;46
166;19.9875813
167;24.2177868
168;9.60032177
169;8.9296093
170;9.42704773
171;12.5081797
172;27.5324955
173;37.4901085
174;35.6575699
175;35.7541161
176;39.1091309
177;40.6576157
178;42.4965973
179;42.9618454
180;39.6702309
181;34.9752426
182;36.8477783
183;42.0133286
184;46
185;46
186;46
187;43.6786842
188;36.683403
189;25.4919395
190;5.20784378
191;8.50189495
192;30.5546894
193;29.6190891
194;30.4000854
195;34.8139725
196;46
197;46
198;46
199;46
200;46
201;46
202;46
203;46
204;46
205;46
206;46
207;46
208;46
209;46
210;46
211;46
212;46
213;46
214;28.7721748
215;28.6381264
216;12.142602
217;10.8403635
218;11.8936214
219;18.018198
220;46
221;46
222;46
223;46
224;46
225;46
226;46
227;46
228;46
229;45.2719536
230;46
231;46
232;46
233;46
234;46
235;46
236;46
237;46
238;5.82839441
239;7.63756657
240;13.2194252
241;11.8155184
242;13.1466455
243;20.0187206
244;46
245;46
246;46
247;46
248;46
249;46
250;46
251;46
252;46
253;46
254;46
255;46
256;46
257;46
258;46
259;46
260;46
261;46
262;7.59857464
263;9.80695915
264;27.2506561
265;26.748188
266;27.5901299
267;31.7309856
268;46
269;46
270;46
271;46
272;46
273;46
274;46
275;46
276;46
277;46
278;46
279;46
280;46
281;46
282;46
283;46
284;46
285;46
286;26.0458794
287;25.8038998
288;33.6579132
289;32.7372055
290;33.6010628
291;38.1546555
292;46
293;46
294;46
295;46
296;46
297;46
298;46
299;46
300;46
301;46
302;46
303;46
304;46
305;46
306;46
307;46
308;46
309;46
310;32.2298927
311;32.4647751
312;26.4119282
313;25.7395744
314;26.6566143
315;30.8620167
316;46
317;46
318;46
319;46
320;46
321;46
322;46
323;46
324;46
325;46
326;46
327;46
328;46
329;46
330;46
331;46
332;46
333;46
334;19.7015705
335;23.6111031
336;46
337;46
338;46
339;46
340;46
341;46
342;46
343;46
344;46
345;46
346;46
347;46
348;46
349;46
350;46
351;46
352;46
353;46
354;46
355;46
356;46
357;46
358;42.8370476
359;46
360;46
361;46
362;46
363;46
364;46
365;46
366;46
367;46
368;46
369;46
370;46
371;46
372;46
373;46
374;46
375;46
376;46
377;46
378;46
379;46
380;46
381;46
382;46
383;46
384;43.5739937
385;41.7323189
386;43.9032021
387;46
388;46
389;46
390;46
391;46
392;46
393;46
394;46
395;46
396;46
397;46
398;46
399;46
400;46
401;46
402;46
403;46
404;46
405;46
406;33.2200432
407;39.0956802
408;46
409;46
410;46
411;46
412;46
413;46
414;46
415;46
416;46
417;46
418;46
419;46
420;46
421;46
422;46
423;46
424;46
425;46
426;46
427;46
428;46
429;46
430;40.7193375
431;46
432;46
433;46
434;46
435;46
436;46
437;46
438;46
439;46
440;46
441;46
442;46
443;46
444;46
445;46
446;46
447;46
448;46
449;46
450;46
451;46
452;46
453;46
454;46
455;46
456;46
457;46
458;46
459;46
460;46
461;46
462;46
463;46
464;46
465;46
466;46
467;46
468;46
469;46
470;46
471;46
472;46
473;46
474;46
475;46
476;46
477;46
478;46
479;46
480;46
481;46
482;46
483;46
484;46
485;46
486;46
487;46
488;46
489;46
490;46
