Index;Wert
0;1099.62524
1;1099.40588
2;1099.40186
3;1099.39929
4;1099.38599
5;1099.6012
6;1101.43152
7;1102.60645
8;1103.4823
9;1103.49951
10;1103.01245
11;1102.16333
12;1101.88245
13;1101.47534
14;1101.0769
15;1100.87756
16;1100.85107
17;1101.29321
18;1103.09351
19;1103.84937
20;1103.78088
21;1103.40173
22;1102.44824
23;1100.29529
24;1099.52686
25;1099.47925
26;1099.56384
27;1099.71851
28;1099.66833
29;1099.60742
30;1101.5011
31;1102.67139
32;1103.18665
33;1103.72705
34;1102.66113
35;1101.97546
36;1101.87134
37;1101.31018
38;1101.18713
39;1100.95862
40;1100.85156
41;1101.51062
42;1103.66296
43;1104.10913
44;1103.67969
45;1103.44177
46;1101.99438
47;1100.61206
48;1099.76831
49;1099.20129
50;1099.19727
51;1099.1947
52;1099.2052
53;1099.3595
54;1101.07422
55;1102.30774
56;1102.59338
57;1102.64233
58;1102.18152
59;1101.43335
60;1101.3822
61;1101.18713
62;1100.82751
63;1100.57898
64;1100.58228
65;1101.05029
66;1102.94287
67;1102.77991
68;1102.36011
69;1102.30127
70;1101.2572
71;1100.65723
72;1099.92627
73;1099.56714
74;1099.41211
75;1099.30505
76;1099.31299
77;1099.49731
78;1101.19788
79;1102.26562
80;1102.56067
81;1102.88708
82;1102.51831
83;1101.68298
84;1101.50488
85;1101.51099
86;1101.81348
87;1101.14783
88;1101.59167
89;1101.38904
90;1102.39233
91;1103.04333
92;1103.43933
93;1102.64526
94;1102.51367
95;1100.27234
96;1099.63586
97;1099.38501
98;1099.35986
99;1099.3678
100;1099.37439
101;1.5754602
102;3.66003823
103;4.77792692
104;5.04860735
105;5.24119711
106;5.22712183
107;4.61407185
108;4.0983448
109;3.50475311
110;3.35303068
111;3.05775571
112;2.80886316
113;3.56515241
114;5.56662273
115;5.45543098
116;5.84787607
117;5.22942638
118;4.6723938
119;3.19146228
120;2.37631917
121;1.5277437
122;1.5052731
123;1.50791681
124;1.51056159
125;1.71423054
126;3.80407405
127;4.88494492
128;5.20717096
129;5.12257719
130;4.72189808
131;4.40915966
132;4.5781126
133;3.34769583
134;3.16504645
135;3.50845218
136;2.9515872
137;3.5571897
138;4.98235321
139;5.67346954
140;5.40239048
141;5.23228502
142;3.96653605
143;2.32436919
144;2.24238324
145;1.59207451
146;1.54168689
147;1.493222
148;1.44139194
149;1.63705409
150;3.36538815
151;4.29653788
152;4.76685524
153;4.75744772
154;4.34011698
155;4.05760622
156;4.26636744
157;4.29144144
158;3.98517847
159;2.84799051
160;2.69952536
161;3.59840679
162;5.03629971
163;5.45098639
