Index;Wert
0;100
1;100
2;96.381218
3;96.381218
4;96.3170395
5;96.3170395
6;93.5794067
7;93.5794067
8;93.5794067
9;92.1205368
10;92.1205368
11;92.1205368
12;89.6579437
13;89.6579437
14;87.5
15;87.5
16;87.5
17;85.6688309
18;85.6688309
19;84.5905151
20;84.5905151
21;84.3335648
22;84.3335648
23;84.3335648
24;84.2774124
25;84.2774124
26;84.2774124
27;83.7552261
28;83.7552261
29;83.7552261
30;82.8194885
31;82.8194885
32;82.8194885
33;82.7191238
34;82.7191238
35;82.7191238
36;82.1897507
37;82.1897507
38;82.1539536
39;82.1539536
40;82.1539536
41;81.8874435
42;81.8874435
43;81.8874435
44;81.2635956
45;81.2635956
46;80.9824295
47;80.9824295
48;78.8305664
49;78.8305664
50;78.8305664
51;78.5982056
52;78.5982056
53;78.5982056
54;78.4506989
55;78.4506989
56;78.4506989
57;78.0676498
58;78.0676498
59;77.9828415
60;77.9828415
61;77.9828415
62;77.9828415
63;77.9828415
64;77.0739594
65;77.0739594
66;76.7671127
67;76.7671127
68;76.7671127
69;76.7671127
70;76.7671127
71;76.4445953
72;76.4445953
73;76.1770477
74;76.1770477
75;75.9178619
76;75.8258591
77;75
78;75
79;75
80;75
81;74.9602203
82;74.9602203
83;74.9602203
84;74.0167007
85;74.0167007
86;74.0167007
87;73.793045
88;73.793045
89;73.793045
90;73.7843552
91;73.7843552
92;73.7843552
93;73.199379
94;73.199379
95;73.199379
96;72.4328461
97;72.4328461
98;72.4328461
99;72.2859116
100;72.2859116
101;72.2859116
102;72.2859116
103;72.2377777
104;72.2377777
105;72.2377777
106;72.2377777
107;72.0295563
108;72.0295563
109;71.9160309
110;71.9160309
111;71.9160309
112;71.7901917
113;71.7901917
114;71.7901917
115;71.7901917
116;71.7901917
117;71.1056442
118;71.1056442
119;71.1056442
120;70.94664
121;70.94664
122;70.8596268
123;70.8596268
124;70.8596268
125;70.8058929
126;70.8058929
127;70.8058929
128;70.0384445
129;70.0384445
130;70.0384445
131;69.7925034
132;69.7925034
133;69.7925034
134;69.7142487
135;69.7142487
136;69.7142487
137;69.016243
138;69.016243
139;69.016243
140;69.016243
141;68.9326019
142;68.9326019
143;68.9326019
144;68.9326019
145;68.4616318
146;68.4616318
147;68.4616318
148;68.4616318
149;68.4616318
150;68.39534
151;68.39534
152;68.39534
153;68.3091888
154;68.3091888
155;68.3091888
156;68.2395401
157;68.2395401
158;68.2395401
159;68.2395401
160;68.2395401
161;68.0244598
162;68.0244598
163;68.0244598
164;67.9646683
165;67.9646683
166;67.739563
167;67.739563
168;67.739563
169;67.7056503
170;67.7056503
171;67.7056503
172;67.5690536
173;67.5690536
174;67.5690536
175;67.5690536
176;67.5690536
177;67.4397125
178;67.4397125
179;67.4397125
180;67.3698883
181;67.3698883
182;67.3698883
183;67.3698883
184;67.3698883
185;67.2434616
186;67.2434616
187;67.2434616
188;67.2434616
189;67.2114029
190;67.2114029
191;67.2114029
192;66.8890228
193;66.8890228
194;66.8890228
195;66.8565369
196;66.8565369
197;66.6549149
198;66.6549149
199;66.6549149
200;66.068161
201;66.068161
202;66.068161
203;65.1919022
204;65.1919022
205;64.771637
206;64.771637
207;64.771637
208;64.6751709
209;64.6751709
210;64.6751709
211;64.5981293
212;64.5981293
213;64.5981293
214;64.3143311
215;64.3143311
216;64.2516251
217;64.2516251
218;64.2516251
219;64.2516251
220;63.4797478
221;63.4797478
222;63.4797478
223;63.4428825
224;63.4428825
225;63.4428825
226;63.4428825
227;63.2511787
228;63.2511787
229;63.2511787
230;63.2511787
231;63.2511787
232;63.2437248
233;63.2437248
234;63.2437248
235;63.2437248
236;63.2437248
237;63.0258636
238;63.0258636
239;63.0258636
240;62.8724632
241;62.8724632
242;62.5548134
243;62.5548134
244;62.5548134
245;62.4999962
246;62.4999962
247;62.3862762
248;62.3862762
249;62.1146202
250;62.0783157
251;62.0783157
252;62.0783157
253;62.0393448
254;61.8815689
255;61.8815689
256;61.6423187
257;61.6423187
258;61.6423187
259;61.6423187
260;61.6104546
261;61.4136887
262;61.4136887
263;61.2714424
264;61.2714424
265;60.9994812
266;60.9994812
267;60.9994812
268;60.9994812
269;60.9994812
270;60.9817314
271;60.9817314
272;60.9817314
273;60.9476929
274;60.9476929
275;60.9476929
276;60.9476929
277;60.835289
278;60.835289
279;60.835289
280;60.736824
281;60.736824
282;60.736824
283;60.736824
284;60.3607101
285;60.3607101
286;60.3607101
287;60.3607101
288;60.3607101
289;60.2382584
290;60.2382584
291;60.1981468
292;60.1981468
293;59.9112854
294;59.9112854
295;59.825161
296;59.825161
297;59.825161
298;59.825161
299;59.7791138
300;59.7791138
301;59.7791138
302;59.7736282
303;59.7736282
304;59.7736282
305;59.4983635
306;59.4983635
307;59.4690819
308;59.4690819
309;59.4690819
310;59.382637
311;59.382637
312;59.0049133
313;59.0049133
314;59.0049133
315;59.0049133
316;59.0049133
317;58.5507355
318;58.5507355
319;58.5507355
320;58.5507355
321;58.5153542
322;58.5153542
323;58.5153542
324;58.4994736
325;58.4994736
326;58.4994736
327;58.3653717
328;58.3653717
329;58.3653717
330;58.3653717
331;58.3653717
332;58.2502899
333;58.2502899
334;58.2502899
335;58.1604233
336;58.1604233
337;58.1604233
338;58.1604233
339;58.1604233
340;58.1250534
341;58.1250534
342;58.1250534
343;58.0952034
344;58.0952034
345;58.0952034
346;58.0952034
347;58.0952034
348;57.8054657
349;57.8054657
350;57.8054657
351;57.8054657
352;57.5814323
353;57.5814323
354;57.5814323
355;57.3334503
356;57.3334503
357;57.3334503
358;57.3334503
359;57.2158813
360;57.2158813
361;57.2158813
362;57.1327896
363;57.1327896
364;57.1327896
365;57.1327896
366;57.0429153
367;57.0429153
368;57.0429153
369;56.9961243
370;56.9961243
371;56.9961243
372;56.9961243
373;56.9961243
374;56.8453407
375;56.8453407
376;56.8453407
377;56.690773
378;56.690773
379;56.690773
380;56.6870461
381;56.6870461
382;56.6870461
383;56.6870461
384;56.6870461
385;56.4721794
386;56.4721794
387;56.4721794
388;56.4496422
389;56.4496422
390;56.4496422
391;56.4496422
392;56.4496422
393;56.4213791
394;56.4213791
395;56.4213791
396;56.4213791
397;56.4213791
398;56.3075447
399;56.3075447
400;56.3075447
401;56.3075447
402;56.2763786
403;56.2763786
404;56.2763786
405;56.2750359
406;56.2750359
407;56.2750359
408;56.141571
409;56.141571
410;56.141571
411;56.141571
412;56.0362129
413;56.0362129
414;56.00951
415;56.00951
416;56.00951
417;56.00951
418;55.5185471
419;55.5185471
420;55.5185471
421;55.5185471
422;55.5185471
423;55.2129974
424;55.2129974
425;55.2129974
