Index;Wert
0;72.6195374
1;71.6642303
2;72.571579
3;77.2961655
4;100.531395
5;116.052208
6;111.880043
7;110.283417
8;112.574814
9;112.279495
10;114.239723
11;115.158463
12;112.656624
13;107.084419
14;109.436127
15;115.788361
16;125.853935
17;133.419067
18;131.830566
19;122.093124
20;113.568237
21;96.8634567
22;65.4487076
23;70.0893631
24;69.5924377
25;68.6769409
26;69.5464706
27;74.0741119
28;96.3408051
29;111.21463
30;106.947281
31;105.763283
32;103.537773
33;98.6988068
34;97.7899323
35;97.7861099
36;99.6753922
37;96.2385864
38;97.6079788
39;102.67659
40;112.803207
41;125.435646
42;131.948868
43;130.921936
44;125.674332
45;103.187424
46;67.2188873
47;67.1677246
48;43.3844643
49;42.2117004
50;43.3255806
51;49.1256256
52;77.6498489
53;96.7036362
54;90.8156357
55;88.4561462
56;85.6051941
57;79.1956482
58;77.8206635
59;77.8157654
60;80.0253067
61;75.8333435
62;77.5875854
63;83.8699188
64;96.2103043
65;111.128632
66;118.208084
67;116.049767
68;109.74884
69;83.2601547
70;39.0797348
71;40.2783508
72;48.253643
73;46.9492531
74;48.1881523
75;54.6391487
76;86.3647537
77;107.556992
78;100.839882
79;97.8789902
80;94.7080688
81;87.4950256
82;85.8815689
83;85.8761215
84;88.2495041
85;83.6712112
86;85.6223297
87;92.5256119
88;105.998566
89;122.086357
90;129.45549
91;126.718361
92;119.878548
93;91.3425369
94;42.9609146
95;44.7989235
96;66.9295044
97;66.0490417
98;66.8852997
99;71.2396927
100;92.6543579
101;106.959045
102;102.912354
103;101.88842
104;99.7480621
105;95.1229401
106;94.2775421
107;94.2738571
108;96.119545
109;92.785553
110;94.1025543
111;99.0059052
112;108.831093
113;121.152283
114;127.588409
115;126.715515
116;121.611343
117;99.6693192
118;64.8189087
119;64.5975723
120;67.3535309
121;66.4674911
122;67.3090363
123;71.6910248
124;93.2413559
125;107.636673
126;103.554848
127;102.505424
128;100.351509
129;95.6923447
130;94.8368225
131;94.8331223
132;96.6857529
133;93.3353882
134;94.6607285
135;99.5903931
136;109.463585
137;121.834335
138;128.282745
139;127.385315
140;122.258301
141;100.229515
142;65.2010651
143;65.0068283
144;63.461277
145;62.626442
146;63.4193611
147;67.5481186
148;87.853096
149;102.512283
150;99.4450531
151;98.9179382
152;101.271523
153;101.653984
154;103.428787
155;103.425293
156;100.081429
157;96.5353165
158;98.8798218
159;105.009735
160;114.384674
161;122.897873
162;122.543686
163;113.393707
164;102.305481
165;84.9371109
166;57.1947823
167;61.2501869
168;46.4395218
169;45.8286095
170;46.4088478
171;49.4301796
172;64.2888947
173;74.2143097
174;72.2115707
175;72.1885147
176;75.317131
177;77.1242142
178;79.7083969
179;80.6285858
180;77.6980515
181;73.1367035
182;74.973259
183;79.7007675
184;86.8029251
185;91.3080902
186;88.9616394
187;80.7386856
188;73.6238022
189;62.2759399
190;41.8538437
191;44.8214951
192;66.9246902
193;66.0442886
194;66.8804855
195;71.2345734
196;92.6476898
197;106.951355
198;102.90506
199;101.881416
200;99.7412109
201;95.1164856
202;94.2711868
203;94.2675018
204;96.1131134
205;92.7793121
206;94.0962067
207;98.9992599
208;108.823906
209;121.144539
210;127.580521
211;126.707909
212;121.603989
213;99.6629562
214;64.8145752
215;64.592926
216;48.174202
217;46.8719635
218;48.1088219
219;54.5491982
220;86.2225723
221;107.379921
222;100.676338
223;97.7252655
224;94.5595627
225;87.3596268
226;85.750061
227;85.7446136
228;88.1153336
229;83.543335
230;85.4912491
231;92.3843918
232;105.838867
233;121.907585
234;129.271988
235;126.544304
236;119.713287
237;91.2106781
238;42.8975945
239;44.7251663
240;50.2334251
241;48.8755188
242;50.1652451
243;56.8809204
244;89.9081802
245;111.96991
246;104.915688
247;101.710274
248;98.409256
249;90.8694992
250;89.1590881
251;89.1534195
252;91.5934143
253;86.8580475
254;88.8892136
255;96.0449677
256;109.978416
257;126.54171
258;134.028625
259;131.056152
260;123.997231
261;94.6287918
262;44.5389748
263;46.6369591
264;64.0714569
265;63.2285881
266;64.029129
267;68.1975861
268;88.6977921
269;102.39164
270;98.5817795
271;97.7296219
272;95.6806717
273;91.28508
274;90.5077896
275;90.5042648
276;92.3031464
277;89.0795059
278;90.3402634
279;95.066246
280;104.567924
281;116.555061
282;122.908447
283;122.200882
284;117.250641
285;95.893425
286;62.2430801
287;61.8390999
288;69.7147141
289;68.7976074
290;69.668663
291;74.2042542
292;96.5100784
293;111.410042
294;107.132553
295;105.941208
296;103.711784
297;98.862999
298;97.95121
299;97.9473724
300;99.8386688
301;96.3971405
302;97.7689438
303;102.845139
304;112.985596
305;125.632324
306;132.149094
307;131.115082
308;125.860886
309;103.348961
310;67.3290939
311;67.2857361
312;61.0346489
313;60.2317352
314;60.9943352
315;64.9652176
316;84.4937744
317;98.6343155
318;95.7681732
319;95.3869171
320;97.8181076
321;98.3954391
322;100.228073
323;100.224716
324;96.8411179
325;93.3887024
326;95.6854553
327;101.664772
328;110.76503
329;118.994598
330;118.570168
331;109.560562
332;98.6030273
333;81.7311859
334;55.0077705
335;58.9081039
336;85.7572937
337;84.6291504
338;85.7006454
339;91.2799683
340;118.718742
341;137.047455
342;131.786621
343;129.40033
344;131.271606
345;129.921234
346;131.568344
347;132.486374
348;130.199661
349;124.120186
350;126.730415
351;133.897964
352;145.450653
353;154.551331
354;153.343216
355;142.845764
356;133.613297
357;114.220291
358;77.2891693
359;82.7693787
360;89.4211502
361;88.2448044
362;89.3620758
363;95.1797714
364;123.790825
365;142.902603
366;136.992142
367;134.616318
368;131.756699
369;125.325356
370;123.943909
371;123.938988
372;126.152969
373;121.950539
374;123.710114
375;130.009293
376;142.380386
377;157.330429
378;164.417755
379;162.243729
380;155.928192
381;129.383957
382;85.0896072
383;86.3055725
384;77.3839951
385;75.29216
386;77.2789612
387;87.624382
388;138.502472
389;172.488312
390;160.810928
391;154.252167
392;149.166977
393;137.146835
394;134.10675
395;134.098007
396;137.451599
397;130.562012
398;133.69101
399;144.309158
400;164.5578
401;187.642044
402;196.744217
403;190.544296
404;180.48053
405;139.696213
406;66.1804428
407;71.8436813
408;82.7919693
409;80.5539474
410;82.6796036
411;93.7480087
412;148.181717
413;184.542664
414;171.944397
415;164.717697
416;159.27713
417;146.364578
418;143.059647
419;143.050293
420;146.585861
421;139.267181
422;142.614853
423;153.922653
424;175.429169
425;199.812286
426;209.236206
427;202.393417
428;191.731171
429;148.672958
430;70.4910965
431;76.8644791
432;108.881119
433;107.448776
434;108.809196
435;115.892944
436;150.730377
437;174.001297
438;166.478256
439;162.932785
440;159.450851
441;151.456757
442;149.611511
443;149.605515
444;152.138168
445;147.184326
446;149.326828
447;156.833694
448;171.407532
449;188.632095
450;196.282806
451;192.983063
452;185.619415
453;155.093338
454;102.627998
455;105.087524
456;103.526451
457;102.164558
458;103.458069
459;110.193443
460;143.317612
461;165.444077
462;158.364777
463;155.141144
464;151.830444
465;144.266357
466;142.548737
467;142.54303
468;144.988007
469;140.240921
470;142.278046
471;149.452621
472;163.420349
473;180.019043
474;187.514725
475;184.524734
476;177.449493
477;148.019073
478;97.8020859
479;99.9194183
480;92.7555466
481;91.5353394
482;92.6942825
483;98.7289047
484;128.40683
485;149.327011
486;143.832291
487;141.544434
488;142.961212
489;140.991165
490;142.06778
491;142.062683
492;139.198502
493;134.521286
494;137.44223
495;145.390137
496;158.081009
497;170.018143
498;170.5121
499;159.66748
500;147.001495
501;123.638985
502;83.5963745
503;89.5237961
504;91.44664
505;90.2436447
506;91.3862381
507;97.335701
