Index;Wert
0;16.6588154
1;16.2720013
2;16.7478561
3;18.9677334
4;21
5;21
6;21
7;21
8;21
9;21
10;21
11;21
12;21
13;21
14;21
15;21
16;21
17;21
18;21
19;21
20;21
21;21
22;13.2330627
23;15.3621225
24;15.1457644
25;14.7467203
26;15.1655006
27;17.2636948
28;21
29;21
30;21
31;21
32;21
33;21
34;21
35;21
36;21
37;21
38;21
39;21
40;21
41;21
42;21
43;21
44;21
45;21
46;13.6778889
47;13.6734314
48;2.83475542
49;2.3077631
50;2.83307385
51;5.51242018
52;18.5931492
53;21
54;21
55;21
56;21
57;19.2778416
58;18.4199677
59;18.2743492
60;19.2384682
61;17.308321
62;18.1044769
63;21
64;21
65;21
66;21
67;21
68;21
69;21
70;0
71;0
72;5.58291531
73;5.02760649
74;5.60579109
75;8.54031086
76;21
77;21
78;21
79;21
80;21
81;21
82;21
83;21
84;21
85;21
86;21
87;21
88;21
89;21
90;21
91;21
92;21
93;21
94;3.10093069
95;4.03753471
96;14.2309265
97;13.9402752
98;14.4123459
99;16.4443207
100;21
101;21
102;21
103;21
104;21
105;21
106;21
107;21
108;21
109;21
110;21
111;21
112;21
113;21
114;21
115;21
116;21
117;21
118;13.0582142
119;12.9801788
120;14.2794209
121;13.9276075
122;14.3726912
123;16.429863
124;21
125;21
126;21
127;21
128;21
129;21
130;21
131;21
132;21
133;21
134;21
135;21
136;21
137;21
138;21
139;21
140;21
141;21
142;13.7190552
143;13.5043821
144;12.8408051
145;12.4134846
146;12.8279696
147;14.7506361
148;21
149;21
150;21
151;21
152;21
153;21
154;21
155;21
156;21
157;21
158;21
159;21
160;21
161;21
162;21
163;21
164;21
165;21
166;9.1247654
167;11.0559464
168;4.38275576
169;4.07656097
170;4.30365229
171;5.7102561
172;12.5691824
173;17.1150494
174;16.2784557
175;16.3225307
176;17.8541679
177;18.5610847
178;19.4006214
179;19.6130161
180;18.110323
181;15.966958
182;16.8218117
183;19.1799984
184;21
185;21
186;21
187;19.9402695
188;16.7467709
189;11.6376238
190;2.37749386
191;3.88129973
192;13.9488802
193;13.5217581
194;13.8783007
195;15.8933353
196;21
197;21
198;21
199;21
200;21
201;21
202;21
203;21
204;21
205;21
206;21
207;21
208;21
209;21
210;21
211;21
212;21
213;21
214;13.1351242
215;13.0739269
216;5.54336166
217;4.9488616
218;5.42969704
219;8.22569942
220;21
221;21
222;21
223;21
224;21
225;21
226;21
227;21
228;21
229;20.6676311
230;21
231;21
232;21
233;21
234;21
235;21
236;21
237;21
238;2.66078877
239;3.48671532
240;6.03495502
241;5.39404106
242;6.00172949
243;9.13898087
244;21
245;21
246;21
247;21
248;21
249;21
250;21
251;21
252;21
253;21
254;21
255;21
256;21
257;21
258;21
259;21
260;21
261;21
262;3.46891451
263;4.47708988
264;12.4405165
265;12.2111292
266;12.5954943
267;14.4858847
268;21
269;21
270;21
271;21
272;21
273;21
274;21
275;21
276;21
277;21
278;21
279;21
280;21
281;21
282;21
283;21
284;21
285;21
286;11.8905096
287;11.7800407
288;15.3655682
289;14.9452457
290;15.3396158
291;17.4184303
292;21
