Index;Wert
0;100
1;96.7296371
2;95.4960403
3;94.0297165
4;93.8091965
5;93.6340942
6;93.2134018
7;92.6919785
8;92.2321548
9;92.1478577
10;91.7095261
11;91.6338425
12;91.066597
13;91.0467606
14;90.280426
15;90.205246
16;90.1527023
17;89.6795273
18;89.6186829
19;88.7673111
20;88.7128601
21;88.6780167
22;88.1982422
23;88.1896744
24;87.4883041
25;87.1815872
26;86.9947052
27;86.2568359
28;86.0362778
29;85.8888245
30;85.3419952
31;84.8230667
32;84.8082123
33;84.5837021
34;84.2592239
35;84.0584183
36;83.9547729
37;83.8426437
38;83.6542816
39;83.4304733
40;83.4192581
41;83.3382568
42;83.2601624
43;83.1602249
44;82.9945984
45;82.7954178
46;82.7163849
47;82.4371262
48;82.1771698
49;81.9773483
50;81.9205856
51;81.8416977
52;81.836647
53;81.4926376
54;81.3169861
55;81.2948914
56;81.2565613
57;81.2084274
58;81.1076813
59;81.0194092
60;80.8405533
61;80.8190384
62;80.5235596
63;80.3966675
64;80.3118515
65;80.2963486
66;80.2440643
67;80.1685104
68;80.0999756
69;79.8885498
70;79.8669434
71;79.844574
72;79.8409195
73;79.7331085
74;79.564743
75;79.1798553
76;79.0956497
77;79.0704803
78;79.0644989
79;78.8034515
80;78.7233276
81;78.646904
82;78.5799713
83;78.413063
84;78.2864761
85;78.249382
86;78.2382431
87;78.1032867
88;77.9447784
89;77.883194
90;77.8702621
91;77.8117828
92;77.7395706
93;77.6582031
94;77.5955505
95;77.540947
96;77.31604
97;77.2858276
98;77.0965805
99;76.9834976
100;76.8561707
101;76.8271866
102;76.8255692
103;76.7913437
104;76.6680908
105;76.5942993
106;76.5706406
107;76.5688629
108;76.5274963
109;76.4298248
110;76.3096771
111;76.3093262
112;76.2061462
113;76.1231232
114;75.9457169
115;75.9169083
116;75.8821259
117;75.8428802
118;75.8154068
119;75.7722092
120;75.7536011
121;75.6870804
122;75.6197662
123;75.5514603
124;75.5203018
125;75.4789581
126;75.4761963
127;75.35009
128;75.1927338
129;75.1759262
130;75.1270676
131;75.1027451
132;74.9647903
133;74.9553299
134;74.9239578
135;74.8859253
136;74.7529373
137;74.632103
138;74.6138077
139;74.6002579
140;74.5969925
141;74.5225677
142;74.4142685
143;74.2189713
144;74.1484833
145;74.1464157
146;74.1235657
147;74.0877228
148;74.0478287
149;73.9504623
150;73.9374466
151;73.8696976
152;73.8645248
153;73.8014297
154;73.72155
155;73.6947098
156;73.5709457
157;73.564064
158;73.5555115
159;73.5167618
160;73.2871323
161;73.2486725
162;73.1306076
163;73.0020142
164;72.7112045
165;72.6681061
166;72.6654434
167;72.6627655
168;72.565239
169;72.5641327
170;72.4634094
171;72.4585648
172;72.3855362
173;72.34021
174;72.2591248
175;72.2023849
176;72.1543961
177;72.0383835
178;72.0064087
179;71.9970779
180;71.9554977
181;71.9363708
182;71.9146881
183;71.8813477
184;71.8612289
185;71.8149872
186;71.7869492
187;71.7855606
188;71.7532272
189;71.6479797
190;71.61866
191;71.5458374
192;71.5036469
193;71.5007782
194;71.4277039
195;71.3762436
196;71.3676758
197;71.3675842
198;71.2957611
199;71.2911911
200;71.2699966
201;71.248848
202;71.2354736
203;71.219368
204;71.1934128
205;71.1849747
206;71.1497726
207;71.107193
208;71.0768127
209;71.0550842
210;71.0021973
211;70.8203049
212;70.742569
213;70.7053452
214;70.7052994
215;70.6368103
216;70.5610428
217;70.393959
218;70.3761444
219;70.3638611
220;70.3436203
221;70.3166275
222;70.2813644
223;70.2562408
224;70.1958466
225;70.0576019
226;70.0463943
227;69.9948044
228;69.9787369
229;69.9518433
230;69.923439
231;69.8442764
232;69.8155823
233;69.7553787
234;69.7365646
235;69.7199173
236;69.6813507
237;69.5728073
238;69.5619278
239;69.5150528
240;69.503273
241;69.4861298
242;69.4311447
243;69.4077148
244;69.3951874
245;69.3208923
246;69.2939377
247;69.2275085
248;69.1959381
249;69.0648422
250;69.0068588
251;68.9694977
252;68.9490433
253;68.9290085
254;68.9195023
255;68.901825
256;68.8645554
257;68.8330383
258;68.8301544
259;68.7415848
260;68.7327499
261;68.6817703
262;68.6664734
263;68.6261978
264;68.6241684
265;68.5840149
266;68.4956055
267;68.4680252
268;68.4592514
269;68.4375305
270;68.3845215
271;68.3723221
272;68.3678513
273;68.361824
274;68.3461761
275;68.3252716
276;68.2972641
277;68.2700958
278;68.1597366
279;68.1469193
280;68.1408615
281;68.1281433
282;68.125412
283;68.0476837
284;68.0063248
285;67.9987717
286;67.9497757
287;67.9414825
288;67.8982773
289;67.8958435
290;67.8822479
291;67.8451996
292;67.8405914
293;67.7533569
294;67.741806
295;67.6787567
296;67.6481552
297;67.639389
298;67.6157761
299;67.5626068
300;67.4611359
301;67.4572906
302;67.4116287
303;67.3837357
304;67.3652267
305;67.297142
306;67.2665558
307;67.258873
308;67.1305466
309;67.1046524
310;67.0893097
311;67.0780869
312;67.0251694
313;66.9854279
314;66.9103088
315;66.9091263
316;66.9053802
317;66.9032822
318;66.8394089
319;66.8187408
320;66.8112106
321;66.7648392
322;66.7424927
323;66.6880646
324;66.6507721
325;66.6414261
326;66.6081238
327;66.5597916
328;66.5303268
329;66.5269699
330;66.5226593
331;66.5082626
332;66.4667816
333;66.4595032
334;66.3866501
335;66.3184967
336;66.2627411
337;66.2503433
338;66.194313
339;66.1308899
340;66.0558777
341;65.977272
342;65.926033
343;65.8625717
344;65.8570175
345;65.8494186
