Index;Wert
0;684.591553
1;1071.70459
2;1052.96973
3;1076.48279
4;997.574219
5;772.674805
6;673.563477
7;1096.86218
8;1142.9657
9;1108.41602
10;981.589111
11;547.067627
12;657.989685
13;1027.33594
14;1125.7572
15;1145.00708
16;1059.40845
17;741.419617
18;751.57782
19;1133.82874
20;1187.89746
21;1032.62
22;943.357666
23;1672.62207
24;473.66803
25;300.012543
26;221.775421
27;144.014755
28;136.673737
29;141.692627
30;156.786774
31;179.950439
32;203.361221
33;284.677338
34;180.373413
35;165.736023
36;216.12352
37;148.983902
38;150.290909
39;151.892242
40;141.245224
41;175.235825
42;304.970581
43;831.569275
44;1130.37195
45;1081.84131
46;1072.51343
47;833.539673
48;733.605591
49;1085.84607
50;1193.13586
51;1076.26404
52;961.993347
53;644.013794
54;656.673035
55;1148.18298
56;1190.85339
57;1101.66577
58;993.191101
59;679.503723
60;700.816162
61;972.965088
62;962.075562
63;775.535706
64;490.269379
65;503.2229
66;562.46283
67;231.769226
68;187.844391
69;183.921631
70;215.354614
71;368.301727
72;227.298126
73;157.539154
74;134.054779
75;132.041458
76;135.187561
77;138.717148
78;157.905487
79;636.722351
80;894.649963
81;889.672241
82;978.386292
83;659.100342
84;671.3526
85;1120.1106
86;1223.59656
87;1071.76917
88;1107.09619
89;752.622742
90;717.283142
91;1015.60004
92;1215.18372
93;905.481873
94;994.519043
95;659.951233
96;477.191528
97;338.924469
98;131.73085
99;127.795685
100;127.486267
101;132.947311
102;173.608154
103;528.229736
104;546.311523
105;513.234131
106;429.186646
107;257.957275
108;209.413376
109;135.954514
110;159.374939
111;155.167404
112;131.623367
113;199.031525
114;319.244171
115;210.263077
116;320.103821
117;222.304306
118;377.256775
119;421.477051
120;288.360443
121;528.737183
122;669.195557
123;770.642883
124;873.847717
125;658.73291
126;702.825745
127;1007.54083
128;1087.38989
129;1088.68713
130;932.527588
131;717.091309
132;840.515381
133;986.789185
134;1144.76135
135;1263.52795
136;1044.1521
137;734.807007
138;702.994141
139;1162.30115
140;1193.65466
141;1111.15369
142;1067.46143
143;808.477356
144;796.588562
145;1078.18994
146;1040.85852
147;850.493591
148;495.168335
149;462.341705
150;395.205688
151;146.972504
152;172.117203
153;170.655838
154;145.274231
155;154.386169
156;254.349045
157;283.968079
158;274.592804
159;150.638
160;142.619125
161;223.940643
162;263.223816
163;864.302917
164;1008.79004
165;1021.36755
166;1082.78955
167;847.350525
168;584.248657
169;990.099243
170;1103.24475
171;1097.15149
172;1033.1543
173;638.482544
174;647.44928
175;1094.5647
176;1174.04236
177;1038.3363
178;955.382629
179;669.83844
180;704.229492
181;1070.31287
182;1121.55249
183;1048.67822
184;981.126404
185;695.129456
186;748.76355
187;1023.98236
188;846.078796
189;577.814636
190;667.071899
191;602.385803
192;432.426971
193;219.252686
194;206.753647
195;186.504105
196;130.172684
197;134.442535
198;149.537262
199;171.200485
200;193.55719
201;274.77179
202;170.998459
203;158.636017
204;218.361984
205;471.235779
206;709.452576
207;818.394409
208;694.642944
209;658.530212
210;771.746399
211;1056.67969
212;1094.53516
213;1096.26196
214;1058.68799
215;847.502258
216;705.264282
217;1013.75122
218;1153.28235
219;1029.11487
220;939.237122
221;685.957703
222;647.114441
223;1127.87781
224;1228.26489
225;1100.10815
226;1048.31616
227;750.854248
228;720.499268
229;1025.60828
230;1116.30029
231;961.867676
232;746.692444
233;513.710449
234;593.96814
235;356.448761
236;310.500641
237;233.304443
238;216.968491
239;364.411407
240;218.170532
241;148.341476
242;126.84201
243;125.878242
244;128.377258
245;128.928055
246;163.13031
247;762.993713
248;884.825806
249;894.019592
250;943.698608
251;662.889709
252;718.989685
253;1089.5835
254;1286.35962
255;1112.93542
256;1072.59619
257;743.651306
258;699.135132
259;1129.19226
260;1259.79614
261;1119.10376
262;1259.65686
263;918.813477
264;812.137878
265;1109.26648
266;1099.64331
267;938.733215
268;756.694397
269;723.831665
270;747.39624
271;1158.96692
272;1076.26685
273;1026.56628
274;772.630127
275;664.325195
276;446.20755
277;281.355255
278;311.817627
279;238.393112
280;172.642105
281;223.986511
282;337.981445
283;227.511292
284;331.103882
285;235.804199
286;391.506897
287;436.478088
288;306.360596
289;589.944824
290;722.290894
291;735.631348
292;798.751404
293;701.438232
294;734.055908
295;991.817017
296;1030.82361
297;952.49176
298;808.094238
299;695.910034
300;833.675232
301;1015.80817
302;1101.29919
303;1094.63831
304;806.402161
305;730.341309
306;647.568787
307;1133.9873
308;1114.99597
309;987.204285
310;1019.4455
311;806.487854
312;800.279785
313;1088.81543
314;1081.23181
315;795.334717
316;557.368164
317;473.965027
318;382.479492
319;220.803513
320;262.725311
321;228.734421
322;163.786423
323;168.252243
324;265.939819
325;294.425415
326;287.712921
327;163.130402
328;157.619064
329;238.889038
330;279.675201
331;661.567322
332;870.997925
333;980.817749
334;1063.52307
335;802.797302
336;499.168152
337;715.585571
338;771.494141
339;777.860352
340;643.492798
341;613.234131
342;636.870911
343;987.97467
344;967.222412
345;1026.84583
346;972.226746
347;691.22406
348;720.118103
349;1112.63232
350;1107.35522
351;1034.95593
352;917.144409
353;698.83313
354;762.430115
355;1113.67712
356;1139.71289
357;1055.64661
358;896.602783
359;720.092834
360;399.37439
361;226.196609
362;245.97821
363;177.20993
364;149.106766
365;152.116898
366;166.421234
367;187.845367
368;207.903229
369;289.553284
370;186.911331
371;171.421143
372;255.993484
373;697.194885
374;762.968445
375;630.1026
376;573.1745
377;473.146545
378;761.114868
379;1121.25134
380;1082.53101
381;893.456726
382;870.059143
383;813.287842
384;731.317566
385;1152.99292
386;1114.64062
387;829.288635
388;756.797974
389;690.617554
390;730.244385
391;1278.63013
392;1329.2644
393;976.629395
394;871.533203
395;741.688599
396;781.303345
397;1292.24438
398;1235.86597
399;975.189026
400;775.85791
401;640.375671
402;614.901367
403;346.333374
404;283.874054
405;237.695923
406;225.347809
407;373.478394
408;232.891754
409;160.80249
410;138.392044
411;138.079926
412;140.835785
413;145.808533
414;191.470306
415;825.040527
416;996.96582
417;924.284058
418;907.868591
419;662.51947
420;678.334595
421;1275.50745
422;1394.14539
423;1116.84814
424;1052.25732
425;738.679565
426;706.007324
427;1212.80505
428;1316.59375
429;947.847778
430;1018.79456
431;834.070862
432;701.089417
433;1116.90625
434;1147.50122
435;927.602966
436;813.281311
437;637.042419
438;691.682739
439;1172.08276
440;1164.11194
441;1003.60608
442;874.370056
443;715.60083
444;599.126831
445;393.272491
446;391.355591
447;214.792725
448;149.170563
449;210.197357
450;329.57428
