Index;Wert
0;0
1;0
2;0
3;3.81016541
4;27.1053925
5;42.6862106
6;38.5760422
7;37.0394135
8;39.4228134
9;38.8514938
10;40.3657227
11;41.072464
12;38.4346237
13;32.7904205
14;35.1981277
15;41.6653595
16;51.8559341
17;59.5310669
18;58.0325699
19;48.3091278
20;39.7742386
21;23.10746
22;0
23;0
24;0
25;0
26;0
27;0.40511322
28;22.7008057
29;37.5826263
30;33.3182831
31;32.1142807
32;29.8937759
33;25.0268097
34;24.069931
35;23.9501114
36;25.7253952
37;22.2325897
38;23.565979
39;28.6185913
40;38.7432098
41;51.3596497
42;57.8488693
43;56.8299332
44;51.5923309
45;29.1074219
46;0
47;0
48;0
49;0
50;0
51;0
52;3.70985031
53;22.7296371
54;16.8796387
55;14.5461426
56;11.7151947
57;5.23564911
58;3.67666245
59;3.58376694
60;5.75530624
61;1.54934311
62;3.29958725
63;9.66591644
64;22.1023026
65;37.1346283
66;44.2980804
67;42.2597656
68;36.0388412
69;9.56815338
70;0
71;0
72;0
73;0
74;0
75;0
76;12.7467575
77;33.8819885
78;27.1448822
79;24.132988
80;20.930069
81;13.5870285
82;11.8475723
83;11.7501221
84;14.1215057
85;9.56821442
86;11.5203323
87;18.5256119
88;32.0945663
89;48.2563553
90;55.7134933
91;52.9863586
92;46.1815491
93;17.6625366
94;0
95;0
96;0
97;0
98;0
99;0
100;19.4083557
101;33.6030426
102;29.4203568
103;28.2674179
104;26.139061
105;21.3969421
106;20.2995453
107;20.164856
108;22.0315475
109;18.7035522
110;20.0085526
111;24.9499054
112;34.9650955
113;47.4642792
114;53.9304123
115;52.9795151
116;47.9173431
117;25.9983215
118;0
119;0
120;0
121;0
122;0
123;0
124;19.8173523
125;34.1966705
126;30.0688477
127;29.0874252
128;26.9135056
129;22.0603409
130;20.8968201
131;20.7591248
132;22.6877518
133;19.3953857
134;20.8387299
135;25.8913956
136;35.8315811
137;48.2383347
138;54.7487488
139;53.9253159
140;48.9943008
141;26.9955139
142;0
143;0
144;0
145;0
146;0
147;0
148;14.5110931
149;29.1442871
150;26.1270523
151;25.6399384
152;27.9995193
153;28.0639877
154;29.5167847
155;29.3092957
156;25.9154282
157;22.3803177
158;24.9398193
159;31.3187332
160;40.7316742
161;49.0438766
162;48.3926849
163;39.2087097
164;28.1384811
165;10.8071136
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0.360309601
174;0
175;0
176;1.66213226
177;3.38221359
178;5.64239502
179;6.43758392
180;3.37205124
181;0
182;0.609260559
183;5.50476837
184;12.7329254
185;17.3300934
186;15.0196381
187;6.73868561
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;18.968689
197;33.3163528
198;29.2930603
199;28.2344131
200;26.1152115
201;21.3484879
202;20.1711884
203;20.0695038
204;21.7131119
205;18.3793106
206;19.6962051
207;24.5992584
208;34.5999069
209;47.0115356
210;53.5385208
211;52.8639069
212;47.8879852
213;26.0099564
214;0
215;0
216;0
217;0
218;0
219;0
220;12.2685699
221;33.2799225
222;26.5363388
223;23.6912689
224;20.4325638
225;13.1836243
226;11.4920578
227;11.3666153
228;13.715332
229;9.14333344
230;11.1472473
231;18.1743927
232;31.717865
233;47.885582
234;55.3739853
235;52.5963058
236;45.7932892
237;17.2486801
238;0
239;0
240;0
241;0
242;0
243;0
244;16.0781784
245;38.1839066
246;31.1596909
247;28.0402756
248;24.8042526
249;17.2594986
250;15.5300903
251;15.4604187
252;17.6574173
253;12.6910477
254;14.5612106
255;21.7529678
256;35.8074188
257;52.4247131
258;59.954628
259;56.9701538
260;49.9892273
261;20.6427917
262;0
263;0
264;0
265;0
266;0
267;0
268;14.9857941
269;28.7116394
270;24.8907776
271;24.0056229
272;21.9606705
273;17.5390778
274;16.7097931
275;16.6542664
276;18.4651489
277;15.1135025
278;16.3222656
279;21.1462479
280;30.743927
281;42.7550583
282;49.1824493
283;48.4608841
284;43.559639
285;22.2184219
286;0
287;0
288;0
289;0
290;0
291;0.593254089
292;22.9060822
293;37.8200455
294;33.6365509
295;32.4112091
296;30.2197876
297;25.3050003
298;24.3492126
299;24.3103714
300;26.0766678
301;22.6811371
302;24.0669403
303;29.1881409
304;39.3585968
305;52.0543213
306;58.6530914
