Index;Wert
0;54.9865379
1;54.0612297
2;55.0255775
3;59.8101654
4;83.1053925
5;98.6862106
6;94.5760422
7;93.0394135
8;95.4228134
9;94.8514938
10;96.3657227
11;97.072464
12;94.4346237
13;88.7904205
14;91.1981277
15;97.6653595
16;107.855934
17;115.531067
18;114.03257
19;104.309128
20;95.7742386
21;79.10746
22;47.7087059
23;52.3593636
24;51.8724365
25;50.9749413
26;51.8584709
27;56.4051132
28;78.7008057
29;93.5826263
30;89.3182831
31;88.1142807
32;85.8937759
33;81.0268097
34;80.069931
35;79.9501114
36;81.7253952
37;78.2325897
38;79.565979
39;84.6185913
40;94.7432098
41;107.35965
42;113.848869
43;112.829933
44;107.592331
45;85.1074219
46;49.1328888
47;49.0997238
48;25.334465
49;24.1697006
50;25.2995796
51;31.1296253
52;59.7098503
53;78.7296371
54;72.8796387
55;70.5461426
56;67.7151947
57;61.2356491
58;59.6766624
59;59.5837669
60;61.7553062
61;57.5493431
62;59.2995872
63;65.6659164
64;78.1023026
65;93.1346283
66;100.29808
67;98.2597656
68;92.0388412
69;65.5681534
70;21.3977356
71;22.6203499
72;30.6496429
73;29.3812523
74;30.6321526
75;37.0731468
76;68.7467575
77;89.8819885
78;83.1448822
79;80.132988
80;76.930069
81;69.5870285
82;67.8475723
83;67.7501221
84;70.1215057
85;65.5682144
86;67.5203323
87;74.5256119
88;88.0945663
89;104.256355
90;111.713493
91;108.986359
92;102.181549
93;73.6625366
94;25.3169155
95;27.2229233
96;49.4395027
97;48.6650429
98;49.5872993
99;53.9836922
100;75.4083557
101;89.6030426
102;85.4203568
103;84.2674179
104;82.139061
105;77.3969421
106;76.2995453
107;76.164856
108;78.0315475
109;74.7035522
110;76.0085526
111;80.9499054
112;90.9650955
113;103.464279
114;109.930412
115;108.979515
116;103.917343
117;81.9983215
118;47.1619072
119;46.9545708
120;49.7355309
121;48.889492
122;49.7890358
123;54.2250252
124;75.8173523
125;90.1966705
126;86.0688477
127;85.0874252
128;82.9135056
129;78.0603409
130;76.8968201
131;76.7591248
132;78.6877518
133;75.3953857
134;76.8387299
135;81.8913956
136;91.8315811
137;104.238335
138;110.748749
139;109.925316
140;104.994301
141;82.9955139
142;47.9750633
143;47.6608276
144;46.1552773
145;45.2764435
146;46.1193619
147;50.2841187
148;70.5110931
149;85.1442871
150;82.1270523
151;81.6399384
152;83.9995193
153;84.0639877
154;85.5167847
155;85.3092957
156;81.9154282
157;78.3803177
158;80.9398193
159;87.3187332
160;96.7316742
161;105.043877
162;104.392685
163;95.2087097
164;84.1384811
165;66.8071136
166;39.1307831
167;43.262188
168;28.5355225
169;27.8986092
170;28.4428482
171;31.4901791
172;46.4208946
173;56.3603096
174;54.431572
175;54.4605141
176;57.6621323
177;59.3822136
178;61.642395
179;62.4375839
180;59.3720512
181;54.7587051
182;56.6092606
183;61.5047684
184;68.7329254
185;73.3300934
186;71.0196381
187;62.7386856
188;55.6758041
189;44.3959389
190;24.033844
191;27.1354942
192;49.2246895
193;48.3202896
194;49.1324844
195;53.5125732
196;74.968689
197;89.3163528
198;85.2930603
199;84.2344131
200;82.1152115
201;77.3484879
202;76.1711884
203;76.0695038
204;77.7131119
205;74.3793106
206;75.6962051
207;80.5992584
208;90.5999069
209;103.011536
210;109.538521
211;108.863907
212;103.887985
213;82.0099564
214;47.205574
215;47.0169258
216;30.5682011
217;29.2659626
218;30.4518223
219;36.7791977
220;68.2685699
221;89.2799225
222;82.5363388
223;79.6912689
224;76.4325638
225;69.1836243
226;67.4920578
227;67.3666153
228;69.715332
229;65.1433334
230;67.1472473
231;74.1743927
232;87.717865
233;103.885582
234;111.373985
235;108.596306
236;101.793289
237;73.2486801
238;24.8935947
239;26.7131672
240;32.2534256
241;30.8755188
242;32.1832466
243;38.9669189
244;72.0781784
245;94.1839066
246;87.1596909
247;84.0402756
248;80.8042526
249;73.2594986
250;71.5300903
251;71.4604187
252;73.6574173
253;68.6910477
254;70.5612106
255;77.7529678
256;91.8074188
257;108.424713
258;115.954628
259;112.970154
260;105.989227
261;76.6427917
262;26.5909748
263;28.7369595
264;46.175457
265;45.480587
266;46.2991295
267;50.4555855
268;70.9857941
269;84.7116394
270;80.8907776
271;80.0056229
272;77.9606705
273;73.5390778
274;72.7097931
275;72.6542664
276;74.4651489
277;71.1135025
278;72.3222656
279;77.1462479
280;86.743927
281;98.7550583
282;105.182449
283;104.460884
284;99.559639
285;78.2184219
286;44.5910797
287;44.2321014
288;52.1017151
289;51.183609
290;52.0526619
291;56.5932541
292;78.9060822
293;93.8200455
294;89.6365509
295;88.4112091
296;86.2197876
297;81.3050003
298;80.3492126
299;80.3103714
300;82.0766678
301;78.6811371
302;80.0669403
303;85.1881409
304;95.3585968
305;108.054321
306;114.653091
307;113.623085
