Index;Wert
0;667.305542
1;674.305542
2;666.305542
3;678.305542
4;940.417786
5;1071.41772
6;1136.41772
7;1086.41772
8;1046.82922
9;987.829224
10;1073.82922
11;1050.82922
12;1044.47449
13;1101.47449
14;1070.47449
15;1036.47449
16;949.195251
17;1054.19519
18;975.195251
19;958.195251
20;796.017151
21;743.017151
22;767.017151
23;731.017151
24;709.950867
25;636.950867
26;635.950867
27;657.950867
28;968.292908
29;1068.29297
30;1175.29297
31;1122.29297
32;1176.26257
33;1120.26257
34;1124.26257
35;1101.26257
36;1110.14758
37;1118.14758
38;1101.14758
39;1057.14758
40;1032.2605
41;1054.2605
42;982.260498
43;812.260498
44;536.396545
45;505.396576
46;542.396545
47;561.396545
48;615.330933
49;617.330933
50;644.330933
51;711.330933
52;909.459106
53;990.459106
54;1087.45911
55;1078.45911
56;1124.71362
57;1043.71362
58;1163.71362
59;1126.71362
60;1137.98035
61;1163.98035
62;1106.98035
63;1120.98035
64;1058.0072
65;1102.0072
66;1076.0072
67;950.007202
68;750.21936
69;783.21936
70;700.21936
71;680.21936
72;742.587402
73;734.587402
74;725.587402
75;751.587402
76;979.332092
77;1171.33203
78;1188.33203
79;1144.33203
80;1178.40527
81;1132.40527
82;1182.40527
83;1206.40527
84;1099.86084
85;1011.86084
86;977.86084
87;988.86084
88;1022.84131
89;999.841309
90;856.841309
91;841.841309
92;675.101257
93;611.101257
94;616.101257
95;4736.10107
96;490.892761
97;477.892761
98;493.892761
99;379.892761
100;306.229218
101;276.229218
102;288.229218
103;277.229218
104;236.490906
105;213.490906
106;194.490906
107;190.490906
108;157.229736
109;121.229744
110;122.229744
111;123.229744
112;122.387939
113;122.387939
114;124.387939
115;125.387939
116;131.406601
117;127.406601
118;127.406601
119;128.406601
120;144.500671
121;144.500671
122;145.500671
123;140.500671
124;167.664886
125;167.664886
126;164.664886
127;167.664886
128;191.327469
129;189.327469
130;190.327469
131;191.327469
132;273.142395
133;271.142395
134;271.142395
135;271.142395
136;168.413254
137;169.413254
138;168.413254
139;166.413254
140;155.393738
141;154.393738
142;155.393738
143;153.393738
144;204.42067
145;205.42067
146;206.42067
147;203.42067
148;135.810486
149;138.810486
150;135.810486
151;135.810486
152;137.750137
153;138.750137
154;138.750137
155;135.750137
156;138.151093
157;139.151093
158;139.151093
159;140.151093
160;128.371597
161;129.371597
162;126.371597
163;129.371597
164;160.869308
165;160.869308
166;159.869308
167;167.869308
168;289.364746
169;284.364746
170;286.364746
171;308.364746
172;532.9599
173;842.9599
174;923.9599
175;974.9599
176;1080.00806
177;1064.00806
178;1151.00806
179;1175.00806
180;1145.97656
181;1073.97656
182;995.976501
183;1059.97656
184;1093.65137
185;1102.65137
186;1056.65137
187;985.651306
188;830.169617
189;830.169617
190;822.169617
191;800.169617
192;712.727539
193;706.727539
194;707.727539
195;755.727539
196;911.464478
197;1058.46448
198;1171.46448
199;1150.46448
200;1213.99707
201;1126.99707
202;1209.99707
203;1169.99707
204;1144.36194
205;1030.36194
206;1035.36194
207;1043.36194
208;1034.56628
209;992.566284
210;978.566284
211;790.566284
212;640.351868
213;635.351868
214;623.351868
215;625.351868
216;638.494202
217;637.494202
218;640.494202
219;658.494202
220;986.492615
221;1164.49255
222;1231.49255
223;1158.49255
224;1206.85059
225;1163.85059
226;1183.85059
227;1159.85059
228;1111.00635
229;1098.00635
230;1074.00635
231;1078.00635
232;1012.20233
233;1039.20227
234;959.202332
235;920.202332
236;683.878357
237;691.878357
238;666.878357
239;638.878357
240;689.509949
241;676.509949
242;695.509949
243;701.509949
244;879.381653
245;990.381653
246;1026.38171
247;957.381653
248;1045.08643
249;931.086426
250;932.086426
251;900.086426
252;857.978149
253;814.978149
254;736.978149
255;643.978149
256;585.711304
257;469.711304
258;423.711304
259;430.711304
260;479.319885
261;501.319885
262;493.319885
263;487.319885
264;609.2724
265;602.2724
266;533.2724
267;453.2724
268;219.775253
269;218.775253
270;217.775253
271;218.775253
272;175.814667
273;174.814667
274;175.814667
275;172.814667
276;170.637222
277;169.637222
278;170.637222
279;172.637222
280;202.819946
281;199.819946
282;201.819946
283;204.819946
284;356.266418
285;356.266418
286;354.266418
287;354.266418
288;214.011307
289;214.011307
290;216.011307
291;213.011307
292;145.941147
293;144.941147
294;141.941147
295;144.941147
296;121.43367
297;119.43367
298;121.43367
299;121.43367
300;117.939606
301;119.939606
302;118.939606
303;118.939606
304;122.901154
305;120.901154
306;119.901154
307;124.901154
308;126.182297
309;127.182297
310;126.182297
311;123.182297
312;134.121155
313;139.121155
314;141.121155
315;165.121155
316;362.208771
317;625.20874
318;692.20874
319;815.20874
320;805.427734
321;889.427734
322;915.427734
323;919.427734
324;886.234924
325;888.234924
326;848.234924
327;893.234924
328;999.431152
329;995.431152
330;941.431152
331;940.431152
332;666.824463
333;667.824463
334;652.824463
335;607.824463
336;605.129822
337;657.129822
338;683.129822
339;695.129822
340;1057.23975
341;1137.23975
342;1130.23975
343;1112.23975
344;1232.45679
345;1178.45679
346;1241.45679
347;1194.45679
348;1080.54675
349;1043.54675
350;1051.54675
351;1060.54675
352;1101.40308
353;1137.40308
354;1072.40308
355;1065.40308
356;774.646606
357;735.646606
358;727.646606
359;720.646606
360;711.0177
361;703.0177
362;689.0177
363;714.0177
364;872.580139
365;986.580139
366;1019.58014
367;1131.5802
368;1253.14941
369;1189.14941
370;1196.14941
371;1170.14941
372;1008.94714
373;872.947144
374;864.947144
375;822.947144
376;1060.2334
377;1063.2334
378;987.233398
379;815.233398
380;675.118591
381;655.118591
382;627.118591
383;630.118591
384;516.191223
385;484.191223
386;433.191223
387;422.191223
388;365.753754
389;363.753754
390;339.753754
391;232.753754
392;140.372559
393;112.372559
394;110.372559
395;110.372559
396;115.717796
397;114.717796
398;112.717796
399;114.717796
400;114.165596
401;114.165596
402;112.165596
403;116.165596
404;122.296951
405;120.296951
406;118.296951
407;117.296951
408;152.111816
409;155.111816
410;159.111816
411;175.111816
412;459.443451
413;512.44342
414;524.44342
415;564.44342
416;571.477356
417;560.477356
418;547.477356
419;457.477325
420;514.496948
421;508.496948
422;496.496948
423;488.496948
424;532.327026
425;488.327057
426;366.327057
427;286.327057
428;251.437943
429;249.437943
430;248.437943
431;245.437943
432;196.534317
433;197.534317
434;198.534317
435;199.534317
436;123.802025
437;124.802025
438;123.802025
439;122.802025
440;147.462952
441;147.462952
442;147.462952
443;146.462952
444;144.264297
445;140.264297
446;141.264297
447;144.264297
448;121.163322
449;118.163322
450;117.163322
451;118.163322
452;188.247009
453;185.247009
454;185.247009
455;185.247009
456;307.208862
457;306.208862
458;309.208862
459;302.208862
460;194.99498
461;196.99498
462;197.99498
463;198.99498
464;305.569458
465;305.569458
466;307.569458
467;309.569458
468;208.019348
469;209.019348
470;210.019348
471;210.019348
472;365.471436
473;364.471436
474;360.471436
475;366.471436
476;410.191345
477;408.191345
478;408.191345
479;407.191345
480;268.824036
481;268.824036
482;269.824036
483;293.824036
484;320.908325
485;578.908325
486;585.908325
487;576.908325
488;618.754395
489;582.754395
490;705.754395
491;716.754395
492;749.844727
493;733.844727
494;734.844727
495;810.844727
496;838.4646
497;888.4646
498;872.4646
499;842.4646
