Index;Wert
0;13.8825731
1;13.6999464
2;13.8734035
3;14.7765961
4;19.2184429
5;22.1855335
6;21.0351467
7;20.2007217
8;19.7567673
9;18.6419125
10;18.3110466
11;18.3102837
12;18.5376091
13;18.0015774
14;18.2747498
15;19.1362991
16;20.7077179
17;22.3303337
18;22.7322636
19;21.9291687
20;21.1814747
21;18.340847
22;12.511735
23;13.3988819
24;12.8934546
25;12.7238398
26;12.8849373
27;13.7237797
28;17.8491478
29;20.6048374
30;19.5364132
31;18.7614441
32;18.3491192
33;17.3136959
34;17.0064049
35;17.0056953
36;17.2168236
37;16.7189846
38;16.9726944
39;17.7728596
40;19.232317
41;20.7393227
42;21.1126137
43;20.3667374
44;19.6723175
45;17.0340824
46;11.6202869
47;12.4442253
48;8.26796722
49;8.04446793
50;8.25674534
51;9.36208534
52;14.7980719
53;18.4292316
54;17.0213757
55;16.0001984
56;15.4568806
57;14.0925055
58;13.6875896
59;13.686655
60;13.964859
61;13.308857
62;13.6431704
63;14.6975441
64;16.6206665
65;18.6064434
66;19.0983276
67;18.1154919
68;17.2004547
69;13.724061
70;6.59032011
71;7.67602158
72;9.13633537
73;8.88936234
74;9.12393475
75;10.3453665
76;16.3522835
77;20.3648186
78;18.8090954
79;17.6806679
80;17.0802879
81;15.5726147
82;15.1251698
83;15.1241379
84;15.4315605
85;14.7066593
86;15.0760851
87;16.2411976
88;18.3663025
89;20.5606403
90;21.104187
91;20.0181274
92;19.0069847
93;15.165472
94;7.28248835
95;8.48221874
96;12.5912628
97;12.4256239
98;12.5829458
99;13.4021273
100;17.430809
101;20.1219101
102;19.0785275
103;18.3217201
104;17.9190598
105;16.9079037
106;16.6078167
107;16.6071224
108;16.813303
109;16.3271313
110;16.5748959
111;17.3563061
112;18.7815571
113;20.2532425
114;20.6177845
115;19.8893929
116;19.2112465
117;16.6348438
118;11.3479357
119;12.1525631
120;12.7519131
121;12.5841608
122;12.7434902
123;13.573123
124;17.6532059
125;20.378643
126;19.321949
127;18.5554848
128;18.1476879
129;17.1236305
130;16.8197136
131;16.8190117
132;17.0278225
133;16.5354481
134;16.7863731
135;17.5777512
136;19.0211887
137;20.5116501
138;20.880846
139;20.143158
140;19.4563599
141;16.847086
142;11.4927225
143;12.3076162
144;12.0448065
145;11.8863554
146;12.0368509
147;12.8204784
148;16.6743164
149;19.2486248
150;18.2505264
151;17.5265617
152;17.1413784
153;16.1741066
154;15.887042
155;15.8863802
156;16.0836105
157;15.6185398
158;15.8555508
159;16.6030483
160;17.966444
161;19.374258
162;19.7229805
163;19.0261993
164;18.3774853
165;15.9128971
166;10.8554392
167;11.6251469
168;8.92391491
169;8.80652046
170;8.91802025
171;9.49860573
172;12.3538876
173;14.2611761
174;13.5216913
175;12.9853115
176;12.6999321
177;11.9832859
178;11.7706013
179;11.7701101
180;11.9162378
181;11.5716696
182;11.7472696
183;12.3010855
184;13.3112164
185;14.3542557
186;14.6126223
187;14.0963821
188;13.6157532
189;11.7897577
190;8.04272079
191;8.61299229
192;12.4384832
193;12.2748537
194;12.4302664
195;13.2395077
196;17.2193069
197;19.8777542
198;18.8470325
199;18.0994091
200;17.7016354
201;16.7027473
202;16.4063015
203;16.4056149
204;16.6092949
205;16.1290226
206;16.3737793
207;17.1457062
208;18.5536652
209;20.007494
210;20.3676128
211;19.6480579
212;18.9781399
213;16.4330006
214;11.2102423
215;12.005106
216;9.04563332
217;8.80111313
218;9.03335667
219;10.2426624
220;16.1899471
221;20.1626472
222;18.6223698
223;17.5051422
224;16.9107208
225;15.4180164
226;14.9750147
227;14.9739923
228;15.2783642
229;14.5606594
230;14.9264174
231;16.0799637
232;18.1839714
233;20.3565254
234;20.8946762
235;19.819397
236;18.8182926
237;15.0149164
238;7.21019125
239;8.39801216
240;9.417799
241;9.16321754
242;9.4050169
243;10.6640759
244;16.8560505
245;20.9921989
246;19.3885479
247;18.2253571
248;17.6064796
249;16.0523605
250;15.5911322
251;15.5900669
252;15.9069614
253;15.1597281
254;15.540535
255;16.7415409
256;18.9321156
257;21.1940556
258;21.7543449
259;20.6348267
260;19.592535
261;15.6326761
262;7.50684071
263;8.74353123
264;12.0938234
265;11.9347277
266;12.0858345
267;12.8726521
268;16.7421741
269;19.3269596
270;18.3247967
271;17.5978889
272;17.2111359
273;16.2399292
274;15.9516954
275;15.9510307
276;16.149065
277;15.6821003
278;15.9200754
279;16.6706161
280;18.0395584
281;19.4531021
282;19.8032436
283;19.1036263
284;18.4522724
285;15.9776554
286;10.8996153
287;11.6724548
288;13.0739698
289;12.9019804
290;13.0653343
291;13.9159193
292;18.0990467
293;20.8933163
294;19.8099327
295;19.0241127
296;18.6060181
297;17.556097
298;17.244503
299;17.2437859
300;17.4578686
301;16.9530582
302;17.2103195
303;18.0216866
304;19.5015774
305;21.0296841
306;21.4082012
307;20.6518841
308;19.9477406
309;17.2725677
310;11.7829771
311;12.6184511
312;11.6219463
313;11.469059
314;11.6142693
315;12.3703871
316;16.0889282
317;18.5728588
318;17.6098003
319;16.911253
320;16.5395947
321;15.6062794
322;15.3292923
323;15.3286524
324;15.51896
325;15.0702162
326;15.2989063
327;16.0201607
328;17.3356915
329;18.6940823
330;19.0305614
331;18.358242
332;17.7323017
333;15.3542395
334;10.4743338
335;11.2170191
336;16.0093079
337;15.7987041
338;15.9987335
339;17.0402908
340;22.1626053
341;25.5842381
342;24.257618
343;23.2953644
344;22.7833977
345;21.4977531
346;21.1162014
347;21.1153202
348;21.37747
349;20.7593231
350;21.0743446
351;22.0678787
352;23.8800316
353;25.7512207
354;26.2147255
355;25.288599
356;24.426363
357;21.1505661
