Groesse;Wert
Lauf.ID_Projekt;1018
Sim.Restwaerme;0
Sim.Reststrom;-14.958663
Sim.bSimulationWP;False
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;True
Sim.bSimulationPV;False
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;22.388
Puffer.Ladung_gesamt;38374.3106
Puffer.Entladung_gesamt;36037.6236
Puffer.Verluste_gesamt;2315.68281
Puffer.SOC_Mittel;20.9986768
Puffer.SOC_Max;21.0041828
Puffer.Vollzyklen;1714.05711
Sim.Speicher_Anzahl;1
Ergebnis.ID_Projekt;1018
Ergebnis.Bezeichner;Simulation BHKW Test München
Ergebnis.ID_Klimaregion;1018047
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;False
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;True
Ergebnis.Sim_PV;False
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;46.87
Energiebedarf.Waermelast_Max;34.09
Energiebedarf.Strombedarf_Gesamt;0
Energiebedarf.Strombedarf_Max;0
Energiebedarf.Waermerestbedarf;0
Energiebedarf.Stromrestbedarf;-14.96
BHKW.Waermebedarf;46.87
BHKW.Restwaermebedarf;15.76
BHKW.Strombedarf;0
BHKW.Reststrombedarf;-14.96
BHKW.Waermeproduktion;31.77
BHKW.Waermeueberschuss;0
BHKW.Stromproduktion;14.96
BHKW.Betriebsstunden_Gesamt;1031.63
BHKW.Betriebsstunden_Durchschnitt;1031.63
BHKW.Waermebedarfsdeckung;66.37
BHKW.Strombedarfsdeckung;0
BHKW.Gasverbrauch;1.58
BHKW.Oelverbrauch;0
BHKW.Koks;0
BHKW.Rapsoelverbrauch;0
BHKW.Holzverbrauch;0
BHKW.Kohle;0
BHKW.Sonstigverbrauch;0
BHKW.Pellets;0
BHKW.TierischeFette;0
BHKW.VbhElektrisch;1031.63
BHKWModul[0].Modul;EC-POWER XRGI 15
BHKWModul[0].Waermeproduktion;31.77
BHKWModul[0].Stromproduktion;14.96
BHKWModul[0].Brennstoff;Gas
BHKWModul[0].Verbrauch;1.58
BHKWModul[0].carrier_id;63
BHKWModul[0].VbhThermisch;1031.63
BHKWModul[0].VbhElektrisch;1031.63
Heizkessel.Waermebedarf;46.87
Heizkessel.Restwaermebedarf;31.11
Heizkessel.Waermeproduktion;17.43
Heizkessel.Strombedarf;0
Heizkessel.Reststrombedarf;0
Heizkessel.Waermebedarfsdeckung;33.63
Heizkessel.Stromverbrauch;0
Heizkessel.Maximale_Kesselleistung;80
Heizkessel.Gasspitze;9.19
Heizkessel.Gasverbrauch;17.43
Heizkessel.Oelverbrauch;0
Heizkessel.Koks;0
Heizkessel.Rapsoelverbrauch;0
Heizkessel.Holzverbrauch;0
Heizkessel.Kohle;0
Heizkessel.Sonstigverbrauch;0
Heizkessel.Pellets;0
Heizkessel.TierischeFette;0
Heizkessel.Quellwaerme;0
HeizkesselModul[0].Modul;Vitocrossal 200 CM2 raumluftabh�ngig
HeizkesselModul[0].Waerme_Gas;17.43
HeizkesselModul[0].Waerme_Oel;0
HeizkesselModul[0].Brennstoff;
HeizkesselModul[0].Verbrauch;0
HeizkesselModul[0].Jahresnutzungsgrad;100
HeizkesselModul[0].carrier_id;
HeizkesselModul[0].Waermeproduktion;0
Pufferspeicher[0].ID_Pufferspeicher;1054168
Pufferspeicher[0].Bezeichner;Stora B 1000-6 ER 1 B
Pufferspeicher[0].Verwendung;Heizung
Pufferspeicher[0].Q_max;22.39
Pufferspeicher[0].Ladung_gesamt;38374.31
Pufferspeicher[0].Entladung_gesamt;36037.62
Pufferspeicher[0].Verluste_gesamt;2315.68
Pufferspeicher[0].SOC_Ende;21
Pufferspeicher[0].SOC_Mittel;21
Pufferspeicher[0].SOC_Max;21
Pufferspeicher[0].Vollzyklen;1714.06
Vektor.waermebedarf.Summe;46869.3082
Vektor.waermebedarf_gebaeude.Summe;46869308.3
Vektor.waermebedarf_brauchwasser.Summe;0
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;0
Vektor.waermebedarf_dauerlinie.Summe;137497.786
Vektor.stundentemperatur.Summe;83874.19
Vektor.restwaerme.Summe;0
Vektor.strombedarf_viertelstunde.Summe;0
Vektor.reststrom_viertelstunde.Summe;-59834.6506
Vektor.puffer_soc.Summe;183948.409
Vektor.puffer_ladung.Summe;38374.3105
Vektor.puffer_entladung.Summe;36037.6237
Vektor.kessel_waermebedarf.Summe;46869.3082
Vektor.kessel_leistung.Summe;17431.7334
Vektor.kessel_restwaerme.Summe;11749.3807
Vektor.kessel_strom.Summe;0
Vektor.bhkw_waermebedarf.Summe;46869.3082
Vektor.bhkw_waerme.Summe;31774.2619
Vektor.bhkw_strom.Summe;14958.6626
Vektor.bhkw_restwaerme.Summe;15763.2874
