Index;Wert
0;-14.5
1;-14.5
2;-14.5
3;-14.5
4;-6.03821564
5;-6.03821564
6;-6.03821564
7;-6.03821564
8;-4.8589201
9;-4.8589201
10;-4.8589201
11;-4.8589201
12;-5.80580807
13;-5.80580807
14;-5.80580807
15;-5.80580807
16;-6.75269556
17;-6.75269556
18;-6.75269556
19;-6.75269556
20;-9.59335804
21;-9.59335804
22;-9.59335804
23;-9.59335804
24;-11.4871349
25;-11.4871349
26;-11.4871349
27;-11.4871349
28;-9.59335804
29;-9.59335804
30;-9.59335804
31;-9.59335804
32;-6.75269604
33;-6.75269604
34;-6.75269604
35;-6.75269604
36;-6.75269556
37;-6.75269556
38;-6.75269556
39;-6.75269556
40;-4.8589201
41;-4.8589201
42;-4.8589201
43;-4.8589201
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;-4.8589201
61;-4.8589201
62;-4.8589201
63;-4.8589201
64;-6.75269556
65;-6.75269556
66;-6.75269556
67;-6.75269556
68;-9.59335804
69;-9.59335804
70;-9.59335804
71;-9.59335804
72;-11.4871349
73;-11.4871349
74;-11.4871349
75;-11.4871349
76;-11.487134
77;-11.487134
78;-11.487134
79;-11.487134
80;-9.59335899
81;-9.59335899
82;-9.59335899
83;-9.59335899
84;-9.59335804
85;-9.59335804
86;-9.59335804
87;-9.59335804
88;-7.69958305
89;-7.69958305
90;-7.69958305
91;-7.69958305
92;-7.69958258
93;-7.69958258
94;-7.69958258
95;-7.69958258
96;-5.99785376
97;-5.99785376
98;-5.99785376
99;-5.99785376
100;-5.01895809
101;-5.01895809
102;-5.01895809
103;-5.01895809
104;-5.01895809
105;-5.01895809
106;-5.01895809
107;-5.01895809
108;-5.99785328
109;-5.99785328
110;-5.99785328
111;-5.99785328
112;-6.97674942
113;-6.97674942
114;-6.97674942
115;-6.97674942
116;-9.91343403
117;-9.91343403
118;-9.91343403
119;-9.91343403
120;-11.8712254
121;-11.8712254
122;-11.8712254
123;-11.8712254
124;-9.91343403
125;-9.91343403
126;-9.91343403
127;-9.91343403
128;-6.9767499
129;-6.9767499
130;-6.9767499
131;-6.9767499
132;-6.97674942
133;-6.97674942
134;-6.97674942
135;-6.97674942
136;-5.01895809
137;-5.01895809
138;-5.01895809
139;-5.01895809
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;0
154;0
155;0
156;-5.01895809
157;-5.01895809
158;-5.01895809
159;-5.01895809
160;-6.97674942
161;-6.97674942
162;-6.97674942
163;-6.97674942
164;-9.91343403
165;-9.91343403
166;-9.91343403
167;-9.91343403
168;-11.8712254
169;-11.8712254
170;-11.8712254
171;-11.8712254
172;-11.8712244
173;-11.8712244
174;-11.8712244
175;-11.8712244
176;-9.91343498
177;-9.91343498
178;-9.91343498
179;-9.91343498
180;-9.91343403
181;-9.91343403
182;-9.91343403
183;-9.91343403
184;-7.95564413
185;-7.95564413
186;-7.95564413
187;-7.95564413
188;-7.95564318
189;-7.95564318
190;-7.95564318
191;-7.95564318
192;-5.5173974
193;-5.5173974
194;-5.5173974
195;-5.5173974
196;-4.61857748
197;-4.61857748
198;-4.61857748
199;-4.61857748
200;-4.61857748
201;-4.61857748
202;-4.61857748
203;-4.61857748
204;-4.61857748
205;-4.61857748
206;-4.61857748
207;-4.61857748
208;-4.61857748
209;-4.61857748
210;-4.61857748
