Index;Wert
0;0
1;0
2;0
3;6.87249994
4;6.87249994
5;6.87249994
6;6.87249994
7;0
8;5.28520616E-07
9;0
10;0
11;5.49943991E-07
12;1.40499378E-06
13;0
14;4.18108101E-07
15;2.9003894E-07
16;0
17;0
18;0
19;6.53529298E-07
20;1.50669578E-07
21;0
22;9.02134104E-07
23;0
24;0
25;6.87249994
26;6.87249994
27;6.87249994
28;6.87249994
29;6.87249994
30;6.87249994
31;4.16879988
32;0
33;1.39369362E-07
34;3.93624276E-07
35;2.9003894E-07
36;0
37;0
38;0
39;0
40;6.87249994
41;0
42;5.29519987
43;1.50669578E-07
44;0
45;7.23213986E-07
46;0
47;0
48;6.87249994
49;6.87249994
50;6.87249994
51;6.87249994
52;6.87249994
53;6.87249994
54;6.87249994
55;1.45891821
56;3.20316935
57;0.0190485157
58;0
59;0
60;0
61;6.87249994
62;6.87249994
63;6.87249994
64;6.87249994
65;6.87249994
66;1.88158286
67;4.57679367
68;0
69;4.68959058E-07
70;0
71;0
72;6.87249994
73;6.87249994
74;6.87249994
75;6.87249994
76;6.87249994
77;6.87249994
78;6.87249994
79;0.0889230669
80;0
81;1.01136959E-06
82;8.21149229E-07
83;7.53347891E-08
84;0
85;0
86;0
87;6.87249994
88;0
89;6.87249994
90;2.41654801
91;3.99274398E-07
92;5.78194488E-07
93;0
94;0
95;0
96;6.87249994
97;6.87249994
98;6.87249994
99;6.87249994
100;6.87249994
101;6.87249994
102;6.87249994
103;3.71461916
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;6.87249994
113;0.121369988
114;3.79920864
115;0
116;1.2599744E-06
117;4.85909425E-07
118;5.27343538E-08
119;0
120;0
121;6.87249994
122;6.87249994
123;6.87249994
124;6.87249994
125;6.87249994
126;6.87249994
127;3.54153275
128;5.09451525E-07
129;2.14704158E-07
130;1.57261377E-06
131;0
132;0
133;0
134;0
135;0
136;6.87249994
137;0.749130964
138;2.41594601
139;0
140;1.9775382E-07
141;2.18000054E-07
142;0
143;0
144;0
145;6.87249994
146;6.87249994
147;6.87249994
148;6.87249994
149;6.87249994
150;6.87249994
151;6.10146379
152;7.52406208E-07
153;0
154;1.33719254E-07
155;1.50292908E-06
156;0
157;0
158;6.87249994
159;0
160;6.87249994
161;0
162;6.87249994
163;1.3332051
164;0
165;0
166;0
167;0
168;4.64138651
169;2.2030642
170;4.42038202
171;2.4212904
172;4.64138651
173;2.2030642
174;6.87249994
175;6.87249994
176;0
177;6.87249994
178;0
179;6.87249994
180;6.87249994
181;6.87249994
182;6.87249994
183;6.87249994
184;6.87249994
185;6.87249994
186;6.87249994
187;6.87249994
188;6.87249994
189;6.87249994
190;6.87249994
191;4.86239195
192;1.98483729
193;6.87249994
194;6.87249994
195;6.87249994
196;6.87249994
197;6.87249994
198;6.87249994
199;2.78738725E-07
200;0
201;0
202;0
203;1.50669578E-07
204;0
205;4.68959058E-07
206;1.01136959E-06
207;0
208;0.131603584
209;1.02248347
210;1.16768922E-06
211;0
212;0
213;1.49162884E-06
214;1.32400896E-06
215;0
216;0
217;6.87249994
218;6.87249994
219;6.87249994
220;6.87249994
221;6.87249994
222;6.87249994
223;2.63825035
224;7.53347891E-08
225;0
226;3.84207425E-07
227;0
228;0
229;0
230;6.87249994
231;6.87249994
232;6.87249994
233;6.87249994
234;4.19443798
235;0
236;1.05468708E-07
237;0
238;0
239;0
240;6.87249994
241;6.87249994
242;6.87249994
243;6.87249994
244;6.87249994
245;6.87249994
246;6.87249994
247;5.93673468
248;1.59521414E-06
249;0
250;0
251;5.49943991E-07
252;0
253;0
254;0
255;6.87249994
256;6.60906219
257;0
258;6.87249994
259;0
260;1.40499378E-06
261;1.16768922E-06
262;0
263;0
264;6.87249994
265;6.87249994
266;6.87249994
267;6.87249994
268;6.87249994
269;6.87249994
270;6.87249994
271;5.28555632
272;0
273;2.9003894E-07
274;0
275;6.53529298E-07
276;0
277;0
278;0
279;0
280;6.87249994
281;0
282;5.39264393
283;0
284;5.83844617E-08
285;0
286;0
287;0
288;6.63995218
289;6.87249994
290;6.87249994
291;6.87249994
292;6.87249994
293;6.87249994
294;6.87249994
295;1.99767792
296;1.01796138E-06
297;1.28069146E-07
298;2.03403928E-07
