Index;Wert
0;684.591553
1;1071.70459
2;1052.96973
3;1076.48279
4;997.574219
5;772.674805
6;673.563477
7;1096.86218
8;1143.74365
9;1110.02258
10;983.21698
11;549.258606
12;659.353149
13;1028.70068
14;1126.979
15;1145.19971
16;1059.40845
17;741.419617
18;751.57782
19;1133.82874
20;1187.89746
21;1032.62
22;943.357666
23;1672.62207
24;473.66803
25;300.012543
26;221.775421
27;144.014755
28;136.673737
29;141.692627
30;156.786774
31;179.950439
32;203.613159
33;284.677338
34;181.188507
35;167.617172
36;217.843262
37;149.458145
38;150.631775
39;152.02562
40;141.245224
41;175.235825
42;304.970581
43;831.569275
44;1130.37195
45;1081.84131
46;1072.51343
47;833.539673
48;733.605591
49;1085.84607
50;1193.13586
51;1076.26404
52;961.993347
53;644.013794
54;656.673035
55;1148.18298
56;1191.54993
57;1103.17444
58;995.299438
59;682.646301
60;703.011719
61;975.627502
62;964.330566
63;775.757996
64;490.269379
65;503.2229
66;562.46283
67;231.769226
68;187.844391
69;183.921631
70;215.354614
71;368.301727
72;227.298126
73;157.539154
74;134.054779
75;132.041458
76;135.187561
77;138.717148
78;157.905487
79;636.722351
80;895.427063
81;891.926208
82;982.066345
83;661.526245
84;672.819885
85;1122.07764
86;1224.55066
87;1071.94702
88;1107.09619
89;752.622742
90;717.283142
91;1015.60004
92;1215.18372
93;905.481873
94;994.519043
95;659.951233
96;477.191528
97;338.924469
98;131.73085
99;127.795685
100;127.486267
101;132.947311
102;173.608154
103;528.229736
104;547.264038
105;515.019531
106;431.237183
107;261.490051
108;210.895493
109;136.665878
110;160.071472
111;155.389709
112;131.623367
113;199.031525
114;319.244171
115;210.263077
116;320.103821
117;222.304306
118;377.256775
119;421.477051
120;288.360443
121;528.737183
122;669.195557
123;770.642883
124;873.847717
125;658.73291
126;702.825745
127;1007.54083
128;1088.36169
129;1090.73853
130;934.126221
131;720.839233
132;842.606018
133;989.289917
134;1145.68286
135;1263.76501
136;1044.1521
137;734.807007
138;702.994141
139;1162.30115
140;1193.65466
141;1111.15369
142;1067.46143
143;808.477356
144;796.588562
145;1078.18994
146;1040.85852
147;850.493591
148;495.168335
149;462.341705
150;395.205688
151;146.972504
152;173.104935
153;173.215271
154;148.052032
155;156.444122
156;255.193787
157;284.53125
158;275.86792
159;150.682465
160;142.619125
161;223.940643
162;263.223816
163;864.302917
164;1008.79004
165;1021.36755
166;1082.78955
167;847.350525
168;584.248657
169;990.099243
170;1103.24475
171;1097.15149
172;1033.1543
173;638.482544
174;647.44928
175;1094.5647
176;1175.04797
177;1040.91296
178;959.38147
179;673.727783
180;707.80896
181;1073.16504
182;1123.17554
183;1049.28394
184;981.126404
185;695.129456
186;748.76355
187;1023.98236
188;846.078796
189;577.814636
190;667.071899
191;602.385803
192;432.426971
193;219.252686
194;206.753647
195;186.504105
196;130.172684
197;134.442535
198;149.537262
199;171.200485
200;194.113663
201;275.646179
202;171.769104
203;159.436295
204;219.310471
205;472.24353
206;710.418274
207;818.729553
208;694.642944
209;658.530212
210;771.746399
211;1056.67969
212;1094.53516
213;1096.26196
214;1058.68799
215;847.502258
216;705.264282
217;1013.75122
218;1153.28235
219;1029.11487
220;939.237122
221;685.957703
222;647.114441
223;1127.87781
224;1228.54651
225;1100.67126
226;1049.95911
227;752.08429
228;723.108826
229;1027.24072
230;1117.55676
231;962.255432
232;746.692444
233;513.710449
234;593.96814
235;356.448761
236;310.500641
237;233.304443
238;216.968491
239;364.411407
240;218.170532
241;148.341476
242;126.84201
243;125.878242
244;128.377258
245;128.928055
246;163.13031
247;762.993713
248;885.464539
249;894.271545
250;944.217285
251;665.358826
252;720.308655
253;1091.45544
254;1288.18396
255;1113.03918
256;1072.59619
257;743.651306
258;699.135132
259;1129.19226
260;1259.79614
261;1119.10376
262;1259.65686
263;918.813477
264;812.137878
265;1109.26648
266;1099.64331
267;938.733215
268;756.694397
269;723.831665
270;747.39624
271;1158.96692
272;1076.75256
273;1028.26062
274;774.317444
275;665.15509
276;448.756836
277;283.967499
278;313.605255
279;238.950256
280;172.642105
281;223.986511
282;337.981445
283;227.511292
284;331.103882
285;235.804199
286;391.506897
287;436.478088
288;306.360596
289;589.944824
290;722.290894
291;735.631348
292;798.751404
293;701.438232
294;734.055908
295;991.817017
296;1031.25342
297;953.069763
298;811.986023
299;700.00769
300;836.461243
301;1016.89001
302;1102.73645
303;1095.01611
304;806.402161
305;730.341309
306;647.568787
307;1133.9873
308;1114.99597
309;987.204285
310;1019.4455
311;806.487854
312;800.279785
313;1088.81543
314;1081.23181
315;795.334717
316;557.368164
317;473.965027
318;382.479492
319;220.803513
320;263.902069
321;231.490341
322;167.930756
323;172.967865
324;270.677094
325;298.408325
326;289.863464
327;163.636627
328;157.619064
329;238.889038
330;279.675201
331;661.567322
332;870.997925
333;980.817749
334;1063.52307
335;802.797302
336;499.168152
337;715.585571
338;771.494141
339;777.860352
340;643.492798
341;613.234131
342;636.870911
343;987.97467
344;968.163818
345;1028.55579
346;973.234497
347;691.905762
348;720.547913
349;1114.39795
350;1107.62195
351;1035.63867
352;917.144409
353;698.83313
354;762.430115
355;1113.67712
356;1139.71289
357;1055.64661
358;896.602783
359;720.092834
360;399.37439
361;226.196609
362;245.97821
363;177.20993
364;149.106766
365;152.116898
366;166.421234
367;187.845367
368;208.790604
369;290.911041
370;189.748932
371;172.591919
372;256.719666
373;698.35083
374;763.768738
375;630.295288
376;573.1745
377;473.146545
378;761.114868
379;1121.25134
380;1082.53101
381;893.456726
382;870.059143
383;813.287842
384;731.317566
385;1152.99292
386;1114.64062
387;829.288635
388;756.797974
389;690.617554
390;730.244385
391;1278.63013
392;1329.88025
393;978.088013
394;874.330444
395;742.533325
396;783.451782
397;1293.08911
398;1237.25134
399;975.322388
400;775.85791
401;640.375671
402;614.901367
403;346.333374
404;283.874054
405;237.695923
406;225.347809
407;373.478394
408;232.891754
409;160.80249
410;138.392044
411;138.079926
412;140.835785
413;145.808533
414;191.470306
415;825.040527
416;998.001953
417;926.422791
418;910.611572
419;665.441833
420;681.369568
421;1278.30579
422;1396.00671
423;1118.01453
424;1052.25732
425;738.679565
426;706.007324
427;1212.80505
428;1316.59375
429;947.847778
430;1018.79456
431;834.070862
432;701.089417
433;1116.90625
434;1147.50122
435;927.602966
436;813.281311
437;637.042419
438;691.682739
439;1172.08276
440;1164.58618
441;1005.52905
442;875.614929
443;717.43811
444;601.097595
445;395.72403
446;393.200256
447;215.550079
448;149.170563
449;210.197357
450;329.57428
