Index;Wert
0;26.6195374
1;25.6642303
2;26.5715771
3;31.2961655
4;54.5313911
5;70.0522079
6;65.880043
7;64.2834167
8;66.5748138
9;66.2794952
10;68.2397232
11;69.1584625
12;66.6566238
13;61.0844193
14;63.4361267
15;69.7883606
16;79.8539352
17;87.4190674
18;85.8305664
19;76.0931244
20;67.5682373
21;50.8634529
22;21.7399998
23;24.0893631
24;23.5924358
25;22.6769409
26;23.5464706
27;28.0741138
28;50.3408051
29;65.2146301
30;60.9472809
31;59.7632866
32;57.5377731
33;52.6988106
34;51.7899361
35;51.7861061
36;53.675396
37;50.2385864
38;51.6079826
39;56.67659
40;66.8032074
41;79.4356461
42;85.9488678
43;84.921936
44;79.6743317
45;57.1874237
46;22.0860004
47;22.0680008
48;22.0499992
49;22.0419998
50;22.026001
51;21.9960003
52;31.6498508
53;50.7036362
54;43.3161774
55;37.9577675
56;37.075016
57;33.1956482
58;31.8206615
59;31.8157673
60;34.0253067
61;29.8333435
62;31.5875874
63;37.8699188
64;50.2103043
65;65.1286316
66;72.2080841
67;70.0497665
68;63.7488403
69;37.2601547
70;21.6820011
71;21.6580009
72;21.6040001
73;21.5680008
74;21.5559998
75;21.566
76;40.3647575
77;61.5569878
78;53.3404236
79;47.3806114
80;46.1778908
81;41.4950294
82;39.8815689
83;39.8761215
84;42.2495041
85;37.6712112
86;39.6223297
87;46.5256119
88;59.9985695
89;76.0863571
90;83.4554901
91;80.7183609
92;73.8785477
93;45.3425407
94;21.644001
95;21.5760002
96;21.4899998
97;21.3840008
98;21.2980003
99;25.2396927
100;46.6543541
101;60.9590416
102;55.412899
103;51.3900414
104;51.2975807
105;49.1229439
106;48.2775421
107;48.2738609
108;50.119545
109;46.7855568
110;48.1025543
111;53.0059052
112;62.831089
113;75.1522827
114;81.5884094
115;80.7155151
116;75.6113434
117;53.6693153
118;21.6570015
119;21.6429996
120;21.618
121;21.5779991
122;21.5200005
123;25.6910248
124;47.2413521
125;61.6366692
126;57.5548477
127;56.5054207
128;54.3515091
129;49.6923409
130;48.8368225
131;48.8331223
132;50.6857491
133;47.3353882
134;48.6607246
135;53.5903931
136;63.4635849
137;75.8343353
138;82.2827454
139;81.3853149
140;76.2583008
141;54.2295151
142;21.2260017
143;21.3460007
144;21.3059998
145;21.3500004
146;21.2999992
147;21.5481186
148;41.8530922
149;55.4165268
150;50.1577759
151;48.7898521
152;55.2715187
153;55.6539841
154;57.4287872
155;57.425293
156;54.0814247
157;50.5353203
158;52.8798256
159;59.0097351
160;68.3846741
161;76.8978729
162;76.5436859
163;67.3937073
164;56.3054771
165;38.9371109
166;22.0639992
167;21.9880009
168;21.9039993
169;21.9300003
170;21.9659996
171;21.9400005
172;21.868
173;28.2143097
174;24.3660831
175;21.7280025
176;27.0092831
177;31.1242142
178;33.7083969
179;34.6285858
180;31.6980515
181;27.1367035
182;28.973259
183;33.7007675
184;40.8029289
185;45.308094
186;42.9616356
187;34.7386856
188;27.6238022
189;21.8800011
190;21.8199997
191;21.6860008
192;21.7000008
193;21.723999
194;21.7479992
195;25.2345734
196;46.6476898
197;60.9513512
198;55.4056015
199;51.3830338
200;51.2907295
201;49.1164894
202;48.271183
203;48.267498
204;50.1131096
205;46.7793121
206;48.0962067
207;52.9992561
208;62.8239098
209;75.1445389
210;81.5805206
211;80.7079086
212;75.6039886
213;53.6629601
214;21.6090012
