Groesse;Wert
Lauf.ID_Projekt;1026
Sim.Restwaerme;0
Sim.Reststrom;21.9313049
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;False
Sim.bSimulationPV;True
Sim.bSimulationSSP;True
Sim.PufferWP_vorhanden;False
Sim.Speicher_Anzahl;1
Ergebnis.ID_Projekt;1026
Ergebnis.Bezeichner;Simulation Beispiel WP WG 1
Ergebnis.ID_Klimaregion;1020036
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;True
Ergebnis.Sim_Stromspeicher;True
Energiebedarf.Waermebedarf_Gesamt;64.31
Energiebedarf.Waermelast_Max;38.6
Energiebedarf.Strombedarf_Gesamt;8
Energiebedarf.Strombedarf_Max;3.79
Energiebedarf.Waermerestbedarf;0
Energiebedarf.Stromrestbedarf;21.93
Waermepumpe.Waermebedarf;64.31
Waermepumpe.Restwaermebedarf;13.65
Waermepumpe.Waermeproduktion_WP;51.3
Waermepumpe.Stromverbrauch_WP;19.37
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;0
Waermepumpe.Min_Spitzenkesselleistung;28.94
Waermepumpe.Waermebedarfsdeckung;78.77
Waermepumpe.Vollbenutzungsstunden;4352.09
Waermepumpe.Bivalenzpunkt;10.5
WaermepumpeModul[0].Modul;CS6800iAW MB + AW 10 OR-T
WaermepumpeModul[0].Leistung;11
WaermepumpeModul[0].Waermeproduktion;51.3
WaermepumpeModul[0].Stromverbrauch;19.37
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;4352.09
Heizkessel.Waermebedarf;13.65
Heizkessel.Restwaermebedarf;0
Heizkessel.Waermeproduktion;13.65
Heizkessel.Strombedarf;27.37
Heizkessel.Reststrombedarf;27.37
Heizkessel.Waermebedarfsdeckung;21.23
Heizkessel.Stromverbrauch;0
Heizkessel.Maximale_Kesselleistung;80
Heizkessel.Gasspitze;28.94
Heizkessel.Gasverbrauch;13.65
Heizkessel.Oelverbrauch;0
Heizkessel.Koks;0
Heizkessel.Rapsoelverbrauch;0
Heizkessel.Holzverbrauch;0
Heizkessel.Kohle;0
Heizkessel.Sonstigverbrauch;0
Heizkessel.Pellets;0
Heizkessel.TierischeFette;0
Heizkessel.Quellwaerme;0
HeizkesselModul[0].Modul;Vitocrossal 200 CM2 raumluftabh�ngig
HeizkesselModul[0].Waerme_Gas;13.65
HeizkesselModul[0].Waerme_Oel;0
HeizkesselModul[0].Brennstoff;
HeizkesselModul[0].Verbrauch;0
HeizkesselModul[0].Jahresnutzungsgrad;100
HeizkesselModul[0].carrier_id;63
HeizkesselModul[0].Waermeproduktion;0
Photovoltaik.Strombedarf;27.37
Photovoltaik.Reststrombedarf;21.93
Photovoltaik.Stromproduktion;4.35
Photovoltaik.Strombedarfsdeckung;15.9
Photovoltaik.Ueberschuss;2.36
Photovoltaik.MaxSolareLeistung;1058.9
PhotovoltaikModul[0].Modul;Jinkosolar JKM 260P-60
PhotovoltaikModul[0].Flaeche;32.74
PhotovoltaikModul[0].Anzahl;20
PhotovoltaikModul[0].Stromproduktion;6.71
Pufferspeicher[0].ID_Pufferspeicher;1054165
Pufferspeicher[0].Bezeichner;allSTOR exclusiv VPS 800/3-7
Pufferspeicher[0].Verwendung;Kombi
Pufferspeicher[0].Q_max;9.02
Pufferspeicher[0].Ladung_gesamt;22199.2
Pufferspeicher[0].Entladung_gesamt;21561.85
Pufferspeicher[0].Verluste_gesamt;631.88
Pufferspeicher[0].SOC_Ende;5.48
Pufferspeicher[0].SOC_Mittel;6.44
Pufferspeicher[0].SOC_Max;8.48
Pufferspeicher[0].Vollzyklen;2459.8
Vektor.waermebedarf.Summe;64314.8199
Vektor.waermebedarf_gebaeude.Summe;59314814.5
Vektor.waermebedarf_brauchwasser.Summe;5000.00553
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;0
Vektor.waermebedarf_dauerlinie.Summe;166615.072
Vektor.stundentemperatur.Summe;86502.49
Vektor.restwaerme.Summe;0
Vektor.strombedarf_viertelstunde.Summe;32000.0147
Vektor.reststrom_viertelstunde.Summe;87725.2218
Vektor.wp_waermebedarf.Summe;64314.8199
Vektor.wp_produktion.Summe;51299.9854
Vektor.wp_strom.Summe;19374.2488
Vektor.heizstab.Summe;0
Vektor.wp_restwaerme.Summe;13652.187
Vektor.wp_quellentemperatur.Summe;86502.49
Vektor.wp_warmwasserbedarf.Summe;5000.00553
Vektor.kessel_waermebedarf.Summe;13652.187
Vektor.kessel_leistung.Summe;13652.187
Vektor.kessel_restwaerme.Summe;0
Vektor.kessel_strom.Summe;0
Vektor.pv_produktion.Summe;4351.18371
Vektor.pv_produktion_theoretisch.Summe;6713.37239
Vektor.pv_ueberschuss.Summe;2362.18868
Vektor.pv_reststrom.Summe;23023.0687
Vektor.pv_strombedarf.Summe;27374.2525
Vektor.ssp_gespeichert_viertelstunde.Summe;76002.4061
Vektor.pv_speicherfuellstand.Summe;19000.6015
