Index;Wert
0;5.34450102
1;3.65212226
2;2.62228179
3;2.61047745
4;2.59092426
5;3.01960683
6;5.01893902
7;5.33134413
8;5.33781052
9;5.1033659
10;5.20854902
11;4.43551302
12;5.26268005
13;4.82222652
14;4.67776442
15;5.13683891
16;5.33499956
17;5.36495399
18;6.14285946
19;6.52707767
20;6.56766319
21;5.89121962
22;7.36077785
23;6.43130016
24;3.76705074
25;2.57737064
26;2.59118128
27;2.59331441
28;2.65747356
29;3.13470197
30;5.37686062
31;5.69312191
32;5.89112043
33;6.89004469
34;5.35244703
35;4.80039549
36;5.53451204
37;5.21005917
38;5.2539134
39;5.3424449
40;5.24509048
41;5.55503464
42;7.01100922
43;6.8482275
44;6.32099056
45;5.92695856
46;6.36596346
47;6.97207642
48;4.08967352
49;2.27999353
50;2.28633356
51;2.27877235
52;2.32813144
53;2.70198083
54;5.29218817
55;6.12700701
56;5.84422255
57;5.2267065
58;4.78411674
59;3.59753489
60;4.99454689
61;4.33229733
62;3.85142446
63;5.43298054
64;5.52669525
65;5.75378942
66;7.39819527
67;6.1776104
68;5.61036539
69;5.61606646
70;5.97835398
71;7.76986217
72;4.67409039
73;2.86075449
74;2.6047132
75;2.57502198
76;2.60575819
77;2.97970581
78;5.17691278
79;5.58183765
80;4.99358273
81;4.50076199
82;3.40353036
83;4.44423819
84;5.3288703
85;5.477808
86;7.42488384
87;6.55992937
88;7.39735126
89;6.14445972
90;5.69701052
91;6.12827778
92;7.3528676
93;5.84000015
94;8.40995598
95;7.07474422
96;4.48703909
97;2.68831468
98;2.63615775
99;2.65217257
100;2.69348764
101;3.16733408
102;5.52775908
103;5.66250467
104;4.61986303
105;5.19072342
106;6.2979002
107;4.83208466
108;5.65250826
109;5.02269697
110;5.33765936
111;5.41017962
112;5.11739159
113;5.80783272
114;7.32870007
115;6.03957796
116;7.29087067
117;6.16389561
118;8.03573036
119;8.53004456
120;5.92255402
121;2.77823138
122;2.72878027
123;2.72985506
124;2.76131415
125;3.24991107
126;5.57830334
127;5.57173204
128;4.70299292
129;4.29077816
130;4.80236053
131;3.66807699
132;6.57358456
133;3.9372406
134;4.96623993
135;6.4963212
136;5.35272837
137;5.66217184
138;5.62821865
139;5.91477394
140;5.70310593
141;5.58073425
142;6.35196543
143;6.60647917
144;5.89315891
145;2.94342256
146;2.82585478
147;2.71967101
148;2.62180591
149;3.04873371
150;5.05312967
151;5.06081772
152;4.48364639
153;3.66331005
154;4.00062799
155;4.68457699
156;6.28393698
157;6.83559895
158;6.38653135
159;5.32388973
160;5.30805349
161;6.17285299
162;6.49140787
163;6.37073708
164;6.75553989
165;7.40386152
166;8.23235893
167;8.58918571
168;3.45814466
169;2.110286
170;2.08872509
171;2.07722425
172;2.14306855
173;2.43178725
174;5.02093887
175;5.33754396
176;4.94879627
177;3.80897546
178;2.91339707
179;2.89508033
180;3.85085011
181;3.8075099
182;4.44537497
183;4.42936993
184;5.36379957
185;5.40095425
186;6.20045948
187;6.61347771
188;6.6292634
189;5.94081926
190;7.39277744
191;6.44002438
192;2.88655162
193;2.51396084
194;2.51707602
195;2.50206232
196;2.55741
197;3.05469441
198;5.40355587
199;5.69619226
200;5.79340792
201;6.59972095
202;5.51847267
203;5.13784933
204;5.77635765
205;4.91506577
206;4.8895359
207;5.13310575
208;5.12262917
209;5.51460695
210;6.98780918
211;6.74902725
212;6.17459059
213;5.84546852
214;6.35057545
215;6.96821022
216;4.39747906
217;2.41096234
218;2.37379789
219;2.330935
220;2.38029432
221;2.76334882
222;5.29731607
223;6.17660713
224;6.16074371
225;5.59674358
226;4.98665428
227;4.74032164
228;4.78845453
229;5.18902731
230;5.27340078
231;5.28770828
232;5.50695705
233;5.76498938
234;7.39339542
235;6.24081039
236;5.6943655
237;5.70905256
238;6.07326603
239;7.83178139
240;4.42912769
241;2.73799706
242;2.48195553
243;2.45226431
244;2.49873209
245;2.91348577
246;5.19193792
247;5.60813379
248;5.34546852
249;5.91931629
250;5.76001835
251;4.34151649
252;5.35984659
253;5.48437929
254;6.68585634
255;6.51099873
256;7.36970711
257;6.22652435
258;5.82981014
259;6.26987839
260;7.47164583
261;5.92472315
262;8.42483521
263;7.01141167
264;4.09244776
265;2.50829077
266;2.45613384
267;2.47214866
268;2.51250076
269;2.97323155
270;5.43272209
271;5.55202198
272;5.22875881
273;5.33789015
274;6.43149662
275;6.32863617
276;5.06709528
277;4.02031326
278;4.60558128
279;5.03197479
280;5.10059166
281;5.83008289
282;7.27621984
283;6.04117823
284;7.29531336
285;6.1578784
286;8.04336548
287;8.58636856
288;5.88671494
289;2.79871917
290;2.74724603
291;2.75338244
292;2.79192281
293;3.29077768
294;5.58246994
295;5.61839867
296;5.54271507
297;5.25793266
298;2.81823206
299;3.3761344
300;6.10307598
301;4.69168806
302;4.64081478
303;6.473104
304;5.36052179
305;5.65467215
306;5.61238575
307;5.92810726
308;5.75560617
309;5.60990047
310;6.34279919
311;6.49814558
312;6.17344522
313;2.98839641
314;2.89785528
315;2.83375049
316;2.86544132
317;3.2526741
318;4.8651228
319;5.00667238
320;4.18228579
321;3.35434818
322;2.43282986
323;2.16567898
324;3.40492082
325;4.32490253
326;5.65893078
327;5.10568333
328;5.30499792
329;6.2370863
330;6.51401138
331;6.41783714
332;6.76076555
333;7.32856178
334;8.1125927
335;8.49815178
336;4.92669725
337;3.21789455
338;3.19572735
339;3.18392324
340;3.16436982
341;3.69424844
342;4.9339385
343;5.27551079
344;5.2490015
345;4.96727228
346;5.32934904
347;4.82727814
348;5.4981184
349;4.5720253
350;5.05707932
351;4.52959394
352;5.14913321
353;5.2147541
354;6.02115917
355;6.41181087
356;6.43506336
357;5.78010941
358;7.26747704
359;6.35151958
360;4.97288752
361;4.09975815
362;3.40977001
363;3.4012413
364;3.45014954
365;4.0703311
366;5.23645449
367;5.57866478
368;5.37001228
369;6.30691862
370;4.28903103
371;4.96081781
372;5.77068186
373;4.86093044
374;4.95217991
375;5.11637688
376;5.0044241
377;5.31993294
378;6.7791338
379;6.60005569
380;6.08550024
381;5.71266842
382;6.18199825
383;6.77096367
384;5.61735725
385;4.87766171
386;3.91670609
387;3.71897507
388;3.77034426
389;4.40403032
390;5.01604939
391;5.89344168
392;5.80212164
393;5.14301014
394;4.27325773
395;4.74980497
396;4.99123383
397;5.36685753
398;5.16522026
399;5.37848997
400;5.2267704
401;5.4248848
402;7.05923939
403;5.94020367
404;5.40810442
405;5.39468718
406;5.72383976
407;7.44002438
408;5.82887173
409;5.07761097
410;4.76475096
411;4.72005987
412;4.74841166
413;4.7229495
414;4.85317421
415;5.24707413
416;4.52882862
417;4.57681561
418;4.49387503
419;3.8817513
420;4.23213339
421;4.69550562
422;6.5817337
423;5.06794643
424;7.06847858
425;5.82155085
426;5.39202833
427;5.75911427
428;6.97844601
429;5.377141
430;7.79290819
431;6.44664764
432;5.0805912
433;4.54947662
434;4.50890493
435;4.52174759
436;4.54852533
437;4.47607327
438;4.87968111
439;5.14787674
440;4.92209148
441;4.9508934
442;6.36740685
443;5.76293612
444;5.24370003
445;4.11419725
446;4.51611805
447;4.8148489
448;4.97572136
449;5.74238586
450;7.21016741
451;5.81996059
452;7.03940868
453;5.84853268
454;7.68784094
455;8.18815804
456;6.5961194
457;4.83688116
458;4.80023623
459;4.77040243
460;4.72414589
461;4.72812319
462;5.19883347
463;5.17423201
464;4.77359486
465;4.40425205
466;4.37302256
467;3.92097616
468;5.70841169
469;3.72995901
470;4.27702713
471;6.30132484
472;5.00461626
473;5.28039408
474;5.2542038
475;5.570683
476;5.46977282
