Index;Wert
0;5.51507759
1;5.49688435
2;5.46049786
3;5.44230461
4;5.46049786
5;6.46585274
6;14.8514481
7;19.5612965
8;21.3747978
9;21.9205952
10;19.7930851
11;17.2107449
12;14.9453297
13;13.812623
14;12.4539566
15;11.7291393
16;12.2279968
17;14.4024448
18;20.6969204
19;22.9153938
20;21.7826862
21;21.1928654
22;14.2463465
23;6.15948153
24;5.46319532
25;5.44874763
26;5.44874763
27;5.44874763
28;5.50653839
29;6.64825153
30;15.6377211
31;20.6671352
32;21.4333324
33;20.9999046
34;18.5574341
35;16.3316784
36;14.4961262
37;13.4699936
38;12.1258945
39;11.4899654
40;11.952405
41;14.149148
42;20.551672
43;22.9219036
44;21.8235321
45;21.2166176
46;14.3226366
47;6.30127335
48;4.83179855
49;4.81735086
50;4.81735086
51;4.81735086
52;4.87514162
53;5.90543175
54;13.9292355
55;18.4386749
56;19.0563068
57;18.622879
58;16.4403954
59;14.4746284
60;12.8619213
61;11.9472122
62;10.7516785
63;10.1900301
64;10.6153288
65;12.5892248
66;18.2860718
67;20.3963165
68;19.4093666
69;18.839592
70;12.7255745
71;5.63273525
72;5.24408293
73;5.22963524
74;5.22963524
75;5.22963524
76;5.28742599
77;6.39047194
78;15.0448275
79;19.893795
80;20.6084366
81;20.1750088
82;17.8227596
83;15.6872272
84;13.9290094
85;12.9415436
86;11.6490021
87;11.0388498
88;11.4884014
89;13.6078091
90;19.7654438
91;22.045454
92;20.9857464
93;20.3917217
94;13.7684107
95;6.06927156
96;5.57843876
97;5.56399107
98;5.56399107
99;5.56399107
100;5.62178183
101;6.7838316
102;15.9495554
103;21.0738735
104;21.8671875
105;21.4337597
106;18.9438362
107;16.6706276
108;14.7944021
109;13.7479315
110;12.3767185
111;11.7272301
112;12.1964493
113;14.4338655
114;20.9651928
115;23.3828773
116;22.2641678
117;21.6504726
118;14.6141338
119;6.4232955
120;5.73267937
121;5.71823168
122;5.71823168
123;5.71823168
124;5.77602243
125;6.9652915
126;16.3669147
127;21.6182556
128;22.4478588
129;22.014431
130;19.4609966
131;17.1242771
132;15.193614
133;14.1199245
134;12.7124195
135;12.0447845
136;12.523077
137;14.8149309
138;21.5186462
139;23.9998398
140;22.8539104
141;22.231144
142;15.0042734
143;6.58660936
144;5.49169016
145;5.47510242
146;5.45851421
147;5.44192648
148;5.47510242
149;6.50959969
150;14.9223146
151;19.6946793
152;21.5440025
153;21.8757629
154;19.4895802
155;16.9375191
156;14.7855825
157;13.6681452
158;12.3164616
