Index;Wert
0;6.1324091
1;5.9103055
2;5.66965055
3;5.77052498
4;5.71121264
5;6.92366266
6;16.4709473
7;18.1766243
8;18.1144104
9;17.7851257
10;17.7496681
11;17.6878166
12;15.8817511
13;14.8107262
14;13.7637634
15;12.6588297
16;12.3593874
17;14.2873526
18;16.1805191
19;16.1011906
20;15.6638489
21;15.7040539
22;15.1861095
23;7.50946903
24;6.54310799
25;5.57291269
26;5.66698599
27;5.54442596
28;5.58927202
29;6.77184772
30;15.9940948
31;17.2164993
32;17.4352474
33;17.2556286
34;17.2347775
35;17.3327522
36;16.087534
37;13.9157925
38;12.5981903
39;12.2416458
40;11.5192947
41;12.9985542
42;14.9649734
43;14.4880819
44;14.4881802
45;14.547821
46;13.6348877
47;6.00916958
48;5.10162544
49;4.35250759
50;4.30551815
51;4.2404232
52;3.91058803
53;3.77974725
54;10.6462479
55;14.2357292
56;14.410697
57;14.2906914
58;13.1489201
59;11.3103867
60;10.4641075
61;9.75121307
62;8.5857935
63;7.16393805
64;7.50190258
65;9.89659023
66;14.450223
67;14.4317226
68;14.5121994
69;14.4727821
70;11.5894356
71;5.59801006
72;4.83251667
73;4.74331951
74;4.77787876
75;4.75646496
76;3.74221539
77;4.47678185
78;11.9577084
79;14.472003
80;14.411993
81;14.3707504
82;14.3097963
83;12.7732611
84;11.1631641
85;10.1684799
86;8.97299671
87;8.42094707
88;8.79120445
89;10.7385807
90;14.4720526
91;14.4721756
92;14.6912651
93;16.3610992
94;14.6067924
95;7.09439754
96;5.95509529
97;5.77803516
98;5.65410471
99;5.86208057
100;6.14944172
101;6.99791336
102;15.957222
103;17.7141247
104;18.0125751
105;18.2085171
106;18.4838638
107;18.0591259
108;16.3027191
109;15.1183958
110;14.0350113
111;13.37076
112;13.2428246
113;14.7044725
114;16.2026939
115;16.1415215
116;16.2017479
117;15.9837341
118;14.5414257
119;7.10160446
120;6.56308746
121;5.91347361
122;5.76428986
123;5.63679647
124;5.56339455
125;7.12325668
126;17.0756798
127;18.9793606
128;19.0552406
129;18.8068695
130;18.5240173
131;18.5788383
132;16.7178421
133;15.9565477
134;14.6556492
135;14.3770733
136;14.4355783
137;14.7187481
138;16.1166153
139;16.0702152
140;16.0464115
141;16.1314926
142;14.9892712
143;7.66770363
144;6.35302639
145;5.90395975
146;5.48777485
147;5.33893871
148;5.37433624
149;6.47552776
150;15.5842628
151;18.6075287
152;18.6086407
153;18.2332077
154;18.2659626
155;17.2898083
156;15.3182354
157;14.9550247
158;14.7756529
159;13.8060904
160;14.2526379
161;13.5889225
162;16.1564369
163;16.0763321
164;16.1958942
165;15.9779615
166;14.0644703
167;5.95673561
168;4.19874716
169;3.94468856
170;3.70796704
171;3.81783009
172;3.83367157
173;4.59989595
174;12.0077934
175;18.1031742
176;18.0311604
177;17.7512226
178;15.8147087
179;13.7914677
180;12.2800112
181;12.3920689
182;12.380619
183;11.6993256
184;11.1827087
185;11.7294226
186;14.8664036
187;14.1238842
188;13.3950586
189;12.6067829
190;10.2220707
191;6.00457382
192;6.38995314
193;5.36042929
194;5.38387299
195;5.24433756
196;5.297616
197;6.54994392
198;15.5513134
199;17.2165527
200;17.4357491
201;17.2540607
202;17.2305832
203;16.5596199
204;14.8241892
205;12.694149
206;11.4649792
207;11.2062397
208;10.7631044
209;12.4235077
210;14.9655495
211;14.4907122
212;14.4922495
213;14.5533066
214;13.9780159
215;6.61658001
216;6.1497221
217;5.38932371
218;5.1755414
219;4.84774446
220;4.17922544
221;3.94135046
222;11.08255
223;14.4091654
224;14.4079914
225;14.2878523
226;13.8763733
227;11.9529991
228;10.995039
229;10.2543678
230;9.13460922
231;7.74922514
232;8.07595825
233;10.5695896
234;14.4503555
235;14.4299364
236;14.5097351
237;14.4695339
238;11.8389416
239;5.34429741
240;4.20932102
241;4.08402824
242;4.14525414
243;4.2187047
244;3.37028074
245;4.33579683
246;11.9820595
247;14.4733562
248;14.4155416
249;14.3756485
250;14.315485
251;13.5585861
252;11.5858479
253;10.0928822
254;8.61110687
255;7.95799398
256;8.40666199
257;10.4171352
258;14.4683857
259;14.4682674
260;14.687664
261;16.3572884
262;14.2083263
263;6.57787895
264;5.1913023
265;5.23407364
