Index;Wert
0;5.93079776
1;5.68345754
2;5.65869731
3;5.66651663
4;5.67303166
5;6.63322078
6;15.2923739
7;19.9504831
8;21.2333434
9;21.4232225
10;19.6313648
11;17.2489668
12;15.2165174
13;13.869292
14;12.7037169
15;11.904604
16;11.9132114
17;14.1828366
18;20.9820755
19;22.6504253
20;22.2753552
21;21.4116173
22;15.5284905
23;7.71848392
24;6.53926063
25;5.70262888
26;5.68047455
27;5.68308112
28;5.68568859
29;6.62702984
30;15.1054643
31;19.6269703
32;20.9320463
33;20.8486431
34;18.7256793
35;16.6894193
36;15.3749146
37;13.4212775
38;12.2538131
39;12.098693
40;11.7965115
41;13.8746687
42;19.9698532
43;22.379168
44;21.3713658
45;20.9568068
46;14.5251002
47;6.73488772
48;5.60322618
49;4.96207052
50;4.91239211
51;4.86460936
52;4.81350884
53;5.60507607
54;12.4974666
55;16.209254
56;17.4711652
57;17.46189
58;15.6535615
59;13.9781548
60;12.9866574
61;12.4127207
62;11.3125552
63;9.79226691
64;9.84544355
65;11.9289925
66;17.1381587
67;18.9438815
68;18.3360611
69;18.3428289
70;13.175869
71;6.7588799
72;5.36370042
73;5.14737411
74;5.14346461
75;5.14085934
76;5.12782821
77;6.00368461
78;13.5610033
79;17.8168823
80;19.5654702
81;19.5824111
82;17.5535115
83;15.1675459
84;13.5630868
85;12.4979246
86;11.2201263
87;10.5810545
88;10.7761361
89;12.5395811
90;18.5183608
91;20.8123388
92;20.0811311
93;19.4859768
94;13.899695
95;6.24555099
96;5.69167855
97;5.64476556
98;5.72816885
99;5.88063884
100;5.83111766
101;6.50973997
102;14.7794037
103;19.3806601
104;20.873652
105;21.4064724
106;18.631667
107;16.2319977
108;14.6519092
109;13.3597593
110;12.2535457
111;11.535718
112;11.6763514
113;13.8037678
114;20.6044816
115;22.7680193
116;21.6059203
117;21.1251621
118;14.5269169
119;7.00776565
120;6.21968377
121;5.66062564
122;5.65671676
123;5.65411085
124;5.66453514
125;6.60666707
126;15.1432841
127;20.0457433
128;21.3806554
129;21.4288729
130;19.1313713
131;16.5505646
132;14.9202504
133;13.9380268
134;12.5302255
135;11.7585599
136;12.0251522
137;14.0664942
138;20.9353368
139;22.6177433
140;21.4139823
141;21.0926565
142;14.5337656
143;7.35939658
144;5.96920437
145;5.61512598
146;5.46227291
147;5.35671753
148;5.36453559
149;6.26437962
150;14.1658159
151;18.5702995
152;19.8187452
153;20.1406282
154;18.1011927
155;15.6016573
156;13.9896218
157;13.2774323
158;12.6180158
159;11.4829528
160;12.1599501
161;13.3966751
162;18.9345374
163;21.2522393
164;20.9244835
165;19.9021485
166;14.7448021
167;6.54976451
168;4.4745366
169;4.03640001
170;4.01163977
171;4.0194591
172;4.2167705
173;4.78524981
174;11.1943619
175;16.1232508
176;16.1206439
177;16.5013199
178;14.6694736
179;13.0102679
180;11.7612381
181;11.5689056
182;11.4979988
183;11.1508236
184;10.8380647
185;11.7518817
186;15.1163118
187;14.5351003
188;14.1701487
189;13.2461796
190;10.6774125
191;6.13165283
192;6.35785365
193;5.52122191
194;5.49906757
195;5.50167415
196;5.50428161
197;6.41360992
198;14.6145977
199;18.9867115
200;20.249103
201;20.1656997
202;18.1174334
203;16.155869
204;14.9053903
205;12.983767
206;11.8589862
207;11.7252084
208;11.4123553
209;13.4264876
210;19.3189247
211;21.6535401
212;20.6777489
213;20.2738635
214;14.0662484
215;6.54280961
216;5.89161396
217;5.2504583
218;5.20077989
219;5.15299714
220;5.10189661
221;5.9443562
222;13.2778106
223;17.2270953
224;18.5568624
225;18.5475872
226;16.6205081
227;14.8263547
228;13.7330735
229;13.1082439
230;11.9402236
231;10.3860055
232;10.456148
233;12.6414807
234;18.1729621
235;20.0974326
236;19.4387203
237;19.428526
238;13.9053211
239;7.06423211
240;5.40715268
241;5.19082637
242;5.18691687
243;5.1843116
244;5.17128047
245;6.05480489
246;13.678579
247;17.9702407
248;19.7290559
249;19.7459967
250;17.6992024
251;15.2953459
252;13.6755508
253;12.602721
254;11.3146984
255;10.6705149
256;10.8681523
257;12.6469324
258;18.674277
259;20.9861479
260;20.2472707
261;19.6495624
262;14.0096031
263;6.2915591
264;5.47567657
265;5.42876357
266;5.51216686
267;5.66463685
268;5.61511567
269;6.25562009
270;14.1949281
271;18.6182985
272;20.0604692
273;20.5932896
274;17.9074258
275;15.596698
276;14.0928462
277;12.8388128
278;11.7834234
279;11.0910073
280;11.2189358
281;13.2701164
282;19.8294171
283;21.9040114
284;20.7800307
285;20.3119793
286;13.9805578
287;6.77905786
288;6.35969603
289;5.8006379
290;5.79672903
291;5.79412311
292;5.8045474
293;6.77138713
294;15.5221398
295;20.539903
296;21.9077588
297;21.9559763
298;19.6008251
299;16.962365
300;15.2826343
301;14.2757028
302;12.8349569
303;12.0468203
304;12.3216486
305;14.4124062
306;21.4377325
307;23.1777923
308;21.9493217
309;21.6197599
310;14.8879144
311;7.50764477
312;6.04986423
313;5.44773754
314;5.29488447
315;5.18932909
316;5.44519545
317;6.18412554
318;14.1792589
319;20.5613369
320;20.6030374
321;21.1729692
322;18.2687609
323;15.8966441
324;14.6064373
325;15.0473527
326;15.3466325
327;14.5668952
328;14.9422072
329;15.1129579
330;18.3914599
331;18.5973588
332;17.9344208
333;16.7176735
334;13.4308726
335;6.57678688
336;7.15782422
337;6.910484
338;6.88572377
339;6.89354309
340;6.90005812
341;8.07678042
342;18.6125615
343;24.2811621
344;25.8527339
345;26.042613
346;23.745512
347;20.8578669
348;18.3923492
349;16.8285902
350;15.3743025
351;14.4308348
352;14.5116192
353;17.2143117
354;25.3849323
355;27.5585312
356;26.9669255
357;26.0310078
358;18.6321445
359;9.0176878
360;8.16566777
361;7.32903603
362;7.3068817
363;7.30948827
364;7.31209573
365;8.54045051
366;19.5063299
367;25.3672295
368;27.0549921
369;26.9715889
370;24.1789263
371;21.4729705
372;19.5844388
373;17.3437886
374;15.7936404
375;15.447178
376;15.2406681
377;17.8928505
378;25.805785
379;28.8847966
380;27.5899785
381;27.0797526
382;18.6389537
383;8.45696604
384;8.76830292
385;8.12714726
386;8.07746884
387;8.02968609
388;7.97858557
389;9.32869649
390;21.0617929
391;27.3801143
392;29.3867497
393;29.3774745
394;26.2658786
395;23.2872044
396;21.1786225
397;20.0461407
398;18.2012519
399;16.3086014
400;16.5479591
401;19.7485936
402;28.4951991
403;31.6041884
404;30.4378239
405;30.2584134
406;21.181653
407;10.1101377
408;8.99542812
409;8.7791018
410;8.77519231
411;8.77258703
412;8.75955591
413;10.2763043
414;23.3880297
415;30.6347419
416;33.2378564
417;33.2547972
418;29.7304791
419;25.8490969
420;22.9628509
421;21.2567976
422;19.1244747
423;18.0581387
424;18.4668509
425;21.5120819
426;31.5498511
427;35.3392496
428;33.9671441
429;33.1583629
430;23.0858284
431;10.0909084
432;9.09254602
433;9.04563302
434;9.12903631
435;9.2815063
436;9.23198512
437;10.5107599
438;23.9817495
439;31.3837194
440;33.6769166
441;34.2097371
442;30.0345734
443;26.2345479
444;23.4541543
445;21.5618505
446;19.6554326
447;18.5375033
448;18.8781871
449;22.2059094
450;32.8075932
451;36.3714892
452;34.6092353
453;33.9284267
454;23.1291088
455;10.6086835
456;9.13447058
457;8.57541245
458;8.57150358
459;8.56889766
460;8.57932195
461;10.0358277
462;23.0303538
463;30.3332227
464;32.3539678
465;32.4021853
466;28.9044788
467;25.1234654
468;22.4644027
469;20.9678043
470;18.874171
471;17.7595908
472;18.1976385
473;21.267729
474;31.3942754
475;34.2768905
476;32.558752
477;32.0659689
478;21.9064605
479;10.4456397
480;8.35629362
481;8.00221524
482;7.84936216
483;7.74380678
484;7.75162484
485;9.07271922
486;20.6249986
487;26.9953198
488;28.8054338
489;29.1273168
490;26.1049616
491;22.6225075
492;20.1679703
493;19.0345286
494;17.8134446
495;16.3975484
496;17.2149619
497;19.2941903
498;27.4999747
499;30.8005964
500;30.0515854
501;28.8888371
502;20.7827336
503;9.07727039
504;8.0338003
505;7.78646009
506;7.76169986
507;7.76951918
508;7.77603421
509;9.10734044
510;20.9828503
511;27.3728445
512;29.1505263
513;29.3404055
514;26.6826077
515;23.4342657
516;20.6595821
517;18.9412382
518;17.2808396
519;16.2343149
520;16.3666282
521;19.3784886
522;28.5281417
523;31.0624355
524;30.3162469
525;29.3288002
526;20.8478484
527;9.94519234
528;7.05821967
529;6.22158793
530;6.19943359
531;6.20204017
532;6.20464763
533;7.23756975
534;16.5097059
535;21.4585896
536;22.8857759
537;22.8023727
538;20.4657172
539;18.2157683
540;16.7181029
541;14.6728844
542;13.3833125
543;13.1671382
544;12.8954829
545;15.1568028
546;21.8320015
547;24.4550042
548;23.3556187
549;22.9105365
550;15.8377614
551;7.2843734
552;6.75842714
553;6.11727148
554;6.06759307
555;6.01981032
556;5.9687098
557;6.96413589
558;15.6233039
559;20.2864349
560;21.8201585
561;21.8108833
562;19.5268821
563;17.3758046
564;15.9765904
565;15.1987925
566;13.8268164
567;12.170621
568;12.2917507
569;14.7830193
570;21.2832907
571;23.5646853
572;22.7530056
573;22.6918222
574;16.0978479
575;7.98203349
576;4.03196242
577;3.64412637
578;3.64021687
579;3.6376116
580;3.79609022
581;4.31583032
582;9.8158623
583;14.2964679
584;14.8841958
585;15.0726473
586;13.0171393
587;11.2906023
588;10.3983758
589;10.3753679
590;10.08692
591;9.85676941
592;9.76163641
593;10.2983187
594;13.1641471
595;13.4266195
596;12.7085096
597;12.0605503
598;9.48161471
599;4.79510796
600;2.9664121
601;2.79512781
602;2.8785311
603;3.03100109
604;3.1058512
605;3.21572527
606;7.30246112
607;10.6176395
608;10.854816
609;11.5120089
610;9.44242656
611;8.24546552
612;7.80287534
613;7.5769577
614;7.60218948
615;7.38789898
616;7.21457899
617;7.83138382
618;10.4081677
619;10.3740259
620;9.53193521
621;9.11638832
622;6.87249553
623;4.09291685
624;3.54361188
625;2.98455375
626;2.98064488
627;2.97803897
628;2.98846325
629;3.45834711
630;7.90214801
631;10.6007837
632;11.3060323
633;11.3542498
634;10.1586597
635;8.67976463
636;7.99394655
637;7.483971
638;6.70583272
639;6.24900025
640;6.35817671
641;7.45502257
642;11.3329618
643;11.9134557
644;11.1819429
645;11.0180334
646;7.76487756
647;4.52590883
648;4.25193232
649;3.89785394
650;3.74500087
651;3.63944548
652;3.64726354
653;4.24406016
654;9.5190807
655;12.5093397
656;13.3537212
657;13.6756042
658;12.343281
659;10.550857
660;9.5449177
661;9.1357764
662;8.88042355
663;7.94739366
664;8.52337492
665;9.15400308
666;12.7725624
667;14.3831512
668;14.3584425
669;13.4371245
670;10.4011151
671;4.7314769
672;3.55546564
673;3.16109173
674;3.1363315
675;3.14415082
676;3.29769954
677;3.73489104
678;8.74359918
679;12.5784224
680;12.5758155
681;12.9127283
682;11.6060333
683;10.296929
684;9.31047535
685;9.07437968
686;9.04723608
687;8.74382305
688;8.43106419
689;9.21359354
690;11.9653461
691;11.3841347
692;11.2379969
693;10.4015532
694;8.62051344
695;5.16881943
696;5.62568069
697;4.78904894
698;4.76689461
699;4.76950118
700;4.77210864
701;5.55222982
702;12.6334242
703;16.4025698
