Index;Wert
0;13882.5732
1;13699.9463
2;13873.4033
3;14776.5957
4;19218.4434
5;22185.5332
6;21035.1465
7;20200.7227
8;19756.7676
9;18641.9121
10;18311.0469
11;18310.2832
12;18537.6094
13;18001.5781
14;18274.75
15;19136.2988
16;20707.7188
17;22330.334
18;22732.2637
19;21929.168
20;21181.4746
21;18340.8477
22;12511.7354
23;13398.8818
24;12893.4541
25;12723.8398
26;12884.9375
27;13723.7793
28;17849.1484
29;20604.8379
30;19536.4141
31;18761.4434
32;18349.1191
33;17313.6953
34;17006.4043
35;17005.6953
36;17216.8242
37;16718.9844
38;16972.6953
39;17772.8594
40;19232.3164
41;20739.3223
42;21112.6133
43;20366.7383
44;19672.3184
45;17034.082
46;11620.2871
47;12444.2256
48;8267.9668
49;8044.46826
50;8256.74512
51;9362.08496
52;14798.0723
53;18429.2324
54;17021.375
55;16000.1992
56;15456.8809
57;14092.5059
58;13687.5898
59;13686.6553
60;13964.8594
61;13308.8574
62;13643.1699
63;14697.5439
64;16620.666
65;18606.4434
66;19098.3281
67;18115.4922
68;17200.4551
69;13724.0605
70;6590.32031
71;7676.02148
72;9136.33496
73;8889.3623
74;9123.93457
75;10345.3662
76;16352.2842
77;20364.8184
78;18809.0957
79;17680.668
80;17080.2871
81;15572.6143
82;15125.1699
83;15124.1377
84;15431.5605
85;14706.6592
86;15076.085
87;16241.1982
88;18366.3027
89;20560.6406
90;21104.1875
91;20018.127
92;19006.9844
93;15165.4717
94;7282.48828
95;8482.21875
96;12591.2627
97;12425.624
98;12582.9463
99;13402.127
100;17430.8086
101;20121.9102
102;19078.5273
103;18321.7207
104;17919.0605
105;16907.9043
106;16607.8164
107;16607.123
108;16813.3027
109;16327.1318
110;16574.8965
111;17356.3066
112;18781.5566
113;20253.2422
114;20617.7852
115;19889.3926
116;19211.2461
117;16634.8438
118;11347.9355
119;12152.5635
120;12751.9131
121;12584.1611
122;12743.4902
123;13573.123
124;17653.2051
125;20378.6426
126;19321.9492
127;18555.4844
128;18147.6875
129;17123.6309
130;16819.7129
131;16819.0117
132;17027.8223
133;16535.4473
134;16786.373
135;17577.752
136;19021.1895
137;20511.6504
138;20880.8457
139;20143.1582
140;19456.3594
141;16847.0859
142;11492.7227
143;12307.6162
144;12044.8066
145;11886.3555
146;12036.8506
147;12820.4785
148;16674.3164
149;19248.625
150;18250.5273
151;17526.5625
152;17141.3789
153;16174.1074
154;15887.042
155;15886.3799
156;16083.6113
157;15618.54
158;15855.5508
159;16603.0488
160;17966.4434
161;19374.2578
162;19722.9805
163;19026.1992
164;18377.4844
165;15912.8975
166;10855.4395
167;11625.1465
168;8923.91504
169;8806.52051
170;8918.02051
171;9498.60547
172;12353.8877
173;14261.1758
174;13521.6914
175;12985.3115
176;12699.9316
177;11983.2861
178;11770.6016
179;11770.1104
180;11916.2383
181;11571.6699
182;11747.2695
183;12301.0859
184;13311.2168
185;14354.2559
186;14612.6221
187;14096.3818
188;13615.7529
189;11789.7578
190;8042.72119
191;8612.99219
192;12438.4834
193;12274.8535
194;12430.2666
195;13239.5078
196;17219.3066
197;19877.7539
198;18847.0332
199;18099.4082
200;17701.6348
201;16702.748
202;16406.3008
203;16405.6152
204;16609.2949
205;16129.0225
206;16373.7793
207;17145.707
208;18553.666
209;20007.4941
210;20367.6133
211;19648.0586
212;18978.1406
213;16433
214;11210.2422
215;12005.1064
216;9045.63379
217;8801.11328
218;9033.35645
219;10242.6621
220;16189.9463
221;20162.6465
222;18622.3691
223;17505.1426
224;16910.7207
225;15418.0166
226;14975.0146
227;14973.9922
228;15278.3643
229;14560.6592
230;14926.417
231;16079.9629
232;18183.9707
233;20356.5254
234;20894.6758
235;19819.3965
236;18818.293
237;15014.916
238;7210.19141
239;8398.01172
240;9417.79883
241;9163.21777
242;9405.0166
243;10664.0762
244;16856.0508
245;20992.1992
246;19388.5488
247;18225.3574
248;17606.4805
249;16052.3604
250;15591.1318
251;15590.0674
252;15906.9619
253;15159.7285
254;15540.5352
255;16741.541
256;18932.1152
257;21194.0547
258;21754.3457
259;20634.8262
260;19592.5352
261;15632.6758
262;7506.84082
263;8743.53125
264;12093.8232
265;11934.7275
266;12085.835
267;12872.6523
268;16742.1738
269;19326.959
270;18324.7969
271;17597.8887
272;17211.1367
273;16239.9287
274;15951.6953
275;15951.0303
276;16149.0645
277;15682.1006
278;15920.0752
279;16670.6152
280;18039.5586
281;19453.1016
282;19803.2441
283;19103.627
284;18452.2715
285;15977.6553
286;10899.6152
287;11672.4551
288;13073.9697
289;12901.9805
290;13065.334
291;13915.9189
292;18099.0469
293;20893.3164
294;19809.9336
295;19024.1133
296;18606.0176
297;17556.0977
298;17244.5039
299;17243.7852
300;17457.8691
301;16953.0586
302;17210.3203
303;18021.6875
304;19501.5781
305;21029.6836
306;21408.2012
307;20651.8848
308;19947.7402
309;17272.5684
310;11782.9775
311;12618.4512
312;11621.9463
313;11469.0586
314;11614.2695
315;12370.3867
316;16088.9277
317;18572.8594
318;17609.8008
319;16911.2539
320;16539.5938
321;15606.2793
322;15329.292
323;15328.6523
324;15518.96
325;15070.2158
326;15298.9062
327;16020.1611
328;17335.6914
329;18694.082
330;19030.5605
331;18358.2422
332;17732.3008
333;15354.2393
334;10474.334
335;11217.0195
336;16009.3086
337;15798.7041
338;15998.7334
339;17040.291
340;22162.6055
341;25584.2383
342;24257.6172
343;23295.3652
344;22783.3984
345;21497.7539
346;21116.2012
347;21115.3203
348;21377.4707
349;20759.3223
350;21074.3438
351;22067.8789
352;23880.0312
353;25751.2207
354;26214.7246
355;25288.5996
356;24426.3633
357;21150.5664
358;14428.4658
359;15451.5186
360;16645.2031
361;16426.2344
362;16634.209
363;17717.1367
364;23042.9121
365;26600.4531
366;25221.1387
367;24220.666
368;23688.3633
369;22351.6523
370;21954.9453
371;21954.0293
372;22226.5918
373;21583.8906
374;21911.4258
375;22944.4219
376;24828.5547
377;26774.0703
378;27255.9824
379;26293.0723
380;25396.5879
381;21990.6758
382;15001.5693
383;16065.2588
384;14381.958
385;13993.1865
386;14362.4385
387;16285.1533
388;25740.9414
389;32057.2695
390;29608.3301
391;27832.0156
392;26886.9258
393;24513.623
394;23809.2793
395;23807.6543
396;24291.584
397;23150.4824
398;23732.0137
399;25566.0742
400;28911.3066
401;32365.5234
402;33221.1484
403;31511.5254
404;29919.8359
405;23872.7207
406;11463.7256
407;13352.2812
408;15559.0947
409;15138.5029
410;15537.9775
411;17618.0625
412;27847.791
413;34681.1016
414;32031.7188
415;30110.0156
416;29087.5703
417;26520.0195
418;25758.0254
419;25756.2676
420;26279.8066
421;25045.3066
422;25674.4355
423;27658.6113
424;31277.6445
425;35014.582
426;35940.2383
427;34090.6875
428;32368.7207
429;25826.6602
430;12402.0107
431;14445.1406
432;20255.5391
433;19989.0762
434;20242.1602
435;21559.9746
436;28040.9043
437;32370.0742
438;30691.5879
439;29474.1133
440;28826.3555
441;27199.7129
442;26716.959
443;26715.8457
444;27047.5273
445;26265.4238
446;26664
447;27921.0527
448;30213.8535
449;32581.3496
450;33167.7891
451;31996.0234
452;30905.0918
453;26760.4395
454;18255.4004
455;19549.8027
456;19343.5176
457;19089.0527
458;19330.7422
459;20589.2207
460;26778.3438
461;30912.5898
462;29309.6777
463;28147.0195
464;27528.4277
465;25975.0254
466;25514.0098
467;25512.9453
468;25829.6914
469;25082.8047
470;25463.4336
471;26663.8887
472;28853.4531
473;31114.3496
474;31674.3848
475;30555.3789
476;29513.5684
477;25555.5312
478;17433.4375
479;18669.5586
480;17471.5312
481;17241.6914
482;17459.9902
483;18596.6797
484;24186.8438
485;27920.9941
486;26473.207
487;25423.0664
488;24864.3398
489;23461.2676
490;23044.8672
491;23043.9062
492;23330
493;22655.3926
494;22999.1875
495;24083.4648
496;26061.1328
497;28103.2305
498;28609.0664
499;27598.3555
500;26657.3652
501;23082.3711
502;15746.3008
503;16862.7949
504;17305.6562
505;17077.998
506;17294.2246
507;18420.1211
508;23957.2129
509;27655.9102
510;26221.8672
511;25181.6973
512;24628.2754
513;23238.5254
514;22826.0781
515;22825.125
516;23108.502
517;22440.3008
518;22780.8301
519;23854.8145
520;25813.707
521;27836.416
522;28337.4492
523;27336.334
524;26404.2773
525;22863.2246
526;15596.8047
527;16702.6992
528;14035.8877
529;13851.2451
530;14026.6172
531;14939.7842
532;19430.6855
533;22430.543
534;21267.4531
535;20423.8145
536;19974.957
537;18847.7891
538;18513.2695
539;18512.498
540;18742.332
541;18200.3828
542;18476.5723
543;19347.6348
544;20936.4102
545;22576.9434
546;22983.3125
547;22171.3477
548;21415.3965
549;18543.3984
550;12649.9111
551;13546.8555
552;10597.7139
553;10311.2383
554;10583.3301
555;12000.1328
556;18967.8711
557;23622.2207
558;21817.6562
559;20508.7344
560;19812.3203
561;18063.4922
562;17544.4766
563;17543.2793
564;17899.877
565;17059.0254
566;17487.541
567;18839.0176
568;21304.0371
569;23849.3652
570;24479.8555
571;23220.0742
572;22047.1992
573;17591.2266
574;8447.33984
575;9838.9707
576;6112.08887
577;5946.86719
578;6103.79297
579;6920.91455
580;10939.4639
581;13623.7979
582;12583.0391
583;11828.1357
584;11426.4883
585;10417.875
586;10118.541
587;10117.8506
588;10323.5127
589;9838.5625
590;10085.7041
591;10865.1494
592;12286.8164
593;13754.7998
594;14118.4258
595;13391.8652
596;12715.4238
597;10145.502
598;4871.88965
599;5674.49316
600;5217.9082
601;5149.26611
602;5214.46143
603;5553.93604
604;7223.44971
605;8338.66113
606;7906.27637
607;7592.6499
608;7425.78516
609;7006.75488
610;6882.396
611;6882.10889
612;6967.55127
613;6766.07861
614;6868.75342
615;7192.57568
616;7783.20996
617;8393.08594
618;8544.15527
619;8242.30469
620;7961.27588
621;6893.59668
622;4702.66455
623;5036.10791
624;6294.86035
625;6212.05078
