Index;Wert
0;45.9939995
1;5.65214157
2;5.65214157
3;5.65214157
4;5.65214157
5;6.60291672
6;14.8429661
7;19.2799149
8;20.5476189
9;20.5476189
10;18.3291397
11;16.1106663
12;14.2091169
13;13.2583427
14;11.9906425
15;11.3567915
16;11.6737165
17;13.5752659
18;19.5968437
19;21.8153152
20;20.8645401
21;20.5476189
22;13.8921919
23;5.96906662
24;5.66982174
25;5.66982174
26;5.66982174
27;5.66982174
28;5.66982174
29;6.62371635
30;14.8908062
31;19.3423157
32;20.6141777
33;20.6141777
34;18.3884239
35;16.1626663
36;14.2548771
37;13.3009834
38;12.0291214
39;11.3931923
40;11.7111559
41;13.618947
42;19.6602821
43;21.8860359
44;20.9321404
45;20.6141777
46;13.9369125
47;5.98778629
48;5.03842497
49;5.03842497
50;5.03842497
51;5.03842497
52;5.03842497
53;5.88089657
54;13.1823206
55;17.1138573
56;18.237154
57;18.2371521
58;16.2713852
59;14.3056173
60;12.6206722
61;11.7782011
62;10.6549053
63;10.093257
64;10.3740797
65;12.0590229
66;17.39468
67;19.3604507
68;18.5179749
69;18.237154
70;12.3398495
71;5.3192482
72;5.45070934
73;5.45070934
74;5.45070934
75;5.45070934
76;5.45070934
77;6.36593676
78;14.2979126
79;18.5689774
80;19.7892838
81;19.7892838
82;17.6537495
83;15.5182161
84;13.6877604
85;12.7725325
86;11.5522289
87;10.9420767
88;11.2471523
89;13.0776081
90;18.874052
91;21.0095863
92;20.0943546
93;19.7892838
94;13.3826857
95;5.75578451
96;5.78506517
97;5.78506517
98;5.78506517
99;5.78506517
100;5.78506517
101;6.75929642
102;15.2026405
103;19.749054
104;21.0480347
105;21.0480347
106;18.7748241
107;16.5016174
108;14.553153
109;13.5789204
110;12.2799454
111;11.6304569
112;11.9552002
113;13.9036646
114;20.0738029
115;22.3470116
116;21.372776
117;21.0480328
118;14.2284088
119;6.10980844
120;5.93930578
121;5.93930578
122;5.93930578
123;5.93930578
124;5.93930578
125;6.94075632
126;15.6199989
127;20.293438
128;21.6287041
129;21.6287041
130;19.2919846
131;16.955267
132;14.9523649
133;13.9509125
134;12.6156464
135;11.9480114
136;12.2818279
137;14.28473
138;20.6272545
139;22.963974
140;21.9625206
141;21.6287041
142;14.6185484
143;6.27312231
144;5.65657902
145;5.65657902
146;5.65657902
147;5.65657902
148;5.65657902
149;6.60813665
150;14.8549719
151;19.295578
152;20.5643196
153;20.5643196
154;18.344017
155;16.1237164
156;14.2206001
157;13.269043
158;12.0002985
159;11.3659267
160;11.6831121
161;13.5862284
162;19.6127625
163;21.833065
164;20.8815079
165;20.5643196
166;13.9034147
167;5.97376442
168;4.76398087
169;4.54972887
170;4.54972887
171;4.54972887
172;4.76398087
173;5.40673637
174;12.2627993
175;17.6190987
176;17.6190987
177;17.8333511
178;15.2623281
179;13.5483122
180;12.2627993
181;12.4770517
182;12.2627993
183;12.0485487
184;12.0485487
185;12.6913042
186;15.6908331
187;15.6908331
188;14.6195717
189;14.1910677
190;10.3345327
191;4.97823238
192;5.51129723
193;5.51129723
194;5.51129723
195;5.51129723
196;5.51129723
197;6.43721628
198;14.4618568
199;18.7828178
200;20.0173759
201;20.0173759
202;17.8568974
203;15.6964169
204;13.8445768
205;12.9186573
206;11.6840963
207;11.0668173
208;11.3754559
209;13.2272968
210;19.0914574
211;21.2519379
212;20.3260155
213;20.0173759
214;13.5359373
215;5.81993628
216;5.16883183
217;5.16883183
218;5.16883183
219;5.16883183
220;5.16883183
221;6.03431654
222;13.5351868
223;17.5741177
224;18.7280998
225;18.7280979
226;16.7086334
227;14.689167
228;12.9581966
229;12.0927114
230;10.9387321
231;10.361742
232;10.6502361
233;12.3812065
234;17.8626118
235;19.8820763
236;19.0165901
237;18.7280998
238;12.6697016
239;5.45732641
240;5.36567497
241;5.36567497
242;5.36567497
243;5.36567497
244;5.36567497
245;6.2658968
246;14.0678196
247;18.268856
248;19.4691525
249;19.4691525
250;17.3686352
251;15.268117
252;13.4676723
253;12.5674505
254;11.3671551
255;10.7670069
256;11.0670795
257;12.8675241
258;18.5689316
259;20.6694489
260;19.7692261
261;19.4691544
262;13.1675997
263;5.66574812
264;5.57079697
265;5.57079697
266;5.57079697
267;5.57079697
268;5.57079697
269;6.50721645
270;14.6228571
271;18.9928169
272;20.2413788
273;20.2413788
274;18.0563984
275;15.871418
276;13.9985771
277;13.0621567
278;11.8135967
279;11.1893167
280;11.5014553
281;13.3742962
282;19.3049583
283;21.4899368
284;20.5535164
285;20.2413788
286;13.6864376
287;5.882936
288;6.02267408
289;6.02267408
290;6.02267408
291;6.02267408
292;6.02267408
293;7.03883648
294;15.845583
295;20.587677
296;21.9425621
297;21.9425621
298;19.5715141
299;17.2004662
300;15.1681404
301;14.1519775
302;12.7970934
303;12.1196518
304;12.4583721
305;14.4906988
306;20.9263954
307;23.2974472
308;22.2812805
309;21.9425621
310;14.829422
311;6.36139441
312;5.98485279
313;5.71246767
314;5.71246767
315;5.71246767
316;5.98485279
317;6.80200815
318;15.5183353
319;22.3279648
320;22.3279648
321;22.6003532
322;19.3317299
323;17.1526489
324;15.5183353
325;15.79072
326;15.5183353
327;15.2459507
328;15.2459507
329;16.0631065
330;19.8764992
331;19.8764992
332;18.5145721
333;17.9698029
334;13.0668697
335;6.25723791
336;7.02841091
337;7.02841091
338;7.02841091
339;7.02841091
340;7.02841091
341;8.22205639
342;18.5669899
343;24.1373367
344;25.7288666
345;25.7288666
