Index;Wert
0;19.2658463
1;5.65842295
2;5.65842295
3;5.65842295
4;5.71640921
5;6.85563993
6;15.8205175
7;19.2078609
8;19.2078609
9;19.2078609
10;18.7268295
11;16.5083542
12;14.6792889
13;13.6560316
14;12.3158484
15;11.6819973
16;12.1438885
17;14.3353691
18;19.2078609
19;19.2078609
20;19.2078609
21;19.2078609
22;14.507329
23;6.51172113
24;5.69059944
25;5.67610312
26;5.67610312
27;5.67610312
28;5.73408937
29;6.87643957
30;15.8683577
31;19.2078609
32;19.2078609
33;19.2078609
34;18.7861118
35;16.5603542
36;14.725049
37;13.6986713
38;12.3543272
39;11.7183981
40;12.1813278
41;14.3790503
42;19.2078609
43;19.2078609
44;19.2078609
45;19.2078609
46;14.5520487
47;6.53044081
48;5.10108185
49;5.08443785
50;5.06779337
51;5.05114937
52;5.08443785
53;6.01013041
54;13.4779968
55;17.7424164
56;19.2078609
57;19.2078609
58;17.6489334
59;15.3502827
60;13.4156742
61;12.4067612
62;11.2002439
63;10.6385956
64;11.0858612
65;13.0204678
66;18.6057892
67;19.2078609
68;19.2078609
69;19.065443
70;12.8851881
71;5.531703
72;5.54128551
73;5.52303076
74;5.48652077
75;5.46826601
76;5.48652077
77;6.45651293
78;14.5345287
79;19.0794163
80;19.2078609
81;19.2078609
82;19.2078609
83;16.8501282
84;14.6545734
85;13.5567961
86;12.2452183
87;11.5437918
88;12.0314159
89;14.1356964
90;19.2078609
91;19.2078609
92;19.2078609
93;19.2078609
94;13.9661455
95;6.17494965
96;5.80584288
97;5.79134655
98;5.79134655
99;5.79134655
100;5.84933281
101;7.01201963
102;16.1801929
103;19.2078609
104;19.2078609
105;19.2078609
106;19.172514
107;16.8993053
108;15.023325
109;13.9766092
110;12.6051512
111;11.9556627
112;12.4253721
113;14.6637678
114;19.2078609
115;19.2078609
116;19.2078609
117;19.2078609
118;14.8435459
119;6.65246296
120;5.96008348
121;5.94558716
122;5.94558716
123;5.94558716
124;6.00357342
125;7.19347954
126;16.5975513
127;19.2078609
128;19.2078609
129;19.2078609
130;19.2078609
131;17.3529549
132;15.4225368
133;14.3486023
134;12.9408522
135;12.2732172
136;12.7519999
137;15.0448332
138;19.2078609
139;19.2078609
140;19.2078609
141;19.2078609
142;15.2336855
143;6.81577682
144;5.67735672
145;5.66286039
146;5.66286039
147;5.66286039
148;5.72084665
149;6.86085987
150;15.8325233
151;19.2078609
152;19.2078609
153;19.2078609
154;18.7417068
155;16.5214043
156;14.6907721
157;13.6667318
158;12.3255043
159;11.6911325
160;12.1532841
161;14.3463316
162;19.2078609
163;19.2078609
164;19.2078609
165;19.2078609
166;14.5185518
167;6.51641893
168;4.78475857
169;4.55601025
170;4.55601025
171;4.55601025
172;4.8282485
173;5.65945959
174;13.2403507
175;19.1765137
176;18.6691341
