Index;Wert
0;20.5050659
1;14.9979401
2;14.87854
3;14.7591391
4;6.96441078
5;0.264416665
6;0.264416665
7;1.89388704
8;2.65420914
9;2.21931195
10;0.264416665
11;0.264416665
12;0.264416665
13;0.264416665
14;0.264416665
15;0.264416665
16;0.264416665
17;0.264416665
18;1.77591681
19;4.13935566
20;3.0436151
21;2.43676043
22;0.264416665
23;0.264416665
24;0.264416665
25;0.264416665
26;0.264416665
27;0.264416665
28;0.264416665
29;0.264416665
30;0.264416665
31;1.95628786
32;2.72076988
33;2.2858727
34;0.264416665
35;0.264416665
36;0.264416665
37;0.264416665
38;0.264416665
39;0.264416665
40;0.264416665
41;0.264416665
42;1.83935523
43;4.21007633
44;3.11121535
45;2.50332117
46;0.264416665
47;0.264416665
48;0.264416665
49;0.264416665
50;0.264416665
51;0.264416665
52;0.264416665
53;0.264416665
54;0.264416665
55;0.264416665
56;0.504817188
57;0.83770138
58;0.264416665
59;0.264416665
60;0.264416665
61;0.264416665
62;0.264416665
63;0.264416665
64;0.264416665
65;0.264416665
66;0.264416665
67;1.62811399
68;0.702418983
69;0.264416665
70;0.264416665
71;0.264416665
72;0.264416665
73;0.264416665
74;0.264416665
75;0.264416665
76;0.264416665
77;0.264416665
78;0.264416665
79;0.264416665
80;1.90392768
81;2.45157576
82;0.407316267
83;0.264416665
84;0.264416665
85;0.264416665
86;0.264416665
87;0.264416665
88;0.264416665
89;0.264416665
90;1.26252186
91;3.39805627
92;2.30027509
93;1.72137821
94;0.264416665
95;0.264416665
96;0.264416665
97;0.264416665
98;0.264416665
99;0.264416665
100;0.264416665
101;0.264416665
102;0.264416665
103;2.36302614
104;3.15462494
105;2.71972775
106;0.264416665
107;0.264416665
108;0.264416665
109;0.264416665
110;0.264416665
111;0.264416665
112;0.264416665
113;0.264416665
114;2.25287604
115;4.67105055
116;3.55185103
117;2.93717623
118;0.264416665
119;0.264416665
120;0.264416665
121;0.264416665
122;0.264416665
123;0.264416665
124;0.264416665
125;0.264416665
126;0.264416665
127;2.90740824
128;3.73529625
129;3.30039907
130;0.74623096
131;0.264416665
132;0.264416665
133;0.264416665
134;0.264416665
135;0.264416665
136;0.264416665
137;0.264416665
138;2.80632949
139;5.28801298
140;4.14159346
141;3.51784754
142;0.264416665
143;0.264416665
144;0.264416665
145;0.264416665
146;0.264416665
147;0.264416665
148;0.264416665
149;0.264416665
150;0.264416665
151;1.90954828
152;2.67091179
153;2.2360146
154;0.264416665
155;0.264416665
156;0.264416665
157;0.264416665
158;0.264416665
159;0.264416665
160;0.264416665
161;0.264416665
162;1.79183555
163;4.15710545
164;3.06058097
165;2.45346308
166;0.264416665
167;0.264416665
168;0.264416665
169;0.264416665
170;0.264416665
171;0.264416665
172;0.264416665
173;0.264416665
174;0.264416665
175;0.264416665
176;0.264416665
177;0.264416665
178;0.264416665
179;0.264416665
180;0.264416665
181;0.264416665
182;0.264416665
183;0.264416665
184;0.264416665
185;0.264416665
186;0.264416665
187;0.264416665
188;0.264416665
189;0.264416665
190;0.264416665
191;0.264416665
192;0.264416665
193;0.264416665
194;0.264416665
195;0.264416665
196;0.264416665
197;0.264416665
198;0.264416665
199;1.39678812
200;2.12396812
201;1.68907094
202;0.264416665
203;0.264416665
204;0.264416665
205;0.264416665
206;0.264416665
207;0.264416665
208;0.264416665
209;0.264416665
210;1.27053237
211;3.57597852
212;2.50509048
213;1.90651953
214;0.264416665
215;0.264416665
216;0.264416665
217;0.264416665
218;0.264416665
219;0.264416665
220;0.264416665
221;0.264416665
222;0.264416665
223;0.264416665
224;0.995763004
225;1.32864726
226;0.264416665
227;0.264416665
228;0.264416665
229;0.264416665
230;0.264416665
231;0.264416665
232;0.264416665
233;0.264416665
234;0.264416665
235;2.14974141
236;1.20103419
237;0.612946153
238;0.264416665
239;0.264416665
240;0.264416665
241;0.264416665
242;0.264416665
243;0.264416665
244;0.264416665
245;0.264416665
246;0.264416665
247;0.264416665
248;1.58379829
249;2.13144636
250;0.264416665
251;0.264416665
252;0.264416665
253;0.264416665
254;0.264416665
255;0.264416665
256;0.264416665
257;0.264416665
258;0.957399547
259;3.05791879
260;1.97514474
261;1.40124881
262;0.264416665
263;0.264416665
264;0.264416665
265;0.264416665
266;0.264416665
267;0.264416665
268;0.264416665
269;0.264416665
270;0.264416665
271;1.60678911
272;2.34796906
273;1.91307187
274;0.264416665
275;0.264416665
276;0.264416665
277;0.264416665
278;0.264416665
279;0.264416665
280;0.264416665
281;0.264416665
282;1.48403144
283;3.81397748
284;2.73258948
285;2.13052034
286;0.264416665
287;0.264416665
288;0.264416665
289;0.264416665
290;0.264416665
291;0.264416665
292;0.264416665
293;0.264416665
294;0.264416665
295;3.20164728
296;4.04915237
297;3.61425519
298;1.02576053
299;0.264416665
300;0.264416665
301;0.264416665
302;0.264416665
303;0.264416665
304;0.264416665
305;0.264416665
306;3.10547042
307;5.62148619
308;4.46035337
309;3.83170366
310;0.264416665
311;0.264416665
312;0.264416665
313;0.264416665
314;0.264416665
315;0.264416665
316;0.264416665
317;0.264416665
318;0.264416665
319;4.94193697
320;4.43455696
321;4.27204657
322;0.785974383
323;0.264416665
324;0.264416665
325;0.264416665
326;0.264416665
327;0.264416665
328;0.264416665
329;0.264416665
