Index;Wert
0;7.90076828
1;5.66571474
2;5.6449194
3;5.62394381
4;2.66535425
5;0.101638511
6;0.102100834
7;0.781498253
8;1.09921241
9;0.915719986
10;0.0973171964
11;0.0958955586
12;0.0928168595
13;0.0918879136
14;0.092608802
15;0.09516868
16;0.0964806005
17;0.0972220153
18;0.702437282
19;1.64790916
20;1.20954394
21;0.967064381
22;0.0982377231
23;0.0983071178
24;0.0983766094
25;0.0985019505
26;0.098683551
27;0.0989501849
28;0.099359937
29;0.0994735658
30;0.0995162502
31;0.79007411
32;1.10435772
33;0.916648984
34;0.0983766094
35;0.0975764841
36;0.0968027338
37;0.0964271203
38;0.0961871892
39;0.0960809365
40;0.0960676745
41;0.0959616825
42;0.72577858
43;1.67411995
44;1.23464143
45;0.99149704
46;0.0958955586
47;0.0960146487
48;0.0961340368
49;0.0961871892
50;0.0962936804
51;0.0964939818
52;0.0968701094
53;0.096641399
54;0.0968970954
55;0.0970728248
56;0.193368644
57;0.326049298
58;0.094596684
59;0.0926867127
60;0.0921954885
61;0.0920158178
62;0.0919646174
63;0.0930520371
64;0.0955815017
65;0.096507363
66;0.0970728248
67;0.643371105
68;0.2736471
69;0.0986276045
70;0.0987675935
71;0.0991052091
72;0.0998733416
73;0.10016086
74;0.100247443
75;0.100175284
76;0.0996730551
77;0.0988658294
78;0.0985856801
79;0.098196134
80;0.753779292
81;0.971949935
82;0.153400242
83;0.0950865448
84;0.0950318649
85;0.0957199037
86;0.0957476348
87;0.0964672267
88;0.0971134678
89;0.0976175517
90;0.497465968
91;1.35174918
92;0.913879454
93;0.686280131
94;0.0993032157
95;0.100103222
96;0.100726321
97;0.101505078
98;0.102145799
99;0.102461658
100;0.102537155
101;0.101712801
102;0.100711741
103;0.96646601
104;1.29955614
105;1.08045936
106;0.096614562
107;0.0955538675
108;0.0958823413
109;0.0959220007
110;0.0958427265
111;0.096094206
112;0.0973716676
113;0.098683551
114;0.908079743
115;1.860919
116;1.41673696
117;1.18057299
118;0.099119328
119;0.0993173867
120;0.0996730551
121;0.100088827
122;0.100508079
123;0.100901596
124;0.101209797
125;0.10109216
126;0.10075549
127;1.20250046
128;1.54730666
129;1.34782147
