Index;Wert
0;3.90035558
1;1.27999997
2;1.27999997
3;1.27999997
4;1.27999997
5;1.27999997
6;1.27999997
7;1.27999997
8;1.27999997
9;1.27999997
10;1.27999997
11;1.27999997
12;1.27999997
13;1.27999997
14;1.27999997
15;1.27999997
16;1.27999997
17;1.27999997
18;1.27999997
19;1.27999997
20;1.27999997
21;1.27999997
22;1.27999997
23;1.27999997
24;1.27999997
25;1.27999997
26;1.27999997
27;1.27999997
28;1.27999997
29;1.27999997
30;1.27999997
31;1.27999997
32;1.27999997
33;1.27999997
34;1.27999997
35;1.27999997
36;1.27999997
37;1.27999997
38;1.27999997
39;1.27999997
40;1.27999997
41;1.27999997
42;1.27999997
43;1.27999997
44;1.27999997
45;1.27999997
46;1.27999997
47;1.27999997
48;1.27999997
49;1.27999997
50;1.27999997
51;1.27999997
52;1.27999997
53;1.27999997
54;1.27999997
55;1.27999997
56;1.27999997
57;1.27999997
58;1.27999997
59;1.27999997
60;1.27999997
61;1.27999997
62;1.27999997
63;1.27999997
64;1.27999997
65;1.27999997
66;1.27999997
67;1.27999997
68;1.27999997
69;1.27999997
70;1.27999997
71;1.27999997
72;1.27999997
73;1.27999997
74;1.27999997
75;1.27999997
76;1.27999997
77;1.27999997
78;1.27999997
79;1.27999997
80;1.27999997
81;1.27999997
82;1.27999997
83;1.27999997
84;1.27999997
85;1.27999997
86;1.27999997
87;1.27999997
88;1.27999997
89;1.27999997
90;1.27999997
91;1.27999997
92;1.27999997
93;1.27999997
94;1.27999997
95;1.27999997
96;1.27999997
97;1.27999997
98;1.27999997
99;1.27999997
100;1.27999997
101;1.27999997
102;1.27999997
103;1.27999997
104;1.27999997
105;1.27999997
106;1.27999997
107;1.27999997
108;1.27999997
109;1.27999997
110;1.27999997
111;1.27999997
112;1.27999997
113;1.27999997
114;1.27999997
115;1.27999997
116;1.27999997
117;1.27999997
118;1.27999997
119;1.27999997
120;1.27999997
121;1.27999997
122;1.27999997
123;1.27999997
124;1.27999997
125;1.27999997
126;1.27999997
127;1.27999997
128;1.27999997
129;1.27999997
130;1.27999997
131;1.27999997
132;1.27999997
133;1.27999997
134;1.27999997
135;1.27999997
136;1.27999997
137;1.27999997
138;1.27999997
139;1.27999997
140;1.27999997
141;1.27999997
142;1.27999997
143;1.27999997
144;1.27999997
145;1.27999997
146;1.27999997
147;1.27999997
148;1.27999997
149;1.27999997
150;1.27999997
151;1.27999997
152;1.27999997
153;1.27999997
154;1.27999997
155;1.27999997
156;1.27999997
157;1.27999997
158;1.27999997
159;1.27999997
160;1.27999997
161;1.27999997
162;1.27999997
163;1.27999997
164;1.27999997
165;1.27999997
166;1.27999997
167;1.27999997
168;1.27999997
169;1.27999997
170;1.27999997
171;1.27999997
172;1.27999997
173;1.27999997
174;1.27999997
175;1.27999997
176;1.27999997
177;1.27999997
178;1.27999997
179;1.27999997
180;1.27999997
181;1.27999997
182;1.27999997
183;1.27999997
184;1.27999997
185;1.27999997
186;1.27999997
187;1.27999997
188;1.27999997
189;1.27999997
190;1.27999997
191;1.27999997
192;1.27999997
193;1.27999997
194;1.27999997
195;1.27999997
196;1.27999997
197;1.27999997
198;1.27999997
199;1.27999997
200;1.27999997
201;1.27999997
202;1.27999997
203;1.27999997
204;1.27999997
205;1.27999997
206;1.27999997
207;1.27999997
208;1.27999997
209;1.27999997
210;1.27999997
211;1.27999997
212;1.27999997
213;1.27999997
214;1.27999997
215;1.27999997
216;1.27999997
217;1.27999997
218;1.27999997
219;1.27999997
220;1.27999997
221;1.27999997
222;1.27999997
223;1.27999997
224;1.27999997
225;1.27999997
226;1.27999997
227;1.27999997
228;1.27999997
229;1.27999997
230;1.27999997
231;1.27999997
232;1.27999997
233;1.27999997
234;1.27999997
235;1.27999997
236;1.27999997
237;1.27999997
238;1.27999997
239;1.27999997
240;1.27999997
241;1.27999997
242;1.27999997
243;1.27999997
244;1.27999997
245;1.27999997
246;1.27999997
247;1.27999997
248;1.27999997
249;1.27999997
250;1.27999997
251;1.27999997
252;1.27999997
253;1.27999997
254;1.27999997
255;1.27999997
256;1.27999997
257;1.27999997
258;1.27999997
259;1.27999997
260;1.27999997
261;1.27999997
262;1.27999997
263;1.27999997
264;1.27999997
265;1.27999997
266;1.27999997
267;1.27999997
268;1.27999997
269;1.27999997
270;1.27999997
271;1.27999997
272;1.27999997
273;1.27999997
274;1.27999997
275;1.27999997
276;1.27999997
277;1.27999997
278;1.27999997
279;1.27999997
280;1.27999997
281;1.27999997
282;1.27999997
283;1.27999997
284;1.27999997
285;1.27999997
286;1.27999997
287;1.27999997
288;1.27999997
289;1.27999997
290;1.27999997
291;1.27999997
292;1.27999997
293;1.27999997
294;1.27999997
295;1.27999997
296;1.27999997
297;1.27999997
298;1.27999997
299;1.27999997
300;1.27999997
301;1.27999997
302;1.27999997
303;1.27999997
304;1.27999997
305;1.27999997
306;1.27999997
307;1.27999997
308;1.27999997
309;1.27999997
310;1.27999997
311;1.27999997
312;1.27999997
313;1.27999997
314;1.27999997
315;1.27999997
316;1.27999997
317;1.27999997
318;1.27999997
319;1.27999997
320;1.27999997
321;1.27999997
322;1.27999997
323;1.27999997
324;1.27999997
325;1.27999997
326;1.27999997
327;1.27999997
328;1.27999997
329;1.27999997
330;1.27999997
331;1.27999997
332;1.27999997
333;1.27999997
334;1.27999997
335;1.27999997
336;1.27999997
337;1.27999997
338;1.27999997
339;1.27999997
340;1.27999997
341;1.27999997
342;1.27999997
343;1.27999997
344;1.27999997
345;1.27999997
346;1.27999997
347;1.27999997
348;1.27999997
349;1.27999997
350;1.27999997
351;1.27999997
352;1.27999997
353;1.27999997
354;1.27999997
355;1.27999997
356;1.27999997
357;1.27999997
358;1.27999997
359;1.27999997
360;1.27999997
361;1.27999997
362;1.27999997
363;1.27999997
364;1.27999997
365;1.27999997
366;1.27999997
367;1.27999997
368;1.27999997
369;1.27999997
370;1.27999997
371;1.27999997
372;1.27999997
373;1.27999997
374;1.27999997
375;1.27999997
376;1.27999997
377;1.27999997
378;1.27999997
379;1.27999997
380;1.27999997
381;1.27999997
382;1.27999997
383;1.27999997
384;1.27999997
385;1.27999997
386;1.27999997
387;1.27999997
388;1.27999997
389;1.27999997
390;1.27999997
391;1.27999997
392;1.27999997
393;1.27999997
394;1.27999997
395;1.27999997
396;1.27999997
397;1.27999997
398;1.27999997
399;1.27999997
400;1.27999997
401;1.27999997
402;1.27999997
403;1.27999997
404;1.27999997
405;1.27999997
406;1.27999997
407;1.27999997
408;1.27999997
409;1.27999997
410;1.27999997
411;1.27999997
412;1.27999997
413;1.27999997
414;1.27999997
415;1.27999997
416;1.27999997
417;1.27999997
418;1.27999997
419;1.27999997
420;1.27999997
421;1.27999997
422;1.27999997
423;1.27999997
424;1.27999997
425;1.27999997
426;1.27999997
427;1.27999997
428;1.27999997
429;1.27999997
430;1.27999997
431;1.27999997
432;1.27999997
433;1.27999997
434;1.27999997
435;1.27999997
436;1.27999997
437;1.27999997
438;1.27999997
439;1.27999997
440;1.27999997
441;1.27999997
442;1.27999997
443;1.27999997
444;1.27999997
445;1.27999997
446;1.27999997
447;1.27999997
448;1.27999997
449;1.27999997
450;1.27999997
451;1.27999997
452;1.27999997
453;1.27999997
454;1.27999997
455;1.27999997
456;1.27999997
457;1.27999997
458;1.27999997
459;1.27999997
460;1.27999997
461;1.27999997
462;1.27999997
463;1.27999997
464;1.27999997
465;1.27999997
466;1.27999997
467;1.27999997
468;1.27999997
469;1.27999997
470;1.27999997
471;1.27999997
472;1.27999997
473;1.27999997
474;1.27999997
475;1.27999997
476;1.27999997
477;1.27999997
478;1.27999997
479;1.27999997
480;1.27999997
481;1.27999997
482;1.27999997
483;1.27999997
484;1.27999997
485;1.27999997
486;1.27999997
487;1.27999997
488;1.27999997
489;1.27999997
490;1.27999997
491;1.27999997
492;1.27999997
493;1.27999997
494;1.27999997
495;1.27999997
496;1.27999997
497;1.27999997
498;1.27999997
499;1.27999997
500;1.27999997
501;1.27999997
502;1.27999997
503;1.27999997
504;1.27999997
505;1.27999997
506;1.27999997
507;1.27999997
508;1.27999997
509;1.27999997
510;1.27999997
511;1.27999997
512;1.27999997
513;1.27999997
514;1.27999997
515;1.27999997
516;1.27999997
517;1.27999997
518;1.27999997
519;1.27999997
520;1.27999997
521;1.27999997
522;1.27999997
523;1.27999997
524;1.27999997
525;1.27999997
526;1.27999997
527;1.27999997
528;1.27999997
529;1.27999997
530;1.27999997
531;1.27999997
532;1.27999997
533;1.27999997
534;1.27999997
535;1.27999997
536;1.27999997
537;1.27999997
538;1.27999997
539;1.27999997
540;1.27999997
541;1.27999997
542;1.27999997
543;1.27999997
544;1.27999997
545;1.27999997
546;1.27999997
547;1.27999997
548;1.27999997
549;1.27999997
550;1.27999997
551;1.27999997
552;1.27999997
553;1.27999997
554;1.27999997
555;1.27999997
556;1.27999997
557;1.27999997
558;1.27999997
559;1.27999997
560;1.27999997
561;1.27999997
562;1.27999997
563;1.27999997
564;1.27999997
565;1.27999997
566;1.27999997
567;1.27999997
568;1.27999997
569;1.27999997
570;1.27999997
571;1.27999997
572;1.27999997
573;1.27999997
574;1.27999997
575;1.27999997
576;1.27999997
577;1.27999997
578;1.27999997
579;1.27999997
580;1.27999997
581;1.27999997
582;1.27999997
583;1.27999997
584;1.27999997
585;1.27999997
586;1.27999997
587;1.27999997
588;1.27999997
589;1.27999997
590;1.27999997
591;1.27999997
592;1.27999997
593;1.27999997
594;1.27999997
595;1.27999997
596;1.27999997
597;1.27999997
598;1.27999997
599;1.27999997
600;1.27999997
601;1.27999997
602;1.27999997
603;1.27999997
604;1.27999997
605;1.27999997
606;1.27999997
607;1.27999997
608;1.27999997
609;1.27999997
610;1.27999997
611;1.27999997
612;1.27999997
613;1.27999997
614;1.27999997
615;1.27999997
616;1.27999997
617;1.27999997
618;1.27999997
619;1.27999997
620;1.27999997
621;1.27999997
622;1.27999997
623;1.27999997
624;1.27999997
625;1.27999997
626;1.27999997
627;1.27999997
628;1.27999997
629;1.27999997
630;1.27999997
631;1.27999997
632;1.27999997
633;1.27999997
634;1.27999997
635;1.27999997
636;1.27999997
637;1.27999997
638;1.27999997
639;1.27999997
640;1.27999997
641;1.27999997
642;1.27999997
643;1.27999997
644;1.27999997
645;1.27999997
646;1.27999997
647;1.27999997
648;1.27999997
649;1.27999997
650;1.27999997
651;1.27999997
