Index;Wert
0;334
1;334
2;334
3;334
4;320
5;320
6;320
7;320
8;327
9;327
10;327
11;327
12;319
13;319
14;319
15;319
16;331
17;331
18;331
19;331
20;614
21;614
22;614
23;614
24;745
25;745
26;745
27;745
28;810
29;810
30;810
31;810
32;760
33;760
34;760
35;760
36;721
37;721
38;721
39;721
40;662
41;662
42;662
43;662
44;748
45;748
46;748
47;748
48;725
49;725
50;725
51;725
52;719
53;719
54;719
55;719
56;776
57;776
58;776
59;776
60;745
61;745
62;745
63;745
64;711
65;711
66;711
67;711
68;626
69;626
70;626
71;626
72;731
73;731
74;731
75;731
76;652
77;652
78;652
79;652
80;635
81;635
82;635
83;635
84;472
85;472
86;472
87;472
88;419
89;419
90;419
91;419
92;443
93;443
94;443
95;443
96;407
97;407
98;407
99;407
100;384
101;384
102;384
103;384
104;311
105;311
106;311
107;311
108;310
109;310
110;310
111;310
112;332
113;332
114;332
115;332
116;614
117;614
118;614
119;614
120;714
121;714
122;714
123;714
124;821
125;821
126;821
127;821
128;768
129;768
130;768
131;768
132;776
133;776
134;776
135;776
136;720
137;720
138;720
139;720
140;724
141;724
142;724
143;724
144;701
145;701
146;701
147;701
148;724
149;724
150;724
151;724
152;732
153;732
154;732
155;732
156;715
157;715
158;715
159;715
160;671
161;671
162;671
163;671
164;648
165;648
166;648
167;648
168;670
169;670
170;670
171;670
172;598
173;598
174;598
175;598
176;428
177;428
178;428
179;428
180;204
181;204
182;204
183;204
184;173
185;173
186;173
187;173
188;210
189;210
190;210
191;210
192;229
193;229
194;229
195;229
196;232
197;232
198;232
199;232
200;234
201;234
202;234
203;234
204;261
205;261
206;261
207;261
208;328
209;328
210;328
211;328
212;564
213;564
214;564
215;564
216;645
217;645
218;645
219;645
220;742
221;742
222;742
223;742
224;733
225;733
226;733
227;733
228;781
229;781
230;781
231;781
232;700
233;700
234;700
235;700
236;820
237;820
238;820
239;820
240;783
241;783
242;783
243;783
244;805
245;805
246;805
247;805
248;831
249;831
250;831
251;831
252;774
253;774
254;774
255;774
256;788
257;788
258;788
259;788
260;713
261;713
262;713
263;713
264;757
265;757
266;757
267;757
268;731
269;731
270;731
271;731
272;605
273;605
274;605
275;605
276;399
277;399
278;399
279;399
280;432
281;432
282;432
283;432
284;349
285;349
286;349
287;349
288;329
289;329
290;329
291;329
292;323
293;323
294;323
295;323
296;315
297;315
298;315
299;315
300;306
301;306
302;306
303;306
304;332
305;332
306;332
307;332
308;527
309;527
310;527
311;527
312;719
313;719
314;719
315;719
316;736
317;736
318;736
319;736
320;692
321;692
322;692
323;692
324;723
325;723
326;723
327;723
328;677
329;677
330;677
331;677
332;727
333;727
334;727
335;727
336;751
337;751
338;751
339;751
340;700
341;700
342;700
343;700
344;612
345;612
346;612
347;612
348;578
349;578
350;578
351;578
352;589
353;589
354;589
355;589
356;499
357;499
358;499
359;499
360;476
361;476
362;476
363;476
364;333
365;333
366;333
367;333
368;318
369;318
370;318
371;318
372;229
373;229
374;229
375;229
376;165
377;165
378;165
379;165
380;1770
381;1770
382;1770
383;1770
384;159
385;159
386;159
387;159
388;161
389;161
390;161
391;161
392;148
393;148
394;148
395;148
396;164
397;164
398;164
399;164
400;50
401;50
402;50
403;50
404;-24
405;-24
406;-24
407;-24
408;-54
409;-54
410;-54
411;-54
412;-42
413;-42
414;-42
415;-42
416;-53
417;-53
418;-53
419;-53
420;-94
421;-94
422;-94
423;-94
424;-117
425;-117
426;-117
427;-117
428;-136
429;-136
430;-136
431;-136
432;-140
433;-140
434;-140
435;-140
436;-172
437;-172
438;-172
439;-172
440;-208
441;-208
442;-208
443;-208
444;-207
445;-207
446;-207
447;-207
448;-206
449;-206
450;-206
451;-206
452;-208
453;-208
454;-208
455;-208
456;-208
457;-208
458;-208
459;-208
460;-206
461;-206
462;-206
463;-206
464;-205
465;-205
466;-205
467;-205
468;-199
469;-199
470;-199
471;-199
472;-203
473;-203
474;-203
475;-203
476;-203
477;-203
478;-203
479;-203
480;-202
481;-202
482;-202
483;-202
484;-205
485;-205
486;-205
487;-205
488;-205
489;-205
490;-205
491;-205
492;-204
493;-204
494;-204
495;-204
496;-209
497;-209
498;-209
499;-209
500;-211
501;-211
502;-211
503;-211
504;-211
505;-211
506;-211
507;-211
508;-214
509;-214
510;-214
511;-214
512;-211
513;-211
514;-211
515;-211
516;-210
517;-210
518;-210
519;-210
520;-212
521;-212
522;-212
523;-212
524;-211
525;-211
526;-211
527;-211
528;-210
529;-210
530;-210
531;-210
532;-209
533;-209
534;-209
535;-209
536;-211
537;-211
538;-211
539;-211
540;-211
541;-211
542;-211
543;-211
544;-211
545;-211
546;-211
547;-211
548;-209
549;-209
550;-209
551;-209
552;-208
553;-208
554;-208
555;-208
556;-209
557;-209
558;-209
559;-209
560;-211
561;-211
562;-211
563;-211
564;-203
565;-203
566;-203
567;-203
568;-204
569;-204
570;-204
571;-204
572;-203
573;-203
574;-203
575;-203
576;-205
577;-205
578;-205
579;-205
580;-207
581;-207
582;-207
583;-207
584;-206
585;-206
586;-206
587;-206
588;-205
589;-205
590;-205
591;-205
592;-208
593;-208
594;-208
595;-208
596;-211
597;-211
598;-211
599;-211
600;-208
601;-208
602;-208
603;-208
604;-211
605;-211
606;-211
607;-211
608;-211
609;-211
610;-211
611;-211
612;-208
613;-208
614;-208
615;-208
616;-207
617;-207
618;-207
619;-207
620;-207
621;-207
622;-207
623;-207
624;-210
625;-210
626;-210
627;-210
628;-209
629;-209
630;-209
631;-209
632;-208
633;-208
634;-208
635;-208
636;-208
637;-208
638;-208
639;-208
640;-207
641;-207
642;-207
643;-207
644;-207
645;-207
646;-207
647;-207
648;-206
649;-206
650;-206
651;-206
652;-209
653;-209
654;-209
655;-209
656;-206
657;-206
658;-206
659;-206
660;-200
661;-200
662;-200
663;-200
664;-200
665;-200
666;-200
667;-200
668;-201
669;-201
670;-201
671;-201
672;-193
673;-193
674;-193
675;-193
676;-193
677;-193
678;-193
679;-193
680;-198
681;-198
682;-198
683;-198
684;-196
685;-196
686;-196
687;-196
688;-174
689;-174
690;-174
691;-174
692;64
693;64
694;64
695;64
696;374
697;374
698;374
699;374
700;455
701;455
702;455
703;455
704;506
705;506
706;506
707;506
708;655
709;655
710;655
711;655
712;639
713;639
714;639
715;639
716;726
717;726
718;726
719;726
720;750
721;750
722;750
723;750
724;754
725;754
726;754
727;754
728;682
729;682
730;682
731;682
732;604
733;604
734;604
735;604
736;668
737;668
738;668
739;668
740;665
741;665
742;665
743;665
744;674
745;674
746;674
747;674
748;628
749;628
750;628
751;628
752;557
753;557
754;557
755;557
756;350
757;350
758;350
759;350
760;350
761;350
762;350
763;350
764;342
765;342
766;342
767;342
768;320
769;320
770;320
771;320
772;328
773;328
774;328
775;328
776;322
777;322
778;322
779;322
780;323
781;323
782;323
783;323
784;371
785;371
786;371
787;371
788;585
789;585
790;585
791;585
792;732
793;732
794;732
795;732
796;845
797;845
798;845
799;845
800;824
801;824
802;824
803;824
804;887
805;887
806;887
807;887
808;800
809;800
810;800
811;800
812;883
813;883
814;883
815;883
816;843
817;843
818;843
819;843
820;818
821;818
822;818
823;818
824;704
825;704
826;704
827;704
828;709
829;709
830;709
831;709
832;717
833;717
834;717
835;717
836;706
837;706
838;706
839;706
840;664
841;664
842;664
843;664
844;650
845;650
846;650
847;650
848;462
849;462
850;462
851;462
852;315
853;315
854;315
855;315
856;310
857;310
858;310
859;310
860;298
861;298
862;298
863;298
864;300
865;300
866;300
867;300
868;295
869;295
870;295
871;295
872;294
873;294
874;294
875;294
876;297
877;297
878;297
879;297
880;315
881;315
882;315
883;315
884;572
885;572
886;572
887;572
888;750
889;750
890;750
891;750
892;817
893;817
894;817
895;817
896;744
897;744
898;744
899;744
900;785
901;785
902;785
903;785
904;742
905;742
906;742
907;742
908;762
909;762
910;762
911;762
912;738
913;738
914;738
915;738
916;723
917;723
918;723
919;723
920;710
921;710
922;710
923;710
924;686
925;686
926;686
927;686
928;690
929;690
930;690
931;690
932;644
933;644
934;644
935;644
936;671
937;671
938;671
939;671
940;591
941;591
942;591
943;591
944;552
945;552
946;552
947;552
948;353
949;353
950;353
951;353
952;361
953;361
954;361
955;361
956;336
957;336
958;336
959;336
960;308
961;308
962;308
963;308
964;299
965;299
966;299
967;299
968;286
969;286
970;286
971;286
972;305
973;305
974;305
975;305
976;311
977;311
978;311
979;311
980;495
981;495
982;495
983;495
984;606
985;606
986;606
987;606
988;642
989;642
990;642
991;642
992;573
993;573
994;573
995;573
996;659
997;659
998;659
999;659
1000;545
1001;545
1002;545
1003;545
1004;546
1005;546
1006;546
1007;546
1008;514
1009;514
1010;514
1011;514
1012;490
1013;490
1014;490
1015;490
1016;447
1017;447
1018;447
1019;447
1020;369
1021;369
1022;369
1023;369
1024;276
1025;276
1026;276
1027;276
1028;227
1029;227
1030;227
1031;227
1032;111
1033;111
1034;111
1035;111
1036;65
1037;65
1038;65
1039;65
1040;72
1041;72
1042;72
1043;72
1044;99
1045;99
1046;99
1047;99
1048;121
1049;121
1050;121
1051;121
1052;113
1053;113
1054;113
1055;113
1056;107
1057;107
1058;107
1059;107
1060;88
