Index;Wert
0;634
1;634
2;634
3;634
4;620
5;620
6;620
7;620
8;627
9;627
10;627
11;627
12;619
13;619
14;619
15;619
16;631
17;631
18;631
19;631
20;914
21;914
22;914
23;914
24;1045
25;1045
26;1045
27;1045
28;1110
29;1110
30;1110
31;1110
32;1060
33;1060
34;1060
35;1060
36;1021
37;1021
38;1021
39;1021
40;962
41;962
42;962
43;962
44;1048
45;1048
46;1048
47;1048
48;1025
49;1025
50;1025
51;1025
52;1019
53;1019
54;1019
55;1019
56;1076
57;1076
58;1076
59;1076
60;1045
61;1045
62;1045
63;1045
64;1011
65;1011
66;1011
67;1011
68;926
69;926
70;926
71;926
72;1031
73;1031
74;1031
75;1031
76;952
77;952
78;952
79;952
80;935
81;935
82;935
83;935
84;772
85;772
86;772
87;772
88;719
89;719
90;719
91;719
92;743
93;743
94;743
95;743
96;707
97;707
98;707
99;707
100;684
101;684
102;684
103;684
104;611
105;611
106;611
107;611
108;610
109;610
110;610
111;610
112;632
113;632
114;632
115;632
116;914
117;914
118;914
119;914
120;1014
121;1014
122;1014
123;1014
124;1121
125;1121
126;1121
127;1121
128;1068
129;1068
130;1068
131;1068
132;1076
133;1076
134;1076
135;1076
136;1020
137;1020
138;1020
139;1020
140;1024
141;1024
142;1024
143;1024
144;1001
145;1001
146;1001
147;1001
148;1024
149;1024
150;1024
151;1024
152;1032
153;1032
154;1032
155;1032
156;1015
157;1015
158;1015
159;1015
160;971
161;971
162;971
163;971
164;948
165;948
166;948
167;948
168;970
169;970
170;970
171;970
172;898
173;898
174;898
175;898
176;728
177;728
178;728
179;728
180;504
181;504
182;504
183;504
184;473
185;473
186;473
187;473
188;510
189;510
190;510
191;510
192;529
193;529
194;529
195;529
196;532
197;532
198;532
199;532
200;534
201;534
202;534
203;534
204;561
205;561
206;561
207;561
208;628
209;628
210;628
211;628
212;864
213;864
214;864
215;864
216;945
217;945
218;945
219;945
220;1042
221;1042
222;1042
223;1042
224;1033
225;1033
226;1033
227;1033
228;1081
229;1081
230;1081
231;1081
232;1000
233;1000
234;1000
235;1000
236;1120
237;1120
238;1120
239;1120
240;1083
241;1083
242;1083
243;1083
244;1105
245;1105
246;1105
247;1105
248;1131
249;1131
250;1131
251;1131
252;1074
253;1074
254;1074
255;1074
256;1088
257;1088
258;1088
259;1088
260;1013
261;1013
262;1013
263;1013
264;1057
265;1057
266;1057
267;1057
268;1031
269;1031
270;1031
271;1031
272;905
273;905
274;905
275;905
276;699
277;699
278;699
279;699
280;732
281;732
282;732
283;732
284;649
285;649
286;649
287;649
288;629
289;629
290;629
291;629
292;623
293;623
294;623
295;623
296;615
297;615
298;615
299;615
300;606
301;606
302;606
303;606
304;632
305;632
306;632
307;632
308;827
309;827
310;827
311;827
312;1019
313;1019
314;1019
315;1019
316;1036
317;1036
318;1036
319;1036
320;992
321;992
322;992
323;992
324;1023
325;1023
326;1023
327;1023
328;977
329;977
330;977
331;977
332;1027
333;1027
334;1027
335;1027
336;1051
337;1051
338;1051
339;1051
340;1000
341;1000
342;1000
343;1000
344;912
345;912
346;912
347;912
348;878
349;878
350;878
351;878
352;889
353;889
354;889
355;889
356;799
357;799
358;799
359;799
360;776
361;776
362;776
363;776
364;633
365;633
366;633
367;633
368;618
369;618
370;618
371;618
372;529
373;529
374;529
375;529
376;465
377;465
378;465
379;465
380;2070
381;2070
382;2070
383;2070
384;459
385;459
386;459
387;459
388;461
389;461
390;461
391;461
392;448
393;448
394;448
395;448
396;464
397;464
398;464
399;464
400;350
401;350
402;350
403;350
404;276
405;276
406;276
407;276
408;246
409;246
410;246
411;246
412;258
413;258
414;258
415;258
416;247
417;247
418;247
419;247
420;206
421;206
422;206
423;206
424;183
425;183
426;183
427;183
428;164
429;164
430;164
431;164
432;160
433;160
434;160
435;160
436;128
437;128
438;128
439;128
440;92
441;92
442;92
443;92
444;93
445;93
446;93
447;93
448;94
449;94
450;94
451;94
452;92
453;92
454;92
455;92
456;92
457;92
458;92
459;92
460;94
461;94
462;94
463;94
464;95
465;95
466;95
467;95
468;101
469;101
470;101
471;101
472;97
473;97
474;97
475;97
476;97
477;97
478;97
479;97
480;98
481;98
482;98
483;98
484;95
485;95
486;95
487;95
488;95
489;95
490;95
491;95
492;96
493;96
494;96
495;96
496;91
497;91
498;91
499;91
500;89
501;89
502;89
503;89
504;89
505;89
506;89
507;89
508;86
509;86
510;86
511;86
512;89
513;89
514;89
515;89
516;90
517;90
518;90
519;90
520;88
521;88
522;88
523;88
524;89
525;89
526;89
527;89
528;90
529;90
530;90
531;90
532;91
533;91
534;91
535;91
536;89
537;89
538;89
539;89
540;89
541;89
542;89
543;89
544;89
545;89
546;89
547;89
548;91
549;91
550;91
551;91
552;92
553;92
554;92
555;92
556;91
557;91
558;91
559;91
560;89
561;89
562;89
563;89
564;97
565;97
566;97
567;97
568;96
569;96
570;96
571;96
572;97
573;97
574;97
575;97
576;95
577;95
578;95
579;95
580;93
581;93
582;93
583;93
584;94
585;94
586;94
587;94
588;95
589;95
590;95
591;95
592;92
593;92
594;92
595;92
596;89
597;89
598;89
599;89
600;92
601;92
602;92
603;92
604;89
605;89
606;89
607;89
608;89
609;89
610;89
611;89
612;92
613;92
614;92
615;92
616;93
617;93
618;93
619;93
620;93
