Index;Wert
0;10.9001989
1;8.30500603
2;8.23594379
3;8.21255589
4;5.32628679
5;3.20461631
6;5.65020084
7;5.99792814
8;5.65440178
9;6.08376026
10;6.73363018
11;6.32245541
12;5.628438
13;4.73953342
14;5.01570797
15;5.08589649
16;4.89924145
17;5.73298693
18;7.31711102
19;6.15437126
20;7.33314753
21;6.08782959
22;7.82279825
23;6.34094048
24;4.4348793
25;2.67900109
26;2.64138865
27;2.65988183
28;2.71604419
29;3.17999053
30;5.63682699
31;5.83866167
32;5.73178101
33;5.25733805
34;5.05630779
35;5.40769815
36;6.99384594
37;4.84870911
38;5.02127647
39;6.3350606
40;5.093081
41;5.45368671
42;5.57639503
43;5.94055939
44;5.76084471
45;5.54794884
46;6.22869158
47;4.49190426
48;4.05060101
49;2.69960618
50;2.58514142
51;2.48194194
52;2.38502836
53;2.74809861
54;4.80346012
55;4.94995546
56;5.59241962
57;5.69274235
58;5.31060219
59;5.12469435
60;6.24713039
61;6.62665844
62;6.44301414
63;4.76154137
64;4.99690437
65;6.11863995
66;6.50425243
67;6.43912506
68;6.76322126
69;7.2484026
70;7.9426403
71;6.02448654
72;2.91290164
73;2.66618443
74;2.64559245
75;2.63444161
76;2.59760427
77;2.94578147
78;4.76596308
79;5.1892972
80;5.92834711
81;5.96003151
82;5.96511459
83;5.17567921
84;5.63557625
85;5.17256403
86;5.12094212
87;4.96841145
88;5.17810822
89;5.35381031
90;6.25701046
91;6.63981295
92;6.61440229
93;5.8939743
94;7.29747772
95;4.32212257
96;2.82724285
97;2.82655668
98;2.83035851
99;2.81599927
100;2.85209823
101;3.32959819
102;5.49621534
103;6.01160002
104;6.10782146
105;6.72161388
106;5.41322899
107;5.17306566
108;5.83469486
109;5.05403519
110;5.0151701
111;5.03212643
112;4.95098448
113;5.38128328
114;6.98973417
115;6.80986738
116;6.2547822
117;5.80201674
118;6.17413998
119;4.86786652
120;3.51254344
121;2.84521151
122;2.85191917
123;2.84496021
124;2.89325619
125;3.34487915
126;5.42628765
127;6.47982645
128;6.37070417
129;5.74523163
130;5.30634451
131;4.86812878
132;5.5922575
133;5.4952774
134;5.49053192
135;5.28280926
136;5.34860373
137;5.77026176
138;7.55564022
139;6.46369171
140;5.89116573
141;5.77778244
142;6.03437424
143;5.8528986
144;3.80436373
145;3.05020928
146;2.79949188
147;2.77068233
148;2.81523633
149;3.26380873
150;5.40457773
151;6.0167408
152;5.71813917
153;5.93648767
154;5.62480783
155;5.02566433
156;5.4011178
157;5.80396557
158;7.36134529
159;6.28428507
160;7.21012306
161;6.03051853
162;5.65826654
163;6.07676315
164;7.26635027
165;5.71942282
166;8.16272545
167;4.85331726
168;2.81412768
169;2.20398211
170;2.15253878
171;2.16845131
172;2.29297757
173;2.60952544
174;5.45293617
175;5.79094076
176;5.53306103
177;5.89627171
178;6.73022079
179;6.1663022
180;5.62453842
181;4.73672867
182;5.01189995
183;4.96272659
184;4.89784288
185;5.7305479
186;7.31183004
187;6.14566946
188;7.32750034
189;6.08418083
190;7.64809513
191;5.95681477
192;4.37163925
193;2.61541271
194;2.5667119
195;2.56797671
196;2.61563158
197;3.10002136
198;5.66885757
199;5.84240961
200;5.76537132
201;5.20616055
202;5.0495019
203;5.23555422
204;6.79397583
205;4.58600903
206;4.75640106
207;6.12114429
208;4.91991186
209;5.39398766
210;5.57846355
211;5.95044518
212;5.77421522
213;5.64335203
214;6.40291929
215;4.53261423
216;4.18658638
217;2.83528781
218;2.67610002
219;2.53593063
220;2.43706751
221;2.8081007
222;4.73152065
223;4.94702673
224;5.53467512
225;5.54632425
226;5.20630074
227;5.11522722
228;6.20870352
229;6.59346867
230;6.48366117
231;4.86455345
232;5.0840168
233;6.11774683
234;6.5047183
235;6.43296957
236;6.7554307
237;7.22660351
238;7.90433693
239;6.03898096
240;2.78907967
241;2.53830528
242;2.51826668
243;2.50800848
244;2.48882246
245;2.87917542
246;4.75650454
247;5.24323463
248;6.10606241
249;6.13836861
250;6.11421299
251;5.25319672
252;5.69163799
253;5.05948496
254;4.94459295
255;4.7892499
256;5.0473237
257;5.31333447
258;6.24311638
259;6.62500048
260;6.59752607
261;5.84972
262;7.19168568
263;4.18430519
264;2.64298248
265;2.642766
266;2.64596725
267;2.63114309
268;2.66649652
269;3.13276339
270;5.32433081
271;5.8637867
272;5.93985176
273;6.72113228
274;5.41646242
275;5.19342041
276;5.83960056
277;5.05607986
278;5.016366
279;5.03428555
280;4.95182228
281;5.35731316
282;6.91290188
283;6.80970287
284;6.26014328
285;5.79481983
286;6.18321037
287;4.81184435
