Index;Wert
0;14.2464733
1;7.37397289
2;7.37397289
3;7.37397289
4;7.37397289
5;8.65982056
6;15.7567196
7;21.8479195
8;21.61096
9;22.3410416
10;23.8043194
11;24.3724804
12;22.9144058
13;17.6607571
14;15.9462919
15;15.0890598
16;15.5176754
17;17.2478409
18;23.6006393
19;23.5631199
20;23.58992
21;23.4880791
22;23.4452
23;9.72341919
24;0
25;10.7383299
26;0
27;10.7383299
28;0
29;11.6763811
30;14.4709644
31;16.6156406
32;22.3041058
33;16.7159195
34;21.2513103
35;15.7216997
36;13.8455963
37;12.9075432
38;11.6568089
39;11.0314407
40;11.3441238
41;13.2202282
42;17.7099991
43;22.7829933
44;17.6707611
45;22.8060169
46;13.5329113
47;0
48;9.8130188
49;0
50;8.28571606
51;0
52;8.28571606
53;0
54;15.9596033
55;14.4930191
56;15.4533882
57;15.4533882
58;13.7727451
59;12.0921001
60;10.6515484
61;9.93127251
62;8.9709053
63;8.49072075
64;8.73081207
65;10.1713638
66;14.7331123
67;16.4137573
68;15.6934795
69;15.4533882
70;10.4114571
71;0
72;9.33873749
73;0
74;9.90735626
75;0
76;9.90735626
77;0
78;16.8162003
79;19.6430721
80;17.0080395
81;20.0232773
82;16.5085716
83;14.491951
84;12.7634163
85;11.8991489
86;10.7467937
87;10.1706161
88;10.458704
89;12.1872368
90;16.9295597
91;20.3997269
92;16.8249207
93;20.4885616
94;12.4753265
95;0
96;10.6098356
97;0
98;10.7381268
99;0
100;10.7381268
101;0
102;16.1665592
103;22.9145603
104;20.5350304
105;16.89468
106;21.0740757
107;15.7214003
108;13.8453312
109;12.907299
110;11.6565857
111;11.0312309
112;11.3439064
113;13.2199764
114;16.6548805
115;23.4344807
116;20.7962685
117;16.7115593
118;16.6505203
119;0
120;11.308733
121;0
122;10.8189106
123;0
124;10.8189106
125;0
126;16.1534805
127;22.3142395
128;21.5885143
129;16.5415192
130;21.7101822
131;15.840951
132;13.9505348
133;13.005331
134;11.7450523
135;11.1149158
136;11.4299831
137;13.3203983
138;16.2581196
139;22.4267998
140;21.9015198
141;20.9774532
142;13.6354675
143;0
144;10.533844
145;0
146;9.634058
147;0
148;9.634058
149;0
150;15.78724
151;19.6486034
152;15.6869602
153;20.2988663
154;16.0475006
155;14.0874996
156;12.4074993
157;11.5674992
158;10.4475002
159;9.88750076
160;10.1674995
161;11.8474998
162;17.1674995
163;18.0806007
164;19.3212395
165;17.8408012
166;12.2921038
167;0
168;7.90727615
169;0
170;0
171;8.03702736
172;0
173;0
174;13.4090242
175;10.7201576
176;10.7201576
177;10.8514233
178;9.2762394
179;8.22611618
180;7.43852472
181;7.56979036
182;7.43852472
183;7.30726004
184;7.30726004
185;7.70105505
186;9.53876877
187;9.53876877
188;8.88244438
189;8.6199131
190;0
191;9.15397644
192;0
193;13.045764
194;0
195;13.045764
196;0
197;14.1887007
198;16.454319
199;23.0539207
200;22.9413605
201;23.5202408
202;24.4099998
203;19.9454117
204;16.8505764
205;15.7076387
206;14.1837234
207;13.4217644
208;13.8027439
209;16.0886173
210;17.5835609
211;23.7239208
212;23.3808804
213;23.0860806
214;16.4412403
215;13.759222
216;0
217;9.31856251
218;0
219;9.31856251
220;0
221;10.1305485
222;12.5379524
223;16.327219
224;17.4098682
225;17.4098682
226;15.515234
227;13.6205997
228;11.9966278
229;11.1846428
230;10.1019936
231;9.56067085
232;9.83133125
233;11.4553032
234;16.5978832
235;17.3786392
236;18.7804031
237;17.4091606
238;11.7266655
239;0
240;10.025322
241;0
242;10.1920395
243;0
244;10.1920395
245;0
246;16.9600792
247;20.5535927
248;16.4237995
249;21.6719246
250;16.5284405
251;15.367877
252;13.1341591
253;12.2446156
254;11.0585556
255;10.4655247
256;10.7620392
257;12.5411301
258;17.6533203
259;20.7655563
260;17.5094395
261;20.8927174
262;12.8376465
263;0
264;10.585721
265;0
266;10.392561
267;0
268;10.392561
269;0
270;16.7987595
271;21.454298
272;16.8815994
273;21.974781
274;17.0516396
275;15.4820471
276;13.3953018
277;12.4879494
278;11.2781506
279;10.6732502
280;10.9756985
281;12.7903996
282;16.89468
283;22.2757263
