Index;Wert
0;1141.32324
1;1141.07593
2;1141.05115
3;1141.05896
4;1141.06555
5;1141.27148
6;1143.39355
7;1144.53186
8;1144.80896
9;1144.9989
10;1144.96692
11;1144.34448
12;1143.82056
13;1143.22754
14;1143.06775
15;1142.77136
16;1142.52856
17;1143.28967
18;1145.31201
19;1145.22034
20;1145.59961
21;1144.9873
22;1144.38391
23;1142.8595
24;1142.0094
25;1141.17285
26;1141.15063
27;1141.1532
28;1141.15588
29;1141.35669
30;1143.41711
31;1144.48279
32;1144.80042
33;1144.71704
34;1144.32214
35;1144.01379
36;1144.18018
37;1142.96716
38;1142.78699
39;1143.12561
40;1142.57666
41;1143.17371
42;1144.57886
43;1145.26025
44;1144.99292
45;1144.8252
46;1143.57739
47;1141.95825
48;1141.75488
49;1141.11365
50;1141.06396
51;1141.01624
52;1140.96509
53;1141.13635
54;1142.65271
55;1143.46973
56;1143.90466
57;1143.89539
58;1143.53442
59;1143.3064
60;1143.55554
61;1143.60181
62;1143.32874
63;1142.22205
64;1142.06848
65;1142.91138
66;1144.19189
67;1144.55029
68;1144.56274
69;1144.77625
70;1143.95142
71;1142.70374
72;1141.17041
73;1140.9541
74;1140.9502
75;1140.94751
76;1140.93457
77;1141.12927
78;1142.7832
79;1143.86035
80;1144.70081
81;1144.71777
82;1144.2782
83;1143.48157
84;1143.23938
85;1142.85547
86;1142.48584
87;1142.3009
88;1142.26892
89;1142.67004
90;1144.33484
91;1145.03955
92;1144.9895
93;1144.62134
94;1143.8031
95;1141.82532
96;1141.18274
97;1141.13574
98;1141.21924
99;1141.3717
100;1141.32214
101;43.2639465
102;45.1474152
103;46.309948
104;46.8204498
105;47.3532677
106;46.2978249
107;45.6175156
108;45.5111656
109;44.955883
110;44.8321648
111;44.6055794
112;44.5005913
113;45.1542702
114;47.288147
115;47.7323227
116;47.3070946
117;47.0719604
118;45.631794
119;44.2532196
120;43.630043
121;43.0709877
122;43.0670776
123;43.0644722
124;43.0748978
125;43.2659149
126;45.2928848
127;46.6901512
128;47.0235786
129;47.0717964
130;46.5268936
131;45.6986847
132;45.5705948
133;45.3394852
134;44.9331665
135;44.6622429
136;44.6784668
137;45.2175789
138;47.3293762
139;47.259182
140;46.8065338
141;46.7355804
142;45.4344788
143;44.5193863
144;43.6234474
145;43.2693672
146;43.1165161
147;43.0109596
148;43.0187798
149;43.2105484
150;44.9753342
151;46.0754662
152;46.3798141
153;46.7016945
154;46.3144341
155;45.4670753
156;45.2711906
157;45.2670746
158;45.5517578
159;44.8887482
160;45.3297195
161;45.1502914
162;46.2036819
163;46.8692055
164;47.249527
165;46.4632149
166;46.262394
167;43.9679832
168;43.0063324
169;42.7174683
170;42.6927071
171;42.7005272
172;42.7485695
173;42.869236
174;44.5016937
175;45.6988182
176;45.696209
177;1143.92761
178;1143.88696
179;1143.42188
180;1143.06848
181;1142.72693
182;1142.8053
183;1142.6073
184;1142.29456
185;1142.76062
186;1144.03528
187;1143.45398
188;1143.83545
189;1143.21008
190;1143.32812
191;1142.51404
192;1141.96997
193;1141.13342
194;1141.11121
195;1141.11377
196;1141.11646
197;1141.3103
198;1143.3103
199;1144.34351
200;1144.65186
201;1144.56848
202;1144.1897
203;1143.89771
204;1144.078
205;1142.87195
206;1142.70117
207;1143.04443
208;1142.49304
209;1143.07617
210;1144.43713
211;1145.10229
212;1144.84204
213;1144.67664
214;1143.47754
215;1141.9165
216;1141.81763
217;1141.17639
218;1141.12671
219;1141.07898
220;1141.02783
221;1141.21021
222;1142.82251
223;1143.69128
224;1144.14099
225;1144.13171
226;1143.74487
227;1143.49097
228;1143.7179
229;1143.75317
230;1143.46533
231;1142.3512
232;1142.20142
233;1143.06653
234;1144.41711
235;1144.80139
236;1144.80273
237;1145.01257
238;1144.11023
239;1142.77014
240;1141.17993
241;1140.96362
242;1140.95972
243;1140.95703
244;1140.94409
245;1141.14038
246;1142.80884
247;1143.8938
248;1144.73645
249;1144.75342
250;1144.30994
251;1143.5094
252;1143.26392
253;1142.8783
254;1142.50647
255;1142.32043
256;1142.28894
257;1142.69348
258;1144.36877
259;1145.07739
260;1145.02563
261;1144.65698
262;1143.82703
263;1141.83533
264;1141.13574
265;1141.08875
266;1141.17224
267;1141.32471
268;1141.27515
269;1141.20862
270;45.0201759
271;46.1439896
272;46.643425
273;47.1762466
274;46.1401634
275;45.4792137
276;45.3894615
277;44.8424797
278;44.7298203
279;44.50877
280;44.4010162
281;45.0380974
282;47.1194229
283;47.5442352
284;47.1273041
285;46.8949356
286;45.5128555
287;44.2034302
288;43.6605072
289;43.1014519
290;43.0975418
291;43.0949364
292;43.1053619
293;43.301754
294;45.3753166
295;46.7976723
296;47.1382675
297;47.1864853
298;46.6290359
299;45.7882843
300;45.6494408
301;45.4129562
302;44.9994698
303;44.7249641
304;44.7429771
305;45.2928429
306;47.4386864
307;47.3810387
308;46.9230156
309;46.8502693
310;45.5115356
311;44.5516434
312;43.6409988
313;43.232933
314;43.0800781
315;42.9745216
316;43.0363274
317;43.1930733
318;44.9782448
319;46.5087891
320;46.5504875
321;46.9263573
322;46.3508873
323;45.5312614
324;45.4054222
325;45.6522751
326;46.1456184
327;45.5599403
328;45.9352531
329;45.5238228
330;1144.08545
331;1144.29126
332;1144.59875
333;1143.77002
334;1143.97644
335;1141.97375
336;1141.59021
337;1141.3429
338;1141.31812
339;1141.32593
340;1141.33252
341;1141.58557
342;1144.11621
343;1145.47437
344;1145.81433
345;1146.00427
346;1145.8623
347;1145.12988
348;1144.51172
349;1143.87158
350;1143.64905
351;1143.32117
352;1143.09412
353;1143.94946
354;1146.27026
355;1146.28857
356;1146.62073
357;1145.99268
358;1145.05945
359;1143.14221
360;1142.3634
361;1141.52686
362;1141.50464
363;1141.5072
364;1141.50989
365;1141.77319
366;1144.375
367;1145.73218
368;1146.13318
369;1146.0498
370;1145.50903
371;1145.05493
372;1145.09644
373;1143.82092
374;1143.5575
375;1143.85449
376;1143.32629
377;1144.04834
378;1145.849
379;1146.67615
380;1146.34644
381;1146.15796
382;1144.47278
383;1142.33301
384;1142.44373
385;1141.80249
386;1141.75281
387;1141.70508
388;1141.65393
389;1141.94678
390;1144.51672
391;1145.901
392;1146.49805
393;1146.48877
394;47.8441505
395;47.3324738
396;47.338459
397;47.2632599
398;46.828083
399;45.6402893
400;45.5272217
401;46.6132889
402;48.6637573
403;49.3057518
404;49.1966743
405;49.3696899
406;47.6939163
407;45.4331017
408;43.9609337
409;43.744606
410;43.740696
411;43.7380905
412;43.7250595
413;44.0592537
414;46.922142
415;48.6502495
416;49.6766167
417;49.6935577
418;48.9285431
419;47.8064651
420;47.2853355
421;46.761837
422;46.2062607
423;45.928299
424;45.9428253
425;46.6229401
426;49.1711731
427;50.2012672
428;50.0117226
429;49.5971222
430;47.8024979
431;44.6622276
432;43.9229355
433;43.8760223
434;43.9594269
435;44.1118965
436;44.0623741
437;44.1347466
438;47.1502533
439;48.922348
440;49.6070099
441;50.1398277
442;48.7796021
443;47.7945175
444;47.4269257
445;46.741024
446;46.4431419
447;46.1294823
448;46.0680313
449;46.9829483
450;49.944088
451;50.6930428
452;50.1371918
453;49.8585205
454;47.5040131
455;45.0369415
456;44.2644348
457;43.7053757
458;43.7014656
459;43.6988602
460;43.7092857
461;44.0122566
462;47.0094681
463;48.9291725
464;49.4118652
465;49.460083
466;48.6539612
467;47.5645332
468;47.2125435
469;46.8694801
470;46.3138962
471;45.968338
472;46.0218773
473;46.784893
474;49.6057129
475;49.7967377
476;49.2321396
477;49.123867
478;47.0391121
479;45.1910934
480;44.1429825
481;43.7889061
482;43.6360512
483;43.5304985
484;43.5383148
485;43.8217697
486;46.3811417
487;47.9091263
488;48.3357162
489;48.6576004
490;48.0564117
491;46.9951248
492;1144.61584
493;1144.52002
494;1144.6825
495;1143.95837
496;1144.42981
497;1144.43384
498;1146.06787
499;1146.94727
500;1147.23596
501;1146.41907
502;1145.57654
503;1142.51807
504;1141.78088
505;1141.53357
506;1141.50879
507;1141.5166
508;1141.52319
509;1141.80994
510;1144.63208
511;1146.14734
512;1146.5321
513;1146.72205
514;1146.50159
515;1145.69067
516;1145.00525
517;1144.33142
518;1144.06396
519;1143.71375
520;1143.49792
521;1144.42053
522;1146.95435
523;1147.05115
524;1147.34961
525;1146.71045
526;1145.54163
527;1143.34412
528;1142.12244
529;1141.28589
530;1141.26367
531;1141.26624
532;1141.26892
533;1141.48962
534;1143.72278
535;1144.88147
536;1145.22571
537;1145.14233
538;1144.70081
539;1144.34595
540;1144.47253
541;1143.2395
542;1143.03284
543;1143.35815
544;1142.8158
545;1143.45276
546;1144.98413
547;1145.71204
548;1145.4248
549;1145.25049
550;1143.86304
551;1142.07788
552;1142.00623
553;1141.36499
554;1141.31531
555;1141.26758
556;1141.21643
557;1141.43213
558;1143.33301
559;1144.35706
560;1144.8512
561;1144.84192
562;1144.37732
563;1144.0459
564;1144.20618
565;1144.20813
566;1143.87598
567;1142.73962
568;1142.60083
569;1143.53259
570;1145.09412
571;1145.55591
572;1145.52405
573;1145.72278
574;1144.5874
575;1142.96997
576;1140.88062
577;1140.62695
578;1140.62305
579;1140.62036
