Index;Wert
0;1110.02087
1;1109.85754
2;1109.93384
3;1110.04468
4;1110.1543
5;1110.46313
6;1112.69165
7;1113.93298
8;1114.41602
9;1114.08423
10;1113.40735
11;1112.70007
12;1112.08179
13;1111.45996
14;1111.32251
15;1111.10291
16;1110.91931
17;1111.72449
18;1113.78284
19;1113.69678
20;1114.07202
21;1113.47485
22;1112.87793
23;1111.35754
24;1110.51135
25;1109.68201
26;1109.69421
27;1109.75
28;1109.83386
29;1110.05713
30;1112.12585
31;1113.13562
32;1113.46716
33;1113.30542
34;1112.8241
35;1112.46936
36;1112.59021
37;1111.35474
38;1111.16016
39;1111.49243
40;1110.94263
41;1111.53333
42;1112.92883
43;1113.6134
44;1113.3501
45;1113.18323
46;1111.93298
47;1110.32104
48;1110.12488
49;1109.48682
50;1109.4436
51;1109.40784
52;1109.37903
53;1109.53674
54;1111.06836
55;1111.89575
56;1112.33862
57;1112.30139
58;1111.84924
59;1111.5636
60;1111.79749
61;1111.83826
62;1111.56348
63;1110.49048
64;1110.41211
65;1111.30383
66;1112.61792
67;1113.02429
68;1113.06873
69;1113.30859
70;1112.51184
71;1111.3313
72;1109.94922
73;1109.79907
74;1109.81567
75;1109.7959
76;1109.67419
77;1109.70923
78;1111.30725
79;1112.35193
80;1113.17957
81;1113.14453
82;1112.65454
83;1111.81079
84;1111.56702
85;1111.20312
86;1110.83423
87;1110.69092
88;1110.69727
89;1111.12805
90;1112.828
91;1113.53674
92;1113.50793
93;1113.18738
94;1112.46985
95;1110.65649
96;1110.16162
97;1110.29651
98;1110.52771
99;1110.7522
100;1110.71985
101;12.4728136
102;14.1228151
103;15.0411482
104;15.5852499
105;15.8528681
106;14.6966248
107;13.9603157
108;13.8659658
109;13.3130827
110;13.1845646
111;12.9731798
112;12.944191
113;13.6978703
114;15.9157467
115;16.2279224
116;15.8338947
117;15.6631603
118;14.2621937
119;12.9228191
120;12.3696432
121;11.8987541
122;11.9944105
123;12.0845051
124;12.1670313
125;12.3305817
