Index;Wert
0;306.049194
1;306.049194
2;306.049194
3;306.049194
4;295.863464
5;295.863464
6;295.863464
7;295.863464
8;387.534943
9;387.534943
10;387.534943
11;387.534943
12;448.649292
13;448.649292
14;448.649292
15;448.649292
16;550.50647
17;550.50647
18;550.50647
19;550.50647
20;652.451294
21;652.451294
22;652.451294
23;652.451294
24;673.598206
25;673.598206
26;673.598206
27;673.598206
28;775.863403
29;775.863403
30;775.863403
31;775.863403
32;409.294037
33;409.294037
34;409.294037
35;409.294037
36;511.151245
37;511.151245
38;511.151245
39;511.151245
40;409.02359
41;409.02359
42;409.02359
43;409.02359
44;429.199158
45;429.199158
46;429.199158
47;429.199158
48;428.983948
49;428.983948
50;428.983948
51;428.983948
52;367.78894
53;367.78894
54;367.78894
55;367.78894
56;326.938446
57;326.938446
58;326.938446
59;326.938446
60;306.541931
61;306.541931
62;306.541931
63;306.541931
64;489.921844
65;489.921844
66;489.921844
67;489.921844
68;530.832581
69;530.832581
70;530.832581
71;530.832581
72;653.592773
73;653.592773
74;653.592773
75;653.592773
76;674.160095
77;674.160095
78;674.160095
79;674.160095
80;449.990295
81;449.990295
82;449.990295
83;449.990295
84;551.819519
85;551.819519
86;551.819519
87;551.819519
88;530.860596
89;530.860596
90;530.860596
91;530.860596
92;346.818115
93;346.818115
94;346.818115
95;346.818115
96;306.038605
97;306.038605
98;306.038605
99;306.038605
100;326.410034
101;326.410034
102;326.410034
103;326.410034
104;346.783722
105;346.783722
106;346.783722
107;346.783722
108;448.644592
109;448.644592
110;448.644592
111;448.644592
112;550.507385
113;550.507385
114;550.507385
115;550.507385
116;652.450928
117;652.450928
118;652.450928
119;652.450928
120;918.015381
121;918.015381
122;918.015381
123;918.015381
124;1020.25458
125;1020.25458
126;1020.25458
127;1020.25458
128;714.798767
129;714.798767
130;714.798767
131;714.798767
132;612.921204
133;612.921204
134;612.921204
135;612.921204
136;490.480347
137;490.480347
138;490.480347
139;490.480347
140;408.802277
141;408.802277
142;408.802277
143;408.802277
144;429.008911
145;429.008911
146;429.008911
147;429.008911
148;306.697845
149;306.697845
150;306.697845
151;306.697845
152;286.216522
153;286.216522
154;286.216522
155;286.216522
156;306.533051
157;306.533051
158;306.533051
159;306.533051
160;489.903503
161;489.903503
162;489.903503
163;489.903503
164;612.296997
165;612.296997
166;612.296997
167;612.296997
168;653.561768
169;653.561768
170;653.561768
171;653.561768
172;674.125488
173;674.125488
174;674.125488
175;674.125488
176;531.442993
177;531.442993
178;531.442993
179;531.442993
180;572.158386
181;572.158386
182;572.158386
183;572.158386
184;530.838684
185;530.838684
186;530.838684
187;530.838684
188;346.80896
189;346.80896
190;346.80896
191;346.80896
192;285.591339
193;285.591339
194;285.591339
195;285.591339
196;283.554199
197;283.554199
198;283.554199
199;283.554199
200;285.591339
201;285.591339
202;285.591339
203;285.591339
204;448.562897
205;448.562897
206;448.562897
207;448.562897
208;570.791565
209;570.791565
210;570.791565
211;570.791565
212;407.889038
213;407.889038
214;407.889038
215;407.889038
216;245.515732
217;245.515732
218;245.515732
219;245.515732
220;205.094955
221;205.094955
222;205.094955
223;205.094955
224;286.67276
225;286.67276
226;286.67276
227;286.67276
228;184.815552
229;184.815552
230;184.815552
231;184.815552
232;245.74614
233;245.74614
234;245.74614
235;245.74614
236;265.934967
237;265.934967
238;265.934967
239;265.934967
240;204.687881
241;204.687881
242;204.687881
243;204.687881
244;367.593048
245;367.593048
246;367.593048
247;367.593048
248;326.761658
249;326.761658
250;326.761658
251;326.761658
252;306.345978
253;306.345978
254;306.345978
255;306.345978
256;408.254547
257;408.254547
258;408.254547
259;408.254547
260;469.509552
261;469.509552
262;469.509552
263;469.509552
264;673.661194
265;673.661194
266;673.661194
267;673.661194
268;673.822205
269;673.822205
270;673.822205
271;673.822205
272;571.895935
273;571.895935
274;571.895935
275;571.895935
276;612.620605
277;612.620605
278;612.620605
279;612.620605
280;530.654114
281;530.654114
282;530.654114
283;530.654114
284;509.707306
285;509.707306
286;509.707306
287;509.707306
288;509.732727
289;509.732727
290;509.732727
291;509.732727
292;428.247711
293;428.247711
294;428.247711
295;428.247711
296;306.019073
297;306.019073
298;306.019073
299;306.019073
300;326.390503
301;326.390503
302;326.390503
303;326.390503
304;346.758606
305;346.758606
306;346.758606
307;346.758606
308;530.167969
309;530.167969
310;530.167969
311;530.167969
312;367.850525
313;367.850525
314;367.850525
315;367.850525
316;286.716125
317;286.716125
318;286.716125
319;286.716125
320;246.074326
321;246.074326
322;246.074326
323;246.074326
324;225.702881
325;225.702881
326;225.702881
327;225.702881
328;307.01178
329;307.01178
330;307.01178
331;307.01178
332;204.964706
333;204.964706
334;204.964706
335;204.964706
336;225.185257
337;225.185257
338;225.185257
339;225.185257
340;204.749084
341;204.749084
342;204.749084
343;204.749084
344;245.391403
345;245.391403
346;245.391403
347;245.391403
348;306.455963
349;306.455963
350;306.455963
351;306.455963
352;347.224091
353;347.224091
354;347.224091
355;347.224091
356;530.718689
357;530.718689
358;530.718689
359;530.718689
360;510.827271
361;510.827271
362;510.827271
363;510.827271
364;572.118469
365;572.118469
366;572.118469
367;572.118469
368;449.815979
369;449.815979
370;449.815979
371;449.815979
372;673.887695
373;673.887695
374;673.887695
375;673.887695
376;530.76886
377;530.76886
378;530.76886
379;530.76886
380;469.016907
381;469.016907
382;469.016907
383;469.016907
