Index;Wert
0;2.02839756
1;1.86505735
2;1.83339715
3;1.82421672
4;1.81373179
5;2.75692058
6;11.3985071
7;12
8;12
9;12
10;12
11;12
12;10.2557173
13;8.80769253
14;7.72051716
15;7.19020414
16;7.40601206
17;9.82963657
18;12
19;12
20;12
21;12
22;11.3824902
23;3.58648396
24;2.42126083
25;1.60982907
26;1.6240747
27;1.6798811
28;1.76368845
29;2.72742987
30;11.2142639
31;12
32;12
33;12
34;12
35;12
36;10.9349146
37;8.90287685
38;7.68501282
39;7.50749302
40;7.20251179
41;9.25826931
42;12
43;12
44;12
45;12
46;9.894701
47;2.12968755
48;1.02322614
49;0.393270463
50;0.365992099
51;0.360209227
52;0.387509048
53;1.13147593
54;8.07706738
55;11.8252535
56;12
57;12
58;10.8803616
59;9.00335503
60;7.95865726
61;7.36512089
62;6.25935507
63;4.85666704
64;5.17304373
65;7.42739248
66;12
67;12
68;12
69;12
70;9.13626862
71;2.78647971
72;1.54250038
73;1.32830751
74;1.32099795
75;1.32122576
76;1.26742816
77;1.98368454
78;9.48500347
79;12
80;12
81;12
82;12
83;10.444746
84;8.83468628
85;7.83952475
86;6.56452608
87;6.07105446
88;6.40053654
89;8.26758099
90;12
91;12
92;12
93;12
94;9.96649551
95;2.42875099
96;1.85051191
97;1.77356541
98;1.83260226
99;1.97317243
100;1.92081761
101;2.63060665
102;10.9388037
103;12
104;12
105;12
106;12
107;11.556798
108;10.0187092
109;8.7349596
110;7.61194563
111;6.94731808
112;7.35395145
113;9.74736786
114;12
115;12
116;12
117;12
118;10.5573168
119;3.07736564
120;2.35928369
121;1.84439218
122;1.82405019
123;1.80614424
124;1.80466843
125;2.75133371
126;11.3009834
127;12
128;12
129;12
130;12
131;11.936964
132;10.4130497
133;9.51202679
134;8.26942539
135;7.67136002
136;8.12555218
137;10.2553606
138;12
139;12
140;12
141;12
142;10.6177988
143;3.47742987
144;2.07590437
145;1.73429275
146;1.56727314
147;1.45151758
148;1.48143578
149;2.38864613
150;10.2759161
151;12
152;12
153;12
154;12
155;10.9068565
156;9.15482235
157;8.47343254
158;8.19201565
159;7.41815281
160;8.20155048
161;9.09107494
162;12
163;12
164;12
165;12
166;10.1452026
167;2.05656457
168;0.0989364237
169;0
170;0
171;0
172;0
173;0.479649723
174;6.99236155
175;11.994051
176;12
177;12
178;10.0670738
179;8.1054678
180;6.65483809
181;6.38970566
182;6.33839893
183;6.23202372
184;6.23006535
185;7.27268171
186;10.6875124
187;10.0250998
188;9.73294926
189;8.90417957
190;6.41941214
191;2.08085275
192;2.26785398
193;1.39762211
194;1.3418678
195;1.38087416
196;1.47308159
197;2.50560999
198;10.770997
199;12
200;12
201;12
202;12
203;11.2314682
204;9.68278217
205;7.71416664
206;6.58594751
207;6.48884678
208;6.44875526
209;8.68408775
210;12
211;12
212;12
213;12
214;10.2310476
215;2.72600937
216;2.06481409
217;1.42365825
218;1.23117995
219;0.964997053
220;0.65629679
221;1.29435599
222;8.51581097
223;12
224;12
225;12
226;11.6093082
227;9.64715481
228;8.50129604
229;7.87875938
230;6.80862379
231;5.44200516
232;5.74734831
233;8.10068035
234;12
235;12
236;12
237;12
238;9.38972092
239;2.53743196
240;0.9251526
241;0.680826426
242;0.702116847
243;0.794711351
244;0.899280369
245;1.84440482
246;9.51017952
247;12
248;12
249;12
