Index;Wert
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0.298538297
9;0.608713865
10;0.609700799
11;0.812897325
12;0.507072091
13;0.506764293
14;0.454795092
15;0.0726605281
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0.0960677117
33;0
34;0.3084521
35;0.70354712
36;0.642565608
37;0.178935498
38;0.128663868
39;0.050421305
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0.262951881
57;0.564646423
58;0.781125426
59;1.15006411
60;0.809681714
61;0.977466404
62;0.830846488
63;0.0835426822
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0.293807805
81;0.838942587
82;1.3488009
83;0.896932662
84;0.547102392
85;0.730944991
86;0.357750058
87;0.0672829896
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0.36153537
105;0.669829249
106;0.763471961
107;1.2942282
108;0.553340554
109;0.267424196
110;0.261821538
111;0.0839737952
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0.370147079
129;0.770415545
130;0.59807384
131;1.37168014
132;0.777806163
133;0.928137302
134;0.347655773
135;0.0902242884
136;0
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0.377449661
153;0.958426118
154;1.02903128
155;0.76371038
156;0.316203773
157;0.211422369
158;0.478405148
159;0.0169508662
160;0
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0.380780935
177;0.959648073
178;1.46043706
179;1.415295
180;1.30215669
181;1.04326296
182;0.600435853
183;0.226916239
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0.211786225
201;0.330385834
202;0.289450407
203;0.299278289
204;0.352560371
205;0.373752177
206;0.358245224
207;0.125197902
208;0
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0.10609597
225;0.211237401
226;0.609041333
227;0.456507713
228;0.955380619
229;0.602948308
230;0.466547668
231;0.145487025
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0.24311994
249;0.0962016806
250;0.19745183
251;0.921548724
252;0.494711876
253;0.69433558
254;0.674194992
255;0.0389557555
256;0
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0.18433322
273;0.635903001
274;0.632636607
275;0.313176066
276;0.947775424
277;0.968020856
278;0.666573703
279;0.210437015
280;0
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0.164286867
297;0.220356733
298;1.43981326
299;1.51096523
300;1.03525746
301;0.408482134
302;0.541143298
303;0.143813908
304;0
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0.453602761
321;1.04241908
322;1.53460383
323;1.72501886
324;1.72556126
325;1.45763588
326;0.800477564
327;0.191755965
328;0
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0.361273497
345;0.651803136
346;0.386030197
347;0.26171115
348;0.1654699
349;0.672321498
350;0.102953173
351;0.262539595
352;0
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0.342152745
369;0.520591259
370;1.07245815
371;0.448048234
372;0.278445661
373;0.441710055
374;0.306863159
375;0.0744202286
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0.239266977
393;0.561788738
394;1.06356215
395;0.326376736
396;0.81997031
