Index;Wert
0;849.724121
1;1126.95825
2;1095.91931
3;1123.74573
4;1051.37683
5;823.099243
6;830.389893
7;1255.74951
8;1217.72791
9;1350.37207
10;1457.40649
11;972.080383
12;894.044128
13;1084.28918
14;1259.96875
15;1274.65369
16;1106.10596
17;964.599426
18;1271.17383
19;1314.00854
20;1675.67944
21;1288.8844
22;1533.09253
23;2456.98145
24;972.945923
25;357.794983
26;267.072418
27;190.838608
28;184.163589
29;187.450287
30;303.17514
31;302.553833
32;322.022247
33;256.887756
34;239.646805
35;333.112671
36;724.010986
37;187.844452
38;240.503189
39;571.840637
40;246.729691
41;319.65741
42;325.889618
43;944.347656
44;1254.96753
45;1212.30933
46;1357.76978
47;1117.83118
48;1141.7074
49;1213.26758
50;1292.672
51;1151.89636
52;1007.81323
53;692.031494
54;696.554443
55;1123.08618
56;1266.21021
57;1206.14038
58;1058.47778
59;790.415649
60;1057.5177
61;1446.21985
62;1405.50354
63;866.899719
64;569.37616
65;776.691467
66;768.375244
67;518.585266
68;608.302673
69;751.29541
70;950.644287
71;1051.86279
72;248.493515
73;181.337906
74;177.629181
75;177.065887
76;171.543304
77;179.210373
78;193.15033
79;722.282104
80;1124.26636
81;1043.94482
82;1130.90967
83;707.60968
84;832.441772
85;1134.64404
86;1105.77649
87;1016.27423
88;1018.13647
89;784.700012
90;985.176941
91;1343.28967
92;1448.34766
93;1104.39648
94;1346.98657
95;900.766724
96;492.966064
97;400.126617
98;198.084274
99;189.092667
100;190.743668
101;197.128281
102;257.162598
103;687.274536
104;785.011902
105;937.730042
106;466.664673
107;274.355408
108;428.758179
109;238.902313
110;233.541534
111;238.655258
112;204.548508
113;284.905487
114;638.682495
115;594.468689
116;469.397156
117;371.945526
118;479.369324
119;635.473328
120;357.865295
121;576.706177
122;722.885681
123;822.373596
124;931.445496
125;707.453918
126;764.249268
127;1276.06433
128;1371.20435
129;1295.21228
130;1086.77832
131;731.235718
132;896.405457
133;1205.9873
134;1351.88586
135;1304.83728
136;1169.05652
137;901.403015
138;1285.05518
139;1427.85254
140;1337.82007
141;1264.02612
142;1241.14673
143;1398.87622
144;976.387573
145;1184.62939
146;1093.30273
147;903.937378
148;563.766174
149;526.226929
150;487.880615
151;334.968933
152;297.63678
153;397.266541
154;380.738312
155;243.993713
156;349.946625
157;445.359161
158;819.903687
159;545.391418
160;747.311462
161;452.858429
162;365.296814
163;1079.94751
164;1499.07336
165;1081.58057
166;1697.77893
