Index;Wert
0;100
1;99.9695511
2;99.9651184
3;99.9458542
4;99.9434433
5;99.9390945
6;99.9353409
7;99.933075
8;99.9284744
9;99.9253693
10;99.9236755
11;99.9137802
12;99.9129944
13;99.9105682
14;99.90905
15;99.9079208
16;99.9006958
17;99.8976822
18;99.8961105
19;99.89505
20;99.8945312
21;99.8910294
22;99.8905945
23;99.8892517
24;99.8886414
25;99.8854599
26;99.8841171
27;99.8778229
28;99.8761673
29;99.8758087
30;99.8697815
31;99.8690262
32;99.8685989
33;99.8680115
34;99.8674698
35;99.8650284
36;99.8647995
37;99.8634109
38;99.8618774
39;99.860199
40;99.8551407
41;99.855011
42;99.852478
43;99.8521194
44;99.8501434
45;99.849884
46;99.849823
47;99.8495178
48;99.8487091
49;99.848465
50;99.8478165
51;99.8471985
52;99.847084
53;99.8446655
54;99.8444214
55;99.8443375
56;99.8436356
57;99.8426361
58;99.8408508
59;99.8365631
60;99.8363113
61;99.8350449
62;99.8342056
63;99.8317184
64;99.8312683
65;99.8311691
66;99.8301773
67;99.8296738
68;99.8279114
69;99.8275909
70;99.8271713
71;99.8267975
72;99.8256912
73;99.8254242
74;99.8254013
75;99.8237991
76;99.8229446
77;99.8218842
78;99.8198929
79;99.8189697
80;99.8188553
81;99.8177414
82;99.817215
83;99.8168564
84;99.8156357
85;99.8147964
86;99.8122406
87;99.8120499
88;99.8109894
89;99.8104782
90;99.8097305
91;99.8080978
92;99.8065109
93;99.8055038
94;99.8045578
95;99.8043823
96;99.8033981
97;99.8032379
98;99.8031769
99;99.8026505
100;99.8026199
101;99.8013535
102;99.7995605
103;99.7980728
104;99.7979126
105;99.7975159
106;99.7967453
107;99.7957611
108;99.7941513
109;99.7941132
110;99.7929916
111;99.7915573
112;99.7905731
113;99.790184
114;99.7899704
115;99.7897797
116;99.7885895
117;99.788208
118;99.7878189
119;99.7865219
120;99.7863846
121;99.7860718
122;99.7844772
123;99.7840347
124;99.782814
125;99.7819977
126;99.7810593
127;99.7793503
128;99.7791977
129;99.7787094
130;99.7778091
131;99.7778091
132;99.7774277
133;99.7773819
134;99.7765198
135;99.7764893
136;99.7758408
137;99.7748718
138;99.7744598
139;99.7735519
140;99.7731323
141;99.7730103
142;99.7727966
143;99.7722931
144;99.7712708
145;99.7711563
146;99.7692566
147;99.7674637
148;99.7674026
149;99.7671432
150;99.7662735
151;99.7662201
152;99.765976
153;99.7653198
154;99.7648773
155;99.7648697
156;99.7646866
157;99.7644958
158;99.764267
159;99.7636261
160;99.763382
161;99.7627106
162;99.7625961
163;99.7622299
164;99.7611465
165;99.760788
166;99.7603607
167;99.7598114
168;99.7587051
169;99.7583389
170;99.7582855
171;99.757576
172;99.7571335
173;99.7562561
174;99.7562027
175;99.7561951
176;99.7561722
177;99.7560425
178;99.7558899
179;99.7555771
180;99.754303
181;99.7519455
182;99.7509232
183;99.7489471
184;99.7482529
185;99.747551
186;99.7473526
187;99.7470169
188;99.7464066
189;99.7462234
190;99.7461166
191;99.7450943
192;99.7440109
193;99.7439041
194;99.742691
195;99.7419052
196;99.7417908
197;99.7417145
198;99.7408676
199;99.7402496
200;99.7392349
201;99.7387085
202;99.738533
203;99.7382355
204;99.737854
205;99.7376633
206;99.7373123
207;99.737236
208;99.7370682
209;99.7369003
210;99.7322083
211;99.7321701
212;99.7314453
213;99.7305222
214;99.7304535
215;99.7304153
216;99.7303619
217;99.7294388
218;99.729393
219;99.7293625
220;99.7283478
221;99.7279587
222;99.7279129
223;99.7274475
224;99.7273865
225;99.7272491
226;99.7270355
227;99.7257919
228;99.7251053
229;99.7245636
230;99.7242584
231;99.7242279
232;99.7241287
233;99.7238312
234;99.7235641
235;99.7230606
236;99.7228851
237;99.7227936
238;99.722496
239;99.7223434
240;99.7222366
241;99.7215042
242;99.721283
243;99.7201462
244;99.720047
245;99.7196732
246;99.7195053
247;99.7192688
248;99.718956
249;99.7187119
250;99.7184296
251;99.718132
252;99.7179413
253;99.7176666
254;99.7175522
255;99.717308
256;99.7161713
257;99.7156601
258;99.7151871
259;99.7149887
260;99.7147675
261;99.7147141
262;99.7141876
263;99.7133484
264;99.7128601
265;99.7123642
266;99.7118835
267;99.7117004
268;99.711586
269;99.7114792
270;99.7107239
271;99.7099609
272;99.709671
273;99.7093887
274;99.7093124
275;99.7089157
276;99.708725
277;99.7083359
278;99.7080002
279;99.707695
280;99.707283
281;99.7071609
282;99.7061234
283;99.7060928
284;99.7060928
285;99.7060547
286;99.7052917
287;99.7052841
288;99.7049713
289;99.7043457
290;99.7040405
291;99.7038651
292;99.7038269
293;99.7035522
294;99.7032013
295;99.7029419
296;99.7029419
297;99.7024078
298;99.7022324
299;99.7018661
300;99.7017746
301;99.7017517
302;99.7016678
303;99.7001266
304;99.6997299
305;99.6997299
306;99.6995621
307;99.6992188
308;99.6981812
309;99.6976089
310;99.6975708
311;99.6970139
312;99.6968155
313;99.6964569
314;99.6962357
315;99.696106
316;99.6960983
317;99.6960144
318;99.6959763
319;99.6958694
320;99.6955719
321;99.6951218
322;99.6948318
323;99.6945953
324;99.6944733
325;99.6944199
326;99.6944046
327;99.6942978
328;99.693367
329;99.6929932
330;99.6929932
331;99.692894
332;99.6923523
333;99.6913986
334;99.6913147
335;99.6912689
336;99.6908951
337;99.6908875
