Groesse;Wert
Lauf.ID_Projekt;1023
Sim.Restwaerme;125.37468
Sim.Reststrom;116.323517
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;False
Sim.bSimulationBHKW;False
Sim.bSimulationPV;False
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;13.92
Puffer.Ladung_gesamt;13326.2239
Puffer.Entladung_gesamt;13078.2196
Puffer.Verluste_gesamt;248.004244
Puffer.SOC_Mittel;4.4755626
Puffer.SOC_Max;13.8325005
Puffer.Vollzyklen;957.34367
Sim.Speicher_Anzahl;1
Ergebnis.ID_Projekt;1023
Ergebnis.Bezeichner;Simulation Wöhler - Test1
Ergebnis.ID_Klimaregion;1020033
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;False
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;False
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;389.73
Energiebedarf.Waermelast_Max;204.07
Energiebedarf.Strombedarf_Gesamt;0
Energiebedarf.Strombedarf_Max;0
Energiebedarf.Waermerestbedarf;125.37
Energiebedarf.Stromrestbedarf;116.32
Waermepumpe.Waermebedarf;389.73
Waermepumpe.Restwaermebedarf;189.2
Waermepumpe.Waermeproduktion_WP;138.2
Waermepumpe.Stromverbrauch_WP;53.74
Waermepumpe.Stromverbrauch_Heizstab;62.58
Waermepumpe.Kapazitaet_Pufferspeicher;13.92
Waermepumpe.Min_Spitzenkesselleistung;172.8
Waermepumpe.Waermebedarfsdeckung;51.45
Waermepumpe.Vollbenutzungsstunden;6042.99
Waermepumpe.Bivalenzpunkt;18.65
WaermepumpeModul[0].Modul;CS6800iAW MB + AW 10 OR-T
WaermepumpeModul[0].Leistung;11
WaermepumpeModul[0].Waermeproduktion;73.48
WaermepumpeModul[0].Stromverbrauch;26.64
WaermepumpeModul[0].Heizstab;26.26
WaermepumpeModul[0].Betriebsstunden;6162.59
WaermepumpeModul[1].Modul;CS7800iLW 12
WaermepumpeModul[1].Leistung;12
WaermepumpeModul[1].Waermeproduktion;51.38
WaermepumpeModul[1].Stromverbrauch;23.15
WaermepumpeModul[1].Heizstab;36.31
WaermepumpeModul[1].Betriebsstunden;5024.69
Heizkessel.Waermebedarf;189.2
Heizkessel.Restwaermebedarf;125.37
Heizkessel.Waermeproduktion;63.83
Heizkessel.Strombedarf;116.32
Heizkessel.Reststrombedarf;116.32
Heizkessel.Waermebedarfsdeckung;16.38
Heizkessel.Stromverbrauch;0
Heizkessel.Maximale_Kesselleistung;19.3
Heizkessel.Gasspitze;22.08
Heizkessel.Gasverbrauch;75.91
Heizkessel.Oelverbrauch;0
Heizkessel.Koks;0
Heizkessel.Rapsoelverbrauch;0
Heizkessel.Holzverbrauch;0
Heizkessel.Kohle;0
Heizkessel.Sonstigverbrauch;0
Heizkessel.Pellets;0
Heizkessel.TierischeFette;0
Heizkessel.Quellwaerme;0
HeizkesselModul[0].Modul;ecoVIT VKK 186/5
HeizkesselModul[0].Waerme_Gas;63.83
HeizkesselModul[0].Waerme_Oel;0
HeizkesselModul[0].Brennstoff;
HeizkesselModul[0].Verbrauch;0
HeizkesselModul[0].Jahresnutzungsgrad;84.09
HeizkesselModul[0].carrier_id;
HeizkesselModul[0].Waermeproduktion;0
Pufferspeicher[0].ID_Pufferspeicher;1018023
Pufferspeicher[0].Bezeichner;Vitocell 140-E 600 Ltr
Pufferspeicher[0].Verwendung;Heizung
Pufferspeicher[0].Q_max;13.92
Pufferspeicher[0].Ladung_gesamt;13326.22
Pufferspeicher[0].Entladung_gesamt;13078.22
Pufferspeicher[0].Verluste_gesamt;248
Pufferspeicher[0].SOC_Ende;0
Pufferspeicher[0].SOC_Mittel;4.48
Pufferspeicher[0].SOC_Max;13.83
Pufferspeicher[0].Vollzyklen;957.34
Vektor.waermebedarf.Summe;389729.718
Vektor.waermebedarf_gebaeude.Summe;329729724
Vektor.waermebedarf_brauchwasser.Summe;59999.9935
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;0
Vektor.waermebedarf_dauerlinie.Summe;190974.685
Vektor.stundentemperatur.Summe;86502.49
Vektor.restwaerme.Summe;125374.556
Vektor.strombedarf_viertelstunde.Summe;0
Vektor.reststrom_viertelstunde.Summe;465294.075
Vektor.wp_waermebedarf.Summe;389729.718
Vektor.wp_produktion.Summe;138195.138
Vektor.wp_strom.Summe;53744.93
Vektor.heizstab.Summe;62578.5886
Vektor.wp_restwaerme.Summe;189203.995
Vektor.wp_quellentemperatur.Summe;86502.49
Vektor.wp_warmwasserbedarf.Summe;59999.9935
Vektor.puffer_soc.Summe;39205.9284
Vektor.puffer_ladung.Summe;13326.2239
Vektor.puffer_entladung.Summe;13078.2198
Vektor.kessel_waermebedarf.Summe;189203.995
Vektor.kessel_leistung.Summe;63829.4349
Vektor.kessel_restwaerme.Summe;125374.556
Vektor.kessel_strom.Summe;0
