Index;Wert
0;0
1;5.30700561E-07
2;3.50641443E-07
3;5.97038138E-07
4;1.04955518E-06
5;1.55656369E-06
6;1.40967344E-07
7;0
8;0
9;0
10;0
11;1.11826193E-06
12;0
13;5.97038152E-08
14;3.61065929E-07
15;1.39024598E-06
16;4.31194223E-07
17;0
18;0
19;0
20;3.79071814E-08
21;0
22;1.60631691E-06
23;1.27936744E-07
24;8.62388447E-07
25;0
26;5.35438971E-07
27;6.4442213E-07
28;5.68607774E-08
29;7.01282886E-07
30;0
31;1.02349395E-06
32;0
33;2.0848951E-07
34;6.34945309E-07
35;0
36;0
37;3.0325748E-07
38;0
39;0
40;5.49654146E-07
41;0
42;0
43;0
44;1.19407628E-06
45;0
46;5.59130967E-07
47;0
48;0
49;7.58143699E-07
50;0
51;0
52;0
53;0
54;0
55;8.52911626E-08
56;0
57;8.10266044E-07
58;0
59;0
60;2.95676045E-07
61;2.60611898E-07
62;1.25093706E-07
63;0
64;8.10266044E-07
65;0
66;1.04244755E-07
67;0
68;3.55379854E-07
69;3.26949447E-07
70;0
71;0
72;3.79071849E-07
73;1.17512275E-06
74;5.5202338E-07
75;0
76;0
77;0
78;1.21302992E-06
79;7.29713292E-07
80;4.45409398E-07
81;0
82;0
83;0
84;0
85;5.78084531E-08
86;4.21717431E-07
87;1.17607033E-06
88;0
89;9.19249203E-07
90;1.31727461E-06
91;1.49733376E-06
92;3.3642624E-07
93;4.83316569E-07
94;0
95;2.0848951E-07
96;3.43533856E-07
97;5.21223775E-08
98;1.1478769E-06
99;8.2921963E-07
100;4.06909919E-07
101;0
102;8.48173215E-07
103;0
104;1.13721548E-07
105;0
106;1.89535907E-08
107;5.21223797E-07
108;9.93168214E-07
109;0
110;0
111;5.59130967E-07
112;0
113;0
114;6.4442213E-07
115;3.79071849E-07
116;0
117;0
118;1.70582325E-06
119;1.44994976E-06
120;1.27936744E-06
121;0
122;0
123;0
124;6.23099311E-07
125;1.87166719E-07
126;1.72003843E-06
127;1.04955518E-06
128;0
129;3.50641443E-07
130;0
131;0
132;0
133;0
134;0
135;0
136;0
137;0
138;0
139;0
140;2.51135106E-07
141;2.12043318E-07
142;0
143;6.46791307E-07
144;0
145;6.20730134E-07
146;0
147;3.0325748E-07
148;2.12043318E-07
149;7.11944324E-07
150;0
151;0
152;3.48272238E-07
153;3.07995869E-08
154;5.07008565E-07
155;7.10759707E-07
156;6.14096393E-07
157;0
158;0
159;0
160;0
161;4.73839812E-08
162;0
163;0
164;8.46277885E-07
165;1.02728472E-06
166;2.48292054E-07
167;9.76109959E-07
168;0
169;9.19249203E-07
170;0
171;0
172;0
173;0
174;0
175;0
176;1.3883506E-06
177;0
178;1.49733376E-06
179;3.4116465E-07
180;0
181;0
182;0
183;0
184;1.04434287E-06
185;0
186;5.21223797E-07
187;0
188;0
189;7.20236471E-07
190;0
191;4.73839812E-08
192;8.05527634E-07
193;1.06140112E-06
194;4.35932606E-07
195;0
196;0
197;7.20236471E-07
198;0
199;1.89535925E-07
200;7.86574049E-07
201;4.45409398E-07
202;3.45903061E-07
203;0
204;0
205;0
206;9.96011295E-07
207;6.69061819E-07
208;1.6423287E-06
209;0
210;0
211;0
212;1.42625777E-06
213;6.4442213E-07
214;4.73839812E-08
215;0
216;3.43533856E-07
217;0
218;0
219;1.44994976E-06
220;0
221;0
222;0
223;0
224;0
225;8.12161431E-07
226;0
227;0
228;0
229;0
230;5.49654146E-07
231;3.76228797E-07
232;9.47679357E-09
233;0
234;5.40177382E-07
235;6.01776549E-07
236;7.20236471E-07
237;5.02270211E-07
238;9.38202788E-07
239;1.37413542E-06
240;0
241;1.04244755E-07
242;0
243;0
244;2.93780687E-07
245;1.31727461E-06
246;0
247;1.60631691E-06
248;0
249;1.04244755E-07
250;4.35932606E-07
251;1.02349395E-06
252;9.76109959E-07
253;8.52911626E-08
254;1.02728472E-06
255;9.41045812E-07
256;0
257;1.40825193E-06
258;1.75510263E-06
259;0
260;0
261;3.22211065E-07
262;3.12734272E-07
263;7.20236471E-07
264;7.58143628E-08
265;0
266;0
267;8.62388447E-07
268;1.49733376E-06
269;0
270;0
271;0
272;4.35932606E-07
273;0
274;4.45409398E-07
275;0
276;0
277;0
278;0
279;1.59210174E-06
280;5.02270211E-07
281;0
282;0
283;1.89535907E-08
284;1.27936744E-07
285;0
286;1.21302992E-06
287;0
288;0
289;0
290;2.84303887E-08
291;0
292;1.26041391E-06
293;1.17512275E-06
294;5.07008565E-07
295;0
296;9.59525551E-07
297;0
298;1.23198345E-06
299;0
300;3.79071814E-08
301;2.84303887E-08
302;6.4442213E-07
303;5.35438971E-07
304;1.44994976E-06
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;1.17701802E-06
314;0
315;1.02444164E-06
316;1.00217119E-06
317;0
318;8.52911626E-08
319;0
320;1.00217119E-06
321;6.82329301E-07
322;0
323;0
324;0
325;1.75320721E-07
326;1.15616911E-06
327;3.0325748E-07
328;9.90325134E-07
329;0
330;0
331;1.04955518E-06
332;1.55656369E-06
333;9.59525579E-08
334;1.10167753E-06
335;0
336;0
337;0
338;2.77196278E-07
339;0
340;0
341;0
342;0
343;0
344;2.87620765E-07
345;1.59447097E-06
346;0
347;1.2407495E-06
348;4.70700598E-07
349;0
350;1.32912064E-07
351;0
352;0
353;8.52911608E-09
354;1.14669228E-06
355;0
356;0
357;4.89002673E-07
358;1.61911055E-06
359;1.93326642E-07
360;2.33603018E-07
361;0
362;6.35419156E-07
363;5.95142808E-07
364;0
365;4.92319543E-07
366;0
367;0
368;4.29772683E-07
369;0
370;0
371;0
372;0
373;0
374;0
375;0
376;0
377;0
378;0
379;0
380;1.0467121E-06
381;9.43888892E-07
382;0
383;0
384;1.49733381E-07
385;0
386;0
387;0
388;0
389;0
390;0
391;1.63000891E-07
392;0
393;0
394;0
395;1.01970329E-06
396;0
397;0
398;0
399;4.07502192E-08
400;3.62013594E-07
401;0
402;5.87561374E-07
403;0
404;0
405;0
406;0
407;2.80513177E-07
408;8.03632304E-07
409;0
410;1.89535925E-07
411;0
412;3.18420348E-07
413;0
414;0
415;0
416;0
417;0
418;1.55419457E-07
419;0
420;0
421;0
422;0
423;0
424;0
425;4.70049088E-07
426;8.94609514E-07
427;0
428;0
429;0
430;0
431;9.17353873E-07
432;0
433;0
434;0
435;1.04623825E-06
436;0
437;0
438;1.28884423E-07
439;7.58143699E-08
440;0
441;0
442;1.36465857E-07
443;0
444;1.63000891E-07
445;0
446;1.28837041E-06
447;5.95142808E-07
448;1.61911055E-06
449;5.54866403E-07
450;0
451;1.52576411E-06
452;0
453;0
454;0
455;3.71490387E-07
456;0
457;1.93326642E-07
458;7.42980831E-07
459;0
460;6.21677827E-07
461;6.06514959E-07
462;4.01816152E-07
463;7.9605087E-08
464;4.01816152E-07
465;0
466;0
467;6.06514959E-07
468;1.26609996E-06
469;5.47758816E-07
470;0
471;0
472;8.52911626E-08
473;7.73306567E-07
474;4.32141888E-07
475;0
476;0
477;0
478;1.59210174E-07
479;4.70049088E-07
480;9.09772439E-07
481;4.01816152E-07
482;2.53978129E-07
483;6.1788711E-07
484;9.51470327E-07
485;1.93326642E-07
486;2.88094611E-07
487;1.89535925E-07
488;0
489;0
490;0
491;0
492;0
493;1.17701802E-06
494;0
495;0
496;1.61911055E-06
497;0
498;0
499;1.08035476E-06
500;0
501;1.03297077E-06
502;1.07656399E-06
503;0
504;7.58143699E-07
505;9.40098175E-07
506;1.07656399E-06
507;0
508;0
509;0
510;0
511;0
512;0
513;6.06514945E-08
514;0
515;0
516;1.15806449E-06
517;0
518;6.20730134E-07
519;2.77196278E-07
520;0
521;5.54866403E-07
522;0
523;6.34945309E-07
524;2.80513177E-07
525;7.99841587E-07
526;1.3267514E-07
527;0
528;1.79585285E-07
529;0
530;0
531;6.91806122E-07
532;1.89535907E-08
533;0
534;0
535;0
536;3.88548642E-07
537;3.88548642E-07
538;0
539;0
540;0
541;4.64363012E-07
542;0
543;0
544;9.00295618E-07
545;1.49733376E-06
546;1.70582325E-06
547;0
548;0
549;3.2458027E-07
550;1.01164801E-06
551;4.98124109E-07
552;0
553;2.96149864E-07
554;0
555;3.62013594E-07
556;6.65271102E-07
557;0
558;9.24935307E-07
559;0
560;4.87107286E-07
561;0
562;1.03628759E-06
563;0
564;8.10266044E-07
565;0
566;7.67620492E-08
567;0
568;0
569;3.31687858E-07
570;1.37413542E-06
571;0
572;0
573;0
574;0
575;3.4116465E-07
576;3.31687858E-07
577;0
578;1.64422408E-06
579;1.27936744E-07
580;0
581;7.10759736E-08
582;0
583;0
584;6.23099311E-07
585;1.48548781E-06
586;1.13721546E-06
587;0
588;0
589;0
590;0
591;0
592;0
593;8.05527634E-07
594;0
595;1.04244755E-07
596;0
597;3.55379854E-07
598;1.49733376E-06
599;5.68607774E-08
600;3.79071849E-07
601;0
602;0
603;1.02349395E-06
604;9.76109959E-07
605;1.27936744E-07
606;0
607;0
608;5.40177382E-07
609;1.19407628E-06
610;3.76228797E-07
611;2.99466762E-07
612;0
613;0
614;0
615;1.54661313E-06
616;1.10309907E-06
617;1.69824182E-06
618;0
619;0
620;0
621;1.79869585E-06
622;2.30286147E-07
623;0
624;0
625;1.67928829E-06
626;0
627;1.90483604E-07
628;1.63000891E-07
629;0
630;1.0064357E-06
631;0
632;9.59051704E-07
633;0
634;8.56702343E-07
635;0
636;1.97117359E-07
637;0
638;3.94234718E-07
639;0
640;0
641;1.48596166E-06
642;3.33583216E-07
643;0
644;0
645;6.06514945E-08
646;0
647;5.45863429E-07
648;3.33583216E-07
649;4.39723323E-07
650;1.5162874E-07
651;2.72931715E-07
652;0
653;0
654;0
655;0
656;3.63908953E-07
657;0
658;1.16943659E-06
659;0
660;1.21492519E-06
661;5.30700603E-08
662;0
663;9.59051704E-07
664;1.60536922E-06
665;0
666;6.83276994E-07
667;8.75655928E-07
668;9.19249175E-08
669;2.82408507E-07
670;9.19249175E-08
671;8.46277885E-07
672;0
673;0
674;0
675;2.31233827E-07
676;0
677;1.65843929E-07
678;0
679;0
680;0
681;6.82329301E-07
682;0
683;1.22724509E-06
684;0
685;0
686;0
687;4.70049088E-07
688;1.21113453E-06
689;5.72398505E-07
690;7.48666835E-08
691;7.48666835E-08
692;0
693;1.04244755E-07
694;9.19249203E-07
695;0
696;8.81342032E-07
697;0
698;0
699;3.79071814E-08
700;0
701;1.09930829E-06
702;4.73839812E-08
703;5.73346142E-07
704;0
705;0
706;0
707;8.76603622E-07
708;4.26455813E-07
709;0
710;0
711;7.01282943E-08
712;0
713;6.39683719E-07
714;1.62147978E-06
715;3.10838914E-07
716;1.75320721E-07
717;2.74827073E-07
718;0
719;7.39190114E-07
720;0
721;1.31727461E-06
722;0
723;1.49733376E-06
724;7.20236471E-07
725;4.45409398E-07
726;6.61006538E-07
727;0
728;6.34945309E-07
729;6.63375715E-07
730;5.02270211E-07
731;7.39190114E-07
732;4.21717431E-07
733;1.81006806E-06
734;0
735;1.13721548E-07
736;9.76109959E-07
737;0
738;0
739;0
740;9.59051704E-07
741;1.6423287E-06
742;2.40710619E-07
743;2.60611898E-07
744;0
745;0
746;4.21717431E-07
747;1.59210174E-06
748;0
749;1.42625777E-06
750;1.60631691E-06
751;0
752;7.01282886E-07
753;0
754;8.52911626E-07
755;1.70582325E-06
756;1.18459951E-07
757;7.91312459E-07
758;0
759;0
760;9.38202788E-07
761;1.42625777E-06
762;2.27443095E-07
763;0
764;9.2161838E-07
765;2.13227906E-07
766;6.79367815E-07
767;0
768;7.76623438E-07
769;9.61657861E-07
770;0
771;0
772;8.41065628E-07
773;1.2078176E-06
774;0
775;0
776;0
777;0
778;1.40967344E-07
779;1.99012717E-07
780;6.72852536E-07
781;0
782;0
783;0
784;0
785;0
786;9.40572022E-07
787;0
788;3.07995869E-08
789;1.37037432E-06
790;0
791;5.58183274E-07
792;0
793;1.11636655E-06
794;0
795;0
796;0
797;0
798;1.55016687E-06
799;8.52911608E-09
800;1.59535929E-07
801;0
802;0
803;6.23099311E-07
804;4.35932606E-07
805;0
806;0
807;0
808;0
809;1.39545818E-06
810;7.11944324E-07
811;0
812;0
813;4.79525852E-07
814;0
815;0
816;1.59684009E-06
817;1.10499445E-06
818;0
819;0
820;5.95142808E-07
821;7.3824242E-07
822;9.05033986E-08
823;1.28837041E-06
824;1.13721574E-08
825;3.3642624E-07
826;3.49456855E-07
827;2.79565484E-07
828;6.91806122E-07
829;3.79071849E-07
830;0
831;2.93780687E-07
832;2.79565484E-07
833;0
834;0
835;5.66712401E-07
836;0
837;8.0078928E-07
838;7.15971908E-07
839;6.82329301E-07
840;2.46396699E-08
841;0
842;5.43968099E-07
843;0
844;1.78542837E-06
845;1.78542837E-06
846;1.78542837E-06
847;0
848;1.93326642E-07
849;0
850;9.55971799E-08
851;3.9565623E-07
852;9.38202788E-07
853;1.27936744E-07
854;3.74333439E-07
855;3.74333439E-07
856;2.46396695E-07
857;3.79071814E-08
858;0
859;0
860;5.42072712E-07
861;0
862;0
863;0
864;0
865;0
866;0
867;1.41772864E-06
868;0
869;0
870;5.47758816E-07
871;8.52911626E-08
872;5.49654153E-08
873;4.39249504E-07
874;2.12043318E-07
875;0
876;1.42151933E-07
877;0
878;0
879;4.31194223E-07
880;0
881;3.55379854E-07
882;0
883;2.63869538E-07
884;2.96149864E-07
885;0
886;5.74293836E-07
887;0
888;2.40710619E-07
889;6.04619572E-07
890;2.88094611E-07
891;0
892;6.82329301E-07
893;5.43968099E-07
894;0
895;1.41772864E-06
896;0
897;0
898;0
899;0
900;1.23790642E-06
901;0
902;3.88548642E-07
903;1.48548781E-06
904;3.50641443E-07
905;8.2921963E-07
906;0
907;0
908;0
909;0
910;0
911;0
912;5.43968099E-07
913;0
914;6.82329301E-07
915;1.00217119E-06
916;5.13642362E-07
917;5.17433079E-07
918;7.20236457E-08
919;0
920;1.49543837E-06
