Index;Wert
0;5.30700561E-07
1;3.50641443E-07
2;5.97038138E-07
3;1.04955518E-06
4;1.55656369E-06
5;1.40967344E-07
6;0
7;0
8;0
9;0
10;1.11826193E-06
11;0
12;5.97038152E-08
13;3.61065929E-07
14;1.39024598E-06
15;4.31194223E-07
16;0
17;0
18;0
19;3.79071814E-08
20;0
21;1.60631691E-06
22;1.27936744E-07
23;8.62388447E-07
24;0
25;5.35438971E-07
26;6.4442213E-07
27;5.68607774E-08
28;7.01282886E-07
29;0
30;1.02349395E-06
31;0
32;2.0848951E-07
33;6.34945309E-07
34;0
35;0
36;3.0325748E-07
37;0
38;0
39;5.49654146E-07
40;0
41;0
42;0
43;1.19407628E-06
44;0
45;5.59130967E-07
46;0
47;0
48;7.58143699E-07
49;0
50;0
51;0
52;0
53;0
54;8.52911626E-08
55;0
56;8.10266044E-07
57;0
58;0
59;2.95676045E-07
60;2.60611898E-07
61;1.25093706E-07
62;0
63;8.10266044E-07
64;0
65;1.04244755E-07
66;0
67;3.55379854E-07
68;3.26949447E-07
69;0
70;0
71;3.79071849E-07
72;1.17512275E-06
73;5.5202338E-07
74;0
75;0
76;0
77;1.21302992E-06
78;7.29713292E-07
79;4.45409398E-07
80;0
81;0
82;0
83;0
84;5.78084531E-08
85;4.21717431E-07
86;1.17607033E-06
87;0
88;9.19249203E-07
89;1.31727461E-06
90;1.49733376E-06
91;3.3642624E-07
92;4.83316569E-07
93;0
94;2.0848951E-07
95;3.43533856E-07
96;5.21223775E-08
97;1.1478769E-06
98;8.2921963E-07
99;4.06909919E-07
100;0
101;8.48173215E-07
102;0
103;1.13721548E-07
104;0
105;1.89535907E-08
106;5.21223797E-07
107;9.93168214E-07
108;0
109;0
110;5.59130967E-07
111;0
112;0
113;6.4442213E-07
114;3.79071849E-07
115;0
116;0
117;1.70582325E-06
118;1.44994976E-06
119;1.27936744E-06
120;0
121;0
122;0
123;6.23099311E-07
124;1.87166719E-07
125;1.72003843E-06
126;1.04955518E-06
127;0
128;3.50641443E-07
129;0
130;0
131;0
132;0
133;0
134;0
135;0
136;0
137;0
138;0
139;2.51135106E-07
140;2.12043318E-07
141;0
142;6.46791307E-07
143;0
144;6.20730134E-07
145;0
146;3.0325748E-07
147;2.12043318E-07
148;7.11944324E-07
149;0
150;0
151;3.48272238E-07
152;3.07995869E-08
153;5.07008565E-07
154;7.10759707E-07
155;6.14096393E-07
156;0
157;0
158;0
159;0
160;4.73839812E-08
161;0
162;0
163;8.46277885E-07
164;1.02728472E-06
165;2.48292054E-07
166;9.76109959E-07
167;0
168;9.19249203E-07
169;0
170;0
171;0
172;0
173;0
174;0
175;1.3883506E-06
176;0
177;1.49733376E-06
178;3.4116465E-07
179;0
180;0
181;0
182;0
183;1.04434287E-06
184;0
185;5.21223797E-07
186;0
187;0
188;7.20236471E-07
189;0
190;4.73839812E-08
191;8.05527634E-07
192;1.06140112E-06
193;4.35932606E-07
194;0
195;0
196;7.20236471E-07
197;0
198;1.89535925E-07
199;7.86574049E-07
200;4.45409398E-07
201;3.45903061E-07
202;0
203;0
204;0
205;9.96011295E-07
206;6.69061819E-07
207;1.6423287E-06
208;0
209;0
210;0
211;1.42625777E-06
212;6.4442213E-07
213;4.73839812E-08
214;0
215;3.43533856E-07
216;0
217;0
218;1.44994976E-06
219;0
220;0
221;0
222;0
223;0
224;8.12161431E-07
225;0
226;0
227;0
228;0
229;5.49654146E-07
230;3.76228797E-07
231;9.47679357E-09
232;0
233;5.40177382E-07
234;6.01776549E-07
235;7.20236471E-07
236;5.02270211E-07
237;9.38202788E-07
238;1.37413542E-06
239;0
240;1.04244755E-07
241;0
242;0
243;2.93780687E-07
244;1.31727461E-06
245;0
246;1.60631691E-06
247;0
248;1.04244755E-07
249;4.35932606E-07
250;1.02349395E-06
251;9.76109959E-07
252;8.52911626E-08
253;1.02728472E-06
254;9.41045812E-07
255;0
256;1.40825193E-06
257;1.75510263E-06
258;0
259;0
260;3.22211065E-07
261;3.12734272E-07
262;7.20236471E-07
263;7.58143628E-08
264;0
265;0
266;8.62388447E-07
267;1.49733376E-06
268;0
269;0
270;0
271;4.35932606E-07
272;0
273;4.45409398E-07
274;0
275;0
276;0
277;0
278;1.59210174E-06
279;5.02270211E-07
280;0
281;0
282;1.89535907E-08
283;1.27936744E-07
284;0
285;1.21302992E-06
286;0
287;0
288;0
289;2.84303887E-08
290;0
291;1.26041391E-06
292;1.17512275E-06
293;5.07008565E-07
294;0
295;9.59525551E-07
296;0
297;1.23198345E-06
298;0
299;3.79071814E-08
300;2.84303887E-08
301;6.4442213E-07
302;5.35438971E-07
303;1.44994976E-06
304;0
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;1.17701802E-06
313;0
314;1.02444164E-06
315;1.00217119E-06
316;0
317;8.52911626E-08
318;0
319;1.00217119E-06
320;6.82329301E-07
321;0
322;0
323;0
324;1.75320721E-07
325;1.15616911E-06
326;3.0325748E-07
327;9.90325134E-07
328;0
329;0
330;1.04955518E-06
331;1.55656369E-06
332;9.59525579E-08
333;1.10167753E-06
334;0
335;0
336;0
