Index;Wert
0;6.96000004
1;6.96000004
2;6.96000004
3;6.96000004
4;6.96000004
5;6.96000004
6;2.91288519
7;5.35249683E-07
8;0
9;0
10;5.56945793E-07
11;2.94168043
12;4.05530119
13;6.96000004
14;6.96000004
15;6.96000004
16;6.96000004
17;6.11846924
18;6.61849981E-07
19;1.52587887E-07
20;0
21;9.13619999E-07
22;5.01471138
23;2.00833178
24;0
25;6.96000004
26;0
27;6.96000004
28;0
29;6.96000004
30;6.96000004
31;4.72710085
32;2.29232764
33;3.57664251
34;3.42832232
35;6.96000004
36;6.96000004
37;6.96000004
38;6.96000004
39;6.96000004
40;6.96000004
41;6.96000004
42;5.50877571
43;1.5204798
44;4.2188015
45;2.7942369
46;6.96000004
47;0
48;6.96000004
49;0
50;6.96000004
51;0
52;6.96000004
53;0
54;6.96000004
55;6.96000004
56;6.96000004
57;6.96000004
58;6.96000004
59;6.96000004
60;6.96000004
61;6.96000004
62;6.96000004
63;6.96000004
64;6.96000004
65;6.96000004
66;6.96000004
67;6.96000004
68;6.96000004
69;6.96000004
70;6.96000004
71;0
72;6.96000004
73;0
74;6.96000004
75;0
76;6.96000004
77;0
78;4.66086292
79;2.35773301
80;5.44284391
81;1.58558249
82;6.96000004
83;6.96000004
84;6.96000004
85;6.96000004
86;6.96000004
87;6.96000004
88;6.96000004
89;6.96000004
90;6.2286315
91;0.809674025
92;4.9716382
93;2.0508647
94;6.96000004
95;0
96;6.96000004
97;0
98;6.96000004
99;0
100;6.96000004
101;0
102;1.78337276
103;4.1538806
104;0.523638546
105;3.75578785
106;3.25142932
107;6.96000004
108;6.96000004
109;6.96000004
110;6.96000004
111;6.96000004
112;6.96000004
113;6.96000004
114;4.45402384
115;2.17237592
116;0.472197592
117;3.57266784
118;3.2053659
119;0
120;6.96000004
121;0
122;6.96000004
123;0
124;6.96000004
125;0
126;1.66030633
127;3.41009951
128;1.42409921
129;3.24960494
130;3.7512486
131;6.96000004
132;6.96000004
133;6.96000004
134;6.96000004
135;6.96000004
136;6.96000004
137;6.96000004
138;3.91141081
139;1.00210595
140;1.42203546
141;0.813037813
142;6.96000004
143;0
144;6.96000004
145;0
146;6.96000004
147;0
148;6.96000004
149;0
150;4.16374207
151;2.84860396
152;4.63946056
153;2.3788662
154;6.96000004
155;6.96000004
156;6.96000004
157;6.96000004
158;6.96000004
159;6.96000004
160;6.96000004
161;6.96000004
162;6.96000004
163;5.91309929
164;1.12123907
165;6.79330063
166;6.96000004
167;0
168;6.96000004
169;0
170;0
171;6.96000004
172;0
173;0
174;6.96000004
175;6.96000004
176;6.96000004
177;6.96000004
178;6.96000004
179;6.96000004
180;6.96000004
181;6.96000004
182;6.96000004
183;6.96000004
184;6.96000004
185;6.96000004
186;6.96000004
187;6.96000004
188;6.96000004
189;6.96000004
190;0
191;6.26597309
192;0
193;6.56912041
194;0
195;6.56912041
196;0
197;6.56912041
198;5.80178452
199;0.19518207
200;0
201;0
202;2.69419885
203;0.896463156
204;6.96000004
205;6.96000004
206;6.96000004
207;6.96000004
208;6.96000004
209;6.96000004
210;1.21634007
211;0
212;1.51062011E-06
213;1.34086611E-06
214;0.05914272
215;6.90159941
216;0
217;6.96000004
218;0
219;6.96000004
220;0
221;6.96000004
222;6.96000004
223;6.96000004
224;6.96000004
225;6.96000004
226;6.96000004
227;6.96000004
228;6.96000004
229;6.96000004
230;6.96000004
231;6.96000004
232;6.96000004
233;6.96000004
234;6.96000004
235;5.84612226
236;1.187374
237;6.95929193
238;6.96000004
239;0
240;6.96000004
241;0
242;6.96000004
243;0
244;6.96000004
245;0
246;4.25074482
247;2.76269507
248;4.31933928
249;2.69496274
250;6.49958467
251;0.542127073
252;6.96000004
253;6.96000004
254;6.96000004
255;6.96000004
256;6.96000004
257;6.96000004
258;6.43840647
259;0.602536023
260;5.10846663
261;1.91575611
262;6.96000004
263;0
264;6.96000004
265;0
266;6.96000004
267;0
268;6.96000004
269;0
270;3.69920683
271;3.3072989
272;4.39730024
273;2.61798191
274;6.68448973
275;6.96000004
276;6.96000004
277;6.96000004
278;6.96000004
279;6.96000004
280;6.96000004
281;6.96000004
282;5.317729
283;1.70912457
284;4.0120101
285;2.99842811
286;6.96000004
287;0
288;6.96000004
289;0
290;6.96000004
291;0
292;6.96000004
293;0
294;0.84573406
295;2.61933994
296;1.18449605
297;1.36137605
298;0.940289378
299;6.77327061
300;6.96000004
301;6.96000004
302;6.96000004
303;6.96000004
304;6.96000004
305;6.96000004
306;2.71946859
307;1.29699714E-07
308;0.577885985
309;0.680656016
310;1.20892704
311;2.13467026
312;0
313;6.96000004
314;0
315;6.96000004
316;0
317;6.96000004
318;6.2706356
319;0
320;1.06811524E-06
321;2.86102306E-08
322;2.59038973
323;6.96000004
324;6.96000004
325;6.96000004
326;6.96000004
327;6.96000004
328;6.96000004
329;6.96000004
330;4.03146601
331;2.97921705
332;5.136868
333;1.88771176
334;6.96000004
335;0
336;6.96000004
337;6.96000004
338;6.96000004
339;6.96000004
340;6.96000004
341;6.96000004
342;3.58954263
343;3.08036817E-07
344;1.38282772E-07
345;8.97407517E-07
346;0
347;1.43682981
348;3.77558923
349;1.83094704
350;6.96000004
351;6.96000004
352;6.96000004
353;5.11319494
354;6.87599197E-07
355;0
356;6.17980959E-07
357;0
358;3.68922019
359;3.31716013
360;6.96000004
361;6.96000004
362;6.96000004
363;6.96000004
364;6.96000004
365;6.96000004
366;2.20229983
367;1.88827514E-07
368;0
369;2.78472896E-07
370;0
371;0.415520549
372;3.18200064
373;3.41286445
374;6.73757982
375;6.96000004
376;6.79578018
377;4.02722502
378;1.08718872E-07
379;0
380;0
381;0
382;2.55972028
383;4.43246031
384;6.96000004
385;6.96000004
386;6.96000004
387;6.96000004
388;6.96000004
389;6.96000004
390;4.86639023
391;0
392;0
393;6.17980959E-07
394;0
395;0
396;0.00528880674
397;1.48088074
398;3.22679329
399;2.32480168
400;3.99181414
401;0
402;3.12805184E-07
403;0
404;1.18255613E-07
405;0
406;0
407;5.12279701
408;1.90160608
409;6.96000004
410;6.96000004
411;6.96000004
412;6.96000004
413;6.96000004
414;1.37329096E-07
415;4.11987315E-07
416;3.05175831E-08
417;1.14440937E-08
418;0
419;8.31603984E-07
420;0
421;3.50952149E-07
422;0.0383879133
423;0.706634104
424;0
425;4.95910655E-08
426;0
427;0
428;0
429;5.14984151E-07
430;0
431;0.985226393
432;1.85592246
433;1.86384261
434;1.82028234
435;0.62191838
436;6.96000004
