Index;Wert
0;1310.14819
1;1310.14819
2;1310.14819
3;1310.14819
4;1279.57959
5;1279.57959
6;1279.57959
7;1279.57959
8;1294.02673
9;1294.02673
10;1294.02673
11;1294.02673
12;1277.6687
13;1277.6687
14;1277.6687
15;1277.6687
16;1302.27234
17;1302.27234
18;1302.27234
19;1302.27234
20;1868.0249
21;1868.0249
22;1868.0249
23;1868.0249
24;2132.22827
25;2132.22827
26;2132.22827
27;2132.22827
28;2265.0459
29;2265.0459
30;2265.0459
31;2265.0459
32;2163.11694
33;2163.11694
34;2163.11694
35;2163.11694
36;2082.5957
37;2082.5957
38;2082.5957
39;2082.5957
40;1964.83484
41;1964.83484
42;1964.83484
43;1964.83484
44;2136.61475
45;2136.61475
46;2136.61475
47;2136.61475
48;2089.41602
49;2089.41602
50;2089.41602
51;2089.41602
52;2077.71045
53;2077.71045
54;2077.71045
55;2077.71045
56;2190.05396
57;2190.05396
58;2190.05396
59;2190.05396
60;2128.64331
61;2128.64331
62;2128.64331
63;2128.64331
64;2060.35767
65;2060.35767
66;2060.35767
67;2060.35767
68;1893.46777
69;1893.46777
70;1893.46777
71;1893.46777
72;2107.36646
73;2107.36646
74;2107.36646
75;2107.36646
76;1950.75403
77;1950.75403
78;1950.75403
79;1950.75403
80;1916.8313
81;1916.8313
82;1916.8313
83;1916.8313
84;1590.24243
85;1590.24243
86;1590.24243
87;1590.24243
88;1481.64246
89;1481.64246
90;1481.64246
91;1481.64246
92;1526.448
93;1526.448
94;1526.448
95;1526.448
96;1453.38379
97;1453.38379
98;1453.38379
99;1453.38379
100;1409.18762
101;1409.18762
102;1409.18762
103;1409.18762
104;1260.70544
105;1260.70544
106;1260.70544
107;1260.70544
108;1261.27588
109;1261.27588
110;1261.27588
111;1261.27588
112;1302.85791
113;1302.85791
114;1302.85791
115;1302.85791
116;1870.95032
117;1870.95032
118;1870.95032
119;1870.95032
120;2093.39282
121;2093.39282
122;2093.39282
123;2093.39282
124;2361.55176
125;2361.55176
126;2361.55176
127;2361.55176
128;2334.93726
129;2334.93726
130;2334.93726
131;2334.93726
132;2354.14795
133;2354.14795
134;2354.14795
135;2354.14795
136;2247.33643
137;2247.33643
138;2247.33643
139;2247.33643
140;2246.50293
141;2246.50293
142;2246.50293
143;2246.50293
144;2183.91016
145;2183.91016
146;2183.91016
147;2183.91016
148;2243.14795
149;2243.14795
150;2243.14795
151;2243.14795
152;2252.32178
153;2252.32178
154;2252.32178
155;2252.32178
156;2197.43286
157;2197.43286
158;2197.43286
159;2197.43286
160;2046.30664
161;2046.30664
162;2046.30664
163;2046.30664
164;1984.64612
165;1984.64612
166;1984.64612
167;1984.64612
168;2020.54065
169;2020.54065
170;2020.54065
171;2020.54065
172;1873.16943
173;1873.16943
174;1873.16943
175;1873.16943
176;1522.11365
177;1522.11365
178;1522.11365
179;1522.11365
180;1055.33997
181;1055.33997
182;1055.33997
183;1055.33997
184;990.118408
185;990.118408
186;990.118408
187;990.118408
188;1061.41162
189;1061.41162
190;1061.41162
191;1061.41162
192;1099.4928
193;1099.4928
