Index;Wert
0;779.202637
1;1124.54016
2;1104.6283
3;1127.43164
4;1043.96472
5;820.708984
6;725.46521
7;1205.448
8;1343.49097
9;1280.71106
10;1150.10999
11;611.860779
12;824.651489
13;1118.25427
14;1213.18457
15;1210.9679
16;1149.42285
17;843.858337
18;990.752625
19;1438.49304
20;1498.70813
21;1232.34167
22;1391.04028
23;1964.82458
24;533.453491
25;360.470947
26;282.757202
27;202.474228
28;197.449615
29;202.505829
30;255.788086
31;337.280212
32;406.016144
33;648.962097
34;335.199921
35;282.523499
36;438.964874
37;242.604843
38;241.791199
39;246.194412
40;211.988403
41;296.974457
42;669.700073
43;1169.48901
44;1380.38794
45;1265.79431
46;1329.81604
47;1193.87903
48;903.060669
49;1138.7749
50;1247.12988
51;1128.98779
52;1019.12585
53;694.71759
54;743.661499
55;1377.16821
56;1434.55469
57;1277.67871
58;1129.59583
59;741.260498
60;881.83606
61;1141.72852
62;1134.24829
63;911.491943
64;607.691956
65;663.862732
66;1005.00769
67;477.319702
68;343.473755
69;339.196106
70;428.994476
71;876.834534
72;463.32074
73;265.421448
74;198.922134
75;191.92067
76;198.989868
77;199.081726
78;240.147827
79;785.139893
80;1025.50549
81;1088.14209
82;1169.24866
83;752.749329
84;839.612305
85;1358.59009
86;1716.51025
87;1376.86279
88;1549.90247
89;989.916016
90;885.318481
91;1256.76038
92;1663.48279
93;1095.37598
94;1606.98584
95;1038.18835
96;621.573975
97;394.431946
98;178.475983
99;177.231277
100;179.817459
101;183.541199
102;297.831757
103;673.116638
104;665.266174
105;736.228027
106;809.840759
107;568.833191
108;426.482025
109;205.558548
110;280.300873
111;265.695984
112;193.949997
113;385.525513
114;753.661865
115;436.253021
116;757.242737
117;464.342987
118;930.199646
119;1053.85974
120;648.008606
121;588.553833
122;720.704407
123;822.332336
124;926.776978
125;710.497559
126;835.960693
127;1144.33179
128;1236.90393
129;1193.59229
130;1025.4259
131;870.535034
132;1261.4248
133;1045.01514
134;1237.16748
135;1580.98975
136;1139.88416
137;874.331909
138;841.154907
139;1353.7832
140;1363.29651
141;1262.33704
142;1348.77161
143;1124.14587
144;1131.53748
145;1182.77783
146;1126.8562
147;919.813477
148;545.724548
149;512.20697
150;451.871521
151;207.729889
152;306.148193
153;301.474548
154;235.999237
155;250.753204
156;558.293945
157;662.962769
158;634.474426
159;258.934052
160;236.286499
161;464.391113
162;553.557678
163;1142.67957
164;1347.4386
165;1459.74597
166;1655.125
167;1484.73999
168;678.859741
169;1042.93481
170;1154.90332
171;1148.10034
172;1079.5448
173;686.516785
174;699.351013
175;1203.15051
176;1374.56763
177;1210.63135
178;1123.90369
179;734.631592
180;870.891235
181;1161.2312
182;1208.97986
183;1114.63904
184;1071.14075
185;797.568176
186;987.938354
187;1328.64661
188;1156.8894
189;777.536316
190;1114.75452
191;894.588257
192;492.212402
193;279.71109
194;267.735443
195;244.963593
196;190.948563
197;195.255753
198;248.538574
199;328.530273
200;396.212158
201;639.05658
202;325.824951
203;275.423492
204;441.203339
205;564.856628
206;800.952881
207;912.696594
208;765.386108
209;780.268799
210;1136.47583
211;1394.59949
212;1344.55115
213;1280.21497
214;1315.9906
215;1207.84155
216;874.71936
217;1066.68005
218;1207.27637
219;1081.83862
220;996.369629
221;736.661499
222;734.102905
223;1356.86304
224;1471.96619
225;1276.12109
226;1184.72083
227;812.611023
228;901.519165
229;1194.37158
230;1288.47302
231;1097.82397
232;864.115051
233;674.350281
234;1036.51306
235;601.999207
236;466.130005
237;388.578918
238;430.608368
239;872.944214
240;454.193176
241;256.223755
242;191.709366
243;185.757446
244;192.179565
245;189.292633
246;245.37265
247;911.411255
248;1015.68121
249;1092.4895
250;1134.56091
251;756.538696
252;887.24939
253;1328.06299
254;1779.27332
255;1418.02905
256;1515.40247
257;980.94458
258;867.170471
259;1370.35254
260;1708.09521
261;1308.99792
262;1872.12366
263;1297.05054
264;956.520325
265;1164.77393
266;1146.38843
267;988.168823
268;809.025574
269;774.425598
270;871.619873
271;1303.85376
272;1195.22156
273;1249.56018
274;1153.28418
275;975.201111
276;663.276184
277;350.95929
278;432.743591
279;348.921722
280;234.96875
281;410.480499
282;772.39917
283;453.501251
284;768.242798
285;477.842896
286;944.449768
287;1068.86072
288;666.008728
289;649.761475
290;773.799744
291;787.320801
292;851.680664
293;753.202881
294;867.190857
295;1128.60803
296;1180.33765
297;1057.39685
298;900.992615
299;849.35376
300;1254.58472
301;1074.03406
302;1193.70532
303;1412.1001
304;902.134277
305;869.866211
306;785.729553
307;1325.46936
308;1284.63782
309;1138.3877
310;1300.75562
311;1122.15637
312;1135.22864
313;1193.40332
314;1167.22949
315;864.654602
316;607.924377
317;523.830322
318;439.145294
319;281.560883
320;396.756287
321;359.553101
322;254.511429
323;264.619263
324;569.884766
325;673.420105
326;647.594543
327;271.426483
328;251.286438
329;479.339508
330;570.009094
331;939.94397
332;1209.64648
333;1419.19617
334;1635.85852
335;1440.18689
336;593.779236
337;768.421082
338;823.152649
339;828.809204
340;689.88324
341;661.268372
342;688.772644
343;1096.56055
344;1167.74768
345;1199.14099
346;1140.74768
347;756.017212
348;886.779907
349;1203.55066
350;1194.78259
351;1100.91675
352;1007.15881
353;801.271851
354;1001.60492
355;1418.34143
356;1450.52356
357;1255.36829
358;1344.2854
359;1012.29529
360;459.159851
361;286.655029
362;306.960022
363;235.669434
364;209.882645
365;212.930115
366;265.422546
367;345.17514
368;410.558197
369;653.838135
370;341.737854
371;288.208618
372;478.834869
373;790.815796
374;854.46875
375;724.404785
376;643.917664
377;594.885132
378;1125.84436
379;1459.17114
380;1332.547
381;1077.40979
382;1127.36182
383;1173.6272
384;900.772644
385;1205.92175
386;1168.63464
387;882.01239
388;813.930542
389;741.32135
390;817.232849
391;1507.61536
392;1572.9657
393;1152.64221
394;1007.93787
395;803.445374
396;962.323242
397;1461.00769
398;1408.0387
399;1111.14514
400;893.280518
401;801.015503
402;1057.44629
403;591.88385
404;439.503418
405;392.970398
406;438.987671
407;882.01123
408;468.914368
409;268.684784
410;203.259399
411;197.959137
412;204.638092
413;206.173111
414;273.712646
415;973.458008
416;1127.82129
417;1122.75403
418;1098.73083
419;756.168457
420;846.594299
421;1513.98694
422;1887.05908
423;1421.94177
424;1495.0636
425;975.972839
426;874.042664
427;1453.96533
428;1764.89282
429;1137.74194
430;1631.26135
431;1212.30798
432;845.471863
433;1172.4137
434;1194.24634
435;977.038574
436;865.612488
437;687.636353
438;815.906372
439;1316.9696
440;1283.06665
441;1226.59998
442;1255.02429
443;1026.47668
444;816.195496
445;462.876526
446;512.281555
447;325.32132
448;211.497208
449;396.691345
450;763.992004
451;444.550995
452;763.211304
453;471.261261
454;939.33252
455;1061.70447
456;681.810608
457;754.030151
458;874.777222
459;814.21698
460;704.935791
461;637.717896
462;825.476501
463;1280.99268
464;1372.05933
465;1162.58459
466;908.574524
467;815.5
468;1249.83997
469;1112.85779
470;1139.76697
471;1318.01306
472;872.09668
473;864.382996
474;873.842957
475;1308.32251
476;1303.88843
477;1160.69592
478;1244.31958
479;987.043274
480;1050.74438
481;882.88855
482;908.785767
483;581.328369
484;373.922791
485;295.688477
486;335.405304
487;319.041229
488;390.836395
489;348.664917
490;257.039215
491;262.801025
492;570.541931
493;676.204224
494;649.632202
495;274.149902
496;253.677277
497;478.265747
498;580.558533
499;963.121216
500;1068.70154
501;1205.68213
502;1382.33362
503;1225.37085
504;389.953308
505;671.786377
506;726.230591
507;731.285461
508;522.351318
509;278.242706
510;278.563538
511;688.701782
512;864.109436
513;813.371887
514;654.843994
515;306.606628
516;466.123474
517;705.671326
518;725.658875
519;571.801453
520;515.77887
521;360.23822
522;562.822754
523;984.77417
524;1005.99677
525;740.506226
526;1073.88647
527;668.375366
528;287.773468
529;246.176025
530;215.508942
531;210.461792
532;214.891708
533;212.954849
534;267.756683
535;346.779541
536;412.979706
537;655.494873
538;343.968292
539;290.898132
540;474.427032
541;796.649048
542;841.393799
543;373.793488
544;281.630188
545;350.642883
546;736.630188
547;1252.16541
548;1046.96912
549;520.090088
550;565.807922
551;709.98761
552;443.462677
553;620.316772
554;767.585327
555;328.720245
556;272.514923
557;250.6026
558;317.017883
559;977.587585
560;948.102539
561;499.384979
562;392.947083
563;273.778992
564;464.500977
565;804.380066
566;733.952393
567;428.976074
568;354.020905
569;412.858276
570;841.955994
571;658.957397
572;498.814087
573;380.281769
574;445.837006
575;886.179993
576;472.455627
577;273.780792
578;209.067337
579;204.604675
580;210.840042
581;209.434174
582;259.932709
583;673.674438
584;670.89978
585;538.171082
586;472.83075
587;318.03598
588;432.152954
589;760.966431
590;1127.68665
591;685.747253
592;837.680542
593;518.583313
594;419.206055
595;693.2005
596;1032.69238
597;475.606812
598;1047.23523
599;685.391052
600;336.859497
601;328.047577
602;323.403778
603;260.187775
604;210.263107
605;202.620514
606;320.032959
607;487.970856
608;446.022736
609;518.632202
610;695.773621
611;578.960449
612;431.280487
613;204.794861
614;281.63623
615;268.634521
616;201.362686
617;390.861725
618;761.250488
619;443.074615
620;759.171204
621;466.785797
622;935.902039
623;1058.3468
624;658.62738
625;462.447021
626;469.732758
627;378.475555
628;309.997833
629;255.597794
630;378.306427
631;610.295593
632;668.666504
633;424.290771
634;332.484924
635;379.57605
636;791.219177
637;440.678558
638;462.073792
639;744.715698
640;348.014618
641;369.776398
642;370.992615
643;608.650269
644;582.879883
645;491.448578
646;626.901978
647;633.491882
648;670.136169
649;535.727966
650;473.861847
651;366.205231
652;293.999634
653;206.96315
654;208.932037
655;207.181381
656;309.469086
657;311.587128
658;254.57486
659;266.775665
660;577.153625
661;683.01355
662;653.790039
663;277.791565
664;261.432098
665;486.091248
666;581.004333
667;826.174011
668;988.820801
669;948.426636
670;1104.1178
671;1147.64905
672;325.83725
673;509.635101
674;446.587585
675;332.302338
676;284.050171
677;236.585678
678;248.888901
679;541.665466
680;689.691711
681;544.496338
682;488.613373
683;277.693542
684;432.022675
685;522.36676
686;534.050049
687;359.297607
688;351.709595
689;312.158997
690;533.534729
691;850.107483
692;848.368958
693;542.525635
694;882.752686
695;557.048584
696;211.190079
697;245.206604
698;258.21936
699;242.666229
700;249.146179
701;246.950394
702;299.233459
703;384.47879
704;417.875671
705;644.020691
706;322.837372
707;279.153015
708;460.091003
709;663.596802
710;946.57489
711;786.727356
712;777.098267
713;743.810425
714;1167.84094
715;1452.12036
716;1313.17224
717;1143.98767
718;1207.35791
719;1220.94312
720;925.908752
721;1193.14624
722;1220.25647
723;963.370361
724;686.235046
725;530.126831
726;519.769104
727;1072.7627
728;1204.24463
729;1033.18262
730;797.23822
731;587.893127
732;785.446411
733;1232.98621
734;1352.63367
735;1020.84204
736;728.184021
737;692.893127
738;954.160522
739;516.684937
740;406.772522
741;353.876099
742;445.461609
743;887.880493
744;459.264832
745;271.188477
746;207.200073
747;200.35257
748;212.25383
749;207.874664
750;269.701294
751;922.631409
752;1016.61102
753;1062.42603
754;946.013733
755;552.102356
