Index;Wert
0;779.202637
1;1124.54016
2;1104.6283
3;1127.43164
4;1043.96472
5;820.708984
6;725.46521
7;1205.448
8;1344.26892
9;1282.31763
10;1151.73792
11;614.051758
12;826.014954
13;1119.61902
14;1214.40637
15;1211.16052
16;1149.42285
17;843.858337
18;990.752625
19;1438.49304
20;1498.70813
21;1232.34167
22;1391.04028
23;1964.82458
24;533.453491
25;360.470947
26;282.757202
27;202.474228
28;197.449615
29;202.505829
30;255.788086
31;337.280212
32;406.268097
33;648.962097
34;336.015015
35;284.404633
36;440.684631
37;243.079086
38;242.132065
39;246.327789
40;211.988403
41;296.974457
42;669.700073
43;1169.48901
44;1380.38794
45;1265.79431
46;1329.81604
47;1193.87903
48;903.060669
49;1138.7749
50;1247.12988
51;1128.98779
52;1019.12585
53;694.71759
54;743.661499
55;1377.16821
56;1435.25122
57;1279.18738
58;1131.7041
59;744.403076
60;884.031616
61;1144.39087
62;1136.5033
63;911.714233
64;607.691956
65;663.862732
66;1005.00769
67;477.319702
68;343.473755
69;339.196106
70;428.994476
71;876.834534
72;463.32074
73;265.421448
74;198.922134
75;191.92067
76;198.989868
77;199.081726
78;240.147827
79;785.139893
80;1026.28259
81;1090.39612
82;1172.92871
83;755.175232
84;841.07959
85;1360.55713
86;1717.46436
87;1377.04065
88;1549.90247
89;989.916016
90;885.318481
91;1256.76038
92;1663.48279
93;1095.37598
94;1606.98584
95;1038.18835
96;621.573975
97;394.431946
98;178.475983
99;177.231277
100;179.817459
101;183.541199
102;297.831757
103;673.116638
104;666.218689
105;738.013428
106;811.891296
107;572.365967
108;427.964142
109;206.269913
110;280.997406
111;265.918274
112;193.949997
113;385.525513
114;753.661865
115;436.253021
116;757.242737
117;464.342987
118;930.199646
119;1053.85974
120;648.008606
121;588.553833
122;720.704407
123;822.332336
124;926.776978
125;710.497559
126;835.960693
127;1144.33179
128;1237.87573
129;1195.64368
130;1027.02454
131;874.282959
132;1263.5155
133;1047.51587
134;1238.08899
135;1581.22681
136;1139.88416
137;874.331909
138;841.154907
139;1353.7832
140;1363.29651
141;1262.33704
142;1348.77161
143;1124.14587
144;1131.53748
145;1182.77783
146;1126.8562
147;919.813477
148;545.724548
149;512.20697
150;451.871521
151;207.729889
152;307.135925
153;304.033966
154;238.777039
155;252.811157
156;559.138672
157;663.52594
158;635.749573
159;258.978516
160;236.286499
161;464.391113
162;553.557678
163;1142.67957
164;1347.4386
165;1459.74597
166;1655.125
167;1484.73999
168;678.859741
169;1042.93481
170;1154.90332
171;1148.10034
172;1079.5448
173;686.516785
174;699.351013
175;1203.15051
176;1375.57324
177;1213.20801
178;1127.90247
179;738.520935
180;874.470703
181;1164.08337
182;1210.60291
183;1115.24475
184;1071.14075
185;797.568176
186;987.938354
187;1328.64661
188;1156.8894
189;777.536316
190;1114.75452
191;894.588257
192;492.212402
193;279.71109
194;267.735443
195;244.963593
196;190.948563
197;195.255753
198;248.538574
199;328.530273
200;396.768616
201;639.930969
202;326.595581
203;276.223785
204;442.151825
205;565.86438
206;801.918579
207;913.031738
208;765.386108
209;780.268799
210;1136.47583
211;1394.59949
212;1344.55115
213;1280.21497
214;1315.9906
215;1207.84155
216;874.71936
217;1066.68005
218;1207.27637
219;1081.83862
220;996.369629
221;736.661499
222;734.102905
223;1356.86304
224;1472.2478
225;1276.6842
226;1186.36377
227;813.841064
228;904.128723
229;1196.00403
230;1289.72949
231;1098.21167
232;864.115051
233;674.350281
234;1036.51306
235;601.999207
236;466.130005
237;388.578918
238;430.608368
239;872.944214
240;454.193176
241;256.223755
242;191.709366
243;185.757446
244;192.179565
245;189.292633
246;245.37265
247;911.411255
248;1016.31995
249;1092.74146
250;1135.07959
251;759.007812
252;888.568359
253;1329.93494
254;1781.09766
255;1418.13281
256;1515.40247
257;980.94458
258;867.170471
259;1370.35254
260;1708.09521
261;1308.99792
262;1872.12366
263;1297.05054
264;956.520325
265;1164.77393
266;1146.38843
267;988.168823
268;809.025574
269;774.425598
270;871.619873
271;1303.85376
272;1195.70728
273;1251.25452
274;1154.97156
275;976.031006
276;665.8255
277;353.571533
278;434.531189
279;349.478851
280;234.96875
281;410.480499
282;772.39917
283;453.501251
284;768.242798
285;477.842896
286;944.449768
287;1068.86072
288;666.008728
289;649.761475
290;773.799744
291;787.320801
292;851.680664
293;753.202881
294;867.190857
295;1128.60803
296;1180.76746
297;1057.97485
298;904.884399
299;853.451416
300;1257.37073
301;1075.11597
302;1195.14258
303;1412.47791
304;902.134277
305;869.866211
306;785.729553
307;1325.46936
308;1284.63782
309;1138.3877
310;1300.75562
311;1122.15637
312;1135.22864
313;1193.40332
314;1167.22949
315;864.654602
316;607.924377
317;523.830322
318;439.145294
319;281.560883
320;397.933044
321;362.309021
322;258.655762
323;269.3349
324;574.622009
325;677.403015
326;649.745117
327;271.932709
328;251.286438
329;479.339508
330;570.009094
331;939.94397
332;1209.64648
333;1419.19617
334;1635.85852
335;1440.18689
336;593.779236
337;768.421082
338;823.152649
339;828.809204
340;689.88324
341;661.268372
342;688.772644
343;1096.56055
344;1168.68909
345;1200.85095
346;1141.75549
347;756.698914
348;887.209717
349;1205.31628
350;1195.04932
351;1101.59949
352;1007.15881
353;801.271851
354;1001.60492
355;1418.34143
356;1450.52356
357;1255.36829
358;1344.2854
359;1012.29529
360;459.159851
361;286.655029
362;306.960022
363;235.669434
364;209.882645
365;212.930115
366;265.422546
367;345.17514
368;411.445557
369;655.195862
370;344.575439
371;289.379395
372;479.561035
373;791.971741
374;855.269043
375;724.597473
376;643.917664
377;594.885132
378;1125.84436
379;1459.17114
380;1332.547
381;1077.40979
382;1127.36182
383;1173.6272
384;900.772644
385;1205.92175
386;1168.63464
387;882.01239
388;813.930542
389;741.32135
390;817.232849
391;1507.61536
392;1573.58154
393;1154.10083
394;1010.73511
395;804.2901
396;964.47168
397;1461.85242
398;1409.42407
399;1111.27856
400;893.280518
401;801.015503
402;1057.44629
403;591.88385
404;439.503418
405;392.970398
406;438.987671
407;882.01123
408;468.914368
409;268.684784
410;203.259399
411;197.959137
412;204.638092
413;206.173111
414;273.712646
415;973.458008
416;1128.85742
417;1124.8927
418;1101.47388
419;759.09082
420;849.629272
421;1516.78528
422;1888.92041
423;1423.10815
424;1495.0636
425;975.972839
426;874.042664
427;1453.96533
428;1764.89282
429;1137.74194
430;1631.26135
431;1212.30798
432;845.471863
433;1172.4137
434;1194.24634
435;977.038574
436;865.612488
437;687.636353
438;815.906372
439;1316.9696
440;1283.54089
441;1228.52295
442;1256.26917
443;1028.31396
444;818.16626
445;465.328064
446;514.126221
447;326.078674
448;211.497208
449;396.691345
450;763.992004
451;444.550995
452;763.211304
453;471.261261
454;939.33252
455;1061.70447
456;681.810608
457;754.030151
458;874.777222
459;814.21698
460;704.935791
461;637.717896
462;825.476501
463;1280.99268
464;1372.98376
465;1164.21655
466;910.380127
467;818.884827
468;1253.15369
469;1115.7594
470;1141.76428
471;1318.47498
472;872.09668
473;864.382996
474;873.842957
475;1308.32251
476;1303.88843
477;1160.69592
478;1244.31958
479;987.043274
480;1050.74438
481;882.88855
482;908.785767
483;581.328369
484;373.922791
485;295.688477
486;335.405304
487;319.041229
488;391.764282
489;350.139648
490;260.243927
491;266.300659
492;573.972534
493;678.624512
494;651.410522
495;275.229889
496;253.677277
497;478.265747
498;580.558533
499;963.121216
500;1068.70154
501;1205.68213
502;1382.33362
503;1225.37085
504;389.953308
505;671.786377
506;726.230591
507;731.285461
508;522.351318
509;278.242706
510;278.563538
511;688.701782
512;865.140198
513;815.687622
514;658.201111
515;310.348938
516;469.9198
517;708.991455
518;728.058777
519;573.020508
520;515.77887
521;360.23822
522;562.822754
523;984.77417
524;1005.99677
525;740.506226
526;1073.88647
527;668.375366
528;287.773468
529;246.176025
530;215.508942
531;210.461792
532;214.891708
533;212.954849
534;267.756683
535;346.779541
536;413.767303
537;657.461792
538;344.768585
539;291.698425
540;476.249725
541;797.923584
542;842.253357
543;374.422211
544;281.630188
545;350.642883
546;736.630188
547;1252.16541
548;1046.96912
549;520.090088
550;565.807922
551;709.98761
552;443.462677
553;620.316772
554;767.585327
555;328.720245
556;272.514923
557;250.6026
558;317.017883
559;977.587585
560;948.99939
561;500.081512
562;395.691315
563;276.584442
564;467.885681
565;806.605042
566;736.003174
567;430.048248
568;354.020905
569;412.858276
570;841.955994
571;658.957397
572;498.814087
573;380.281769
574;445.837006
575;886.179993
576;472.455627
577;273.780792
578;209.067337
579;204.604675
580;210.840042
581;209.434174
582;259.932709
583;673.674438
584;672.208618
585;541.141663
586;477.251129
587;323.260345
588;437.319611
589;765.488892
590;1130.78064
591;687.190186
592;837.680542
593;518.583313
594;419.206055
595;693.2005
596;1032.69238
597;475.606812
598;1047.23523
599;685.391052
600;336.859497
601;328.047577
602;323.403778
603;260.187775
604;210.263107
605;202.620514
606;320.032959
607;487.970856
608;447.541412
609;521.961182
610;700.366699
611;584.254028
612;436.60379
613;209.372604
614;284.736755
615;270.027954
616;201.362686
617;390.861725
618;761.250488
619;443.074615
620;759.171204
621;466.785797
622;935.902039
623;1058.3468
624;658.62738
625;462.447021
626;469.732758
627;378.475555
628;309.997833
629;255.597794
630;378.306427
631;610.295593
632;669.259277
633;426.289978
634;336.54068
635;383.303284
636;792.493713
637;443.140594
638;462.948181
639;745.463501
640;348.014618
641;369.776398
642;370.992615
643;608.650269
644;582.879883
645;491.448578
646;626.901978
647;633.491882
648;670.136169
649;535.727966
650;473.861847
651;366.205231
652;293.999634
653;206.96315
654;208.932037
655;207.181381
656;310.425964
657;312.947601
658;256.746399
659;267.961273
660;578.042847
661;683.932373
662;654.931702
663;278.446869
664;261.432098
665;486.091248
666;581.004333
667;826.174011
668;988.820801
669;948.426636
670;1104.1178
671;1147.64905
672;325.83725
673;509.635101
674;446.587585
675;332.302338
676;284.050171
677;236.585678
678;248.888901
679;541.665466
680;691.324463
681;547.883911
682;493.37381
683;283.142548
684;437.498596
685;527.185913
686;537.39917
687;361.044067
688;351.709595
689;312.158997
690;533.534729
691;850.107483
692;848.368958
693;542.525635
694;882.752686
695;557.048584
696;211.190079
697;245.206604
698;258.21936
699;242.666229
700;249.146179
701;246.950394
702;299.233459
703;384.47879
704;418.904114
705;645.308533
706;324.864166
707;280.353424
708;461.454437
709;665.864807
710;947.612305
711;787.395691
712;777.098267
713;743.810425
714;1167.84094
715;1452.12036
716;1313.17224
717;1143.98767
718;1207.35791
719;1220.94312
720;925.908752
721;1193.14624
722;1220.25647
723;963.370361
724;686.235046
725;530.126831
726;519.769104
727;1072.7627
728;1205.30298
729;1034.2052
730;798.260803
731;588.723022
732;786.409729
733;1233.7865
734;1353.15234
735;1021.55615
736;728.184021
737;692.893127
738;954.160522
739;516.684937
740;406.772522
741;353.876099
742;445.461609
743;887.880493
744;459.264832
745;271.188477
746;207.200073
747;200.35257
748;212.25383
749;207.874664
750;269.701294
751;922.631409
752;1017.52112
753;1063.74353
754;948.607666
755;555.012695
