Index;Wert
0;761.916626
1;768.916626
2;760.916626
3;772.916626
4;993.253296
5;1124.2533
6;1189.2533
7;1139.2533
8;1098.48779
9;1039.48779
10;1125.48779
11;1102.48779
12;1095.42334
13;1152.42334
14;1121.42334
15;1087.42334
16;995.585693
17;1100.58569
18;1021.58569
19;1004.58569
20;844.051392
21;791.051392
22;815.051392
23;779.051392
24;761.8526
25;688.8526
26;687.8526
27;709.8526
28;1076.87878
29;1176.87878
30;1283.87878
31;1230.87878
32;1376.78784
33;1320.78784
34;1324.78784
35;1301.78784
36;1282.44263
37;1290.44263
38;1273.44263
39;1229.44263
40;1200.78149
41;1222.78149
42;1150.78149
43;980.781433
44;601.189697
45;570.189697
46;607.189697
47;626.189697
48;781.992737
49;783.992737
50;810.992737
51;877.992737
52;1000.37738
53;1081.37744
54;1178.37744
55;1169.37744
56;1212.14099
57;1131.14099
58;1251.14099
59;1214.14099
60;1203.94116
61;1229.94116
62;1172.94116
63;1186.94116
64;1148.02161
65;1192.02161
66;1166.02161
67;1040.02161
68;852.658081
69;885.658081
70;802.658081
71;782.658081
72;981.762207
73;973.762207
74;964.762207
75;990.762207
76;1283.99634
77;1475.99634
78;1492.99634
79;1448.99634
80;1489.21594
81;1443.21594
82;1493.21594
83;1517.21594
84;1299.58252
85;1211.58252
86;1177.58252
87;1188.58252
88;1470.52393
89;1447.52393
90;1304.52393
91;1289.52393
92;967.303711
93;903.303711
94;908.303711
95;5028.30371
96;550.678223
97;537.678223
98;553.678223
99;439.678223
100;366.687622
101;336.687622
102;348.687622
103;337.687622
104;297.472717
105;274.472717
106;255.472702
107;251.472702
108;215.689224
109;179.689224
110;180.689224
111;181.689224
112;183.163818
113;183.163818
114;185.163818
115;186.163818
116;192.219818
117;188.219818
118;188.219818
119;189.219818
120;243.501984
121;243.501984
122;244.501984
123;239.501984
124;324.994659
125;324.994659
126;321.994659
127;324.994659
128;393.982422
129;391.982422
130;392.982422
131;393.982422
132;637.427185
133;635.427185
134;635.427185
135;635.427185
136;323.239746
137;324.239746
138;323.239746
139;321.239746
140;272.181213
141;271.181213
142;272.181213
143;270.181213
144;427.262024
145;428.262024
146;429.262024
147;426.262024
148;229.431427
149;232.431427
150;229.431427
151;229.431427
152;229.250427
153;230.250427
154;230.250427
155;227.250427
156;232.453262
157;233.453262
158;233.453262
159;234.453262
160;199.114777
161;200.114777
162;197.114777
163;200.114777
164;282.607941
165;282.607941
166;281.607941
167;289.607941
168;654.094238
169;649.094238
170;651.094238
171;673.094238
172;870.879639
173;1180.87964
174;1261.87964
175;1312.87964
176;1330.02405
177;1314.02405
178;1401.02405
179;1425.02405
180;1329.92957
181;1257.92957
182;1179.92957
183;1243.92957
184;1350.95398
185;1359.95398
186;1313.95398
187;1242.95398
188;1190.50891
189;1190.50891
190;1182.50891
191;1160.50891
192;882.182617
193;876.182617
194;877.182617
195;925.182617
196;964.393372
197;1111.39331
198;1224.39331
199;1203.39331
200;1267.99109
201;1180.99109
202;1263.99109
203;1223.99109
204;1197.08569
205;1083.08569
206;1088.08569
207;1096.08569
208;1091.69885
209;1049.69885
210;1035.69885
211;847.698853
212;691.055664
213;686.055664
214;674.055664
215;676.055664
216;725.482666
217;724.482666
218;727.482666
219;745.482666
220;1215.47778
221;1393.47778
222;1460.47778
223;1387.47778
224;1450.55188
225;1407.55188
226;1427.55188
227;1403.55188
228;1287.01929
229;1274.01929
230;1250.01929
231;1254.01929
232;1148.60693
233;1175.60693
234;1095.60693
235;1056.60693
236;745.635132
237;753.635132
238;728.635132
239;700.635132
240;870.529846
241;857.529846
242;876.529846
243;882.529846
244;1048.14502
245;1159.14502
246;1195.14502
247;1126.14502
248;1217.25916
249;1103.25916
250;1104.25916
251;1072.25916
252;993.934387
253;950.934387
254;872.934387
255;779.934387
256;703.133911
257;587.133911
258;541.133911
259;548.133911
260;639.959717
261;661.959717
262;653.959717
263;647.959717
264;1051.81726
265;1044.81726
266;975.817261
267;895.817261
268;465.325745
269;464.325745
270;463.325745
271;464.325745
272;331.444031
273;330.444031
274;331.444031
275;328.444031
276;325.911682
277;324.911682
278;325.911682
279;327.911682
280;416.459808
