Index;Wert
0;50.9865379
1;50.0612297
2;51.0255775
3;55.8101654
4;79.1053925
5;94.6862106
6;90.5760422
7;89.0394135
8;91.4228134
9;90.8514938
10;92.3657227
11;93.072464
12;90.4346237
13;84.7904205
14;87.1981277
15;93.6653595
16;103.855934
17;111.531067
18;110.03257
19;100.309128
20;91.7742386
21;75.1074524
22;43.7087059
23;48.3593636
24;47.8724365
25;46.9749413
26;47.8584709
27;52.4051132
28;74.7008057
29;89.5826263
30;85.3182831
31;84.1142883
32;81.8937759
33;77.0268097
34;76.069931
35;75.9501038
36;77.7253952
37;74.2325821
38;75.565979
39;80.6185913
40;90.7432022
41;103.35965
42;109.848862
43;108.829933
44;103.592331
45;81.1074219
46;45.132885
47;45.0997238
48;21.334465
49;20.1697006
50;21.2995796
51;27.1296253
52;55.7098503
53;74.7296371
54;67.3801804
55;62.0477715
56;61.1850204
57;57.2356491
58;55.6766586
59;55.5837631
60;57.7553062
61;53.5493393
62;55.2995834
63;61.6659203
64;74.1023026
65;89.1346359
66;96.2980804
67;94.2597656
68;88.0388412
69;61.5681534
70;17.3977337
71;18.6203499
72;26.6496429
73;25.3812523
74;26.6321526
75;33.0731468
76;64.7467575
77;85.8819885
78;77.6454239
79;71.634613
80;70.3998947
81;65.5870285
82;63.8475647
83;63.7501183
84;66.1215057
85;61.5682068
86;63.5203247
87;70.5256119
88;84.0945663
89;100.256355
90;107.713486
91;104.986359
92;98.1815491
93;69.6625366
94;21.3169136
95;23.2229233
96;45.4395027
97;44.6650429
98;45.5872993
99;49.9836922
100;71.4083557
101;85.6030426
102;79.9208984
103;75.769043
104;75.6885834
105;73.3969421
106;72.2995377
107;72.164856
108;74.0315475
109;70.7035522
110;72.0085526
111;76.9499054
112;86.9650879
113;99.4642868
114;105.930405
115;104.979515
116;99.9173431
117;77.9983139
118;43.1619072
119;42.9545708
120;45.7355309
121;44.889492
122;45.7890358
123;50.2250252
124;71.8173523
125;86.1966705
126;82.0688477
127;81.0874252
128;78.9135132
129;74.0603409
130;72.8968201
131;72.7591171
132;74.6877518
133;71.3953857
134;72.8387222
135;77.8913956
136;87.8315811
137;100.238335
138;106.748741
139;105.925316
140;100.994301
141;78.9955139
142;43.9750633
143;43.6608276
144;42.1552773
145;41.2764435
146;42.1193619
147;46.2841187
148;66.5110931
149;80.0485306
150;74.8397751
151;73.5118484
152;79.9995193
153;80.0639877
154;81.5167847
155;81.309288
156;77.9154282
157;74.3803177
158;76.939827
159;83.3187332
160;92.7316666
161;101.043877
162;100.392685
163;91.2087021
164;80.1384811
165;62.8071136
166;35.1307831
167;39.262188
168;24.5355225
169;23.8986092
