Index;Wert
0;1.76999998
1;1.59000003
2;1.39999998
3;1.22000003
4;1.02999997
5;0.850000024
6;0.660000026
7;0.479999989
8;1.54999995
9;2.61999989
10;4
11;4.59000015
12;5.13000011
13;5.44000006
14;5.23999977
15;4.09000015
16;2.3499999
17;1.44000006
18;0.730000019
19;1.63
20;1.40999997
21;1.30999994
22;1.20000005
23;0.959999979
24;0.680000007
25;0.439999998
26;0.100000001
27;-0.140000001
28;-0.319999993
29;-0.419999987
30;-0.550000012
31;-0.569999993
32;-0.569999993
33;-0.0900000036
34;0.699999988
35;1.34000003
36;1.98000002
37;2.3499999
38;2.38000011
39;2.02999997
40;1.64999998
41;1.27999997
42;1.09000003
43;0.519999981
44;0.49000001
45;0.5
46;0.460000008
47;0.49000001
48;0.639999986
49;0.689999998
50;0.829999983
51;0.959999979
52;1.14999998
53;1.25
54;1.26999998
55;0.460000008
56;0.5
57;0.829999983
58;1.16999996
59;1.59000003
60;1.96000004
61;2.38000011
62;2.66000009
63;2.1500001
64;1.09000003
65;0.5
66;-0.289999992
67;-1.12
68;-1.44000006
69;-1.77999997
70;-1.84000003
71;-1.78999996
72;-1.75999999
73;-1.59000003
74;-1.38999999
75;-1.21000004
76;-1.14999998
77;-1.11000001
78;-1.01999998
79;-0.579999983
80;-0.0299999993
81;0.870000005
82;2.25
83;3.32999992
84;3.93000007
85;4.07000017
86;3.8599999
87;3.32999992
88;2.41000009
89;1.77999997
90;1.32000005
91;1.04999995
92;0.600000024
93;0.140000001
94;-0.430000007
95;-0.949999988
96;-1.53999996
97;-1.86000001
98;-2.4000001
99;-2.86999989
100;-3.04999995
101;-2.73000002
102;-2.01999998
103;-2.05999994
104;-1.27999997
105;0.129999995
106;1.64999998
107;3.46000004
108;4.46000004
109;4.80999994
110;4.92000008
111;3.86999989
112;2.27999997
113;0.460000008
114;-1.05999994
115;-1.76999998
116;-2.32999992
117;-2.6500001
118;-2.66000009
119;-2.63000011
120;-2.21000004
121;-1.33000004
122;-1.60000002
123;-2.30999994
124;-2.73000002
125;-2.79999995
126;-2.76999998
127;-2.49000001
128;-1.66999996
129;0.310000002
130;2.53999996
131;4.09000015
132;4.96000004
133;5.32999992
134;5.0999999
135;3.63000011
136;2.88000011
137;1.98000002
138;-0.75999999
139;-0.649999976
140;-0.370000005
141;-0.270000011
142;-0.649999976
143;-1.19000006
144;-1.54999995
145;-0.5
146;-0.419999987
147;-0.850000024
148;-1.25
149;-2.03999996
150;-2.0999999
151;-3.00999999
152;-2.76999998
153;-1.28999996
154;2.06999993
155;3.70000005
156;4.63999987
157;4.80999994
158;4.25
159;3.5999999
160;2.66000009
161;1.58000004
162;1.00999999
163;1.89999998
164;2.42000008
165;3.19000006
166;3.80999994
167;3.92000008
168;3.8499999
169;3.6500001
170;3.21000004
171;3.1099999
172;2.97000003
173;2.78999996
174;2.53999996
175;2.25999999
176;2.05999994
177;3.07999992
178;4.92999983
179;6.07999992
180;6.6500001
181;6.82999992
182;6.65999985
183;5.55000019
184;4.38999987
185;3.75999999
186;3.32999992
187;2.96000004
188;2.77999997
189;2.53999996
190;2.18000007
191;1.92999995
192;1.88999999
193;1.90999997
194;1.95000005
195;2.04999995
196;2.19000006
197;2.17000008
198;2.24000001
199;2.32999992
200;2.43000007
201;3.66000009
202;4.59000015
203;5.8499999
204;6.57000017
205;6.38000011
206;6.05999994
207;5.57000017
208;5.1500001
209;4.92999983
210;4.69999981
211;3.99000001
212;3.54999995
213;2.98000002
214;2.6099999
215;2.07999992
216;1.46000004
217;0.409999996
218;-0.670000017
219;-1.57000005
220;-2.1500001
221;-2.49000001
222;-2.41000009
223;-1.54999995
224;-0.589999974
225;2.31999993
226;5.21000004
227;6.82000017
228;6.32000017
229;5.8499999
230;5.5
231;4.80000019
232;3.73000002
233;2.29999995
234;1.70000005
235;2.1500001
236;2.69000006
237;1.92999995
238;0.49000001
239;0.819999993
240;1.70000005
241;2.54999995
242;2.73000002
243;2.32999992
244;2
245;2.02999997
246;1.83000004
247;1.97000003
248;2.1099999
249;2.80999994
250;3.50999999
251;4.82999992
252;5.59000015
253;5.73000002
254;6.01000023
255;6.07999992
256;5.71999979
257;5.38999987
258;5.53999996
259;4.05999994
260;3.94000006
261;3.78999996
262;3.71000004
263;3.66000009
264;3.44000006
265;3.00999999
266;2.91000009
267;3.25999999
268;3.26999998
269;3.0999999
270;2.67000008
271;2.3499999
272;1.71000004
273;1.74000001
274;2.1400001
275;2.66000009
276;3.52999997
277;3.81999993
278;3.61999989
279;3.18000007
280;2.23000002
281;1.13999999
282;1.48000002
283;2.17000008
284;1.98000002
285;1.76999998
286;1.75999999
287;1.62
288;1.33000004
289;0.959999979
290;0.970000029
