Index;Wert
0;4.78134012
1;2.42523479
2;2.42826653
3;2.42826653
4;2.45242739
5;2.92710686
6;4.71000004
7;4.68499994
8;4.64666653
9;4.76166677
10;4.74959993
11;4.83440018
12;4.70076942
13;4.72846174
14;4.70692301
15;4.69735003
16;4.79920006
17;4.75519991
18;4.71920013
19;4.71360016
20;4.71759987
21;4.70240021
22;4.6960001
23;2.67245507
24;2.34400654
25;2.33820772
26;2.3494854
27;2.36756563
28;2.41946959
29;2.89714479
30;4.78756714
31;4.75663519
32;4.76432085
33;4.72168303
34;4.6880002
35;4.7343998
36;4.78000021
37;4.80240011
38;4.81679964
39;4.755126
40;4.82400036
41;4.83039999
42;4.84000015
43;4.8368001
44;4.83279991
45;4.83199978
46;4.83440018
47;2.67994285
48;2.10819936
49;2.10154176
50;2.09488392
51;2.08822632
52;2.10154176
53;2.47181869
54;4.77439976
55;4.76399994
56;4.75600004
57;4.78399992
58;4.77358484
59;4.70461559
60;4.71923065
61;4.72461557
62;4.37294674
63;4.15692806
64;4.48775005
65;4.79759979
66;4.76399994
67;4.71600008
68;4.68400002
69;4.69181395
70;4.70668793
71;2.3194139
72;2.3755002
73;2.37185311
74;2.35664058
75;2.34903431
76;2.33909726
77;2.67714334
78;4.68737459
79;4.69840002
80;4.71120024
81;4.76319981
82;4.81360006
83;4.80047512
84;4.79746819
85;4.83539772
86;4.83693075
87;4.68528318
88;4.76160002
89;4.73199987
90;4.69680023
91;4.69280005
92;4.68442154
93;4.70967722
94;4.76432085
95;2.64348578
96;2.4896915
97;2.4836514
98;2.4836514
99;2.4836514
100;2.50781226
101;2.99226522
102;4.78833342
103;4.80008268
104;4.81901217
105;4.69040012
106;4.79120016
107;4.82622576
108;4.83519983
109;4.83279991
110;4.83759975
111;4.82239962
112;4.74639988
113;4.69774914
114;4.74288034
115;4.69439983
116;4.68885326
117;4.72318888
118;4.74440384
119;2.79241896
120;2.53494644
121;2.54791832
122;2.54791832
123;2.54791832
124;2.57207918
125;3.06787348
126;4.78583336
127;4.75750017
128;4.76583338
129;4.78289461
130;4.77600002
131;4.82959986
