Index;Wert
0;1141.32333
1;1141.07599
2;1141.05123
3;1141.05905
4;1141.06556
5;1141.27149
6;1143.39361
7;1144.53185
8;1144.80903
9;1144.9989
10;1144.96699
11;1144.34453
12;1143.8206
13;1143.22763
14;1143.06773
15;1142.77146
16;1142.52865
17;1143.28975
18;1145.31202
19;1145.22043
20;1145.59962
21;1144.9873
22;1144.38399
23;1142.8596
24;1142.00948
25;1141.17285
26;1141.15069
27;1141.1533
28;1141.15591
29;1141.35675
30;1143.41712
31;1144.4828
32;1144.80046
33;1144.71706
34;1144.32213
35;1144.01378
36;1144.18028
37;1142.96726
38;1142.78709
39;1143.12567
40;1142.5767
41;1143.17374
42;1144.57889
43;1145.26029
44;1144.99299
45;1144.82522
46;1143.57737
47;1141.95832
48;1141.75487
49;1141.11371
50;1141.06403
51;1141.01625
52;1140.96515
53;1141.13633
54;1142.65279
55;1143.46982
56;1143.90467
57;1143.89539
58;1143.53451
59;1143.30642
60;1143.55557
61;1143.6019
62;1143.32879
63;1142.22209
64;1142.06847
65;1142.91137
66;1144.19192
67;1144.55033
68;1144.56277
69;1144.77633
70;1143.95146
71;1142.70373
72;1141.17044
73;1140.95412
74;1140.95021
75;1140.9476
76;1140.93457
77;1141.12936
78;1142.7833
79;1143.86044
80;1144.70086
81;1144.7178
82;1144.27827
83;1143.48167
84;1143.23947
85;1142.8555
86;1142.48588
87;1142.30089
88;1142.26899
89;1142.67005
90;1144.33494
91;1145.03955
92;1144.98954
93;1144.62136
94;1143.80318
95;1141.82531
96;1141.18275
97;1141.13584
98;1141.21924
99;1141.37171
100;1141.32219
101;43.2639479
102;45.1474137
103;46.3099475
104;46.8204484
105;47.3532689
106;46.2978238
107;45.6175153
108;45.5111657
109;44.9558842
110;44.832163
111;44.6055809
112;44.5005921
113;45.1542701
114;47.2881469
115;47.7323223
116;47.3070936
117;47.0719585
118;45.631795
119;44.25322
120;43.6300447
121;43.0709866
122;43.0670777
123;43.0644718
124;43.0748961
125;43.2659152
126;45.292886
127;46.6901516
128;47.0235792
129;47.0717967
130;46.5268931
131;45.6986827
132;45.5705945
133;45.3394839
134;44.9331658
135;44.6622431
136;44.6784649
137;45.2175806
138;47.3293746
139;47.2591832
140;46.8065357
141;46.7355803
142;45.4344804
143;44.5193869
144;43.6234472
145;43.2693689
146;43.1165158
147;43.0109604
148;43.0187785
149;43.210548
150;44.975334
151;46.0754673
152;46.3798123
153;46.7016953
154;46.3144354
155;45.4670753
156;45.2711905
157;45.2670749
158;45.5517585
159;44.8887463
160;45.3297192
161;45.1502933
162;46.2036809
163;46.869207
164;47.2495258
165;46.4632156
166;46.2623953
167;43.967983
168;43.0063338
169;42.717468
170;42.6927078
171;42.7005271
172;42.7485677
173;42.8692356
174;44.5016918
175;45.6988171
176;45.6962102
177;1143.92762
178;1143.88703
179;1143.42192
180;1143.06852
181;1142.72702
182;1142.80528
183;1142.6074
184;1142.29464
185;1142.7607
186;1144.03528
187;1143.45407
188;1143.83546
189;1143.21008
190;1143.3282
191;1142.51414
192;1141.97005
193;1141.13342
194;1141.11127
195;1141.11387
196;1141.11648
197;1141.31036
198;1143.31031
199;1144.34352
200;1144.6519
201;1144.5685
202;1144.18968
203;1143.89769
204;1144.0781
205;1142.87204
206;1142.70127
207;1143.0445
208;1142.49308
209;1143.0762
210;1144.43717
211;1145.10233
212;1144.84211
213;1144.67666
214;1143.47752
215;1141.91657
216;1141.81761
217;1141.17646
218;1141.12678
219;1141.079
220;1141.0279
221;1141.21019
222;1142.82259
223;1143.69137
224;1144.141
225;1144.13172
226;1143.74496
227;1143.49099
228;1143.71793
229;1143.75326
230;1143.46539
231;1142.35124
232;1142.20141
233;1143.06653
234;1144.41714
235;1144.80143
236;1144.80276
237;1145.01266
238;1144.11027
239;1142.77013
240;1141.17997
241;1140.96364
242;1140.95973
243;1140.95712
244;1140.94409
245;1141.14047
246;1142.80893
247;1143.89389
248;1144.7365
249;1144.75344
250;1144.31
251;1143.5095
252;1143.26401
253;1142.87833
254;1142.50651
255;1142.32042
256;1142.28901
257;1142.69349
258;1144.36888
259;1145.07739
260;1145.02567
261;1144.65701
262;1143.82711
263;1141.83532
264;1141.13575
265;1141.08884
266;1141.17224
267;1141.32471
268;1141.27519
269;1141.20861
270;45.0201776
271;46.1439877
272;46.6434245
273;47.176245
274;46.1401619
275;45.4792151
276;45.3894616
277;44.842478
278;44.7298209
279;44.508771
280;44.4010159
281;45.0380982
282;47.1194209
283;47.5442344
284;47.1273036
285;46.8949347
286;45.5128571
287;44.2034318
288;43.6605088
289;43.1014506
290;43.0975417
291;43.0949358
292;43.1053601
293;43.3017552
294;45.3753183
295;46.7976717
296;47.1382672
297;47.1864846
298;46.6290371
299;45.7882825
300;45.6494424
301;45.4129556
302;44.9994698
303;44.7249631
304;44.7429767
305;45.2928445
306;47.4386866
307;47.3810394
308;46.9230155
309;46.8502682
310;45.5115364
311;44.5516428
312;43.6409969
313;43.2329318
314;43.0800788
315;42.9745234
316;43.0363281
317;43.1930743
318;44.9782446
319;46.5087885
320;46.550489
321;46.9263585
322;46.3508872
323;45.5312616
324;45.405423
325;45.6522771
326;46.1456182
327;45.5599415
328;45.9352535
329;45.5238211
330;1144.08544
331;1144.29134
332;1144.59875
333;1143.77007
334;1143.97645
335;1141.97383
336;1141.5903
337;1141.34296
338;1141.3182
339;1141.32602
340;1141.33253
341;1141.58558
342;1144.11627
343;1145.47435
344;1145.8144
345;1146.00428
346;1145.86237
347;1145.12993
348;1144.51176
349;1143.87167
350;1143.64903
351;1143.32127
352;1143.0942
353;1143.94954
354;1146.27027
355;1146.28867
356;1146.62074
357;1145.99267
358;1145.05953
359;1143.14231
360;1142.36348
361;1141.52685
362;1141.5047
363;1141.50731
364;1141.50991
365;1141.77325
366;1144.375
367;1145.73219
368;1146.13322
369;1146.04982
370;1145.50902
371;1145.05492
372;1145.09654
373;1143.82102
374;1143.55759
375;1143.85456
376;1143.32633
377;1144.04837
378;1145.84903
379;1146.67618
380;1146.3465
381;1146.15798
382;1144.47276
383;1142.33307
384;1142.44371
385;1141.80256
386;1141.75288
387;1141.70509
388;1141.65399
389;1141.94676
390;1144.5168
391;1145.90109
392;1146.49805
393;1146.48878
394;47.8441505
395;47.332472
396;47.3384578
397;47.2632608
398;46.8280839
399;45.6402894
400;45.5272198
401;46.6132867
402;48.6637591
403;49.3057523
404;49.196674
405;49.3696891
406;47.6939154
407;45.433102
408;43.9609332
409;43.7446069
410;43.7406974
411;43.7380922
412;43.725061
413;44.0592526
414;46.9221412
415;48.6502487
