Groesse;Wert
Lauf.ID_Projekt;1042
Sim.Restwaerme;0
Sim.Reststrom;28.6950054
Sim.bSimulationWP;True
Sim.bSimulationKessel;True
Sim.bSimulationSolarthermie;True
Sim.bSimulationBHKW;False
Sim.bSimulationPV;True
Sim.bSimulationSSP;False
Sim.PufferWP_vorhanden;True
Puffer.Q_max;34.8
Puffer.Ladung_gesamt;8424.08372
Puffer.Entladung_gesamt;7250.27283
Puffer.Verluste_gesamt;1141.35395
Puffer.SOC_Mittel;32.4503978
Puffer.SOC_Max;32.8185501
Puffer.Vollzyklen;242.071371
Sim.Speicher_Anzahl;3
Ergebnis.ID_Projekt;1042
Ergebnis.Bezeichner;Simulation Booster-Kette mit Kombi-Speicher
Ergebnis.ID_Klimaregion;1020052
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;True
Ergebnis.Sim_Solarthermie;True
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;True
Ergebnis.Sim_Stromspeicher;False
Energiebedarf.Waermebedarf_Gesamt;64.31
Energiebedarf.Waermelast_Max;38.6
Energiebedarf.Strombedarf_Gesamt;8
Energiebedarf.Strombedarf_Max;3.72
Energiebedarf.Waermerestbedarf;0
Energiebedarf.Stromrestbedarf;28.7
Energiebedarf.Waermebedarf_Heizung;59.31
Energiebedarf.Waermebedarf_Brauchwasser;5
Energiebedarf.Waermebedarf_Prozess;0
Waermepumpe.Waermebedarf;64.31
Waermepumpe.Restwaermebedarf;14.35
Waermepumpe.Waermeproduktion_WP;55.76
Waermepumpe.Stromverbrauch_WP;20.7
Waermepumpe.Stromverbrauch_Heizstab;0
Waermepumpe.Kapazitaet_Pufferspeicher;80.79
Waermepumpe.Min_Spitzenkesselleistung;0
Waermepumpe.Waermebedarfsdeckung;77.69
Waermepumpe.Vollbenutzungsstunden;2276.15
Waermepumpe.Bivalenzpunkt;
Waermepumpe.Deckung_Heizung;72.06
Waermepumpe.Deckung_Brauchwasser;5.63
Waermepumpe.Deckung_Prozess;0
WaermepumpeModul[0].Modul;CS7800iLW 16
WaermepumpeModul[0].Leistung;15
WaermepumpeModul[0].Waermeproduktion;6.17
WaermepumpeModul[0].Stromverbrauch;1.97
WaermepumpeModul[0].Heizstab;0
WaermepumpeModul[0].Betriebsstunden;345.91
WaermepumpeModul[1].Modul;CS6800iAW MB + AW 10 OR-T
