Index;Wert
0;7.26527166
1;0.119384564
2;0.119384564
3;0.119384564
4;0.158785507
5;0.286838531
6;2.52400351
7;2.92036557
8;2.57354879
9;2.27627754
10;2.12764168
11;2.12764168
12;2.15986156
13;1.08619952
14;0.33608973
15;0.33608973
16;0.434592038
17;2.05753684
18;2.62309408
19;2.72218466
20;2.62309408
21;2.42491317
22;2.27627754
23;0.483843237
24;0.129234806
25;0.119384564
26;0.119384564
27;0.119384564
28;0.158785507
29;0.286838531
30;2.52400351
31;2.92036557
32;2.57354879
33;2.27627754
34;2.12764168
35;2.12764168
36;2.17718697
37;1.41727638
38;0.33608973
39;0.33608973
40;0.434592038
41;1.91290748
42;2.62309408
43;2.72218466
44;2.62309408
45;2.42491317
46;2.1224947
47;0.483843237
48;0.157691032
49;0.146381512
50;0.135071978
51;0.123762451
52;0.146381512
53;0.202929139
54;1.29899907
55;2.28545237
56;2.68364954
57;2.91119051
58;2.79742002
59;2.56987906
60;0.741762161
61;0.54221499
62;0.485667378
63;0.485667378
64;0.598762631
65;0.768405557
66;2.68364954
67;2.68364954
68;2.6267643
69;2.42197704
70;0.879762352
71;0.259476781
72;0.176661864
73;0.164257854
74;0.139449865
75;0.127045855
76;0.139449865
77;0.176661864
78;2.01754117
79;2.20471215
80;2.57905388
81;2.95339584
82;3.01578617
83;2.76622486
84;2.07084036
85;1.05403924
86;0.585993826
87;0.523973823
88;0.648013771
89;1.82009482
90;2.76622486
91;2.76622486
92;2.64144421
93;2.45427322
94;1.98843169
95;0.399933845
96;0.129234806
97;0.119384564
98;0.119384564
99;0.119384564
100;0.158785507
101;0.286838531
102;2.52400351
103;2.92036557
104;2.57354879
105;2.27627754
106;2.12764168
107;2.12764168
108;2.17718697
109;1.61948037
110;0.33608973
111;0.33608973
112;0.434592038
113;2.37536788
114;2.62309408
115;2.72218466
116;2.62309408
117;2.42491317
118;2.27627754
119;0.483843237
120;0.129234806
121;0.119384564
122;0.119384564
123;0.119384564
124;0.158785507
125;0.286838531
126;2.52400351
127;2.92036557
128;2.57354879
129;2.27627754
130;2.12764168
131;2.12764168
132;2.17718697
133;2.12764168
134;0.865935206
135;0.33608973
136;0.820583761
137;2.37536788
138;2.62309408
139;2.72218466
140;2.62309408
141;2.42491317
142;2.27627754
143;0.483843237
144;0.129234806
145;0.119384564
146;0.119384564
147;0.119384564
148;0.158785507
149;0.286838531
150;2.52400351
151;2.92036557
152;2.57354879
153;2.27627754
154;2.12764168
155;2.12764168
156;2.17718697
157;1.23609793
158;0.33608973
159;0.33608973
160;0.434592038
161;2.10259604
162;2.62309408
163;2.72218466
164;2.62309408
165;2.42491317
166;2.11097717
167;0.483843237
168;0.129234806
169;0.119384564
170;0.119384564
171;0.119384564
172;0.158785507
173;0.286838531
174;0.998323321
175;2.92036557
176;2.57354879
177;2.27627754
178;2.12764168
179;1.47968841
180;0.434592038
181;0.385340899
182;0.33608973
183;0.33608973
184;0.434592038
185;1.08146644
186;2.62309408
187;2.72218466
188;2.62309408
189;2.42491317
190;0.533094406
191;0.483843237
192;0.129234806
193;0.119384564
194;0.119384564
195;0.119384564
196;0.158785507
197;0.286838531
198;2.52400351
199;2.92036557
200;2.57354879
201;2.27627754
202;2.12764168
203;2.12764168
204;1.61651945
205;0.639921308
206;0.33608973
207;0.33608973
208;0.434592038
209;1.46328747
210;2.62309408
211;2.72218466
212;2.62309408
213;2.42491317
214;2.19865799
215;0.483843237
216;0.157691032
217;0.146381512
218;0.135071978
219;0.123762451
220;0.146381512
221;0.202929139
222;1.44802618
223;2.28545237
224;2.68364954
225;2.91119051
226;2.79742002
227;2.56987906
228;0.949757814
229;0.54221499
230;0.485667378
231;0.485667378
232;0.598762631
233;0.863448322
234;2.68364954
235;2.68364954
236;2.6267643
237;2.42197704
238;0.887627602
239;0.259476781
240;0.176661864
241;0.164257854
242;0.139449865
243;0.127045855
244;0.139449865
245;0.176661864
246;2.01754117
247;2.20471215
248;2.57905388
249;2.95339584
250;3.01578617
251;2.76622486
252;2.04267836
253;0.784353673
254;0.585993826
255;0.523973823
256;0.648013771
257;1.3215853
258;2.76622486
259;2.76622486
260;2.64144421
261;2.45427322
262;1.46843934
263;0.399933845
264;0.129234806
265;0.119384564
266;0.119384564
267;0.119384564
268;0.158785507
269;0.286838531
270;2.52400351
271;2.92036557
272;2.57354879
273;2.27627754
274;2.12764168
275;2.12764168
276;2.17718697
277;1.21818805
278;0.33608973
279;0.33608973
280;0.434592038
281;1.94432425
282;2.62309408
283;2.72218466
284;2.62309408
285;2.42491317
286;2.27627754
287;0.483843237
288;0.129234806
289;0.119384564
290;0.119384564
291;0.119384564
292;0.158785507
293;0.286838531
294;2.52400351
295;2.92036557
296;2.57354879
297;2.27627754
298;2.12764168
299;2.12764168
300;2.17718697
301;2.12764168
302;1.16773081
303;0.534556031
304;1.00240028
305;2.37536788
306;2.62309408
307;2.72218466
308;2.62309408
309;2.42491317
310;2.27627754
311;0.483843237
312;0.129234806
313;0.119384564
314;0.119384564
315;0.119384564
316;0.158785507
317;0.286838531
318;2.52400351
319;2.92036557
320;2.57354879
321;2.27627754
322;2.12764168
323;2.12764168
324;2.17718697
325;2.12764168
326;2.07809639
327;2.07809639
328;2.17718697
329;2.37536788
330;2.62309408
331;2.72218466
332;2.62309408
333;2.42491317
334;2.04431152
335;0.483843237
336;0.129234806
337;0.119384564
338;0.119384564
339;0.119384564
340;0.158785507
341;0.286838531
342;2.52400351
343;2.92036557
344;2.57354879
345;2.27627754
346;2.12764168
347;2.12764168
348;2.17718697
349;2.12764168
350;2.07809639
351;2.07809639
352;2.17718697
353;2.37536788
354;2.62309408
