Index;Wert
0;33.0599976
1;7.36842585
2;0.251115471
3;0.251115471
4;0.251115471
5;0.290358841
6;2.15789962
7;2.65307665
8;3.04785371
9;2.70242381
10;2.40634131
11;2.25829983
12;2.24099994
13;1.26754761
14;0.516937077
15;0.466954023
16;0.466954023
17;1.98791158
18;2.50435781
19;2.75177097
20;2.85046506
21;2.75177097
22;2.55438256
23;0.666341186
24;0.614116669
25;0.260926306
26;0.251115471
27;0.251115471
28;0.251115471
29;0.290358841
30;2.15789986
31;2.65307665
32;3.04785371
33;2.70242381
34;2.40634108
35;2.25829983
36;2.25829983
37;1.59821272
38;0.517372549
39;0.466954023
40;0.466954023
41;1.84359276
42;2.50404859
43;2.75177097
44;2.8504653
45;2.75177073
46;2.40087748
47;0.666064739
48;0.614116669
49;0.289268762
50;0.278004438
51;0.266740143
52;0.255475849
53;0.278004438
54;1.31622994
55;2.18803549
56;2.41547942
57;2.81208396
58;3.03871512
59;2.92539978
60;1.04502404
61;0.785093546
62;0.67225498
63;0.615933478
64;0.615933478
65;0.728576481
66;2.63754106
67;2.81208396
68;2.81208396
69;2.75542641
70;1.20489097
71;0.616593003
72;0.390647471
73;0.308163702
74;0.295809299
75;0.271100521
76;0.258746117
77;0.271100521
78;2.04816365
79;2.14863968
80;2.33506203
81;2.70790696
82;3.08075166
83;3.14289236
84;2.44967294
85;1.30971956
86;0.778536737
87;0.715858757
88;0.654086769
89;1.76082206
90;2.70576501
91;2.89432931
92;2.89432931
93;2.77004766
94;2.31789422
95;0.644315004
96;0.530542791
97;0.260926306
98;0.251115471
99;0.251115471
100;0.251115471
101;0.290358841
102;2.15789986
103;2.65307665
104;3.04785371
105;2.70242381
106;2.40634108
107;2.25829983
108;2.25829983
109;1.80015063
110;0.517637491
111;0.466954023
112;0.466953993
113;2.30506229
114;2.5050354
115;2.75177097
116;2.8504653
117;2.75177097
118;2.55438256
119;0.666341186
120;0.614116669
121;0.260926306
122;0.251115471
123;0.251115471
124;0.251115471
125;0.290358841
126;2.15789986
127;2.65307665
128;3.04785347
129;2.70242381
130;2.40634131
131;2.25829983
132;2.25829983
133;2.30764699
134;1.04752958
135;0.467567325
136;0.852365196
137;2.30564046
138;2.5050354
139;2.75177097
140;2.85046506
141;2.75177097
142;2.55438256
143;0.666341186
144;0.614116669
145;0.260926306
146;0.251115471
147;0.251115471
148;0.251115471
149;0.290358841
150;2.15789986
151;2.65307665
152;3.04785371
153;2.70242381
154;2.40634108
155;2.25829983
156;2.25829983
157;1.41727316
158;0.517134488
159;0.466954023
160;0.466953993
161;2.03287411
162;2.50445414
163;2.75177097
164;2.8504653
165;2.75177097
166;2.38938046
167;0.666043997
168;0.614116669
169;0.260926306
170;0.251115471
171;0.251115471
172;0.251115471
173;0.290358841
174;0.636282384
175;2.64902997
176;3.04785371
177;2.70242405
178;2.40634108
179;1.61119533
180;0.517454386
181;0.565062404
182;0.516008198
183;0.466954023
184;0.466954023
185;1.01394987
186;2.50225759
187;2.75177097
188;2.8504653
189;2.75177097
190;0.814382493
191;0.663170874
192;0.614116669
193;0.260926306
194;0.251115471
195;0.251115471
196;0.251115471
197;0.290358841
198;2.15789986
199;2.65307665
200;3.04785371
201;2.70242381
202;2.40634108
203;2.25829983
204;1.69845998
205;0.821063101
206;0.516346693
207;0.466954023
208;0.466954023
209;1.39494252
210;2.50308275
211;2.75177097
212;2.8504653
213;2.75177097
214;2.4769032
215;0.666201711
216;0.614116669
217;0.289268762
218;0.278004438
219;0.266740143
220;0.255475849
221;0.278004438
222;1.465096
223;2.18819571
224;2.41547966
225;2.8120842
226;3.03871512
227;2.92539978
228;1.25254846
229;0.785562932
230;0.67225498
231;0.615933478
232;0.615933478
233;0.823366225
234;2.63779306
235;2.81208396
236;2.81208396
237;2.75542617
238;1.21274304
239;0.616606176
240;0.390647471
241;0.308163702
242;0.295809299
243;0.271100521
244;0.258746117
245;0.271100521
246;2.04816365
247;2.14863968
248;2.33506203
249;2.70790672
250;3.08075166
251;3.1428926
252;2.42158484
253;1.04056394
254;0.777935505
255;0.715858757
256;0.654086769
257;1.26373816
258;2.70434523
259;2.89432931
260;2.89432931
261;2.77004766
262;1.79880822
263;0.643412054
264;0.530542791
265;0.260926306
266;0.251115471
267;0.251115471
268;0.251115471
269;0.290358841
270;2.15789986
271;2.65307665
272;3.04785371
273;2.70242381
274;2.40634108
275;2.25829983
276;2.25829983
277;1.39938688
278;0.517110944
279;0.466954023
280;0.466954023
281;1.87494195
282;2.50411582
283;2.75177097
284;2.85046506
285;2.75177097
286;2.55438256
287;0.666341186
288;0.614116669
289;0.260926306
290;0.251115471
291;0.251115471
292;0.251115471
293;0.290358841
294;2.15789986
295;2.65307665
296;3.04785371
297;2.70242405
298;2.40634108
299;2.25829983
300;2.25829983
301;2.30764699
302;1.34897661
303;0.666149676
304;1.03413975
305;2.30591178
306;2.5050354
307;2.75177097
308;2.8504653
309;2.75177073
310;2.55438256
311;0.666341186
312;0.614116669
313;0.260926306
314;0.251115471
315;0.251115471
316;0.251115471
317;0.290358841
318;2.15789986
319;2.65307665
320;3.04785371
321;2.70242381
322;2.40634108
323;2.25829983
324;2.25829983
325;2.30764699
326;2.25829983
327;2.20895267
328;2.20895267
329;2.30764699
330;2.5050354
331;2.75177097
332;2.8504653
333;2.75177097
334;2.32283545
335;0.665923953
336;0.614116669
337;0.260926306
338;0.251115471
339;0.251115471
340;0.251115471
341;0.290358841
342;2.15789986
343;2.65307665
344;3.04785371
345;2.70242381
346;2.40634108
347;2.25830007
348;2.25829983
349;2.30764699
350;2.25829983
351;2.20895267
352;2.20895267
353;2.30764699
354;2.5050354
355;2.75177097
356;2.85046506
357;2.75177097
358;2.55438256
359;0.666341186
360;0.614116669
361;0.260926306
362;0.251115471
363;0.251115471
364;0.251115471
365;0.290358841
366;2.15789962
367;2.65307689
368;3.04785371
369;2.70242381
370;2.40634108
371;2.25829983
372;2.25829983
373;2.30764699
374;2.25829983
375;2.20895267
376;2.20895267
377;2.30764699
378;2.5050354
379;2.75177097
380;2.8504653
381;2.75177097
382;2.55438256
383;0.666341186
384;0.614116669
385;0.289268762
386;0.278004438
387;0.266740143
388;0.255475849
389;0.278004438
390;2.0743258
391;2.18884826
392;2.41547942
393;2.81208396
394;3.03871512
395;2.92539978
396;2.69876862
397;2.528795
398;2.41547966
399;2.35882163
400;2.35882187
401;2.47213721
402;2.64211082
403;2.81208396
404;2.8120842
405;2.75542641
406;2.55145836
407;0.61882174
408;0.390647471
409;0.308163702
410;0.295809299
411;0.271100521
412;0.258746117
413;1.59822071
414;2.04896736
415;2.14863968
416;2.33506203
417;2.70790696
418;3.08075166
419;3.14289236
420;2.89432931
421;2.64576602
422;2.52148438
423;2.45934367
424;2.39720297
425;2.52148438
426;2.70790672
427;2.89432931
428;2.89432931
429;2.77004766
430;2.58362532
431;1.49718153
432;0.531715512
433;0.260926306
434;0.251115471
435;0.251115471
436;0.251115471
437;1.64201903
438;2.15922856
439;2.65307665
440;3.04785371
441;2.70242381
442;2.40634131
443;2.25829983
444;2.25829983
445;2.30764699
446;2.25829983
447;2.20895267
448;2.20895267
449;2.30764699
450;2.5050354
451;2.75177097
452;2.8504653
453;2.75177097
454;2.55438256
455;0.666341186
456;0.614116669
457;0.260926306
458;0.251115471
459;0.251115471
460;0.251115471
