Index;Wert
0;834.434143
1;841.434143
2;835.589111
3;856.474121
4;1008.70819
5;1139.70825
6;1204.70825
7;1154.70825
8;1102.91931
9;1043.91931
10;1129.91931
11;1106.91931
12;1104.99573
13;1161.99573
14;1130.99573
15;1096.99573
16;1016.37689
17;1121.37683
18;1042.37683
19;1025.37695
20;859.849243
21;806.849243
22;830.849243
23;794.849243
24;880.139893
25;807.139893
26;806.139893
27;828.139893
28;1140.49951
29;1240.49951
30;1347.49951
31;1294.49951
32;1263.47791
33;1207.47791
34;1211.47791
35;1188.47791
36;1363.87207
37;1371.87207
38;1354.87207
39;1310.87207
40;1519.40649
41;1541.40649
42;1469.40649
43;1299.40649
44;972.080383
45;941.080383
46;978.080383
47;997.080383
48;862.294128
49;864.294128
50;891.294128
51;958.294128
52;977.289246
53;1058.28918
54;1155.28918
55;1146.28918
56;1269.96875
57;1188.96875
58;1308.96875
59;1271.96875
60;1280.15369
61;1306.15369
62;1249.15369
63;1263.15369
64;1117.60596
65;1161.60596
66;1135.60596
67;1009.60596
68;986.349426
69;1019.34943
70;936.349426
71;916.349426
72;1275.17383
73;1267.17383
74;1258.17383
75;1284.17383
76;1172.50854
77;1364.50854
78;1381.50854
79;1337.50854
80;1679.17944
81;1633.17944
82;1683.17944
83;1707.17944
84;1369.1344
85;1281.1344
86;1247.1344
87;1258.1344
88;1625.59253
89;1602.59253
90;1459.59253
91;1444.59253
92;1472.48132
93;1408.48132
94;1413.48132
95;5533.48145
96;1003.19592
97;990.195923
98;1006.19592
99;892.195923
100;377.044983
101;347.044983
102;359.044983
103;348.044983
104;294.822418
105;271.822418
106;252.822403
107;248.822403
108;217.088608
109;181.088608
110;182.088608
111;183.088608
112;182.913589
113;182.913589
114;184.913589
115;185.913589
116;190.200287
117;186.200287
118;186.200287
119;187.200287
120;303.92514
121;303.92514
122;304.92514
123;299.92514
124;303.303833
125;303.303833
126;300.303833
127;303.303833
128;322.772247
129;320.772247
130;321.772247
131;322.772247
132;258.387756
133;256.387756
134;256.387756
135;256.387756
136;239.896805
137;240.896805
138;239.896805
139;237.896805
140;333.862671
141;332.862671
142;333.862671
143;331.862671
144;723.510986
145;724.510986
146;725.510986
147;722.510986
148;187.094452
149;190.094452
150;187.094452
151;187.094452
152;240.503189
153;241.503189
154;241.503189
155;238.503189
156;570.840637
157;571.840637
158;571.840637
159;572.840637
160;246.729691
161;247.729691
162;244.729691
163;247.729691
164;318.15741
165;318.15741
166;317.15741
167;325.15741
168;323.139618
169;318.139618
170;320.139618
171;342.139618
172;658.597717
173;968.597717
174;1049.59766
175;1100.59766
176;1217.46753
177;1201.46753
178;1288.46753
179;1312.46753
180;1289.30933
181;1217.30933
182;1139.30933
183;1203.30933
184;1391.76978
185;1400.76978
186;1354.76978
187;1283.76978
188;1127.33118
189;1127.33118
190;1119.33118
191;1097.33118
192;1133.7074
193;1127.7074
194;1128.7074
195;1176.7074
196;1051.76758
197;1198.76758
198;1311.76758
199;1290.76758
200;1326.422
201;1239.422
202;1322.422
203;1282.422
204;1232.89636
205;1118.89636
206;1123.89636
207;1131.89636
208;1093.31323
209;1051.31323
210;1037.31323
211;849.313293
212;701.281494
213;696.281494
214;684.281494
215;686.281494
216;691.304443
217;690.304443
218;693.304443
219;711.304443
220;974.336182
221;1152.33618
222;1219.33618
223;1146.33618
224;1294.46021
225;1251.46021
226;1271.46021
227;1247.46021
228;1226.89038
229;1213.89038
230;1189.89038
231;1193.89038
232;1087.97778
233;1114.97778
234;1034.97778
235;995.977661
236;803.915649
237;811.915649
238;786.915649
239;758.915649
240;1056.2677
241;1043.2677
242;1062.2677
243;1068.2677
244;1362.21985
245;1473.21985
246;1509.21985
247;1440.21985
248;1498.50354
249;1384.50354
250;1385.50354
251;1353.50354
252;961.399719
253;918.399719
254;840.399719
255;747.399719
256;677.62616
257;561.62616
258;515.62616
259;522.62616
260;765.691467
261;787.691467
262;779.691467
263;773.691467
264;828.125244
265;821.125244
266;752.125244
267;672.125244
268;519.585266
269;518.585266
270;517.585266
271;518.585266
272;609.302673
273;608.302673
274;609.302673
275;606.302673
276;751.04541
277;750.04541
278;751.04541
279;753.04541
280;951.144287
281;948.144287
282;950.144287
283;953.144287
284;1052.86279
285;1052.86279
286;1050.86279
287;1050.86279
288;248.243515
289;248.243515
290;250.243515
291;247.243515
292;182.837906
293;181.837906
294;178.837906
295;181.837906
296;178.129181
297;176.129181
298;178.129181
299;178.129181
300;176.065887
301;178.065887
302;177.065887
303;177.065887
304;172.293304
305;170.293304
306;169.293304
307;174.293304
308;179.710373
309;180.710373
310;179.710373
311;176.710373
312;182.40033
313;187.40033
314;189.40033
315;213.40033
316;460.782135
317;723.782104
