Index;Wert
0;41.6666679
1;41.6666679
2;41.6666679
3;41.6666679
4;41.6666679
5;41.6666679
6;41.6666679
7;41.6666679
8;41.6666679
9;41.6666679
10;41.6666679
11;41.6666679
12;41.6666679
13;41.6666679
14;41.6666679
15;41.6666679
16;41.6666679
17;41.6666679
18;41.6666679
19;41.6666679
20;41.6666679
21;41.6666679
22;41.6666679
23;41.6666679
24;41.6666679
25;41.6666679
26;41.6666679
27;41.6666679
28;41.6666679
29;41.6666679
30;41.6666679
31;41.6666679
32;41.6666679
33;41.6666679
34;41.6666679
35;41.6666679
36;41.6666679
37;41.6666679
38;41.6666679
39;41.6666679
40;41.6666679
41;41.6666679
42;41.6666679
43;41.6666679
44;41.6666679
45;41.6666679
46;41.6666679
47;41.6666679
48;41.6666679
49;41.6666679
50;41.6666679
51;41.6666679
52;41.6666679
53;41.6666679
54;41.6666679
55;41.6666679
56;41.6666679
57;41.6666679
58;41.6666679
59;41.6666679
60;41.6666679
61;41.6666679
62;41.6666679
63;41.6666679
64;41.6666679
65;41.6666679
66;41.6666679
67;41.6666679
68;41.6666679
69;41.6666679
70;41.6666679
71;41.6666679
72;41.6666679
73;41.6666679
74;41.6666679
75;41.6666679
76;41.6666679
77;41.6666679
78;41.6666679
79;41.6666679
80;41.6666679
81;41.6666679
82;41.6666679
83;41.6666679
84;41.6666679
85;41.6666679
86;41.6666679
87;41.6666679
88;41.6666679
89;41.6666679
90;41.6666679
91;41.6666679
92;41.6666679
93;41.6666679
94;41.6666679
95;41.6666679
96;41.6666679
97;41.6666679
98;41.6666679
99;41.6666679
100;41.6666679
101;41.6666679
102;41.6666679
103;41.6666679
104;41.6666679
105;41.6666679
106;41.6666679
107;41.6666679
108;41.6666679
109;41.6666679
110;41.6666679
111;41.6666679
112;41.6666679
113;41.6666679
114;41.6666679
115;41.6666679
116;41.6666679
117;41.6666679
118;41.6666679
119;41.6666679
120;41.6666679
121;41.6666679
122;41.6666679
123;41.6666679
124;41.6666679
125;41.6666679
126;41.6666679
127;41.6666679
128;41.6666679
129;41.6666679
130;41.6666679
131;41.6666679
132;41.6666679
133;41.6666679
134;41.6666679
135;41.6666679
136;41.6666679
137;41.6666679
138;41.6666679
139;41.6666679
140;41.6666679
141;41.6666679
142;41.6666679
143;41.6666679
144;41.6666679
145;41.6666679
146;41.6666679
147;41.6666679
148;41.6666679
149;41.6666679
150;41.6666679
151;41.6666679
152;41.6666679
153;41.6666679
154;41.6666679
155;41.6666679
156;41.6666679
157;41.6666679
158;41.6666679
159;41.6666679
160;41.6666679
161;41.6666679
162;41.6666679
163;41.6666679
164;41.6666679
165;41.6666679
166;41.6666679
167;41.6666679
168;41.6666679
169;41.6666679
170;41.6666679
171;41.6666679
172;41.6666679
173;41.6666679
174;41.6666679
175;41.6666679
176;41.6666679
177;41.6666679
178;41.6666679
179;41.6666679
180;41.6666679
181;41.6666679
182;41.6666679
183;41.6666679
184;41.6666679
185;41.6666679
186;41.6666679
187;41.6666679
188;41.6666679
189;41.6666679
190;41.6666679
191;41.6666679
192;41.6666679
193;41.6666679
194;41.6666679
195;41.6666679
196;41.6666679
197;41.6666679
198;41.6666679
199;41.6666679
200;41.6666679
201;41.6666679
202;41.6666679
203;41.6666679
204;41.6666679
205;41.6666679
206;41.6666679
207;41.6666679
208;41.6666679
209;41.6666679
210;41.6666679
211;41.6666679
212;41.6666679
213;41.6666679
214;41.6666679
215;41.6666679
216;41.6666679
217;41.6666679
218;41.6666679
219;41.6666679
220;41.6666679
221;41.6666679
222;41.6666679
223;41.6666679
224;41.6666679
225;41.6666679
226;41.6666679
227;41.6666679
228;41.6666679
229;41.6666679
230;41.6666679
231;41.6666679
232;41.6666679
233;41.6666679
234;41.6666679
235;41.6666679
236;41.6666679
237;41.6666679
238;41.6666679
239;41.6666679
240;41.6666679
241;41.6666679
242;41.6666679
243;41.6666679
244;41.6666679
245;41.6666679
246;41.6666679
247;41.6666679
248;41.6666679
249;41.6666679
250;41.6666679
251;41.6666679
252;41.6666679
253;41.6666679
254;41.6666679
255;41.6666679
256;41.6666679
257;41.6666679
258;41.6666679
259;41.6666679
260;41.6666679
261;41.6666679
262;41.6666679
263;41.6666679
264;41.6666679
265;41.6666679
266;41.6666679
267;41.6666679
268;41.6666679
269;41.6666679
270;41.6666679
271;41.6666679
272;41.6666679
273;41.6666679
274;41.6666679
275;41.6666679
276;41.6666679
277;41.6666679
278;41.6666679
279;41.6666679
280;41.6666679
281;41.6666679
282;41.6666679
283;41.6666679
284;41.6666679
285;41.6666679
286;41.6666679
287;41.6666679
288;41.6666679
289;41.6666679
290;41.6666679
291;41.6666679
292;41.6666679
293;41.6666679
294;41.6666679
295;41.6666679
296;41.6666679
297;41.6666679
298;41.6666679
299;41.6666679
300;41.6666679
301;41.6666679
302;41.6666679
303;41.6666679
304;41.6666679
305;41.6666679
306;41.6666679
307;41.6666679
308;41.6666679
309;41.6666679
310;41.6666679
311;41.6666679
312;41.6666679
313;41.6666679
314;41.6666679
315;41.6666679
316;41.6666679
317;41.6666679
318;41.6666679
319;41.6666679
320;41.6666679
321;41.6666679
322;41.6666679
323;41.6666679
324;41.6666679
325;41.6666679
326;41.6666679
327;41.6666679
328;41.6666679
329;41.6666679
330;41.6666679
331;41.6666679
332;41.6666679
333;41.6666679
334;41.6666679
335;41.6666679
336;41.6666679
337;41.6666679
338;41.6666679
339;41.6666679
340;41.6666679
341;41.6666679
342;41.6666679
343;41.6666679
344;41.6666679
345;41.6666679
346;41.6666679
347;41.6666679
