Index;Wert
0;1470
1;919.13855
2;760.13855
3;930.13855
4;919.13855
5;851.13855
6;975.13855
7;998.13855
8;986.13855
9;998.13855
10;998.13855
11;1077.13855
12;998.13855
13;986.13855
14;941.13855
15;930.13855
16;930.13855
17;839.13855
18;817.13855
19;953.13855
20;828.13855
21;919.13855
22;873.13855
23;953.13855
24;851.13855
25;930.13855
26;953.13855
27;1167.13855
28;1258.13855
29;998.13855
30;1032.13855
31;953.13855
32;941.13855
33;964.13855
34;1054.13855
35;1156.13855
36;1077.13855
37;1134.13855
38;1100.13855
39;1179.13855
40;1054.13855
41;1077.13855
42;1020.13855
43;1009.13855
44;1020.13855
45;1020.13855
46;1020.13855
47;1020.13855
48;1032.13855
49;1100.13855
50;1054.13855
51;1145.13855
52;1066.13855
53;1100.13855
54;1122.13855
55;1088.13855
56;1077.13855
57;1077.13855
58;1032.13855
59;1100.13855
60;1156.13855
61;1066.13855
62;1145.13855
63;1416.13855
64;1077.13855
65;1145.13855
66;1088.13855
67;1134.13855
68;1054.13855
69;1122.13855
70;1326.13855
71;1201.13855
72;1303.13855
73;1405.13855
74;1292.13855
75;1303.13855
76;1292.13855
77;1281.13855
78;1292.13855
79;1292.13855
80;1314.13855
81;1348.13855
82;1439.13855
83;1360.13855
84;1122.13855
85;1405.13855
86;1224.13855
87;1281.13855
88;1258.13855
89;1201.13855
90;1167.13855
91;1145.13855
92;1179.13855
93;1167.13855
94;1190.13855
95;1190.13855
96;1484.13855
97;1405.13855
98;1292.13855
99;1620.13855
100;1394.13855
101;1439.13855
102;1518.13855
103;1348.13855
104;1303.13855
105;1654.13855
106;1303.13855
107;1303.13855
108;1643.13855
109;1348.13855
110;1269.13855
111;1292.13855
112;1247.13855
113;1190.13855
114;1179.13855
115;1190.13855
116;1190.13855
117;1190.13855
118;1201.13855
119;1179.13855
120;1439.13855
121;1495.13855
122;1235.13855
123;1269.13855
124;1541.13855
125;1235.13855
126;1473.13855
127;1586.13855
128;1201.13855
129;1269.13855
130;1529.13855
131;1473.13855
132;1462.13855
133;1575.13855
134;1292.13855
135;1247.13855
136;1167.13855
